StationID,year,S,ENS,Sy,ENSy,lat,long,temperature,precipitation,mzb.biomass
borkum,2007,67,6.342567442,67,6.181466462,53.56597,6.70967,10.96657534,2.598082192,4.22095
borkum,2008,66,7.999413651,66,8.302564532,53.56597,6.70967,10.4420765,2.584699454,0.6329
borkum,2009,79,10.41584297,79,9.128257737,53.56597,6.70967,10.05780822,1.976986301,0.14175
borkum,2011,65,8.023248977,65,11.68741198,53.56597,6.70967,10.05123288,2.29260274,0.3015
borkum,2012,68,9.126716688,68,5.580448873,53.56597,6.70967,9.786885246,2.756284153,3.64665
borkum,2013,90,9.371320512,90,8.62079279,53.56597,6.70967,9.305205479,2.037534247,0.39795
borkum,2014,81,8.163795177,81,10.34809584,53.56597,6.70967,11.23452055,2.026027397,65.5729
borkum,2015,81,9.222504534,81,10.1546636,53.56597,6.70967,10.56739726,2.509863014,2.8701
borkum,2016,70,6.423941521,70,6.577414293,53.56597,6.70967,10.37431694,2.11010929,3.015965
bremerhaven,1982,25,6.414595686,25,4.786650752,53.50341,8.5402,9.713972603,1.587945205,NA
bremerhaven,1983,11,5.392206349,11,5.748479787,53.50341,8.5402,10.01287671,1.976164384,NA
bremerhaven,1984,12,4.500901302,12,4.809546253,53.50341,8.5402,8.919125683,2.009289617,NA
bremerhaven,1985,9,5.028400598,9,5.028400598,53.50341,8.5402,8.225479452,2.085753425,NA
bremerhaven,1987,42,8.614703866,42,15.38161116,53.50341,8.5402,8.219178082,2.115616438,NA
bremerhaven,1988,30,9.138118399,30,11.40123822,53.50341,8.5402,9.93852459,2.13852459,NA
bremerhaven,1989,21,7.308828958,21,9.771547511,53.50341,8.5402,10.45643836,1.753150685,NA
bremerhaven,1990,26,9.196933702,26,10.32382756,53.50341,8.5402,10.53835616,2.450410959,NA
bremerhaven,1991,27,8.807013976,27,13.17679866,53.50341,8.5402,9.364109589,1.698630137,NA
bremerhaven,1992,15,6.095101047,15,6.095101047,53.50341,8.5402,10.36612022,1.743442623,1.233666667
bremerhaven,1993,35,9.209167822,35,3.874939823,53.50341,8.5402,9.029589041,2.231506849,1.728
bremerhaven,1994,47,11.11843633,47,14.33715306,53.50341,8.5402,10.22,2.139452055,0.215
bremerhaven,1995,48,8.702853399,48,12.56142795,53.50341,8.5402,9.795890411,2.116438356,1.1975
bremerhaven,1996,46,8.871597206,46,10.41854838,53.50341,8.5402,8.062568306,1.333060109,6.4866
bremerhaven,1997,50,9.302125305,50,4.437779601,53.50341,8.5402,9.878356164,1.66739726,6.75805
bremerhaven,1998,49,7.050479979,49,9.172191536,53.50341,8.5402,9.800273973,2.847945205,0.5498
bremerhaven,2001,50,7.485283809,50,10.45231987,53.50341,8.5402,9.885479452,2.54109589,2.8684
bremerhaven,2002,52,9.157942781,52,11.80141455,53.50341,8.5402,10.52410959,2.725205479,8.80315
bremerhaven,2003,45,8.825945123,45,7.80395964,53.50341,8.5402,10.25150685,1.811232877,4.0393
bremerhaven,2004,51,9.532067333,51,11.88679474,53.50341,8.5402,10.17021858,2.369945355,3.72515
bremerhaven,2005,45,7.317191496,45,9.797543774,53.50341,8.5402,10.41452055,2.108767123,3.016
bremerhaven,2006,46,7.43108346,46,9.817034731,53.50341,8.5402,10.86958904,1.99369863,2.3565
bremerhaven,2007,39,7.468939551,39,6.486400528,53.50341,8.5402,10.97671233,2.523013699,2.44725
eversand,2010,2,1.20890572,2,1.20890572,53.70441,8.36752,8.53369863,1.955068493,1.229
eversand,2011,35,5.466652035,35,10.0608718,53.70441,8.36752,10.26,2.024383562,3.618
hilgenriedersiel,1998,75,7.673313259,75,10.78560611,53.66897,7.24654,9.573972603,3.238630137,761.7111
hilgenriedersiel,1999,72,10.84397346,72,9.828051444,53.66897,7.24654,11.34572368,2.368219178,340.615925
hilgenriedersiel,2000,75,9.132344977,75,12.07474248,53.66897,7.24654,11.38729282,1.989617486,255.126025
hilgenriedersiel,2001,69,10.42580396,69,12.63198328,53.66897,7.24654,9.47867036,3.090136986,246.833275
hilgenriedersiel,2002,66,8.679982024,66,11.357542,53.66897,7.24654,10.05150685,2.984657534,289.1956333
hilgenriedersiel,2003,65,8.983964054,65,9.639349272,53.66897,7.24654,9.656712329,2.084109589,175.1263
hilgenriedersiel,2004,63,8.238059474,63,10.95985436,53.66897,7.24654,9.78715847,2.642896175,326.49775
hilgenriedersiel,2005,65,8.682288999,65,8.614778776,53.66897,7.24654,9.88,2.165205479,339.2720667
hilgenriedersiel,2006,74,8.945770734,74,7.620586312,53.66897,7.24654,10.4139726,2.126027397,788.01765
hilgenriedersiel,2007,61,8.875033656,61,10.08393969,53.66897,7.24654,10.69643836,2.807123288,531.9093
hilgenriedersiel,2008,77,8.53506673,77,8.380368138,53.66897,7.24654,10.14754098,2.650546448,669.8634
hilgenriedersiel,2009,78,12.021055,78,17.28643535,53.66897,7.24654,9.803561644,2.45890411,678.8515
hilgenriedersiel,2011,55,9.513023341,55,9.907617616,53.66897,7.24654,9.918406593,2.74109589,680.263
hilgenriedersiel,2012,50,8.071841149,50,9.302538643,53.66897,7.24654,9.080924855,2.498087432,703.9695
hilgenriedersiel,2013,54,11.94521556,54,14.59133451,53.66897,7.24654,9.002191781,2.355616438,750.9145
hilgenriedersiel,2014,56,5.248970618,56,4.839392934,53.66897,7.24654,10.75424658,2.161369863,771.119
hilgenriedersiel,2015,58,9.361527763,58,12.43757456,53.66897,7.24654,9.997808219,2.544931507,765.615
hilgenriedersiel,2016,49,5.69021345,49,8.017222705,53.66897,7.24654,9.803551913,2.113934426,749.515
jadebusen_ost,2007,13,4.03685149,13,7.098293034,53.47611,8.31328,11.5690411,2.931232877,27.54981
jadebusen_ost,2009,20,7.972929393,20,9.776551517,53.47611,8.31328,9.907671233,2.148767123,8.1948
jadebusen_ost,2010,18,7.192727162,18,8.517102361,53.47611,8.31328,8.39260274,1.908767123,22.4553
jadebusen_ost,2011,67,6.509512608,67,7.993480263,53.47611,8.31328,9.968493151,2.111780822,10.82893
jadebusen_ost,2012,67,7.13638806,67,8.613344849,53.47611,8.31328,9.699180328,2.007650273,22.50812
jadebusen_ost,2013,59,6.022291247,59,6.551095868,53.47611,8.31328,9.382191781,1.999726027,31.3342
jadebusen_ost,2014,51,6.355074353,51,6.364500248,53.47611,8.31328,11.30328767,1.832054795,19.3106
jadebusen_ost,2015,46,8.479413055,46,7.047562223,53.47611,8.31328,10.53232877,2.235616438,114.3421
jadebusen_west,2007,93,10.50058634,93,12.23013849,53.49431,8.0611,11.5690411,2.931232877,5.9745
jadebusen_west,2009,63,11.4358193,63,10.08490775,53.49431,8.0611,9.907671233,2.148767123,11.2659
jadebusen_west,2010,60,9.138553579,60,10.37713815,53.49431,8.0611,8.39260274,1.908767123,16.1935
jadebusen_west,2011,108,9.91325296,108,8.470230702,53.49431,8.0611,9.968493151,2.111780822,59.085
jadebusen_west,2012,135,7.002321732,135,9.206152837,53.49431,8.0611,9.699180328,2.007650273,7.098
jadebusen_west,2013,134,5.657403891,134,6.17805013,53.49431,8.0611,9.382191781,1.999726027,2.5337
jadebusen_west,2014,18,2.573249948,18,2.573249948,53.49431,8.0611,11.30328767,1.832054795,44.29
langenwarder_deich,2007,30,4.640099515,30,8.773165983,53.61271,8.31263,10.97671233,2.523013699,111.659
langenwarder_deich,2008,28,9.900571473,28,10.08600217,53.61271,8.31263,10.47786885,2.282513661,0.7027
langenwarder_deich,2009,36,8.851767305,36,13.07419024,53.61271,8.31263,10.16931507,1.910410959,9.291
langenwarder_deich,2010,31,9.222563598,31,14.45417596,53.61271,8.31263,8.53369863,1.955068493,11.2978
langenwarder_deich,2011,33,6.37116578,33,1.414962276,53.61271,8.31263,10.26,2.024383562,2.20605
langenwarder_deich,2012,38,8.955251374,38,3.072365861,53.61271,8.31263,9.778688525,1.992076503,2.985
langenwarder_deich,2013,39,10.14092588,39,17.32834548,53.61271,8.31263,9.405205479,2.022465753,4.8743
langenwarder_deich,2014,25,8.172389659,25,10.45883175,53.61271,8.31263,11.26520548,1.857534247,5.0867
langeoog,2007,69,6.520103049,69,10.14736772,53.74581,7.59503,NA,2.748767123,1.0828
langeoog,2008,71,8.129213928,71,11.29915394,53.74581,7.59503,NA,2.754644809,0.1793
langeoog,2009,105,9.012625056,105,13.06120189,53.74581,7.59503,NA,2.158630137,0.2181
langeoog,2010,67,7.888796945,67,9.666552996,53.74581,7.59503,NA,2.315890411,0.4421
langeoog,2011,80,7.773822345,80,11.5049173,53.74581,7.59503,NA,2.66,0.9952
langeoog,2012,80,7.868498755,80,10.94738171,53.74581,7.59503,NA,2.828688525,0.7679
langeoog,2013,81,8.862554184,81,12.04957215,53.74581,7.59503,NA,2.245753425,28.6192
langeoog,2014,93,10.09171519,93,13.56803956,53.74581,7.59503,NA,2.069589041,48.7356
langeoog,2015,83,9.606561214,83,13.65592434,53.74581,7.59503,NA,2.880273973,20.26998
langeoog,2016,66,9.099427425,66,11.70651989,53.74581,7.59503,NA,2.158516484,51.247248
langluetjen,1980,26,2.906473316,26,2.954309635,53.54713,8.52331,8.645081967,2.019398907,NA
langluetjen,1983,17,1.764871297,17,1.724151346,53.54713,8.52331,10.01287671,1.976164384,NA
langluetjen,1984,11,4.164502393,11,4.164502393,53.54713,8.52331,8.919125683,2.009289617,NA
langluetjen,1987,34,5.694707205,34,8.91811803,53.54713,8.52331,8.219178082,2.115616438,NA
langluetjen,1988,34,5.874092224,34,7.038252941,53.54713,8.52331,9.93852459,2.13852459,NA
