year,lat,long,temperature,precipitation,mzb.biomass,Actitis hypoleucos,Alcedo atthis,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser fabalis,Ardea cinerea,Aythya ferina,Aythya fuligula,Aythya marila,Branta bernicla,Branta canadensis,Branta leucopsis,Bucephala clangula,Buteo lagopus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris minuta,Calidris temminckii,Carduelis flavirostris,Charadrius dubius,Charadrius hiaticula,Chlidonias niger,Circus cyaneus,Cygnus columbianus,Cygnus olor,Egretta alba,Eremophila alpestris,Falco columbarius,Falco peregrinus,Fulica atra,Fulmarus glacialis,Gallinago gallinago,Gallinula chloropus,Gavia arctica,Gavia stellata,Haematopus ostralegus,Larus argentatus,Larus canus,Larus fuscus,Larus glaucoides,Larus hyperboreus,Larus marinus,Larus minutus,Larus ridibundus,Larus sp.,Limosa lapponica,Limosa limosa,Mergus albellus,Mergus merganser,Mergus serrator,Numenius arquata,Numenius phaeopus,Pandion haliaetus,Panurus biarmicus,Phalacrocorax aristotelis,Phalacrocorax carbo,Philomachus pugnax,Phoenicopterus ruber ruber,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps cristatus,Podiceps grisegena,Podiceps nigricollis,Rallus aquaticus,Recurvirostra avosetta,Rissa tridactyla,Somateria mollissima,Stercorarius parasiticus,Sterna albifrons,Sterna caspia,Sterna hirundo,Sterna paradisaea,Sterna sandvicensis,Tachybaptus ruficollis,Tadorna ferruginea,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa totanus,Vanellus vanellus
1982,53.50341,8.5402,9.713972603,1.587945205,NA,1,0,0,0,1,3,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,3,0,0,0,3,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,1,0
1983,53.50341,8.5402,10.01287671,1.976164384,NA,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1984,53.50341,8.5402,8.919125683,2.009289617,NA,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
1985,53.50341,8.5402,8.225479452,2.085753425,NA,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1987,53.50341,8.5402,8.219178082,2.115616438,NA,3,0,0,0,1,5,0,9,0,0,1,2,0,0,0,3,4,0,0,0,0,1,0,0,1,0,0,1,1,0,2,4,0,0,0,3,0,0,0,0,10,0,4,0,0,0,2,7,2,2,0,0,7,0,6,0,1,1,2,4,0,1,1,0,0,0,4,0,0,0,0,1,1,2,0,0,0,5,0,1,0,0,0,0,2,0,0,0,5,1,1,1,0,3,5
1988,53.50341,8.5402,9.93852459,2.13852459,NA,1,0,0,0,5,5,0,5,0,0,0,0,0,0,0,4,5,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,1,0,2,0,2,4,1,2,0,0,3,0,5,0,0,1,2,3,0,3,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,3,1
1989,53.50341,8.5402,10.45643836,1.753150685,NA,0,0,0,0,3,5,0,4,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,3,0,0,0,3,5,0,0,0,0,5,0,5,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1
1990,53.50341,8.5402,10.53835616,2.450410959,NA,1,0,0,0,5,5,0,6,0,0,0,0,0,0,2,4,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,2,6,0,0,0,0,4,0,6,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,1,0
1991,53.50341,8.5402,9.364109589,1.698630137,NA,0,0,0,2,7,7,0,8,0,0,0,1,0,0,4,7,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,2,7,0,1,0,0,5,0,8,0,0,2,4,5,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,3,0,6,0,0,0,0,2,2
1992,53.50341,8.5402,10.36612022,1.743442623,1.233666667,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
