year,lat,long,temperature,precipitation,mzb.biomass,Accipiter gentilis,Accipiter nisus,Acrocephalus schoenobaenus,Actitis hypoleucos,Alauda arvensis,Alcedo atthis,Alle alle,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas sp.,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser fabalis,Anser indicus,Anser spp / Branta spp.,Anser spp.,Anthus pratensis,Anthus spinoletta,Anthus spinoletta petrosus,Ardea cinerea,Arenaria interpres,Asio flammeus,Aythya ferina,Aythya fuligula,Aythya marila,Branta bernicla,Branta canadensis,Branta leucopsis,Branta ruficollis,Bucephala clangula,Buteo buteo,Buteo lagopus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris maritima,Calidris minuta,Calidris spp.,Calidris temminckii,Carduelis cannabina,Carduelis flavirostris,Charadrius alexandrinus,Charadrius dubius,Charadrius hiaticula,Charadrius morinellus,Chlidonias niger,Ciconia nigra,Circus aeruginosus,Circus cyaneus,Circus pygargus,Columba oenas,Columba palumbus,Corvus corax,Corvus corone,Corvus corone cornix,Corvus corone corone,Corvus frugilegus,Corvus monedula,Cygnus columbianus,Cygnus cygnus,Cygnus olor,Egretta alba,Egretta garzetta,Emberiza schoeniclus,Eremophila alpestris,Falco columbarius,Falco peregrinus,Falco subbuteo,Falco tinnunculus,Fulica atra,Fulmarus glacialis,Galerida cristata,Gallinago gallinago,Gavia arctica,Gavia stellata,Haematopus ostralegus,Haliaeetus albicilla,Himantopus himantopus,Hirundo rustica,Larus argentatus,Larus canus,Larus fuscus,Larus marinus,Larus melanocephalus,Larus minutus,Larus ridibundus,Larus sp.,Limicola falcinellus,Limicolae,Limosa lapponica,Limosa limosa,Luscinia svecica svecica,Lymnocryptes minimus,Melanitta fusca,Melanitta nigra,Mergus albellus,Mergus merganser,Mergus serrator,Milvus migrans,Milvus milvus,Motacilla alba,Motacilla flava,Motacilla flava thunbergi,Numenius arquata,Numenius phaeopus,Oenanthe oenanthe,Passer montanus,Perdix perdix,Pernis apivorus,Phalacrocorax carbo,Phalaropus fulicaria,Philomachus pugnax,Pica pica,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps cristatus,Podiceps grisegena,Podiceps nigricollis,Recurvirostra avosetta,Rissa tridactyla,Scolopax rusticola,Somateria mollissima,Stercorarius parasiticus,Stercorarius skua,Sterna albifrons,Sterna hirundo,Sterna paradisaea,Sterna sandvicensis,Streptopelia decaocto,Sturnus vulgaris,Tachybaptus ruficollis,Tadorna ferruginea,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa stagnatilis,Tringa totanus,Turdus merula,Turdus philomelos,Uria aalge,Vanellus vanellus
1998,53.66897,7.24654,9.573972603,3.238630137,761.7111,0,0,0,1.388888889,0,0,0,1,13.25,2.166666667,8.045454545,62.7,80.84294872,0,0,9,32.75,27.1,0,2,0,0,0,0,1,0,2.464285714,4.863636364,1,0,4,0,125.8578431,0,773.0238095,0,8.111111111,0,0,0,354.8949275,44.66666667,3,0,1.666666667,0,1,0,75.66666667,0,0,28.20833333,0,0,0,1.3,1.333333333,2,0,0,0,4.416666667,0,0,0,0,0,0,9.5,0,1,0,19.15333333,1,1,1.333333333,0,0,1,0,8.833333333,0,1,1407.105556,0,0,0,210.7191358,130.9041667,2.855555556,3.166666667,0,0,293.3384615,64,0,50,162.6568627,2.458333333,0,1,0,1,1,2,3.5,0,1,0,0,0,543.6296296,4,0,0,0,0,6.743589744,0,40.5,0,1,20.58333333,257.2555556,113.1794872,3,0,0,51.76923077,0,0,806.0902778,0,0,0,2,1,2,0,0,0,0,389.7024691,6.6875,0,23.38461538,3,0,200.3213333,0,0,0,85.42063492
1999,53.66897,7.24654,11.34572368,2.368219178,340.615925,0,0,0,2.222222222,0,0,0,0,4.5,14.33333333,27.75,16.64285714,81.49191919,0,0,0,8.5,5.4,8,2,0,0,0,0,6,0,3.020833333,6.560606061,1.5,0,0,1,164.3442029,0,1109.666667,0,4.5,0,1.25,0,494.1557971,103.45,52.75,1.5,11,0,0,0,101.6296296,0,0,183.6547619,0,0,0,1.5,1.5,1,0,0,0,5.833333333,0,0,0,0,0,12,2.75,0,0,0,35.5,2,1.25,0,0,2,0,0,4.208333333,0,0,1194.968182,0,0,0,263.7284314,306.2137681,15.12962963,2.62962963,1,0,793.9611111,2466.666667,0,0,205.8461538,23.61111111,0,0,0,1.5,0,0,7,0,0,0,0,0,526.8127451,8.85,0,0,0,0,9.388888889,0,1.5,0,8.5,19.125,1241.458333,87.41666667,3.6,0,0,28.96153846,0,0,309.9944444,0,1,1,1,0,1.75,0,0,2,0,288.3112745,1.944444444,0,21.10740741,1,0,160.3632184,0,0,1.25,320.0626437
2000,53.66897,7.24654,11.38729282,1.989617486,255.126025,0,0,0,3.083333333,0,0,0,1,5.346153846,63.07142857,20.4,52.578125,122.8548387,0,0,1.75,3.5,33.69230769,0,5.75,0,0,0,0,1,30,2.355555556,15.21666667,1.333333333,1,3.666666667,0,89.32440476,0,825.6736111,0,3.125,0,1.25,1,315.9673913,598.7666667,21.5,0,0,0,0,0,60.58333333,1,0,41,0,2,0,1.8,1,1,0,0,0,7.9,0,0,0,0,10.25,0,3,0,0,0,23.77272727,0,1.166666667,1,0,0,0,0,1.55,2,0,1370.455376,0,0,0,142.2895833,216.2545977,8.986111111,2.745098039,0,21,732.2543011,0,0,0,274.9772727,1.5,0,0,4,0,0,1.5,6.25,0,0,0,0,0,488.6927083,9.25,0,0,0,1,8.454545455,0,5.333333333,0,1.5,21,567.1920635,50.525,7.9,0,0,45.10185185,0,0,507.0666667,0,0,0,4.25,1.5,1.888888889,0,0,0,1,319.9723958,6.95,3,20.25,0,0,123.6632184,0,0,0,90.85185185
2001,53.66897,7.24654,9.47867036,3.090136986,246.833275,0,0,0,5.555555556,0,0,0,0,12.45,11.48484848,21.48039216,62.10526316,195.1876344,0,0,1.25,12.5,15,0,0,0,0,0,0,2.666666667,0,2.173076923,19.35714286,2,0,1,3,100.1052632,0,705.0833333,0,11,0,1.6,0,260.9311594,35.875,1,2,0,0,2,0,61,1,0,27.47395833,0,0,0,1.227777778,1.25,1,0,0,0,4.666666667,0,0,0,0,8.5,0,4.333333333,0,0,0,20.11666667,1,1.125,0,0,0,0,1,18.66363636,0,0,903.1397849,0,0,0,130.5177419,418.0813333,2.071428571,2.269230769,0,0,538.2333333,0,0,0,115.5583333,4.5,0,0,0,0,0,0,1,0,0,0,0,0,521.5903226,5.422916667,0,0,0,0,5.373188406,0,3.25,0,2.1,20.25,616.4727273,40.91666667,2.5,0,0,34.07407407,0,0,566.4880952,2,0,0,5.5,1,5.5,0,0,0,0,294.694086,6.142857143,1,23.69285714,1.333333333,0,102.0275862,0,0,0,96.02430556
2002,53.66897,7.24654,10.05150685,2.984657534,289.1956333,0,0,0,2.333333333,0,0,0,1,8.35,11.5,8,87.45833333,185.2465278,0,0,0,1,9.875,0,0,0,0,0,0,0,2,1.25,17.20833333,1,0,6.666666667,3,68.03125,0,914.0166667,0,1,1.333333333,1.5,0,181.5350877,205.3888889,0,0,0,0,0,0,189.8888889,5,0,19.875,0,0,0,2,1,1.5,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,51.33333333,1,1,0,1,0,0,0,1,0,0,919.9717391,0,0,0,85.89710145,201.1759259,2.277777778,2.138888889,0,1,691.8078431,213.4,0,9,36.72222222,5.25,0,0,0,0,0,0,0,0,0,0,0,0,468.0583333,2.75,0,0,0,0,3.954545455,0,10,0,1.5,38,161.3333333,32,3.25,0,0,32.2,0,0,195.1527778,0,0,0,0,1,4.25,0,0,0,0,260.7513889,1.75,1,14.02777778,1.5,0,89.33650794,0,0,1,74.71875
2003,53.66897,7.24654,9.656712329,2.084109589,175.1263,1,1,0,10.16666667,0,0,0,0,31.65151515,13.2,4,102.9761905,190.9916667,0,0,0,19.4,32.5,0,0,0,0,0,0,0,5.30952381,2.285714286,17.41025641,3,0,0,0,55.1025641,0,1366.388889,0,7.833333333,4.743589744,1,1,274.015625,14.75,1,0,0,0,0,0,87.91666667,0,0,26.6,0,4,0,1.416666667,1.283333333,1.75,0,0,0,0,0,0,0,0,0,4,3.5,0,0,0,30.85714286,0,1.222222222,0,1.8,0,0,0,4.25,0,0,1019.13254,0,0,0,124.7277778,138.6722222,14.96428571,2.547619048,1,0,412.7058333,175.125,0,3,54.03703704,5.7,0,0,0,0,0,0,0,1,0,0,0,0,586.6065217,11.88888889,3.833333333,0,0,0,3.615384615,0,0,0,0,43.2,558.375,42.40909091,2,0,0,31.16666667,0,0,182.4761905,0,0,0,2,4,2.25,0,0,0,0,294.5454545,1.25,0,21.88888889,0,0,60.67156863,0,0,0,69.58333333
2004,53.66897,7.24654,9.78715847,2.642896175,326.49775,0,0,0,83.5,0,0,0,0,22.03703704,25.2,7.125,48.90909091,122.3492063,0,0,0,12,19.61666667,0,0,0,0,0,0,0,1,2.541666667,18.5,1,0,0,2,37.60897436,28,683.0416667,0,4.375,1.911111111,1.25,2,174.6875,84.69230769,30.66666667,1,0,0,0,0,31.08333333,0,0,17.42857143,0,0,1,1.583333333,1.136363636,1,0,0,0,0,0,0,0,0,0,0,6.916666667,0,0,0,14.28571429,1,1.25,0,1.621212121,1,0,0,24,0,0,851.7591667,0,0,0,67.3968254,80.1372549,7.125,2.263888889,0,0,354.7083333,0,0,0,140.0952381,1.333333333,0,0,0,2,0,0,0,0,0,0,0,0,341.7621212,36,3.333333333,0,0,0,4,0,0,0,1.25,23.625,239.5384615,26.79166667,0,0,0,19.2,0,0,143.7666667,0,0,0,0,0,0,0,0,0,0,245.1181818,23.66666667,0,5.333333333,1,1,46.47368421,0,0,0,46.97916667
2005,53.66897,7.24654,9.88,2.165205479,339.2720667,0,0,0,12.54166667,0,1,0,0,13.83333333,25.88461538,38.38888889,42.94270833,138.4034483,0,0,3.666666667,22.5,31.07738095,0,0,0,0,0,0,0,0,2.043650794,17.53787879,0,9.375,3,2,102.9298246,0,1610.083333,0,2,1.528985507,1,2,110.0763889,125.84375,2,1,0,0,0,0,47.5,2,1,15.07692308,0,0,0,1.083333333,1.058823529,1,0,0,0,0,0,0,0,0,0,0,2.666666667,1,0,0,31.5,0,1,0,1.780701754,0,0,0,2,0,0,911.18,0,0,0,86.48735632,189.9358974,2.153846154,1.7,0,0,826.8685897,0,0,0,216.0555556,6.333333333,0,0,0,0,0,0,0,0,0,0,0,0,513.8955556,1,1.9375,0,0,0,9.175,0,0,0,2.5,87.41666667,342.8796296,76.91666667,3.333333333,0,0,27.74242424,0,0,149.8012821,0,0,0,0,1,0,0,0,0,0,310.3877778,1.5,2,18.49242424,2,0,69.92944444,0,0,0,66.73916667
2006,53.66897,7.24654,10.4139726,2.126027397,788.01765,1,0,0,5.833333333,0,0,0,2,21.65151515,11.40151515,6.722222222,42.97058824,93.22833333,0,0,3.125,19.25,40.50595238,0,0,0,0,0,2,0,0,2.196078431,11.04761905,1,20,4,0,93.21929825,0,1478.761905,0,20.08333333,1.441666667,1,8,172.7777778,33.1547619,0,4.5,0,0,0,0,19.25,0,1,16.25,0,0,0,1.333333333,1.15,1.5,0,0,0,0,0,5.5,0,0,0,0,3.533333333,1,0,2.106060606,17.08333333,1,1,0,1.328431373,0,0,0,1.666666667,0,0,422.8821839,0,0,3,48.91149425,127.8185185,6.708333333,1.277777778,0,0,366.5277778,0,0,0,43.20833333,6,1,0,1.5,0,0,0,0,0,0,0,0,0,374.9886905,5.571428571,4.119047619,0,0,0,8.037878788,0,4.333333333,0,2.3125,17.18055556,615.5625,67.13888889,1.5,0,0,50.94444444,1,0,131.28,0,0,0,0,1,2,0,5,0,0,126.0244444,3.1,0,30.97619048,2,0,19.99866667,0,0,0,161.4855072
2007,53.66897,7.24654,10.69643836,2.807123288,531.9093,0,0,0,2,0,0,0,0,10,24.88888889,2.666666667,94.95454545,71.45061728,0,0,2,91,75.5,0,0,0,0,0,0,0,0,2.265625,21.09166667,1,2,3,0,70.93055556,3.333333333,1098.453125,0,3.833333333,0,3,6,178.5952381,81.77272727,0,2,0,0,0,0,36.5,0,0,22,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,6.4,1,0,0,12.42857143,0,1.1875,0,0,0,0,0,6.333333333,0,0,509.1505952,0,0,0,116.6511905,40.30263158,2.346666667,1.826086957,0,0,370.1987654,80,0,0,106.952381,35.58333333,0,0,0,1.5,0,2.5,0,0,0,0,0,0,394.6440476,11.5,0,0,0,0,5.920289855,0,0,0,2.2,22.15,608.2777778,36.60416667,2,0,0,33.6,15,0,98.95138889,0,0,0,1,0,2,0,0,1.5,0,151.4630952,2,0,11.90740741,0,0,34.98913043,0,0,0,101.0347222
