year,lat,long,temperature,precipitation,mzb.biomass,Accipiter nisus,Acrocephalus scirpaceus,Actitis hypoleucos,Aix galericulata,Alauda arvensis,Alcedo atthis,Alle alle,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas sp.,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser erythropus,Anser fabalis,Anser spp / Branta spp.,Anser spp.,Anthus cervinus,Anthus pratensis,Anthus spinoletta petrosus,Anthus trivialis,Ardea cinerea,Arenaria interpres,Asio flammeus,Aythya ferina,Aythya fuligula,Aythya marila,Branta bernicla,Branta canadensis,Branta leucopsis,Bucephala clangula,Buteo buteo,Buteo lagopus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris maritima,Calidris minuta,Calidris spp.,Calidris temminckii,Calonectris diomedea,Carduelis cannabina,Carduelis carduelis,Carduelis flavirostris,Charadrius alexandrinus,Charadrius dubius,Charadrius hiaticula,Charadrius morinellus,Chlidonias niger,Circus aeruginosus,Circus cyaneus,Clangula hyemalis,Columba oenas,Columba palumbus,Corvus corone,Corvus corone cornix,Corvus corone corone,Corvus monedula,Cygnus columbianus,Cygnus cygnus,Cygnus olor,Egretta alba,Egretta garzetta,Emberiza schoeniclus,Eremophila alpestris,Falco columbarius,Falco peregrinus,Falco subbuteo,Falco tinnunculus,Fringilla coelebs,Fulica atra,Gallinago gallinago,Gallinula chloropus,Gavia arctica,Gavia stellata,Gelochelidon nilotica,Haematopus ostralegus,Haliaeetus albicilla,Himantopus himantopus,Hirundo rustica,Larus argentatus,Larus argentatus michahellis,Larus canus,Larus fuscus,Larus marinus,Larus melanocephalus,Larus minutus,Larus ridibundus,Larus sp.,Limicolae,Limosa lapponica,Limosa limosa,Lymnocryptes minimus,Melanitta fusca,Melanitta nigra,Mergus albellus,Mergus merganser,Mergus serrator,Milvus milvus,Motacilla alba,Motacilla flava,Numenius arquata,Numenius phaeopus,Oenanthe oenanthe,Pagophila eburnea,Pandion haliaetus,Panurus biarmicus,Passer domesticus,Phalacrocorax carbo,Phalaropus fulicaria,Phalaropus lobatus,Phasianus colchicus,Philomachus pugnax,Pica pica,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps auritus,Podiceps cristatus,Podiceps grisegena,Podiceps nigricollis,Rallus aquaticus,Recurvirostra avosetta,Rissa tridactyla,Saxicola torquata,Somateria mollissima,Stercorarius parasiticus,Stercorarius skua,Sterna albifrons,Sterna hirundo,Sterna paradisaea,Sterna sandvicensis,Strix uralensis,Sturnus vulgaris,Sula bassana,Tachybaptus ruficollis,Tadorna ferruginea,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa totanus,Turdus iliacus,Turdus merula,Turdus philomelos,Turdus pilaris,Turdus torquatus,Turdus viscivorus,Upupa epops,Uria aalge,Vanellus vanellus
2007,53.74581,7.59503,NA,2.748767123,1.0828,0,0,1,0,0,0,1,2,14,20,11,29,56,0,0,0,5,42,0,0,0,0,0,0,0,0,0,9,22,4,1,18,0,23,0,3,14,0,2,34,43,12,0,0,0,0,0,0,0,0,2,4,0,29,0,0,0,18,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,4,0,0,0,25,5,1,0,0,0,64,0,0,0,66,0,58,48,42,1,0,59,2,2,20,9,0,0,7,0,0,1,0,0,0,44,3,0,0,0,0,0,53,0,0,0,0,0,10,7,9,21,0,11,1,1,0,16,2,0,47,0,0,5,10,6,19,0,0,0,10,0,56,0,0,15,5,39,0,0,0,0,0,0,0,0,10
2008,53.74581,7.59503,NA,2.754644809,0.1793,0,0,9,0,0,0,1,0,16,16,17,32,57,0,0,2,2,41,0,0,0,0,0,0,0,0,0,10,36,1,0,16,2,37,0,6,14,0,2,45,51,27,1,0,0,0,0,0,0,0,8,1,0,30,0,2,0,17,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,11,0,0,0,21,5,1,1,1,0,63,0,0,0,64,0,59,45,51,0,1,59,9,2,23,7,0,0,0,0,0,3,0,0,0,52,11,0,0,0,0,0,42,0,0,0,0,0,17,15,13,45,0,5,0,0,0,9,0,0,53,0,0,11,19,11,24,0,0,0,18,0,57,2,1,19,5,38,0,0,0,0,0,0,0,0,22
2009,53.74581,7.59503,NA,2.158630137,0.2181,0,1,9,0,15,0,0,6,19,12,18,28,47,0,0,4,0,45,0,0,3,0,0,1,17,7,1,7,23,5,3,18,0,33,1,7,9,14,2,41,48,23,4,0,0,0,0,0,4,0,4,1,0,31,0,1,7,26,0,2,5,38,37,0,29,0,0,2,1,0,1,0,1,13,0,19,1,22,9,3,0,2,0,61,0,0,2,67,0,62,47,54,4,0,57,17,6,26,13,0,0,1,0,0,1,0,5,1,47,12,1,0,0,1,1,36,0,0,11,1,9,14,19,11,40,0,5,0,0,1,20,0,0,49,0,0,16,10,10,17,0,18,2,13,0,48,1,0,16,7,39,3,1,1,7,0,2,0,0,23
2010,53.74581,7.59503,NA,2.315890411,0.4421,0,0,12,0,0,0,0,0,22,14,17,25,47,0,0,1,4,44,0,0,1,0,0,0,0,0,0,1,31,0,2,20,0,21,0,8,7,0,0,39,54,29,3,0,3,0,0,0,0,0,2,2,0,29,0,3,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,17,0,0,0,22,9,1,0,2,0,60,0,0,0,65,0,60,41,44,0,0,58,0,0,29,10,0,0,2,0,0,1,0,0,0,48,14,0,0,0,0,0,33,0,0,0,0,0,0,10,16,44,0,8,0,1,0,9,0,0,48,0,0,21,14,9,21,0,0,0,11,0,48,2,2,23,4,43,0,0,0,0,0,0,0,0,23
2011,53.74581,7.59503,NA,2.66,0.9952,0,0,10,0,0,0,0,22,29,16,20,25,47,1,0,3,1,45,3,0,1,0,0,0,0,0,0,6,26,5,2,19,0,25,2,14,8,0,4,25,46,26,5,0,4,0,0,0,0,0,2,0,0,27,1,0,0,13,0,0,0,0,0,0,0,0,5,10,0,0,0,2,2,9,0,0,0,24,3,8,0,2,2,62,0,0,0,68,0,55,42,52,10,0,61,12,11,25,10,0,0,2,1,1,0,0,0,0,50,15,0,0,0,0,0,36,0,0,0,1,0,19,7,15,44,0,11,0,0,0,14,0,0,43,0,0,7,12,7,19,0,0,0,6,0,48,4,3,22,5,40,0,0,0,0,0,0,0,1,29
2012,53.74581,7.59503,NA,2.828688525,0.7679,0,0,9,0,0,0,0,9,28,24,20,26,58,1,2,8,2,55,0,0,0,0,0,0,0,0,0,2,21,2,3,24,3,33,2,18,9,0,6,32,56,30,4,0,1,0,0,0,0,0,5,0,1,26,0,0,0,6,0,0,0,0,0,0,0,2,0,3,1,0,0,4,1,11,0,1,0,20,8,2,0,1,0,67,0,0,0,72,0,63,54,56,2,1,62,2,0,32,12,0,0,2,0,0,2,0,0,0,55,17,0,0,0,0,0,47,0,0,0,1,0,14,10,16,49,0,15,0,2,0,17,1,0,57,0,0,7,9,6,20,0,0,0,11,0,58,2,0,23,5,47,0,0,0,0,0,0,0,0,35
2013,53.74581,7.59503,NA,2.245753425,28.6192,0,0,11,0,0,0,0,14,20,19,23,31,52,0,0,7,6,49,2,0,1,0,0,0,0,0,0,6,20,3,5,20,6,30,1,19,17,0,6,34,49,27,2,0,0,0,0,0,0,0,6,0,0,27,0,1,0,10,1,0,0,0,0,0,0,0,0,10,0,0,0,3,2,20,0,0,0,21,5,1,0,2,0,67,0,0,0,71,1,68,52,55,4,1,60,10,0,31,9,1,0,7,1,0,4,0,0,0,50,15,0,0,0,0,0,38,0,1,0,1,0,18,18,15,42,0,13,0,0,0,11,0,0,51,0,0,5,4,4,19,0,0,1,8,0,48,4,2,19,6,38,0,0,0,0,0,0,0,0,27
2014,53.74581,7.59503,NA,2.069589041,48.7356,0,0,12,0,0,1,0,18,23,20,26,29,43,1,0,7,1,44,0,0,0,0,0,0,0,0,0,4,30,1,3,25,1,28,0,19,11,6,0,26,46,25,2,0,3,0,1,0,0,1,6,0,0,26,0,0,16,8,0,2,7,0,0,23,12,0,0,4,0,1,0,7,2,9,0,9,0,23,10,1,0,4,1,64,0,0,0,66,0,64,58,52,6,0,58,18,7,29,9,1,0,12,0,0,2,0,0,0,44,15,0,0,0,1,0,44,0,0,0,2,6,22,12,15,41,1,20,0,6,7,11,0,0,48,1,0,6,14,13,25,0,9,0,11,0,46,5,1,25,6,38,0,0,0,0,1,0,0,0,34
2015,53.74581,7.59503,NA,2.880273973,20.26998,0,0,11,0,0,2,0,19,25,18,18,27,48,1,0,11,2,50,1,0,2,0,0,0,0,0,0,6,18,0,1,21,0,30,2,20,9,0,0,27,45,23,0,0,3,0,1,0,0,0,2,1,0,20,0,0,0,4,0,0,0,0,0,0,0,0,1,9,0,0,0,2,2,19,0,0,0,25,3,2,1,1,0,59,0,0,0,61,0,55,51,56,5,0,55,11,16,20,9,0,0,15,0,0,1,0,0,0,45,10,0,0,0,0,0,42,0,1,0,2,0,24,8,18,39,2,18,1,8,2,17,0,0,49,0,0,7,6,11,16,0,7,0,14,0,51,0,1,19,4,36,0,0,0,0,1,0,0,0,34
2016,53.74581,7.59503,NA,2.158516484,51.247248,0,0,1,0,0,0,0,15,11,9,9,10,23,0,0,3,4,24,2,0,2,0,0,0,0,0,0,2,8,0,2,12,1,19,0,17,4,0,0,11,21,12,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0,11,0,3,0,0,0,30,0,0,0,30,0,24,24,21,8,0,24,2,3,8,8,0,0,3,0,0,1,0,0,0,23,5,0,0,0,0,0,16,0,0,0,0,0,15,2,3,17,0,8,2,1,0,10,0,0,24,0,0,6,1,4,9,0,0,0,8,0,25,1,0,5,0,20,0,0,0,0,0,0,0,0,11
