year,lat,long,temperature,precipitation,mzb.biomass,Accipiter nisus,Actitis hypoleucos,Alauda arvensis,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas sp.,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser fabalis,Anser spp / Branta spp.,Anser spp.,Anthus pratensis,Ardea cinerea,Arenaria interpres,Asio flammeus,Aythya ferina,Aythya fuligula,Aythya marila,Botaurus stellaris,Branta bernicla,Branta canadensis,Branta leucopsis,Bucephala clangula,Buteo buteo,Buteo lagopus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris maritima,Calidris minuta,Calidris spp.,Charadrius alexandrinus,Charadrius dubius,Charadrius hiaticula,Circus aeruginosus,Circus cyaneus,Columba palumbus,Corvus corone,Corvus monedula,Cygnus columbianus,Cygnus cygnus,Cygnus olor,Egretta alba,Emberiza schoeniclus,Eremophila alpestris,Falco columbarius,Falco peregrinus,Falco tinnunculus,Fulica atra,Gallinago gallinago,Grus grus,Haematopus ostralegus,Larus argentatus,Larus canus,Larus fuscus,Larus marinus,Larus minutus,Larus ridibundus,Larus sp.,Limicolae,Limosa lapponica,Limosa limosa,Melanitta nigra,Mergus merganser,Motacilla flava,Netta rufina,Numenius arquata,Numenius phaeopus,Panurus biarmicus,Perdix perdix,Phalacrocorax carbo,Phasianus colchicus,Philomachus pugnax,Phoenicopterus ruber ruber,Pica pica,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps cristatus,Recurvirostra avosetta,Somateria mollissima,Sterna hirundo,Sterna paradisaea,Sturnus vulgaris,Tadorna tadorna,Tringa erythropus,Tringa nebularia,Tringa ochropus,Tringa totanus,Vanellus vanellus
1980,53.54713,8.52331,8.645081967,2.019398907,NA,0,2,0,1,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,3,2,0,2,0,3,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,2,0,1,0,1,2
1983,53.54713,8.52331,10.01287671,1.976164384,NA,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,3,0,1,2,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2
1984,53.54713,8.52331,8.919125683,2.009289617,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1987,53.54713,8.52331,8.219178082,2.115616438,NA,0,2,0,1,1,3,1,5,1,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,4,0,4,2,0,0,1,0,2,5,0,2,2,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,4,1,0,0,3,6
1988,53.54713,8.52331,9.93852459,2.13852459,NA,0,0,0,2,2,6,6,9,0,0,0,0,2,0,0,0,3,0,7,0,0,0,1,0,0,1,0,1,0,0,0,0,6,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,5,1,0,0,1,0,2,8,2,2,2,0,1,0,0,9,0,0,0,3,0,0,0,0,0,0,5,3,0,3,0,0,0,0,9,1,0,0,4,6
1989,53.54713,8.52331,10.45643836,1.753150685,NA,0,0,0,2,0,5,3,6,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,5,1,0,0,2,0,1,4,4,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0,0,3
1990,53.54713,8.52331,10.53835616,2.450410959,NA,0,0,0,3,0,8,5,11,1,0,0,0,5,0,0,0,2,0,5,0,0,1,1,0,0,0,1,2,0,0,0,0,7,0,0,0,0,5,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,10,7,3,1,2,0,8,9,5,4,3,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,4,3,0,7,0,0,0,0,12,0,0,0,6,8
1991,53.54713,8.52331,9.364109589,1.698630137,NA,0,0,0,1,1,1,2,14,0,0,0,0,7,0,0,0,1,0,4,1,0,0,0,0,0,1,1,2,0,0,0,1,7,0,0,0,1,8,0,0,2,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,13,1,3,0,0,11,9,9,2,1,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,8,5,0,5,0,0,0,0,10,0,0,0,3,9
1992,53.54713,8.52331,10.36612022,1.743442623,6.289675,2,0,0,0,0,3,3,16,1,0,0,0,7,3,2,0,1,0,7,0,1,0,0,0,0,2,2,6,1,0,0,2,6,1,0,0,0,8,0,1,2,3,0,0,0,0,0,1,9,0,0,0,0,0,0,1,1,0,11,13,4,4,1,0,14,8,8,0,3,0,1,0,1,14,3,0,0,0,0,2,0,0,0,0,5,3,0,3,1,0,0,0,16,0,0,0,7,11
1993,53.54713,8.52331,9.029589041,2.231506849,28.926,0,0,0,4,0,5,2,15,0,0,0,2,10,2,2,0,0,0,10,0,0,0,0,2,1,0,3,6,0,4,0,3,7,1,0,0,1,5,0,0,3,3,0,0,3,3,0,1,8,0,0,0,0,1,3,6,2,1,10,13,7,8,3,0,15,5,5,0,3,0,0,0,0,13,2,0,0,4,0,0,0,1,0,0,6,3,2,6,5,0,0,0,15,0,0,0,5,10
