year,lat,long,temperature,precipitation,mzb.biomass,Accipiter gentilis,Accipiter nisus,Actitis hypoleucos,Alauda arvensis,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser caerulescens,Anser erythropus,Anser fabalis,Anser fabalis fabalis,Anser fabalis rossicus,Anser indicus,Anser rossii,Anser spp / Branta spp.,Anser spp.,Anthus pratensis,Anthus spinoletta,Anthus spinoletta petrosus,Ardea cinerea,Arenaria interpres,Asio flammeus,Aythya ferina,Aythya fuligula,Aythya marila,Aythya nyroca,Branta bernicla,Branta bernicla bernicla,Branta bernicla hrota,Branta bernicla nigricans,Branta canadensis,Branta canadensis asiatica,Branta leucopsis,Branta ruficollis,Branta sp.,Bucephala clangula,Buteo buteo,Buteo lagopus,Calcarius lapponicus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris maritima,Calidris minuta,Calidris spp.,Calidris temminckii,Carduelis carduelis,Carduelis flavirostris,Charadrius alexandrinus,Charadrius dubius,Charadrius hiaticula,Charadrius morinellus,Chlidonias niger,Ciconia ciconia,Circus aeruginosus,Circus cyaneus,Circus pygargus,Clangula hyemalis,Corvus corone,Corvus corone cornix,Coturnix coturnix,Cygnus columbianus,Cygnus cygnus,Cygnus olor,Egretta alba,Egretta garzetta,Eremophila alpestris,Falco columbarius,Falco peregrinus,Falco rusticolus,Falco subbuteo,Falco tinnunculus,Fulica atra,Gallinago gallinago,Gallinula chloropus,Gavia arctica,Gavia immer,Gavia stellata,Grus grus,Haematopus ostralegus,Haliaeetus albicilla,Himantopus himantopus,Larus argentatus,Larus canus,Larus fuscus,Larus marinus,Larus melanocephalus,Larus minutus,Larus ridibundus,Larus sp.,Limicolae,Limosa lapponica,Limosa limosa,Limosa limosa islandica,Lymnocryptes minimus,Melanitta fusca,Melanitta nigra,Mergus albellus,Mergus merganser,Mergus serrator,Numenius arquata,Numenius phaeopus,Pandion haliaetus,Panurus biarmicus,Phalacrocorax carbo,Phalaropus lobatus,Phasianus colchicus,Philomachus pugnax,Phoenicopterus minor,Phoenicopterus ruber ruber,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps cristatus,Podiceps grisegena,Podiceps nigricollis,Porzana parva,Rallus aquaticus,Recurvirostra avosetta,Rissa tridactyla,Somateria mollissima,Stercorarius parasiticus,Stercorarius skua,Sterna albifrons,Sterna caspia,Sterna hirundo,Sterna paradisaea,Sterna sandvicensis,Sturnus vulgaris,Tachybaptus ruficollis,Tadorna ferruginea,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa stagnatilis,Tringa totanus,Uria aalge,Vanellus vanellus
1989,53.52555,7.06468,10.20082192,2.544109589,NA,0,0,0,0,0,97.96153846,6,23.04166667,895.6377778,104.609375,0,0,18,48.20833333,0,0,0,0,0,0,0,0,0,56.57142857,0,0,0,4.071428571,11.66666667,0,4,19.33333333,1,0,484.0138889,0,0,0,0,0,1659.666667,0,18,4,0,0,0,0,1985.309524,63,0,0,0,771.6153846,0,0,0,1.333333333,0,54.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4.083333333,0,0,0,0,0,1013.138889,0,0,46.53240741,56.34444444,27.75,7.037878788,0,0,101.827381,119.1025641,93.26190476,763.8,5.7,0,0,0,0,0,7.055555556,0,379.7009804,0,0,0,13.8,0,0,3.5,0,0,0,0,388.5,113.3,3.357142857,0,0,0,0,162.5833333,0,9,0,0,0,0,14,0,0,0,2,0,320.275,41.66666667,0,4,4,0,38.83333333,0,67.0625
1990,53.52555,7.06468,8.957260274,1.89890411,NA,0,0,1.5,0,0,143.8666667,13.57142857,47.7,575.4345238,195.8092593,0,0,46.4,31.80555556,0,0,0,0,0,0,0,0,0,52,0,0,0,3.279761905,18.16666667,5,8.25,9,0,0,335.1197917,0,0,0,0,0,1683.507576,0,0,4,0,0,0,0,1741.40625,82.5,25,0,2,356.0444444,0,0,0,1.5,0,10.95,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,74.5,1,0,0,0,0,0,994.2333333,0,0,269.0222222,20.24242424,6.083333333,6.630952381,0,1,85.86,129.7738095,299,114.6666667,3.555555556,0,0,0,0,2,5.666666667,2,335.2862745,336,0,0,11.125,0,0,0,0,0,0,0,228.3888889,146.0238095,4.375,0,3,0,0,150.1944444,0,42.5,1,0,0,0,0,0,0,0,2,0,315.637963,20,0,6.5,0,0,65.87121212,0,40.66666667
1991,53.52555,7.06468,9.98852459,2.21420765,NA,0,0,2.5,0,0,77.35185185,19.25,82.17666667,276.9404762,157.1933333,0,0,185,34.51388889,0,0,0,0,0,0,1.5,0,0,18,0,0,0,2.625,17,2,0,3.8,4,0,673.8033333,0,0,0,0,0,2665.257576,0,1,5,0,0,0,0,3987.217778,112,2,0,1,167.9166667,0,0,0,5,0,36.7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3.766666667,0,0,0,0,0,1092.451042,0,0,138.9411765,28.56666667,2,12.8,0,0,147.5,141.3333333,280.0555556,137.25,15.13333333,0,0,2,0,0,4.2,0,828.85625,13,0,0,5.555555556,0,0,1,0,0,1,0,385.5,349.4875,12,0,0,0,0,122.24,0,20.75,0,0,0,0,2.75,0,0,0,0,1,408.6977778,0,0,8.666666667,3,0,90.43452381,0,24.78205128
1992,53.52555,7.06468,8.706575342,2.484109589,NA,0,0,0,0,0,131.3055556,11.35714286,59.53518519,416.0842593,295.4685185,0,8,38.66666667,81.85208333,0,0,0,7,0,0,0,0,0,56.6,0,0,0,3.388888889,2,2.75,6,19,1.666666667,0,258.7916667,0,0,0,0,0,2287.467708,0,0,4.5,0,0,0,0,2777.186275,300,0,0,4,532,0,0,0,0,0,73.22222222,0,0,0,2,2.5,0,0,0,0,0,0,1,4.333333333,0,0,40,0,0,0,0,0,26,2,0,0,0,0,0,1363.247222,0,0,54.25092593,46.8974359,7.666666667,7.426190476,0,0,77.74166667,182.5555556,220.3055556,62.75,11.33333333,0,0,0,0,0,5.625,0,596.4157407,0,0,0,9.291666667,0,0,13.5,0,0,0,0,453.8939394,169.7083333,4,0,0,0,0,199.3833333,0,29,0,0,0,0,0,0,0,0,1,0,523.7833333,9.5,0,8.333333333,0,0,70.8254902,0,102.2083333
1993,53.52555,7.06468,9.822739726,2.852328767,NA,0,0,5,0,0,73.24090909,11.72222222,67.51923077,172.6140351,269.978,2.5,4,29.25,29.03137255,0,0,0,0,0,0,0,0,0,9.333333333,0,0,0,3.74537037,5.083333333,1,24.71428571,24.92307692,0,0,384.6047619,0,0,0,0,0,1609.357692,0,0,6.25,0,1,0,21,2286.353968,1107.703704,0,2,2,306.6666667,0,0,23.25,3,1,44,1,0,0,0,1.833333333,1,0,0,0,0,0,5,3,0,0,104.6666667,0,1,0,0,0,0,10.58333333,0,0,0,0,0,1055.944643,0,0,141.6969136,221.0377193,7.115384615,4.3125,0,10,172.9986667,265.9473684,241.5,173.1611111,10.375,0,0,1,0,3,5.75,2,479.4807692,15.66666667,0,0,16.36742424,0,0,37.9,0,3,3,17.66666667,494.1388889,242.4692982,12.8,0,0,0,0,232.5385417,0,47.25,0,0,0,0,4.75,0,0,800,0,2.5,498.372619,40.25,2,29.23809524,3,0,206.6342105,1,82.09705882
1994,53.52555,7.06468,9.481369863,2.251506849,NA,0,0,2.25,0,0,75.109375,11.46875,42.16354167,191.0219298,278.8586957,0,5.333333333,158.0666667,65.79416667,0,0,0,4,0,0,0,0,87.2,0,0,0,0,2.556349206,4.583333333,0,44.57142857,11.36363636,0,0,208.3583333,0,0,0,0,0,1531.435185,2,0,11.66666667,0,1.166666667,0,0,3055.449167,189.4375,1,0,6,0,0,0,239.55,1,0,27.91666667,0,0,0,0,1.266666667,0,0,0,0,0,7.666666667,0,10,0,0,57.13636364,1,0,0,0,0,19,4.083333333,0,0,0,0,0,1068.966667,0,0,196.5037879,233.8659091,19.55128205,5.7875,0,0,274.0977273,313.3529412,336.0092593,83.78666667,14.05,0,0,0,0,3,12.37037037,1,591.6565217,13.5,0,0,10.91269841,0,0,31.26388889,0,2.666666667,4,40,1261.788889,211.7598039,4,0,0,0,0,212.3611111,0,192.8461538,0,0,0,0,4.25,19.625,0,0,1,1.5,545.3565217,41.92592593,0,60.03333333,1.5,0,144.8144928,0,124.031746
1995,53.52555,7.06468,7.665300546,1.640983607,NA,0,0,2,0,0,61.58854167,9.678571429,56.12719298,350.3122807,224.2606667,1.5,0,26.91666667,95.25,0,0,0,1,0,0,0,0,27.33333333,0,0,0,0,2.503968254,26.05555556,1.75,12,10.23076923,0,0,322.2777778,0,0,0,0,0,2058.925926,0,0,5,0,1.5,0,0,2677.621212,129,0,0,1.5,0,0,0,130.1111111,1,0,62.64285714,0,0,0,0,1.1,1,0,0,0,0,0,0,10,1,0,47.72222222,0,1,0,0,0,21,3.854166667,8,0,0,0,0,1302.146528,0,0,167.8809524,125.5277778,7.472222222,6.759259259,0,0,123.3622807,281.5833333,487.4285714,192.6666667,8.428571429,0,0,0,0,3.5,10.64285714,1,552.2756944,6.333333333,0,0,13.625,0,0,14.16666667,0,3,0,35.4,1219.447917,162.78125,2.125,0,0,0,0,284.6,0,66,0,0,0,0,3.5,3.666666667,0,0,1.2,0,349.25625,21.78571429,0,17.21428571,8,0,134.6066667,0,278.6333333
1996,53.52555,7.06468,9.490410959,1.910958904,NA,0,0,1.625,0,0,56.58888889,10.45,109.8364583,419.553125,304.0865079,0,7.75,79.4375,29.44117647,0,0,0,0,0,0,0,0,0,0,0,0,0,2.578431373,6.5,1.5,12.25,29,0,0,396.0877778,0,0,0,1,0,1549.47549,0,0,19.25,0,1,0,0,2669.907937,514.1666667,1,4,3,0,0,0,109.45,1,2.5,36.57692308,0,0,0,0,1.229166667,1.5,0,0,0,0,0,37,1.333333333,0,0,38.52083333,0,0,0,0,0,4.5625,3.138888889,0,0,0,0,0,1556.254545,0,0,258.219697,223.7291667,15.86363636,10.32583333,0,0,348.1491667,167.2272727,639.6,217.3928571,13.08333333,0,0,0,0,0,9.638888889,2,728.4856061,28,0,0,29.73684211,0,0,17.05555556,0,2,10.5,20,396.7857143,263.6768519,12.11111111,0,0,0,0,507.3270833,0,126.2222222,0,0,1,0,4,34.33333333,2,0,0,0,320.5137681,32.29166667,0,13.03333333,0,0,59.21969697,0,55.46403509
1997,53.52555,7.06468,9.573972603,3.238630137,NA,0,0,3.5,0,0,63.63888889,19.04166667,48.18666667,162.6657895,191.7904762,0,3,42.83333333,58.63777778,1,0,0,1,0,0,0,0,0,0,0,0,0,1.83974359,3.9,0,49,15.03571429,1,0,309.4697917,0,0,0,0,0,1764.121569,0,0,78.71428571,0,0,0,2,2563.773148,8,0,0,0,0,0,0,79.89285714,1,0,125.9166667,0,0,0,0,1.2,1,0,0,0,0,0,0,2.333333333,0,0,29.85,1,1,0,0,0,29.22222222,3.083333333,4,0,0,0,0,1678.538333,0,0,158.7857143,101.312963,17.6025641,7.833333333,0,0,191.4230159,203.75,154.4285714,306.6666667,23.20833333,0,0,0,0,13.33333333,12.05555556,7,760.0158333,2.75,0,0,25.15555556,0,0,58.83333333,0,2,27.75,28.92857143,850.1818182,162.9895833,10.30769231,0,0,0,0,346.3,0,49.38888889,0,0,4,0,11,6.5,0,0,4.333333333,1,624.2958333,18.33333333,1,5.805555556,1.5,0,71.19907407,0,104.4537037
1998,53.52555,7.06468,11.34572368,2.368219178,NA,0,0,4.25,0,0,106.8364583,17.30686275,62.42058824,200.6683333,348.9791667,1.5,14.88333333,38.33333333,30.48333333,0,0,0,31,0,0,0,0,0,0,0,0,2,2.320512821,7.75,0,30.55882353,23.91666667,0,0,193.1568627,0,0,0,0,0,2011.412963,2,0,27.17307692,0,1,0,1.666666667,3969.416667,33.47619048,51,2,9.5,0,0,0,132.2777778,2.1,0,44.95454545,0,0,0,1.277777778,1.142857143,1,0,0,0,0,0,0,5.666666667,0,0,26.325,1.5,1.055555556,0,0,0,45,14.9537037,0,0,0,0,0,1586.478333,0,0,108.7587719,41.78070175,6.756410256,11.65833333,0,2,202.7447368,601.725,1191.8,88.79166667,13.05555556,0,0,0,0,12.75,11.6875,2.583333333,602.5175,11,0,0,14.80882353,0,0,22.8,2,0,20.6875,32.66666667,723.5055556,67.26785714,9.833333333,0,1,0,0,312.459375,0,40.25,0,0,0,0,2.5,0,23,0,2.333333333,2,479.7316667,59.35714286,0,4.944444444,2,0,84.703125,0,130.2685185
