year,lat,long,temperature,precipitation,mzb.biomass,Accipiter gentilis,Accipiter nisus,Actitis hypoleucos,Alauda arvensis,Alca torda,Alcedo atthis,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas sp.,Anas strepera,Anser albifrons,Anser anser,Anser brachyrhynchus,Anser caerulescens,Anser erythropus,Anser fabalis,Anser indicus,Anser spp / Branta spp.,Anser spp.,Anthus cervinus,Anthus pratensis,Anthus spinoletta,Anthus spinoletta petrosus,Ardea cinerea,Arenaria interpres,Asio flammeus,Asio otus,Aythya ferina,Aythya fuligula,Aythya marila,Aythya nyroca,Branta bernicla,Branta canadensis,Branta leucopsis,Branta ruficollis,Bucephala clangula,Buteo buteo,Buteo lagopus,Calidris alba,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris maritima,Calidris minuta,Calidris spp.,Calidris temminckii,Carduelis cannabina,Carduelis chloris,Carduelis flavirostris,Carpodacus erythrinus,Charadrius alexandrinus,Charadrius dubius,Charadrius hiaticula,Charadrius morinellus,Charadrius sp.,Chlidonias niger,Ciconia nigra,Circus aeruginosus,Circus cyaneus,Clangula hyemalis,Columba oenas,Columba palumbus,Corvus corone,Corvus corone cornix,Corvus corone corone,Corvus frugilegus,Corvus monedula,Cuculus canorus,Cygnus columbianus,Cygnus cygnus,Cygnus olor,Egretta alba,Egretta garzetta,Eremophila alpestris,Falco cherrug,Falco columbarius,Falco peregrinus,Falco subbuteo,Falco tinnunculus,Fulica atra,Fulmarus glacialis,Gallinago gallinago,Gallinula chloropus,Gavia arctica,Gavia stellata,Geronticus eremita,Haematopus ostralegus,Haliaeetus albicilla,Larus argentatus,Larus canus,Larus fuscus,Larus glaucoides,Larus marinus,Larus melanocephalus,Larus minutus,Larus ridibundus,Larus sp.,Limicola falcinellus,Limicolae,Limosa lapponica,Limosa limosa,Lymnocryptes minimus,Melanitta fusca,Melanitta nigra,Mergus albellus,Mergus merganser,Mergus serrator,Milvus migrans,Motacilla alba,Netta rufina,Numenius arquata,Numenius phaeopus,Oenanthe oenanthe,Pandion haliaetus,Pernis apivorus,Phalacrocorax carbo,Phalaropus fulicaria,Phalaropus lobatus,Philomachus pugnax,Phoenicopterus ruber ruber,Pica pica,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps auritus,Podiceps cristatus,Podiceps grisegena,Podiceps nigricollis,Rallus aquaticus,Recurvirostra avosetta,Rissa tridactyla,Scolopax rusticola,Somateria mollissima,Stercorarius parasiticus,Stercorarius pomarinus,Stercorarius skua,Sterna albifrons,Sterna hirundo,Sterna paradisaea,Sterna sandvicensis,Sturnus vulgaris,Sula bassana,Tachybaptus ruficollis,Tadorna ferruginea,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa stagnatilis,Tringa totanus,Turdus pilaris,Uria aalge,Vanellus vanellus,Xenus cinereus
1980,53.72005,7.25419,8.636338798,2.27568306,164.5338,0,0,0,0,0,0,0,40.5,2,15,535,432.5,18,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,120,0,0,0,0,0,0,16,3000,60,0,6,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10575,0,4125,180,16,0,138.75,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,300,615,0,0,0,0,0,189.25,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1853.75,0,0,249,4,0,350,0,0,16.5,0
1981,53.72005,7.25419,8.964931507,2.530410959,186.5799,0,0,0,0,0,0,0,31.66666667,1,31,695,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,203.3333333,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7733.333333,0,3130,0,0,0,1,0,0,130.3333333,600,0,0,0,0,0,0,0,0,0,0,0,0,0,779.5,0,0,0,0,1,0,0,0,0,0,0,0,110,25,0,0,0,0,0,250,0,0,430,0,0,0,0,0,0,0,0,0,0,0,361.25,25,0,5,0,0,62.5,0,0,78,0
1982,53.72005,7.25419,9.323561644,1.773424658,142.821825,0,0,0,0,0,0,0,0,0,0,0,39.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,330,0,0,0,0,0,0,0,1458.666667,250,0,0,0,20,0,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275.833333,0,0,750,0,0,12,0,0,400,135,0,0,745,0,0,0,0,0,0,6,0,0,0,545.1666667,6,0,0,0,0,0,0,4,0,0,0,0,100,97.5,0,0,0,0,0,37.75,0,0,10,0,0,0,3.5,13,13,2,0,0,0,0,50.83333333,3.5,0,26.5,0,0,0,0,0,0,0
1983,53.72005,7.25419,9.765753425,2.076438356,343.62605,0,0,0,0,0,0,0,115.5,8,76.66666667,266.9,344.3611111,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,85.52777778,0,0,0,0,0,0,468,0,14,0,5,0,0,35.53333333,3630.75,46.2,2,0,0,0,0,0,0,0,0,59.75,75,48.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,42,0,4,0,0,0,0,5405.666667,0,1680.111111,466.25,19.16666667,0,119.0555556,0,0,629.2777778,0,0,0,410.6666667,9.75,0,0,0,0,0,0,0,0,0,1004.266667,79.25,0,0,0,16.66666667,0,0,3,0,0,0,0,122.5,278.5,0,0,0,0,0,229.375,0,0,373.4,0,0,0,10,40,70,0,0,0,0,0,843.9444444,1,0,23.375,0,0,75.22222222,0,0,65.2,0
1984,53.72005,7.25419,8.795901639,2.017759563,412.7301,0,0,0,0,0,0,0,132.5,0,35,765.5,665,0,0,0,0,23,0,0,0,0,0,0,80,0,0,0,0,0,58.75,0,0,0,0,0,0,694.6666667,0,0,0,0,0,0,39.66666667,4075,401,0,0,0,2000,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,5,0,0,0,0,7250,0,1525,487.5,0,0,160,0,0,350,0,0,0,37.5,0,0,0,0,0,9,11,0,0,0,1325,0,0,0,0,11,0,0,0,0,0,0,0,197.5,82.5,0,0,0,0,0,185,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,1326.5,0,0,9,0,0,85,0,0,37.5,0
1985,53.72005,7.25419,8.133424658,1.965479452,139.507625,0,0,0,0,0,0,0,0,3,8,235,50,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,54,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5100,0,925,307.5,0,0,11.5,0,0,175,0,0,0,0,30,0,0,0,0,0,0,0,0,0,635,0,0,0,0,3,0,0,0,0,0,0,0,500,180,0,0,0,0,0,90,0,0,40,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,65,0,0,120,0
1986,53.72005,7.25419,8.72739726,2.126849315,33.31075833,0,0,0,0,0,0,0,39.5,0,24.5,290.9,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,0,16,0,0,150,0,0,0,4.5,0,0,27.66666667,431,51.5,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,2160,0,514.6,146.8,57,0,47.9,0,0,326.75,400,0,0,59,0,0,0,0,0,2,6,0,0,0,477.6,75,0,0,0,16,0,0,0,0,0,0,0,195.5,180,0,0,0,0,0,0,0,0,163.5,0,0,0,0,0,0,0,0,0,4,0,721.3,0,0,11,0,0,77.6,0,0,73.5,0
1988,53.72005,7.25419,9.92704918,2.783606557,107.3387636,0,0,0,0,0,0,0,0,0,226.6666667,508.3333333,128.3333333,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60.75,0,0,0,0,0,0,0,850.8333333,200,5,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2527.777778,0,361.1111111,500,2.5,0,6.166666667,0,0,382.2222222,0,0,0,227.75,13,0,0,0,0,0,0,0,0,0,1475,0,0,0,0,6.25,0,0,2,0,0,0,0,95.55555556,153.6666667,0,0,0,0,0,310,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1150.111111,7,0,30.5,0,0,17.66666667,0,0,51.77777778,0
1989,53.72005,7.25419,10.35479452,1.575890411,90.18974615,0,0,0,0,0,0,0,105.3333333,6,108,468.5,116.875,0,0,0,80,17.5,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,916.8333333,0,2,0,0,0,0,15,956,20,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2118.433333,0,353.3666667,185,34.25,0,5.333333333,0,0,374.4,0,0,0,235,10.75,0,0,0,0,0,0,0,0,0,437.6666667,0,0,0,0,17,0,0,0,0,0,0,0,368.4,479.6666667,0,0,0,0,0,49.58333333,0,0,55.3,0,0,0,0,4,0,0,0,0,0,0,377.2916667,1,0,0,0,0,43.86666667,0,0,36.75,0
1990,53.72005,7.25419,10.55972603,2.096164384,75.7738875,0,0,0,0,0,0,0,27.7,8.666666667,119.6,709.5833333,157.9444444,0,0,0,0,0,0,0,0,1,0,0,100.5,0,0,0,0,1.875,24.1,0,0,0,0,0,0,37.5,0,0,0,1,0,0,130,1149.733333,196.75,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,2954.833333,0,565.4444444,197.7777778,24.77777778,0,32.94444444,0,0,280.6944444,0,0,3000,129.1666667,28,0,0,0,0,0,1,0,0,0,655.8333333,0,0,0,0,3.5,0,0,0,0,0,0,0,263.6666667,171.25,0,0,0,0,0,150,0,0,66.5,0,0,0,0,0,0,1,0,0,0,0,481.1944444,0,0,0,0,0,64.58333333,0,0,26.63888889,0
