year,lat,long,temperature,precipitation,mzb.biomass,Actitis hypoleucos,Alopochen aegyptiacus,Anas acuta,Anas clypeata,Anas crecca,Anas penelope,Anas platyrhynchos,Anas querquedula,Anas strepera,Anser albifrons,Anser anser,Anser spp / Branta spp.,Anser spp.,Anthus spinoletta petrosus,Ardea cinerea,Arenaria interpres,Aythya ferina,Aythya fuligula,Branta bernicla,Branta leucopsis,Branta sp.,Bucephala clangula,Calidris alpina,Calidris canutus,Calidris ferruginea,Calidris minuta,Carduelis flavirostris,Charadrius alexandrinus,Charadrius hiaticula,Chlidonias niger,Circus cyaneus,Cygnus columbianus,Cygnus olor,Egretta alba,Eremophila alpestris,Fulica atra,Gallinago gallinago,Gallinula chloropus,Gavia stellata,Haematopus ostralegus,Larus argentatus,Larus canus,Larus fuscus,Larus marinus,Larus minutus,Larus ridibundus,Larus sp.,Limicolae,Limosa lapponica,Limosa limosa,Melanitta nigra,Mergus albellus,Mergus merganser,Mergus serrator,Numenius arquata,Numenius phaeopus,Oenanthe oenanthe,Phalacrocorax carbo,Philomachus pugnax,Platalea leucorodia,Plectrophenax nivalis,Pluvialis apricaria,Pluvialis squatarola,Podiceps cristatus,Podiceps grisegena,Recurvirostra avosetta,Somateria mollissima,Sterna albifrons,Sterna hirundo,Sterna paradisaea,Tachybaptus ruficollis,Tadorna tadorna,Tringa erythropus,Tringa glareola,Tringa nebularia,Tringa ochropus,Tringa totanus,Vanellus vanellus
1989,53.48254,7.02771,10.26630137,1.863561644,NA,1,0,0,0,0,0,146.5,0,0,0,60,0,0,0,0,2,0,0,241.5,50,0,0,3700,20,30,0,0,0,213,0,0,0,0,0,0,0,0,0,0,228,80.5,21,0,8,0,460,0,0,180,2,0,0,0,0,125,13,0,0,21,0,0,15,250,0,0,205,0,4,2,6,0,180,7,0,4,0,167,28
1990,53.48254,7.02771,10.57534247,2.075068493,NA,3,0,91.66666667,12,2,33.5,242.25,6,0,130,50,0,150,0,0,0,0,37,320,250,0,0,650,0,0,3,0,0,25,0,0,0,2,0,0,25,0,0,0,586.25,252.5,213.3333333,0,8.5,30,237.5,0,0,1,4,0,0,0,0,175.3333333,0,0,0,11,0,0,320,120,0,0,19,1,0,4,2,0,74.66666667,4,4,0,0,18.33333333,15.5
1991,53.48254,7.02771,9.261917808,1.629589041,NA,0,0,0,8,0,0,65,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,426.5,0,0,0,0,6,12,0,0,0,2,0,0,4,0,0,0,304.6666667,89,8,0,0,0,453,0,0,337.5,4.5,0,0,0,0,73,0,0,3,0,0,0,260,26,0,0,97,71,0,0,0,0,23.66666667,1,0,1.5,0,139.3333333,13
1992,53.48254,7.02771,10.15846995,2.048360656,NA,0,0,2,20,0,18,587.8571429,0,0,0,80,0,25,0,0,8,0,5,224.5,79,0,0,616,0,0,0,0,0,31,0,0,0,0,0,100,0,0,0,0,600.2857143,229.2142857,211.875,0,1,1,211.2857143,30,170.6666667,250,0,0,0,0,0,251.0714286,0,0,0,0,0,150,183,18.8,0,0,193.5,10.9,0,6,0,0,59.66666667,0,0,1,0,52,14.5
1993,53.48254,7.02771,8.799726027,2.432876712,NA,0,0,4.25,0,0,122,790.6,0,0,0,0,0,0,0,1,2,30,3,228.75,598,0,0,666.0833333,1002,2,0,20,0,42.57142857,0,0,0,3,0,40,0,0,0,0,809.0714286,406.1333333,144.25,1,6.5,0,241.1666667,0,0,16.75,5.75,0,0,0,0,80.71428571,4,0,2.5,2,0,12,230,81.66666667,0,0,92.42857143,79,1,4,2,0,52.06666667,3,0,5.25,0,119.5,4.8
1994,53.48254,7.02771,9.865205479,2.550684932,NA,0,0,0,0,0,4.666666667,588.1,0,0,80,0,300,0,0,1.333333333,3.5,0,0,326.5,868.2,0,0,142.875,0,118,0,0,2,25.66666667,0,2,0,0,0,23,0,0,0,0,604.7,290.9,295.1428571,0,3.571428571,0,174.5555556,0,700,26,29,1,0,0,0,232.1875,0,0,0,0,0,36,63,74.5,0,0,57.25,24.5,0,0,2,0,13.5,2,0,10,0,53.33333333,1
1995,53.48254,7.02771,9.490410959,2.447671233,NA,0,0,0,0,0,4,373.8,0,0,0,0,0,0,0,0,0,0,0,32,315,0,0,415,0,0,0,174.5,0,57,0,0,0,0,0,0,0,0,0,0,346.2,165.4,2,0,4.5,0,38.5,500,0,0,0,0,0,0,0,356.5,0,0,1,0,0,8,0,22,0,0,0,18,0,0,0,0,13,0,0,0,0,35,6
1996,53.48254,7.02771,7.698087432,1.551092896,NA,0,0,0,0,0,4,278.4285714,0,0,0,0,25,0,0,0,1,0,0,540.6666667,0,0,0,444.6,121,40,0,0,4,21.6,0,0,0,0,0,34,0,0,0,0,203.5,290.5714286,1,0,18.5,0,127,0,0,0,2,0,0,0,0,362.8,1,0,1,0,0,8,0,28.33333333,0,0,21,0,0,1,0,0,4.75,0,0,0,0,52.2,2.5
1997,53.48254,7.02771,9.351506849,1.750684932,NA,0,0,1,0,0,24,276.8333333,0,0,0,0,0,0,0,0,0,0,0,640.2,1239.25,0,0,125.6666667,0,0,0,52,0,13.6,0,0,0,0,0,27,0,0,0,0,196.5714286,166,18.5,0,2,0,64,0,0,178,0,0,0,0,0,91.2,0,0,2.5,0,0,0,121.5,19.25,0,0,20.33333333,0,0,0,0,0,7,0,0,1,0,20.2,2
1998,53.48254,7.02771,9.408767123,2.925205479,NA,0,0,0,0,0,0,228.5,0,0,0,0,0,0,0,0,0,0,0,417.375,3200,0,0,299.3333333,0,0,0,0,0,10.5,0,0,0,0,0,14.5,0,0,0,0,345.25,108.6666667,20.75,0,6,0,35.16666667,0,0,0,1,0,0,0,0,182.75,0,0,0,0,0,0,0,22.5,0,0,13.25,0,0,0,0,0,4.75,0,0,0,0,41.75,4.75
