StationID,lat,long,year,oxygen,pH,temperature,S,ENS,biomass
Balt_W_1,53.73176472,7.44084194,1994,10.3,8.05,6.9,20,7.30062093,1846.553957
Balt_W_1,53.73176472,7.44084194,1995,10.4,8.35,3.7,19,4.928184497,3710.665545
Balt_W_1,53.73176472,7.44084194,1996,11.15,8,2.9,9,3.385040031,610.0798658
Balt_W_1,53.73176472,7.44084194,1997,10.5,7.9,3.75,25,2.463225795,5773.72905
Balt_W_1,53.73176472,7.44084194,1998,11.05,8,4.8,21,5.797301755,2351.470341
Balt_W_1,53.73176472,7.44084194,1999,10.1,8.05,5.25,21,6.352148915,2396.777977
Balt_W_1,53.73176472,7.44084194,2000,8.85,8.07,7.4,28,6.577748812,3885.991542
Balt_W_1,53.73176472,7.44084194,2001,9.05,8,4.95,17,9.896127004,1258.297609
Balt_W_1,53.73176472,7.44084194,2002,8.55,8.4,7.5,20,7.628067177,2765.637976
Balt_W_1,53.73176472,7.44084194,2003,9.7,8.45,5.75,21,7.86903341,2446.536695
Balt_W_1,53.73176472,7.44084194,2004,11.35,8.225,6.05,21,11.04030905,2488.051284
Balt_W_1,53.73176472,7.44084194,2005,10.85,8.275,7.1,17,7.803129341,1528.155819
Balt_W_1,53.73176472,7.44084194,2006,10.45,7.98,6.4,15,7.854129289,824.6382987
Balt_W_1,53.73176472,7.44084194,2007,9.55,8.075,7.15,25,4.562851926,2242.740598
Jade_W_1,53.72037833,8.06213278,1994,9.9,8.035,6.35,32,3.948472501,29836.33026
Jade_W_1,53.72037833,8.06213278,1995,9.35,8.25,4.6,30,2.950944743,8092.459616
Jade_W_1,53.72037833,8.06213278,1996,10.65,8.05,3.25,25,1.106832812,21674.88402
Jade_W_1,53.72037833,8.06213278,1997,10.15,7.95,4.25,23,5.120381065,7188.739941
Jade_W_1,53.72037833,8.06213278,1998,10.65,8.35,5.25,24,5.776118787,3894.061679
Jade_W_1,53.72037833,8.06213278,1999,9.7,8.25,5.4,27,5.624914635,5539.975293
Jade_W_1,53.72037833,8.06213278,2000,8.75,8.25,7.75,31,5.278403203,5343.909081
Jade_W_1,53.72037833,8.06213278,2001,8.75,8.05,5.75,24,3.240247319,6980.550608
Jade_W_1,53.72037833,8.06213278,2002,8.55,8.4,7.6,22,5.80442602,4627.527461
Jade_W_1,53.72037833,8.06213278,2003,9.5,8.4,6.4,27,7.223243073,6773.006681
Jade_W_1,53.72037833,8.06213278,2004,11.1,8.2,6.3,24,3.032274333,7960.71772
Jade_W_1,53.72037833,8.06213278,2005,10.75,8.275,6.5,22,4.095472344,3444.637919
Jade_W_1,53.72037833,8.06213278,2006,10.45,8.02,7.05,30,4.366658823,8849.291606
Jade_W_1,53.72037833,8.06213278,2007,9.1,8.075,8,30,7.760201246,10565.39119
Spog_W_1,53.74426361,7.68996917,1994,10.1,8.035,6.55,20,7.30062093,1846.553957
Spog_W_1,53.74426361,7.68996917,1995,9.3,8.25,4.35,19,4.928184497,3710.665545
Spog_W_1,53.74426361,7.68996917,1996,10.85,8,2.9,9,3.385040031,610.0798658
Spog_W_1,53.74426361,7.68996917,1997,10.45,7.95,3.5,25,2.463225795,5773.72905
Spog_W_1,53.74426361,7.68996917,1998,10.95,8,5,21,5.797301755,2351.470341
Spog_W_1,53.74426361,7.68996917,1999,10.05,8.2,5.25,21,6.352148915,2396.777977
Spog_W_1,53.74426361,7.68996917,2000,8.6,8.028,8.766666667,28,6.577748812,3885.991542
Spog_W_1,53.74426361,7.68996917,2001,9,8,5.15,17,9.896127004,1258.297609
Spog_W_1,53.74426361,7.68996917,2002,8.85,8.35,6.95,20,7.628067177,2765.637976
Spog_W_1,53.74426361,7.68996917,2003,9.45,8.45,5.7,21,7.86903341,2446.536695
Spog_W_1,53.74426361,7.68996917,2004,11.2,8.25,6.25,21,11.04030905,2488.051284
Spog_W_1,53.74426361,7.68996917,2005,10.9,8.3,7,17,7.803129341,1528.155819
Spog_W_1,53.74426361,7.68996917,2006,10.35,7.98,6.55,15,7.854129289,824.6382987
Spog_W_1,53.74426361,7.68996917,2007,9.7,8.075,7.1,25,4.562851926,2242.740598
Spog_W_2,53.78009333,7.82744722,1994,9.85,8.04,6.75,32,3.948472501,29836.33026
Spog_W_2,53.78009333,7.82744722,1995,9.65,8.35,4.55,30,2.950944743,8092.459616
Spog_W_2,53.78009333,7.82744722,1996,10.75,8.05,3.3,25,1.106832812,21674.88402
Spog_W_2,53.78009333,7.82744722,1997,10.2,8,4.15,23,5.120381065,7188.739941
Spog_W_2,53.78009333,7.82744722,1998,10.85,8.35,4.8,24,5.776118787,3894.061679
Spog_W_2,53.78009333,7.82744722,1999,9.95,8.3,5.9,27,5.624914635,5539.975293
Spog_W_2,53.78009333,7.82744722,2000,8.35,8.115,7.5,31,5.278403203,5343.909081
Spog_W_2,53.78009333,7.82744722,2001,8.85,8.05,5.9,24,3.240247319,6980.550608
Spog_W_2,53.78009333,7.82744722,2002,8.25,8.4,7.65,22,5.80442602,4627.527461
Spog_W_2,53.78009333,7.82744722,2003,9.45,8.4,6.2,27,7.223243073,6773.006681
Spog_W_2,53.78009333,7.82744722,2004,11.2,8.25,6.45,24,3.032274333,7960.71772
Spog_W_2,53.78009333,7.82744722,2005,10.8,8.3,6.55,22,4.095472344,3444.637919
Spog_W_2,53.78009333,7.82744722,2006,10.4,7.97,6.65,30,4.366658823,8849.291606
Spog_W_2,53.78009333,7.82744722,2007,9.6,8.075,7.55,30,7.760201246,10565.39119
