year,salinity,temperature,grain.size,lat,long,Abra alba,Alitta succinea,Alitta virens,Amphiporus bioculatus,Aphelochaeta marioni,Arenicola marina,Asterias rubens,Austrominius modestus,Balanus crenatus,Bathyporeia sarsi,Bodotria scorpioides,Bylgides sarsi,Capitella capitata,Carcinus maenas,Cerastoderma edule,Corophium arenarium,Corophium volutator,Crangon crangon,Crepidula fornicata,Cumopsis goodsiri,Diogenes pugilator,Ensis leei,Eteone longa,Eunereis longissima,Fabulina fabula,Gammarus locusta,Gammarus salinus,Gastrosaccus spinifer,Glycera tridactyla,Harmothoe imbricata,Hediste diversicolor,Hemigrapsus takanoi,Heteromastus filiformis,Jaera albifrons,Kurtiella bidentata,Lagis koreni,Lanice conchilega,Lepidochitona cinerea,Limecola balthica,Littorina littorea,Macomangulus tenuis,Magallana gigas,Magelona johnstoni,Malmgrenia darbouxi,Marenzelleria viridis,Melita palmata,Metridium senile,Molgula socialis,Mya arenaria,Mysta picta,Mytilus edulis,Neomysis integer,Nephtys caeca,Nephtys cirrosa,Nephtys hombergii,Nephtys longosetosa,Ophiura ophiura,Pagurus bernhardus,Peringia ulvae,Petricolaria pholadiformis,Phyllodoce mucosa,Polydora cornuta,Praunus flexuosus,Pygospio elegans,Sagartia troglodytes,Sagartiogeton undatus,Scolelepis foliosa,Scoloplos armiger,Scrobicularia plana,Semibalanus balanoides,Spio martinensis,Spiophanes bombyx,Streblospio benedicti,Tetrastemma melanocephalum,Urothoe poseidonis
2005,28.11416667,11.71333333,170.5,52.94121,4.90553,0,38.85,0.2,0,179.15,8.175,0,0,0,2.1,0,2.2,86.4,5.7,63.15,14.95,0,18.05,0,0,0,144.4666667,43.925,1.9,0,2.2,0,0,1.9,0,27.36666667,0,539.85,0,0,0,5.075,0,18.325,0,8.3,0,1.1,0,185.475,3.2,0,0,2400.666667,0,5.85,1,0,0,13.975,1.9,0,0,897.8,0,41.05,322.2,0,0,0,0,4.05,342.3,0,0,42.56666667,37,0,0,6.45
2006,28.7025,11.765,166.2,52.94121,4.90553,0,15.5,0.75,0,377.625,8.05,0,0,0,1.1,4.2,0,0,2.833333333,12.8,11.65,0,14.7,0,37,0,560.7,22.83333333,0,0,0,0,0,0,0,36.6,0,553.625,0,0,0,2.833333333,0,12.525,0,7.7,0,12.3,1.1,60.575,0,0,0,38.425,0,0,0,1.1,0,12.475,0,0,0,100.7,0,11.3,0,0,0,0,0,2.466666667,200.75,0,0,1.65,0,0,0,12.3
2007,27.54703823,12.24416667,167.8,52.94121,4.90553,0,1.65,3.3,1.05,100.1,5.6,0,0,2.2,2.5,0,2.2,24.7,2.133333333,4.4,2.7,0,5.025,0,0,0,135.75,20.86666667,1.6,0,8.9,0,1,0,0,41.63333333,0,187.45,0,0,0,164.4,0,11.6,0,12.4,0,26.15,0,480.275,0,0,0,15.26666667,0,0,0,1.1,0,24.925,0,0,0,4.2,0,46.7,33.3,0,0,0,0,3.6,102.675,0,0,4.8,1,0,0,24.05
2008,29.04916667,11.47083333,171.5,52.94121,4.90553,0,3.2,5.6,0,269.25,2.55,0,0,0,6.266666667,0,0,112.1,9.45,239.4,4.3,0,5.75,0,2.1,0,53.53333333,23.025,4.95,0,0,0,0,1.9,0,132.85,0,140.1,0,0,0,11.1,0,24.975,0,13.6,0,0,0,854.5,0,0,0,1759.25,1.1,15.6,0,0,1.1,21.4,0,0,0,17041.6,0,17.95,411.7,0,58.8,0,0,2.8,121,0,0,12.3,1,0,0,65.05
2009,29.17363163,11.50166667,169.2,52.94121,4.90553,0,49.05,3.6,0,467.875,7.6,1,0,0,5.8,0,2.2,46.6,13.73333333,353.35,16.5,0,11.925,0,0,0,26.6,59.7,2.1,0,9.85,0,0,2,0,48.35,0,105.1,0,0,0,16,0,15.175,0,10.85,0,1,1,682.425,0,0,0,204.7666667,3.2,187.125,1.1,1.1,3.45,14.25,0,0,0,56362.2,0,25.7,178.7,0,684.2,0,0,4.05,109.3,2.2,0,12.3,0,0,0,12
2010,27.63682535,10.63166667,166.9,52.94121,4.90553,0,55.55,11.1,0,645.25,7.675,0,0,33.56666667,2.1,0,2.2,52.26666667,23.7,228.9,13.3,0,18.43333333,2.2,0,0,15.35,87.3,0,0,4.366666667,0,0,0,0,71.15,2.15,91.575,0,0,0,73.35,0,17.225,1.1,4.2,0,1.1,0,73.25,6.3,26.7,0,16.93333333,0,59.2,0,0.5,0,29.65,0,0,0,45104.1,0,28.1,51.05,0,2493.6,0,2.1,3.225,78.725,5.3,0,12.3,0,0,2.2,6.85
2012,26.61833333,11.17833333,173.9,52.94121,4.90553,1,13.1,1.6,0,158.225,20.2,0,20.25,167.15,3.2,0,3.9,71.1,15.45,903.3333333,305.7,0,8.325,2.2,0,0,21.36666667,60.16666667,0,0,8.1,0,1,1,4.4,36.9,0,168.8,6.3,0,0,4.15,0,28.2,32.95,0,7.4,2.55,0,84.575,0,0,0,285.6,0,183.4,0,23.85,1.1,13.8,1.1,0,0,37668.2,0,13.83333333,16.5,0,191.9,0,0,4.733333333,201.45,4.3,5.3,37,43.2,0,0,0
2015,28.03454545,11.61166667,175.1,52.94121,4.90553,0,14.85,1.6,1,804.025,17.2,1,56.85,125.2333333,0,0,5,62.05,7.6,50.1,2.1,3.2,9.1,3.2,0,1,44.73333333,55.275,2.7,0,0,0,0,13.7,0,92.9,3.8,289.85,0,1.1,0,37.25,0,29.325,19.45,2,2.1,0,0,665.9333333,6.1,2.2,0,306.05,0,26.73333333,0,0,0,5.1,0,0,0,14379.375,0,4.25,19,0,291.0666667,2.2,0,3.033333333,89.775,1.1,0,49.35,0,5.3,0,0
2017,28.99666667,11.81166667,173,52.94121,4.90553,0,4.2,0.8,0,211,36.9,1.1,0,0,1.1,2.1,8.9,115.9666667,2.75,42.525,42.1,0,27.2,0,0,0,33.6,23.425,4.2,2.65,8.45,1.1,0,31.45,0,115.45,2.2,272.8,0,0,0,7.875,0,11.825,0,4.2,0,0,0,122.2333333,0,0,0,36.5,1.1,1.1,0,2.1,0,5.825,0,0,1.1,135.8,0,4.75,17.25,0,90.3,0,0,5.2,188.95,1.9,0,43.2,1.1,0,0,0
2018,29.34166667,11.88,171,52.94121,4.90553,0,13.36666667,1.3,0,142.225,21,0,1.6,7.7,0,0,9.45,96.56666667,27.03333333,24.175,0,0,4.975,0,0,0,257.8333333,128.65,14.5,0,2.2,0,0,1,0,97.2,0,409.175,0,0,0,79.15,0,18.65,0,3.15,0,0,0,59,0,1,0,168.725,0,262.2,0,0,0,2.566666667,0,1,0,73255.6,0,4.95,0,1.1,359.7,0,0,7.45,152.65,1.65,0,30.85,0,0,0,0
