year,salinity,temperature,grain.size,lat,long,Abra alba,Alitta succinea,Alitta virens,Amphiporus bioculatus,Aphelochaeta marioni,Arenicola marina,Austrominius modestus,Balanus crenatus,Bathyporeia sarsi,Bylgides sarsi,Capitella capitata,Carcinus maenas,Cerastoderma edule,Corophium arenarium,Corophium volutator,Crangon crangon,Cumopsis goodsiri,Ensis leei,Eteone longa,Gammarus locusta,Glycera tridactyla,Hediste diversicolor,Heteromastus filiformis,Lanice conchilega,Limecola balthica,Macomangulus tenuis,Malmgrenia darbouxi,Marenzelleria viridis,Melita palmata,Metridium senile,Mya arenaria,Mytilus edulis,Nephtys hombergii,Peringia ulvae,Phyllodoce mucosa,Polydora cornuta,Pygospio elegans,Scolelepis foliosa,Scoloplos armiger,Scrobicularia plana,Spio martinensis,Spiophanes bombyx,Urothoe poseidonis
2005,28.11416667,11.71333333,185.9,52.95618,4.91628,0,15.6,1.6,0,186.7,24.95,0,0,0,4.4,0,5.75,55.35,0,2.2,13.3,0,6.6,27.65,0,0,22.3,372.95,92.1,8.9,0,4.4,42.65,0,0,88.4,0,13.9,6380,30.5,19.4,0,0,113.2,0,2.1,0,1.1
2006,28.7025,11.765,177.2,52.95618,4.91628,0,13.7,2.1,0,190.05,17.65,0,0,0,6.7,0,2.2,52.2,4.85,0,8.75,0,3.1,22.85,0,0,29.5,617.7,22.1,10.8,0,1.1,39.5,0,0,24.15,1.1,8.6,18317.85,54.7,4.4,0,0,182.1,0,22.2,0,0
2007,27.54703823,12.24416667,184,52.95618,4.91628,0,1.1,0,0,15.35,11.8,0,0,0,2.2,1.1,2.75,7.05,4.4,0,13.8,0,12.2,17.1,0,0,53.5,136.55,22.2,8.1,0,0,852.8,0,0,15,0,13.7,0,21.05,2.2,2.1,0,183.2,0,2.2,0,1.1
2008,29.04916667,11.47083333,186.2,52.95618,4.91628,0,1.1,1.1,0,3.25,10.9,0,0,0,2.2,51.6,14.4,22.35,26.35,0,46.7,0,56.7,48.5,0,0,186.4,61.5,12.7,15.35,0.5,0,736.6,0,0,35.05,0,10.05,12400,39.45,197.8,0,0,435.8,0,26.7,0,0
2009,29.17363163,11.50166667,184.5,52.95618,4.91628,0,84.4,2.2,0,355.85,18.35,0,0,0,0,46.05,14.25,46.25,24.2,0,28.9,0,14.6,124.65,4.4,0,156.9,61.3,24.4,27.45,0,0,138,0,0,11.15,6.5,11.3,18096.8,38.6,27.2,5245.9,0,652.2,0,0,0,0
2010,27.63682535,10.63166667,180.4,52.95618,4.91628,0,6.05,0,0,175.75,18.35,0,0,0,11.1,52.85,35.6,161.8,4.4,0,16.7,0,8.9,89.65,0,0,245.2,194.3,102.2,21.05,0,0,45.25,0,0,7.2,9.45,4.95,47122.55,91.65,15.6,1874.55,0,147.6,0,4.4,0,0
2012,26.61833333,11.17833333,189.4,52.95618,4.91628,0,3.25,0,0,345.3,17.6,0,28.9,0,0,7.15,13.3,575.55,34.55,0,18.85,0,4.4,43.1,51.1,0,125.45,214.7,4.4,76.65,0,0,13.05,0,0,924.15,19.3,7.7,18813.45,48.35,2.2,274.85,0,317.55,1.1,0,0,0
2015,28.03454545,11.61166667,192.9,52.95618,4.91628,0,1.1,0,0,669.9,52.75,0,0,0,13.3,102.65,6.1,82.9,1.1,0,4.4,0,11.1,52.9,0,0,88.95,155.15,4.4,29.05,0,0,382.7,0,0,13.35,0,2.2,81.65,7.4,2.2,271.9,0,231.6,1.1,0,0,0
2017,28.99666667,11.81166667,189.1,52.95618,4.91628,0,0,0,0,396.8,52.25,0,0,0,6.7,176.3,1.1,13.95,3.2,0,6.25,0,2.2,23.9,1.1,0,57.1,183.9,37.8,3.2,0,0,86.4,0,0,7.95,0,2.3,0,7.45,0,82.3,0,266.2,0,7.45,1.1,0
2018,29.34166667,11.88,186.4,52.95618,4.91628,0,1.1,1.1,0,207.9,54.8,0,0,0,8.9,99.2,7.75,6.35,0,0,1.1,0,43.3,324.55,2.2,0,60.95,338.75,2.2,12.95,1.1,0,75.25,0,0,3.2,0,0,3702.2,9.65,0,124.85,0,302.95,0,0,0,0
2019,29.2075,12.00166667,187.4,52.95618,4.91628,0,0,0,0,247.65,38.15,2.2,4.4,2.2,2.2,70.75,2.15,1.1,0,0,9.3,0,7.2,72.2,1.1,0,162.3,709.75,3.2,8.25,0,0,9.25,0,0,2.45,2.1,0.8,3.25,15.75,0,105,0,292.7,1.1,11.1,0,0
