year,salinity,temperature,grain.size,lat,long,Abra tenuis,Alitta succinea,Alitta virens,Aphelochaeta marioni,Arenicola marina,Capitella capitata,Carcinus maenas,Cerastoderma edule,Cerastoderma glaucum,Corophium volutator,Crangon crangon,Ensis leei,Eteone longa,Gammarus locusta,Gammarus oceanicus,Hediste diversicolor,Heteromastus filiformis,Limecola balthica,Littorina littorea,Marenzelleria viridis,Mya arenaria,Mysta picta,Mytilus edulis,Neomysis integer,Nephtys hombergii,Peringia ulvae,Petricolaria pholadiformis,Phyllodoce mucosa,Polydora cornuta,Praunus flexuosus,Pygospio elegans,Retusa obtusa,Scoloplos armiger,Scrobicularia plana,Streblospio benedicti,Tetrastemma melanocephalum,Urothoe poseidonis
2005,28.11416667,11.71333333,98.6,52.89688,4.86301,420.3,1.65,0,0,4.25,0,17.8,5,0,1792.7,13.3,0,22.95,2.2,0,194.4,188.85,126.3,0,8.1,28.65,0,0,0,1.6,4087.4,0,0,7.65,0,0,42.6,0,22.9,0,2.2,0
2006,28.7025,11.765,99.7,52.89688,4.86301,204.65,10.7,0,15.35,3.1,0,15,2.2,0,2613.75,6.7,0,24.5,5,0,354.5,239.95,75.85,0,4.85,7.6,0,0,0,0,1657.4,0,0,20,0,0,15.6,0,17.25,0,4.4,0
2007,27.54703823,12.24416667,99.5,52.89688,4.86301,1318,9.15,0,4.4,0.6,0,5,4.4,0,4022.45,1.65,0,6.1,0,0,412.65,33.95,123.2,0,6.05,16.6,0,0,0,0,899.15,0,0,79.9,0,0,37.7,0,20.45,0,0,0
2008,29.04916667,11.47083333,98,52.89688,4.86301,558.85,57.9,2.2,4.2,2.1,0,5,0,0,4534.5,2.2,0,23.15,2.2,0,169.4,8.2,60.6,0,50.2,16.3,0,0,0,0,1284.8,0,0,8.1,0,0,6.6,0,3.45,0,0,0
2009,29.17363163,11.50166667,102.1,52.89688,4.86301,882.7,30.2,0,22.2,2.2,0,15.6,0,0,3452.35,11.1,0,26.95,0,0,176.35,3.75,33.05,0,57.85,1.65,0,0,0,0,2012.2,0,0,10.5,0,22.2,13.3,1.1,6.75,0,0,0
2011,28.7375,11.44,100,52.89688,4.86301,370.7,22.75,0,0,0,0,60,22.2,0,3883.35,86.7,0,38.15,0,0,289.2,5.3,83.35,0,24.8,10.95,0,0,0,0,7499,0,0,11.1,0,60.55,25.45,0,3.2,0,6.7,0
2012,26.61833333,11.17833333,102.6,52.89688,4.86301,347.15,1.6,0,0,0.7,0,6.7,0,0,2725,22.2,0,24.25,4.4,0,123.5,2.15,120.3,1.1,2.7,8.2,0,0,0,0,7814.65,0,0,6.7,0,138,24.85,0,5.5,0,0,0
2015,28.03454545,11.61166667,104.9,52.89688,4.86301,2403.5,18.4,0,44.4,12.75,5.3,4.4,22.65,0,336.8,4.4,2.2,21.4,0,0,336.8,4.85,113.15,0,75.2,3,0,0,0,0,2602.2,1.1,0,12.95,0,118.7,219.45,0,2.1,0,0,0
2017,28.99666667,11.81166667,97.1,52.89688,4.86301,702.05,35,0,77.2,4.55,8.4,6.7,13.5,0,3580.1,0,0,27.65,1.1,0,281.5,20.7,75.25,0,68.1,3.2,3.2,0,0,0,2299.55,0,2.2,12.8,0,63.7,32.7,0,2.1,22.2,4.4,2.2
2018,29.34166667,11.88,96.4,52.89688,4.86301,1090.2,20.3,0,15.8,1.9,0,20,6.95,0,3361,2.2,2.2,33.15,2.2,0,221.15,14.75,65.45,0,137.25,7.55,0,0,0,0,3892.85,0,0,2.2,0,203.2,6.5,0,2.15,5.3,1.65,0
2019,29.2075,12.00166667,101.3,52.89688,4.86301,1224.2,11.75,0,0,6.3,0,13.9,3.8,0,2115.05,15.6,0,32.8,0,0,72.45,11.9,92.1,0,19.4,4.3,0,2.2,0,0,6552.15,0,0,0,0,374.55,1.1,0,1.1,0,2.2,0
