year,salinity,temperature,grain.size,lat,long,Abra tenuis,Alitta succinea,Alitta virens,Aphelochaeta marioni,Arenicola marina,Balanus crenatus,Bodotria scorpioides,Bylgides sarsi,Capitella capitata,Carcinus maenas,Cerastoderma edule,Cerastoderma glaucum,Corophium volutator,Crangon crangon,Ensis leei,Eteone longa,Gammarus locusta,Hediste diversicolor,Heteromastus filiformis,Kurtiella bidentata,Limecola balthica,Littorina littorea,Marenzelleria viridis,Mulinia lareralis,Mya arenaria,Mysta picta,Mytilus edulis,Neomysis integer,Nephtys hombergii,Peringia ulvae,Petricolaria pholadiformis,Phyllodoce mucosa,Polydora cornuta,Praunus flexuosus,Pygospio elegans,Retusa obtusa,Scoloplos armiger,Scrobicularia plana,Streblospio benedicti,Tetrastemma melanocephalum
2005,28.11416667,11.71333333,119.4,52.90413,4.84298,224.3,4.4,0,1722.2,13,2.2,0,0,0,1.65,43.15,0,35.9,13.3,0,46.85,33.3,110.5,703.7,0,118.6,0,123.8,0,124.9,0,2.2,0,2.2,13059.05,0,0,1.1,0,0,32.55,0,6.05,0,2.2
2006,28.7025,11.765,118.3,52.90413,4.84298,130.2,9.45,4.4,394.75,8.1,4.4,0,0,0,6.7,10.55,0,121.1,4.4,6.7,28,0,461.65,920.8,0,60.2,0,149.7,0,74.45,0,0,0,2.2,5498.25,0,1.1,233.3,0,0,7.7,0,14.1,0,0
2007,27.54703823,12.24416667,116.9,52.90413,4.84298,985.15,44.15,0,520.2,4.5,0,0,0,0,22.2,31.6,0,1462.7,6.7,0,30.05,8.9,317.35,209.15,0,104.3,0,444.3,0,109.25,0,0,0,1.1,5786.55,0,6.7,245.2,0,0,89.75,0,10,0,6.7
2008,29.04916667,11.47083333,119.2,52.90413,4.84298,590.55,156,2.2,133.6,3.6,0,0,0,0,24.4,14.65,0,6362.6,13.9,0,17.4,0,95.45,95.05,0,73.35,0,262.65,0,70.35,0,0,0,0,5566.1,0,0,67.6,0,0,27.2,0,4.2,0,1.1
2009,29.17363163,11.50166667,121.5,52.90413,4.84298,164.3,150.95,0,199.7,22.2,0,0,0,0,17.8,4.3,0,4938.35,13.3,0,14.8,4.4,76.6,63.35,0,40.45,0,237.65,0,14.7,0,0,0,0,4722.85,0,0,32.85,0,100,11.65,0,2.15,0,0
2010,27.63682535,10.63166667,122.4,52.90413,4.84298,131.85,178.2,0,35.05,5.65,0,2.2,0,0,1.1,8.9,1.1,2089.2,6.7,0,13.45,2.2,112.55,61.8,0,33.05,0,81.9,0,13.6,0,0,0,0,16155.55,0,0,15.8,0,0,26.4,0,2.7,0,0
2012,26.61833333,11.17833333,121.3,52.90413,4.84298,209.7,34.4,0,16.1,2.2,0,0,1.1,0,11.1,28.65,0,3121.35,31.1,0,30.8,6.7,47.45,34,0,132.2,0,18.15,0,31.25,0,0,0,0,21238.9,0,2.2,0,0,107.9,42,0,2.75,0,0
2015,28.03454545,11.61166667,121.4,52.90413,4.84298,715.5,30.85,0,26.35,18.5,0,0,11.1,0,4.4,45.45,0,237.25,2.2,2.2,12.8,0,350.85,25.3,0,112.05,0,240.05,0,8.2,0,0,0,4.4,4218.7,0,0,12.4,0,7.45,102.85,0,1.1,0,0
2017,28.99666667,11.81166667,111.9,52.90413,4.84298,214.75,44.75,1.1,497.95,7.1,0,0,0,2.1,17.8,12.4,0,5586.2,6.7,0,24.95,0,237.1,58.35,0,86.6,0,298,0,9.25,5.45,0,0,0,3385.75,1.1,2.2,15.3,0,99.7,14.95,0,3.2,22.2,4.2
2018,29.34166667,11.88,113.5,52.90413,4.84298,1449,53.45,0,76.6,9.75,0,0,0,5.3,22.2,6.95,0,5228.1,17.8,2.2,62.8,2.2,308.15,56.3,0,48.9,1.1,283.05,0,27,0,0,0,0,5085.25,0,1.1,21.35,0,192.95,4.4,0,2.15,5.3,4.3
2019,29.2075,12.00166667,115.2,52.90413,4.84298,613.4,22,0,82.95,14.2,0,0,0,15.8,4.4,5.85,0,4883.5,0,1.55,50.5,0,170.2,43.6,0,107.4,0,39.45,1.1,9.85,0,0,0,0.4,7349.7,0,3.9,7.65,0,269.3,6.5,1.1,2.2,0,8.9
