year,salinity,temperature,grain.size,lat,long,Abra tenuis,Alitta succinea,Alitta virens,Aphelochaeta marioni,Arenicola marina,Austrominius modestus,Balanus crenatus,Bathyporeia sarsi,Bylgides sarsi,Capitella capitata,Carcinus maenas,Cerastoderma edule,Corophium arenarium,Corophium volutator,Crangon crangon,Cumopsis goodsiri,Ensis leei,Eteone longa,Gammarus locusta,Hediste diversicolor,Heteromastus filiformis,Kurtiella bidentata,Lanice conchilega,Limecola balthica,Littorina littorea,Marenzelleria viridis,Mulinia lareralis,Mya arenaria,Mysta picta,Mytilus edulis,Neomysis integer,Nephtys hombergii,Peringia ulvae,Phyllodoce mucosa,Polydora cornuta,Praunus flexuosus,Pygospio elegans,Retusa obtusa,Scoloplos armiger,Scrobicularia plana,Semibalanus balanoides,Spio martinensis,Streblospio benedicti,Tetrastemma melanocephalum
2005,28.11416667,11.71333333,142.4,52.91113,4.84957,2.1,6.7,0,1422.2,21.65,0,0,0,2.2,0,2.75,9.7,15.85,255.25,17.8,0,0,218.65,15.6,91.3,1416.25,1.1,0,97.4,0,699.4,0,692.3,1.1,0,0,1.1,11,1.1,0,0,0,0,2.2,3.85,0,0,0,4.4
2006,28.7025,11.765,138.4,52.91113,4.84957,6.7,0,0,1581,28.4,0,11.1,0,13.3,1.1,2.7,1.1,15,142.1,15,0,5.6,87.05,0,210.95,2013.45,0,0,32.95,0,519.8,0,56.25,0,0,0,0,50.1,0,33.3,0,0,0,1.1,1.1,0,0,0,4.2
2007,27.54703823,12.24416667,140.8,52.91113,4.84957,8.4,4.85,1.1,255.25,29.95,5.3,1.1,0,2.2,2.2,1.1,3.25,3.25,780,2.05,0,0,56.1,0,179.15,376.55,0,0,42.65,0,1340.25,0,34,0,1.1,5.35,2.15,3.25,0,12.65,0,0,0,2.2,1.6,2.1,0,0,2.2
2008,29.04916667,11.47083333,143,52.91113,4.84957,3.2,4.95,0,779.8,26.3,0,0,0,0,1.1,4.4,4.15,19.4,1519.95,10.55,0,0,66.85,0,154.4,118.5,0,0,51.1,0,943.8,0,14.65,0,0,0,0,8.4,0,55.6,0,0,0,0,0,0,0,0,0
2009,29.17363163,11.50166667,143.1,52.91113,4.84957,0,7.65,0,737.15,18.25,0,0,0,6.7,26.35,11.6,3.2,14.25,2337.9,20.2,0,0,71.1,0,133.45,74.45,0,0,41.4,0,353.9,0,11.55,0,0,0,0,1.1,0,20,0,131.6,15.6,3.25,2.2,0,2.2,0,4.4
2010,27.63682535,10.63166667,142.7,52.91113,4.84957,0,3.7,0,782.15,26.4,0,0,0,8.9,11.65,4.4,2.2,27.4,956.4,8.9,0,0,52.3,2.2,176.05,62.85,0,0,27.65,0,204.1,0,11.85,0,1.1,4.4,0,3.2,0,0,0,46.8,0,0,3.7,0,0,0,6.7
2012,26.61833333,11.17833333,143.9,52.91113,4.84957,1.1,1.6,2.2,432.45,26.65,0,0,1.1,20,17.2,2.75,0,12.7,2129.25,37.7,0,2.2,132.2,0,58.2,44.3,0,0,78.1,0,48.25,0,7.3,0,0,2.2,0,9,1.1,0,0,91.25,0,7.15,2.7,0,0,0,2.1
2015,28.03454545,11.61166667,148.3,52.91113,4.84957,6.7,6.95,0,786.25,26.1,0,0,0,4.4,104.7,1.65,0,4.2,34.8,15.6,0,3.25,27.45,4.4,252.85,139.75,0,8.9,96.4,0,408.1,0,1.1,0,0,0,2.2,3.2,0,13.45,0,199.15,0,2.7,5.9,0,0,21.1,0
2017,28.99666667,11.81166667,140.2,52.91113,4.84957,0,0,0,974.15,33.15,0,0,0,2.2,21.15,2.1,0,7.4,382.15,11.6,0,2.2,62.6,0,261.5,281.55,1.65,0,59.9,0,195.6,0,2.2,0,0,0,1.1,3.2,0.85,1.1,0,321.15,0,4.8,7.8,0,0,57.9,7.4
2018,29.34166667,11.88,137.8,52.91113,4.84957,5.5,0,0,206.4,26.35,0,0,0,2.2,5.3,2.2,1.1,2.1,550.55,7.7,0,45.6,194.25,0,149.45,331.5,0,0,42.35,0,66.8,0,5,0,0,0,0,1.1,2.1,5.3,2.2,68.4,0,3.2,6.55,0,0,0,2.2
2019,29.2075,12.00166667,141.1,52.91113,4.84957,4.2,1.1,0,643.15,24.45,0,0,0,0,11.65,1.1,0,4.4,1559.65,9.8,0,4.4,33.4,0,111.35,370.75,2.2,0,35.55,0,25,1.1,3.8,0,0,0,0.85,0,1.1,0,2.2,88.15,0,7.15,7.45,0,0,0,3.25
