year,salinity,temperature,grain.size,lat,long,Abra tenuis,Alitta succinea,Alitta virens,Aphelochaeta marioni,Arenicola marina,Asterias rubens,Austrominius modestus,Balanus crenatus,Bathyporeia sarsi,Bodotria scorpioides,Bylgides sarsi,Capitella capitata,Carcinus maenas,Cerastoderma edule,Corophium arenarium,Corophium volutator,Crangon crangon,Crepidula fornicata,Cumopsis goodsiri,Echinogammarus obtusatus,Emplectonema gracilis,Ensis leei,Eteone longa,Eumida sanguinea,Eunereis longissima,Fabulina fabula,Gammarus locusta,Glycera tridactyla,Hediste diversicolor,Hemigrapsus takanoi,Heteromastus filiformis,Idotea pelagica,Jaera albifrons,Kurtiella bidentata,Lanice conchilega,Lepidochitona cinerea,Leucothoe lilljeborgi,Limecola balthica,Littorina littorea,Magallana gigas,Magelona johnstoni,Magelona mirabilis,Malmgrenia darbouxi,Marenzelleria viridis,Melita palmata,Metridium senile,Monocorophium acherusicum,Mya arenaria,Mysta picta,Mytilus edulis,Nephtys caeca,Nephtys hombergii,Peringia ulvae,Phyllodoce maculata,Phyllodoce mucosa,Polydora ciliata,Polydora cornuta,Praunus flexuosus,Pygospio elegans,Sagartia troglodytes,Scolelepis foliosa,Scoloplos armiger,Scrobicularia plana,Semibalanus balanoides,Spio martinensis,Spiophanes bombyx,Streblospio benedicti,Tetrastemma melanocephalum,Urothoe poseidonis
2005,28.11416667,11.71333333,157.1,52.94276,4.80909,2.5,55.65,1.2,1518.5,82,0,10.5,0,0,0,12.3,0,15.35,180.4,12.3,0,12.85,0,0,0,0,4.3,44.2,14.7,10.1,2.5,7.3,0,179.35,0,865.3,0,0,9.9,516.5,2.5,0,78.15,5.35,7.85,0,0,14,62.9,12.3,0,0,108.3,0,7.4,0,15.5,19.8,0,96.95,0,19.8,0,0,4.9,0,116,4.85,0,0,0,0,0,103.1
2006,28.7025,11.765,152.2,52.94276,4.80909,0,33,0,574.4,85.9,0,45.6,0,0,0,14.2,0,11.9,250.4,2.3,0,5.55,0,0,0,0,2.5,31.4,12.9,1.2,0,15.2,0,150.6,1.2,841.45,0,0,2.3,243.5,1.2,0,64,20.45,8.25,0,0,8.2,4.2,0,1.2,0,23.1,0,24.6,0,14.35,7.7,0,50.35,0,9.9,0,0,0,0,96.75,1.2,0,0,0,0,0,27.65
2007,27.54703823,12.24416667,155.2,52.94276,4.80909,0,5.8,1.2,55.85,70.5,0,248.85,22,0,0,5.95,0,7.7,120.95,1.85,0,14.1,1.2,1.2,0,0,1.2,4.15,1.2,2.5,0,22.2,0,272.55,3.6,88.55,0,0,2.3,67.15,0,0,48.3,30.65,27.1,0,0,8.2,4.3,3.6,2.5,2.5,11.7,0,5.35,0,12.45,8.2,0,11,0,0,0,0,0,0,86.95,3.6,2.3,0,0,0,0,83.85
2008,29.04916667,11.47083333,156.7,52.94276,4.80909,0,14.35,13.6,511.35,53.65,0,201.8,19.45,5.8,0,1.2,74.35,17.8,98.95,5.35,2.5,15.6,0,0,0,0,2.5,8.55,0,3.05,0,0,1.2,290.15,1.85,101.8,0,0,3,148.8,0,1.2,42.65,7.7,10.65,0,0,1.2,9.25,0,1.2,0,97.2,0,5.95,0.6,13.9,8037,0,4.7,0,294.95,0,0,0,0,97.95,1.2,11,15.25,2.5,0,0,132.1
2009,29.17363163,11.50166667,156.6,52.94276,4.80909,0,13.55,0,1891.2,78.15,0,134.45,13.35,0,0,14.8,118.4,6.9,67.45,3.6,3.5,1.85,0,0,0,0,2.5,144.95,0,1.2,0,59.75,0,196.4,1.85,68.65,0,0,1.2,56.05,0,0,20.75,37.25,10,0,0,0,6.05,0,6.75,0,19.6,0,197.4,0,7.2,7118.9,0,26.85,0,94.85,0,151.1,0,0,176.05,1.85,61.25,0,0,0,0,72.25
2010,27.63682535,10.63166667,157.9,52.94276,4.80909,0,12.6,2.5,1341.8,146.1,0,132.2,42.4,0,0,93.8,71.2,10.4,30.15,0,1.2,4.3,4.9,0,0,0,0,71.75,0,0,0,2.3,0,120.45,4.7,63.05,0,0,1.2,37,0,0,9.45,11.3,37.7,0,0,0,8.5,0,2.5,0,0.7,0,28.85,0,7.9,6618,0,21.1,0,2.4,0,18.2,0,0,178.35,7.6,76.5,0,0,0,0,136.4
2012,26.61833333,11.17833333,156.4,52.94276,4.80909,0,9.55,0,318.4,93.1,0,36.4,102.9,0,0,20.9,59.7,22.15,667.45,1.2,0,5.55,1.2,0,195.1,0,0,30.2,0,0,0,12.3,0,67.25,4.9,155.5,0,4.9,3.5,2.5,2.5,0,15.65,23.35,7.4,0,0,0,3.05,17.3,0,0,107.8,0,63.05,0,2.4,3963.8,0,13.85,0,2.3,0,62.9,4.9,0,360.45,4.3,0,0,0,0,0,236.15
2015,28.03454545,11.61166667,156.9,52.94276,4.80909,0,19.7,2.5,1658.15,68.05,0,41.85,18.9,0,0,19.8,234.5,19.65,62.2,0,1.2,9.9,0,0,1.2,0,0,69.2,0,17.3,0,1.85,1.85,125.2,2.4,140.7,0,11.7,2.4,237.8,2.4,0,44.5,11.7,3.6,0,0,4.85,54.9,7.4,1.2,0,2.4,0,24.7,0,7,3,0,7.4,0,2.4,0,228.05,1.2,0,238.2,1.75,4.9,5.8,12.3,0,0,367.25
2017,28.99666667,11.81166667,155.8,52.94276,4.80909,0,25.55,1.5,674.5,63.55,0,63.7,26.1,0,1.2,2.5,92.15,12.8,29.9,3.05,0,7.4,0,0,0,1.2,0,37.2,8.85,4.8,0,28.95,6.3,127,1.2,1046.45,0,1.2,9.65,318.2,0,0,40.8,12.65,3,2.3,2.5,3,4.2,15.2,1.2,0,0.9,3.5,81.1,0,3,1.2,0,50.25,0,118.45,1.2,33.45,0,0,162.65,11.7,0,0,2.5,2.3,0,376.15
2018,29.34166667,11.88,159.4,52.94276,4.80909,0,9.4,4,595.75,93.45,0,191.35,128.2,0,0,14.8,32.95,51.9,31.35,0,0,3.05,22.2,0,0,0,27.2,83.65,0,1.2,0,3.6,0,85.4,2.5,957.55,0,5.8,2.3,9.9,2.5,0,37.4,92.45,11.7,0,0,1.2,3.05,3.6,0,0,6.6,0,60.05,0,3,7871.6,0,18.2,9.9,1.2,0,52.3,1.2,0,85.05,6.05,0,0,0,0,2.5,352.5
2019,29.2075,12.00166667,156.7,52.94276,4.80909,0,7.3,0,767.5,83,0,102.05,14.8,0,0,0,106.85,5.55,33.6,0,0,7.95,0,2.3,0,0,2.25,46.95,0,2.5,0,3.5,3.7,101.15,0,1130,0,0,2.3,159.7,0,0,39.15,10.85,1.2,0,0,0,1.85,2.5,0,0,5.5,0,22.5,0,2.95,4752,0,7.3,0,0,0,61.4,2.5,0,145.55,9.65,0,0,0,0,0,583.35
