year,salinity,temperature,grain.size,lat,long,Abra tenuis,Alitta succinea,Alitta virens,Amphiporus bioculatus,Aphelochaeta marioni,Arenicola marina,Asterias rubens,Austrominius modestus,Balanus crenatus,Bathyporeia sarsi,Bodotria scorpioides,Bylgides sarsi,Capitella capitata,Carcinus maenas,Cerastoderma edule,Corophium arenarium,Corophium volutator,Crangon crangon,Crepidula fornicata,Cumopsis goodsiri,Echinogammarus obtusatus,Echiurus echiurus,Ensis leei,Eteone flava,Eteone longa,Eulalia viridis,Eumida sanguinea,Eunereis longissima,Fabulina fabula,Gammarus locusta,Glycera tridactyla,Harmothoe imbricata,Harmothoe impar,Hediste diversicolor,Hemigrapsus takanoi,Heteromastus filiformis,Hypereteone foliosa,Jaera albifrons,Kurtiella bidentata,Lanice conchilega,Lepidochitona cinerea,Limecola balthica,Littorina fabalis,Littorina littorea,Macomangulus tenuis,Magallana gigas,Malmgrenia darbouxi,Marenzelleria viridis,Melita palmata,Metridium senile,Molgula socialis,Monocorophium insidiosum,Mya arenaria,Mysta picta,Mytilus edulis,Nephtys caeca,Nephtys hombergii,Nephtys longosetosa,Peringia ulvae,Petricolaria pholadiformis,Pholoe balthica,Phyllodoce mucosa,Polydora ciliata,Polydora cornuta,Praunus flexuosus,Pygospio elegans,Sagartia troglodytes,Scolelepis foliosa,Scoloplos armiger,Scrobicularia plana,Semibalanus balanoides,Spio martinensis,Spiophanes bombyx,Streblospio benedicti,Tetrastemma melanocephalum,Urothoe poseidonis
2005,28.11416667,11.71333333,141,52.93543,4.82406,0,50.25,0.5,0,877.8,107.7666667,2.2,141.5,336.6,0,0,4.4,0,43.05,25.33333333,14.8,0,17.8,6.7,0,0,0,6.7,0,62.36666667,0,0,6.3,2.2,6.1,0,0,0,127,0,1042.5,0,0,2.65,162.1333333,4.4,41.76666667,0,71.8,0,16.95,5.35,31.06666667,4.4,22.2,0,0,42.23333333,1.1,35.5,0,6.6,0,12.7,2.2,0,12.26666667,0,20,0,0,2.2,0,105.5333333,1.1,4.2,0,0,0,0,0
2006,28.7025,11.765,138.3,52.93543,4.82406,0,33.25,5.25,0,592.9666667,89.1,0,185.6,64.5,0,0,31.1,0,9.3,18.33333333,49.4,2.1,14.85,0,0,0,0,0,0,49.36666667,0,0,0,0,5.85,0,0,0,108.8333333,0,937.8,0,1.1,1.1,24.5,1.1,24.23333333,0,27.1,0,20.55,5.85,20.53333333,0,3.75,0,0,19.93333333,0,41.8,0,4.6,0,96.5,0,0,27.4,0,0,2.2,0,6.7,0,147.4666667,0.5,11.1,0,1.1,0,0,0
2007,27.54703823,12.24416667,138,52.93543,4.82406,3.2,47.45,1.1,0,313.3333333,51.06666667,0,505.05,123.7,0,0,4.2,22.2,5.8,18.63333333,12.7,0,4.4,2.2,0,0,0,0,0,22.6,0,0,0,2.2,4.95,0,0,0,198.0666667,4.4,183.0666667,0,1.1,1.65,4.25,3.25,19.43333333,0,45.9,0,18.1,2.1,102.4,0,9.3,0,0,15.1,0,43.35,0,9.733333333,0,18,0,0,38.35,0,80.55,0,0,17.8,0,180.5333333,2.15,22.2,3.8,2.2,2.2,0,0
2008,29.04916667,11.47083333,139.2,52.93543,4.82406,2.1,27.4,2.65,0,818.4666667,46.73333333,0,346.05,187.2,0,0,5,24.73333333,17.53333333,13.66666667,37,8.15,3.666666667,1.1,3.2,0,0,11.1,0,14.7,0,0,2.2,0,2.75,0,0,0,164.7,1.1,61.23333333,0,2.1,3.2,8.15,0,27.56666667,0,17.55,0,13.7,0,73.33333333,1.1,7.05,0,0,167.3333333,6.3,22.2,0,4.1,0,1492.1,0,0,9.55,0,145.7,0,209.9,15.25,0,128.0333333,2.1,1.1,2.1,2.1,12.3,0,0
2009,29.17363163,11.50166667,144.5,52.93543,4.82406,2.1,15.46666667,1.6,0,1465.166667,47.26666667,0,37.85,163.2,0,0,6.7,41.2,7.833333333,13.46666667,16.9,0,2.4,0,0,2.1,0,8.9,0,69.73333333,0,1.1,0,0,3.2,0,0,0,87.06666667,0,83.26666667,0,2.1,0,16.1,0,21,0,5.85,0,2.1,0,86.76666667,6.7,23.65,0,0,18.06666667,0,32.6,0,3.733333333,0,4329.233333,0,0,4.2,1.1,41.65,0,210.5333333,0,0,114.2666667,2.166666667,1.1,0,2.2,0,0,0
2010,27.63682535,10.63166667,144.4,52.93543,4.82406,2.1,36.35,2.1,0,548.6,51.1,0,36.3,868.7,1.1,0,17.8,31.86666667,23.66666667,12.16666667,1.1,26.8,17.7,6.7,0,42.2,0,0,0,86.03333333,0,0,0,0,46.1,0,0,0,71.9,8.9,47.66666667,0,2.1,0,4.4,0,12.5,0,21.46666667,0,13.7,0,14,18.35,12.6,2.2,0,3.933333333,0,58.45,0,3.2,0,2730.7,0,0,3.2,0,3.9,2.2,111.1,0,0,217.5666667,6.3,24.4,0,0,0,0,0
2012,26.61833333,11.17833333,140.9,52.93543,4.82406,1.1,37.2,1.6,0,339.5,46.2,0,132,174,1.1,0,8.5,96.16666667,13.75,134.3666667,14.3,4.633333333,20,4.2,0,17.2,0,1.1,0,23.03333333,0,0,0,0,1.65,0,2.2,0,38.43333333,0,90.86666667,0,3.9,0,2.2,2.1,19.16666667,0,16.53333333,0,4.25,0,17.25,1.65,33.2,0,0,361.9,1.1,73.4,1.1,3.066666667,0,4429.033333,0,0,18.9,63.2,12.55,0,117.75,16.05,0,361.5,3.233333333,56.8,0,0,0,1.1,0
2015,28.03454545,11.61166667,143.2,52.93543,4.82406,14.8,5.1,1.1,0,945.6333333,41.1,0,62.45,60.3,0,0,9.45,142.9666667,9.533333333,36.53333333,2.1,0,7.7,0,0,15.3,0,0,0,31.83333333,0,0,0,0,13.05,0,0,0,215.1,3.2,187.7333333,0,6.9,5.3,34.13333333,0,83.3,0,12.2,1.1,4.2,1.1,76.06666667,6.5,4.25,0,1.1,6.366666667,2.1,32.55,0,4.266666667,0,270.4333333,0,0,3.2,0,17.13333333,0,248.8,8.7,0,238.6333333,4.3,0,1.1,0,24.7,0,0
2017,28.99666667,11.81166667,138.8,52.93543,4.82406,33.9,8.3,1.3,0,906.7,46.03333333,0,45.75,211,0,1.1,2.75,125.5333333,19.7,58.6,11.65,0,2.75,4.4,0,0,0,0,1.1,37.13333333,0,0,1.1,1.1,30.55,1.1,0,0,107.9666667,0,309.4333333,0,2.1,1.65,19.16666667,0,60.46666667,2.2,10.3,0,0,0,17.26666667,6.1,18.85,0,0,3.6,74.1,18.6,0,2.05,0.5,1421.95,0,0,11.05,0,12.5,4.4,30.25,2.2,1.3,243.6333333,4.366666667,0,0,0,37,0,1.65
2018,29.34166667,11.88,136.6,52.93543,4.82406,10.6,21.4,0,0,230.1,50.4,0,497.6,138.45,0,0,24.4,48.76666667,14.86666667,25.2,24.7,0,3.2,7.2,0,4.2,0,41.1,0,101.9666667,0,0,0,0,1.65,0,0,0,69.16666667,6.35,676.6,0,2.1,0,5.5,1.1,28.7,0,18.1,0,1.1,1.1,8.366666667,3.2,3.2,0,0,26.66666667,0,20.7,0,3.3,0,140.1,0,1.1,3.2,0,8.45,0,49.9,33.3,1.1,127.5666667,7.9,2.2,0,0,8.8,0,0
2019,29.2075,12.00166667,139.1,52.93543,4.82406,6.3,14.85,0,0,485.7666667,47.46666667,0,387.85,65.5,0,0,1.6,139.45,10.4,32.56666667,49.4,0,6,4.3,0,0,0,1.8,0,89.93333333,0,0,0,0,8.033333333,1.1,0,0,41.03333333,6.35,1086.1,1.1,0,2.533333333,1.65,0,34.46666667,1.1,48.75,0,4.2,0,3.75,2.15,7.05,0,0,9.466666667,3.2,44.2,0,1.266666667,0,2539.1,0,0,17.9,0,3.2,0,1090.7,3.25,0,91.36666667,5.133333333,0,11.1,0,11.1,0,2.15
