year,salinity,temperature,grain.size,lat,long,Abra tenuis,Alitta succinea,Alitta virens,Aphelochaeta marioni,Arenicola marina,Balanus crenatus,Bathyporeia sarsi,Bylgides sarsi,Capitella capitata,Carcinus maenas,Cerastoderma edule,Corophium arenarium,Corophium volutator,Crangon crangon,Ensis leei,Eteone longa,Gammarus locusta,Glycera tridactyla,Hediste diversicolor,Heteromastus filiformis,Jassa marmorata,Kurtiella bidentata,Lanice conchilega,Limecola balthica,Malmgrenia darbouxi,Marenzelleria viridis,Metridium senile,Mya arenaria,Mysta picta,Mytilus edulis,Neomysis integer,Nephtys hombergii,Peringia ulvae,Phyllodoce mucosa,Polydora cornuta,Praunus flexuosus,Pygospio elegans,Scoloplos armiger,Scrobicularia plana,Spio martinensis,Spisula subtruncata,Streblospio benedicti,Tetrastemma melanocephalum
2005,28.11416667,11.71333333,148.1,52.92177,4.85034,0,8.25,0.3,622.2,46.85,0,0,11.1,0,8.35,4.85,1.1,0,11.1,2.2,122.85,2.2,0,78.5,1122.8,0,2.2,25.15,23.05,1.1,274,0,19.85,0,0,0,5.1,72.05,8.9,6.7,2.2,0,27.15,2.15,1.1,1.1,0,0
2006,28.7025,11.765,146.1,52.92177,4.85034,0,2.1,0,616.65,56.1,0,0,24.4,0,1.1,2.75,5.3,0,8.9,0,87.7,0,0,65.3,1356.75,0,0,0,17.1,0,158.75,0,4.8,0,0,0,6.55,30.2,10.5,4.4,0,0,42.9,0,0,0,0,0
2007,27.54703823,12.24416667,146.4,52.92177,4.85034,0,1.1,0,168.9,36.8,0,0,3.8,22.2,2.2,2.75,0,0,2.2,0,50.55,0,0,94.65,281.55,0,2.2,28.9,12.85,0,654.85,0,2.5,0,0,2.2,17.3,0,22.2,0,0,0,30.55,1.1,1.1,0,0,0
2008,29.04916667,11.47083333,149.8,52.92177,4.85034,0,0,0,506.1,45.3,0,0,2.15,4.4,1.65,285.6,1.1,1.1,8.25,7.8,69.45,0,2.2,205.6,329.15,0,0,7.15,9.75,0,675.45,0,2909.25,4.4,11.1,0,7.65,13111.1,10.05,733.3,0,0,23.45,0.9,0,0,0,0
2009,29.17363163,11.50166667,151.6,52.92177,4.85034,0,0,0,882.15,39.45,0,0,13.3,68.4,2.2,120.45,0,0,17.8,0,162.45,55.6,0,86.5,186.65,0,2.2,2.2,25.1,0,64.4,0,36,0,0,2.2,2.2,6978.9,5.9,21.1,0,77.8,59.5,2.2,0,0,0,2.2
2010,27.63682535,10.63166667,150.6,52.92177,4.85034,0,0,0,810.25,34.65,0,0,15.6,39.9,6.7,42.45,0,2.1,1.65,0,56.65,33.3,0,94.65,118,0,0,8.9,16.65,0,40.05,0,8.4,0,1.1,0,0,27046.5,2.1,0,0,121.05,12.6,0,0,0,0,0
2012,26.61833333,11.17833333,153.2,52.92177,4.85034,0,1.1,0,152.05,41.6,2.2,0,15.6,69.95,3.25,324.8,1.1,0,9.45,0,123.7,8.9,0,49.25,260.25,0,0,0,38.25,0,39.75,2.2,72.75,0,1.1,2.2,1.1,5061.9,9.5,0,0,71.65,89.45,0,0,0,0,0
2015,28.03454545,11.61166667,153.7,52.92177,4.85034,1.1,8.1,0,418.85,29,0,0,4.4,171.9,2.75,46.05,0,1.1,0,0,91.65,2.2,4.4,188.35,202,0,1.1,62.2,36.5,0,151,0,8.6,2.2,0,2.2,1.65,0,1.1,3.2,0,83.75,53.8,1.1,0,0,0,0
2017,28.99666667,11.81166667,154.7,52.92177,4.85034,0,0,0,200.55,54.8,0,0,0,103.15,2.1,16.05,4.2,0,2.2,2.2,55,2.1,0,86.35,351.4,1.1,1.1,6.5,15.35,0,33.15,0,6,6.3,1.1,0,0,2.1,6.55,0,0,41.65,83.2,1.3,0,0,19,0
2018,29.34166667,11.88,149.8,52.92177,4.85034,0,0,0,207.05,46.8,0,0,15.6,33.2,0,13.15,2.1,0,7.2,96.7,198.7,0,0,61.65,786.6,0,0,0,36.15,0,11.9,0,30.85,0,0,0,1.1,86997.8,0,0,0,480.45,135.35,0,4.4,0,0,0
2019,29.2075,12.00166667,150.9,52.92177,4.85034,1.1,1.1,0,287.4,30.75,0,1.1,1.65,57.2,2.2,7.4,4.25,0,9.95,0,116.25,0,0,71.35,776.8,0,2.2,2.2,21,0,5.9,0,4.95,0,0,0,3.8,1180.8,15.6,0,0,270.75,275.9,4.4,0,0,0,0
