year,salinity,temperature,grain.size,lat,long,Abra tenuis,Alitta succinea,Alitta virens,Aphelochaeta marioni,Arenicola marina,Asterias rubens,Austrominius modestus,Balanus crenatus,Bathyporeia pilosa,Bathyporeia sarsi,Bodotria scorpioides,Bylgides sarsi,Capitella capitata,Carcinus maenas,Cerastoderma edule,Corophium arenarium,Corophium volutator,Crangon crangon,Crepidula fornicata,Cumopsis goodsiri,Ensis leei,Eteone longa,Eunereis longissima,Gammarus locusta,Glycera tridactyla,Hediste diversicolor,Heteromastus filiformis,Kurtiella bidentata,Lanice conchilega,Limecola balthica,Littorina littorea,Marenzelleria viridis,Mya arenaria,Mytilus edulis,Nephtys hombergii,Peringia ulvae,Petricolaria pholadiformis,Phyllodoce mucosa,Polydora cornuta,Pygospio elegans,Retusa obtusa,Scoloplos armiger,Scrobicularia plana,Spio martinensis,Streblospio benedicti,Tetrastemma melanocephalum
2005,28.11416667,11.71333333,152.6,52.92621,4.89223,0,6.55,0.5,344.4,7.25,0,0,0,0,0,0,2.2,0,6.6,5.35,15.6,0,26.7,0,0,20,271.65,0,0,0,8.7,1702.9,0,0,20.2,0,2402.35,1587.1,0,2,152.15,0,1.65,122.2,0,0,20.25,0,0,0,0
2006,28.7025,11.765,147.8,52.92621,4.89223,0,10.35,10,940.6,4,0,0,0,0,0,0,0,0,3.9,0,50.5,0,3.25,0,0,0,71.4,0,0,0,8.75,1839.2,0,0,25.3,0,1932.15,115.45,0,2.75,80.55,0,5.3,11.1,0,0,61.8,0,0,0,0
2007,27.54703823,12.24416667,150.5,52.92621,4.89223,0,19.9,6.05,119.55,4.55,0,0,11.1,0,0,0,0,2.2,1.1,4.3,0,0,1.1,0,0,2.2,26.3,0,0,0,30.25,733.4,0,0,24.55,0,2397.05,33.15,0,6.6,0,0,0,0,0,0,13.45,0,0,0,0
2008,29.04916667,11.47083333,153.9,52.92621,4.89223,0,3.25,40.6,63.75,5.5,0,0,0,0,0,0,0,6.1,6.7,93.25,0,994.3,11.1,0,0,31.1,43.9,2.2,0,0,56.85,106.55,0,0,24.15,0,3082,195.9,0,1.1,5323.8,0,0,1200,477.8,0,5.45,0,0,0,0
2009,29.17363163,11.50166667,149.7,52.92621,4.89223,0,3.9,22.1,695,10.8,0,0,0,0,0,0,0,74.25,6.6,68.15,0,35.2,10.55,0,0,23.3,180.25,0,2.2,0,17.25,178.85,0,0,23.75,0,993.1,27.2,1.1,2.1,6534.65,0,0,6.35,365.2,0,12.95,4.4,0,0,0
2010,27.63682535,10.63166667,152.2,52.92621,4.89223,0,12.15,2.2,1815.8,6.3,0,0,22.2,0,0,0,0,18.1,13.25,54.85,5.3,359.3,17.15,0,1.1,20,99.15,0,2.1,0,28.95,91.5,0,4.4,22.9,0,232.75,18.5,6.7,0,49612,1.1,2.2,224.4,346.8,0,8.5,1.35,0,0,0
2012,26.61833333,11.17833333,158.5,52.92621,4.89223,0,2.1,1.1,320.45,43.85,0,0,2.15,0,0,0,2.2,26.5,0,288.95,442.05,735.6,16.05,0,0,2.2,119.95,0,0,0,15.75,197.05,1.1,0,63.9,1.1,236.3,44.15,0,0,8029.8,0,2.1,8.9,423.75,1.1,71,0,0,11.1,0
2015,28.03454545,11.61166667,154,52.92621,4.89223,0,14.45,0,740.35,37.45,0,0,1.1,0,0,0,13.3,20.45,6.7,14.7,8.1,1.1,7.2,0,0,6.7,79.8,0,0,0,181.4,368.25,0,26.7,98.75,0,357.65,12,0,0,11.1,0,2.2,1.65,1443.9,0,123.15,1.6,0,11.1,0
2017,28.99666667,11.81166667,160.3,52.92621,4.89223,0,0,0,621.05,55,0,0,0,1.1,0,0,2.2,126.8,0,2.15,112.7,0,7.7,0,0,1.1,106.2,0,1.1,0,131.9,230.55,1.1,2.2,45.45,0,98.4,5.4,0,2.1,0,0,17.7,0,375.15,0,95.2,1.1,0,5.3,1.1
2018,29.34166667,11.88,156.1,52.92621,4.89223,0,2.1,0,277.45,57.05,0,2.1,17.9,0,0,0,13.3,68.65,0,12.75,1.1,0,4.4,3.2,0,293.3,462.55,0,0,0,108.6,800.6,0,0,41.15,0,94.55,19.15,2.1,0.5,7644.4,0,4.3,0,402.35,0,36.3,0,0,0,1.1
2019,29.2075,12.00166667,159.2,52.92621,4.89223,0,0,1.35,235.05,41.9,0,0,0,0,2.2,0,0,64.7,1.1,3.8,10.25,0,14.45,0,0,2.2,59.9,0,0,0,91.85,580.85,0,2.2,22.45,0,11.85,3.6,0,0.4,14.7,0,7.7,0,264.3,0,104.8,1.1,11.1,0,0
