year,salinity,temperature,grain.size,lat,long,Alitta succinea,Alitta virens,Aphelochaeta marioni,Arenicola marina,Bathyporeia sarsi,Bylgides sarsi,Capitella capitata,Carcinus maenas,Cerastoderma edule,Corophium arenarium,Corophium volutator,Crangon crangon,Crepidula fornicata,Cumopsis goodsiri,Ensis leei,Eteone longa,Eumida sanguinea,Eunereis longissima,Fabulina fabula,Gammarus locusta,Glycera tridactyla,Hediste diversicolor,Heteromastus filiformis,Kurtiella bidentata,Lanice conchilega,Limecola balthica,Macomangulus tenuis,Magelona johnstoni,Malmgrenia darbouxi,Marenzelleria viridis,Mya arenaria,Mysta picta,Mytilus edulis,Nephtys caeca,Nephtys hombergii,Peringia ulvae,Phyllodoce maculata,Phyllodoce mucosa,Polydora cornuta,Pygospio elegans,Scolelepis foliosa,Scoloplos armiger,Scrobicularia plana,Spio martinensis,Spiophanes bombyx,Urothoe poseidonis
2005,28.11416667,11.71333333,179.7,52.95,4.83982,9.5,2.1,0,49.5,2.1,0,0,2.1,15.8,2.1,0,2.1,0,0,0,12.6,6.3,1.1,0,0,0,147.4,154.7,7.4,468.4,13.1,0,0,10.5,0,7.1,0,0,0,28.4,15.8,0,48.4,0,0,0,140,1.1,0,0,381.1
2006,28.7025,11.765,175.7,52.95,4.83982,32.6,0,821.1,68.4,0,3.2,0,3.2,9.5,3.2,0,1.1,0,0,0,27.4,4.2,0,1.1,2.1,0,105.3,582.1,3.2,223.2,22.6,1.1,0,4.2,2.1,15.8,0,0,0,12.6,14.7,0,41.1,0,0,0,275.8,0,0,1.1,643.2
2007,27.54703823,12.24416667,181.1,52.95,4.83982,0,0,47.4,62.6,2.1,8.4,0,0,3.2,0,0,3.2,0,0,0,4.2,0,0,1.1,0,0,37.9,104.2,0,28.4,24.7,0,0,1.1,1.1,9.5,0,0,0,23.2,7.4,0,4.2,2.1,0,0,118.9,0,0,0,645.3
2008,29.04916667,11.47083333,180.5,52.95,4.83982,10.5,0,268.4,41.6,10.5,1.1,33.7,2.1,6.3,0,0,4.2,0,0,1.1,2.1,0,1.1,0,0,2.1,70.5,6.3,1.1,24.2,11.6,0,0,2.1,1.1,5.8,3.2,0,0,26.3,0,0,30.5,14.7,73.7,1.1,276.8,0,10.5,1.1,1364.2
2009,29.17363163,11.50166667,181,52.95,4.83982,3.2,1.1,1252.6,31.1,0,0,29.5,1.1,41.1,8.4,0,1.1,0,0,0,20,0,0,0,1.1,0,93.7,26.3,2.1,2.1,15.8,0,0,1.1,17.9,9.5,0,2.1,0,6.3,2128.4,0,23.2,0,357.9,0,283.2,0,0,1.1,748.4
2010,27.63682535,10.63166667,182.7,52.95,4.83982,2.1,0.3,378.9,35.3,0,0,86.3,0,23.2,1.1,0,0,0,0,0,89.5,0,0,0,0,0,87.4,35.8,0,0,10.5,1.1,0,0,5.3,1.1,0,2.1,0,2.1,15127.4,0,22.1,0,0,0,272.6,0,1.1,0,308.4
2012,26.61833333,11.17833333,183.1,52.95,4.83982,0,0,300,28.4,3.2,0,1.1,1.1,1166.3,1.1,0,1.1,0,0,0,28.4,0,0,0,0,0,103.2,172.6,1.1,0,11.6,0,0,0,2.1,101.1,0,0,0,4.2,16421.1,0,42.1,0,52.6,0,749.5,0,0,0,24.2
2015,28.03454545,11.61166667,187,52.95,4.83982,0,0,1247.4,35.8,0,0,63.2,1.1,12.6,1.1,1.1,0.4,0,0,0,18.9,0,0,0,0,3.2,321.1,352.6,1.1,11.6,36.8,0,0,0,15.8,1.1,0,0,0,4.7,3642.1,0,7.4,0,115.8,0,124.2,0,10.5,0,3.2
2017,28.99666667,11.81166667,183.4,52.95,4.83982,9.5,1.1,136.8,30,0,0,36.8,8.4,11.6,0,0,1.1,1.1,0,0,15.8,2.1,1.1,0,18.9,4.2,171.6,290.5,4.2,207.4,18.9,0,1.1,0,6.3,2.1,7.4,15.8,0,6.8,0,0,47.4,0,526.3,0,461.1,1.1,0,2.1,49.5
2018,29.34166667,11.88,184.4,52.95,4.83982,7.4,0,84.2,35.3,0,0,130.5,0,11.1,4.2,0,0,0,0,0,10.5,0,0,0,0,0,81.1,296.8,3.2,1.1,14.2,0,0,1.1,3.2,1.5,0,0,0,1.1,0,0,8.4,0,5.3,0,249.5,0,5.3,1.1,83.2
2019,29.2075,12.00166667,181.7,52.95,4.83982,0,0,57.9,108.9,0,0,78.9,2.1,39.5,1.1,0,5.3,0,3.2,10.5,46.3,0,0,0,0,0,47.4,689.5,0,5.3,23.2,0,0,0,2.1,6.3,0,0,0,1.6,27226.3,0,13.7,0,21.1,0,188.4,1.1,0,0,202.1
