year,salinity,temperature,grain.size,lat,long,Alitta succinea,Alitta virens,Amphiporus bioculatus,Aphelochaeta marioni,Arenicola marina,Austrominius modestus,Balanus crenatus,Bathyporeia sarsi,Bodotria scorpioides,Bylgides sarsi,Capitella capitata,Carcinus maenas,Cerastoderma edule,Corophium arenarium,Corophium volutator,Crangon crangon,Crepidula fornicata,Echinogammarus obtusatus,Ensis leei,Eteone longa,Eunereis longissima,Gammarus locusta,Glycera tridactyla,Hediste diversicolor,Hemigrapsus takanoi,Heteromastus filiformis,Jaera albifrons,Kurtiella bidentata,Lanice conchilega,Lepidochitona cinerea,Limecola balthica,Littorina littorea,Magallana gigas,Magelona johnstoni,Malmgrenia darbouxi,Marenzelleria viridis,Melita palmata,Metridium senile,Molgula socialis,Mya arenaria,Mysta picta,Mytilus edulis,Neomysis integer,Nephtys hombergii,Peringia ulvae,Petricolaria pholadiformis,Phyllodoce mucosa,Polydora ciliata,Polydora cornuta,Praunus flexuosus,Pygospio elegans,Scolelepis foliosa,Scoloplos armiger,Scrobicularia plana,Semibalanus balanoides,Spio martinensis,Streblospio benedicti
2005,28.11416667,11.71333333,175.3,52.94221,4.90129,51.55,0.5,0,255.6,10.6,6.55,18.5,0,0,0,0,35.7,119.4,8.25,0,20,0,0,23.3,52.45,0,8.9,0,57.6,0,1155.3,0,0,9.9,0,38.35,28.9,0,0,0,171.55,21.9,0,0,3884.75,0,115.85,0,16.9,2966.7,0,31.05,0,1711.1,0,0,0,115.75,0,0,0,0
2006,28.7025,11.765,168.3,52.94221,4.90129,53.5,3.9,0,537.15,12.8,161.25,148.95,0,0,3.9,0,13.65,61.15,13.7,0,1.1,2.2,0,0.9,23.8,0,0,0,43.35,0,2542.4,0,0,1.1,0,21.65,20.45,13.3,0,0,119.25,3.8,1.1,0,179.45,0,89.45,0,12,166.1,0,48.4,0,0,2.2,0,0,115.85,0,0,2.2,0
2007,27.54703823,12.24416667,173.8,52.94221,4.90129,12.6,10,0,81.9,13.15,327.8,13.4,4.2,0,3.2,0,17.85,11.2,0,13.3,4.4,0,0,5.6,22.05,26.7,3.2,0,106.4,3.9,727.7,0,0,71.1,2.2,26.65,22.55,16,0,0,899.8,26.3,0,0,40.1,0,34.3,0,12,0,0,62.2,0,24.4,0,5.3,0,29.25,2.2,5.45,1.1,0
2008,29.04916667,11.47083333,177.9,52.94221,4.90129,53.9,10.25,0,550.55,4.05,812.45,44.45,4.2,0,0,205.45,12.05,289.3,6,4.4,17.15,0,0,182.2,48.85,6.6,0,0,114.85,0,189.55,0,2.1,2.2,1.1,37.4,17.3,8.75,0,0,1153.9,3.2,0,0,835.35,0,33.65,0,6,68888.9,0,16.05,0,670.75,0,0,0,85.85,0,2.15,0,0
2009,29.17363163,11.50166667,176.3,52.94221,4.90129,24.25,5.35,0,240.95,4.65,573.45,49.7,0,0,2.2,49.65,12.05,366.95,4.25,6.7,3.2,0,0,2.75,45.45,1.1,10.95,0,35.15,0,133.4,3.2,0,2.2,0,27.95,29.75,13.6,0,0,685.8,6.05,0,0,135.75,0,57.15,0,2.75,40501.65,1.1,13.4,0,7.45,0,683.9,1.1,156.35,0,2.2,0,0
2010,27.63682535,10.63166667,170.1,52.94221,4.90129,40.6,2.2,0,412.15,12.35,285.75,13.8,0,0,2.2,84.1,19.95,64.2,1.65,3.2,3.8,0,0,0,83.95,0,2.1,0,50.35,5.45,187.4,32.6,0,80,1.1,12.55,59,33.5,0,0,292.85,6.3,0,0,24.5,0,171.05,0,1.1,34848,0,25.85,1.1,27.65,0,164.3,0,87.3,0,98.85,0,4.4
2012,26.61833333,11.17833333,179.3,52.94221,4.90129,15.05,3.25,0,1194.15,11.55,103.15,96.4,2.1,0,0,25.25,33.3,400.6,162.15,0,19.4,0,0,7.8,107.05,0,8.9,0,43.2,2.2,446.55,6.3,0,6.7,2.2,54.7,196.25,8.1,0,0,165.85,2.2,0,0,186.65,0,39.75,1.1,3.2,16355.25,0,17.7,0,82.2,0,343.6,0,325.35,1.1,17.2,0,0
2015,28.03454545,11.61166667,183.4,52.94221,4.90129,11.3,0,0,1142.1,27.3,96.95,6.9,0,1.1,11.1,132.45,8.75,11.4,2.15,0,7.25,2.2,0,15.6,97.85,4.4,7.4,2.2,140.55,2.15,490.05,2.1,0,48.35,1.1,30.85,32.15,4.2,0,0,778.2,8,0,0,15.2,1.1,10.25,0,2.2,11.1,0,1.65,0,19.3,0,976.3,1.1,131.5,0,6.05,5.3,5.3
2017,28.99666667,11.81166667,180.9,52.94221,4.90129,10.15,0,0,180.2,42.8,131.8,40.1,0,0,1.1,147.8,18.5,3.25,11.6,0,13.3,0,2.2,2.2,47.2,0,7.4,0,79.05,1.65,275.45,3.9,0,11.85,0,16.75,36.05,2.2,0,0,131.1,17.1,0,0,8.7,1.1,90.55,0,1.6,0,0,7.55,0,4.4,0,103.8,0,196.95,1.1,0,0,0
2018,29.34166667,11.88,177.8,52.94221,4.90129,6.7,1.65,0,140.05,36.05,370.85,38.65,0,0,8.35,157.7,16.6,22.05,2.15,0,8.85,0,0,505.6,208.85,0,0,0,67.05,0,711.75,0,2.2,3.35,0,25.75,36.5,0,1.1,0,46.95,0,0,0,10.2,0,64.95,0,2.6,3248.9,0,11.9,0,8.9,0,380.1,0,162.95,2.2,0,0,0
