year,salinity,temperature,grain.size,lat,long,Abra tenuis,Alitta succinea,Alitta virens,Amphiporus bioculatus,Aphelochaeta marioni,Arenicola marina,Bylgides sarsi,Capitella capitata,Carcinus maenas,Cerastoderma edule,Corophium arenarium,Corophium volutator,Crangon crangon,Ensis leei,Eteone longa,Eunereis longissima,Gammarus locusta,Glycera tridactyla,Hediste diversicolor,Hemigrapsus takanoi,Heteromastus filiformis,Kurtiella bidentata,Lanice conchilega,Limecola balthica,Littorina littorea,Macomangulus tenuis,Malmgrenia darbouxi,Marenzelleria viridis,Mya arenaria,Mysta picta,Mytilus edulis,Neomysis integer,Nephtys hombergii,Peringia ulvae,Phyllodoce mucosa,Polydora cornuta,Praunus flexuosus,Pygospio elegans,Scoloplos armiger,Scrobicularia plana,Spio martinensis,Streblospio benedicti,Tetrastemma melanocephalum
2005,28.11416667,11.71333333,167.1,52.92173,4.81408,0,0,0,1.1,703.7,42.3,0,0,8.5,67.7,7.4,0,42.3,1.1,432.1,0,0,0,413.8,0,1160.5,4.2,7.4,88.4,0,0,0,2.1,21.2,0,0,0,4.8,617.3,2.1,0,0,0,239.5,0,0,0,0
2006,28.7025,11.765,165.2,52.92173,4.81408,2.1,0,0.5,0,1703.7,21.2,3.2,0,9,19,1.1,0,45,1.1,74.1,0,0,0,703,0,913.6,2.1,2.1,51.9,0,0,0,4.2,20.1,0,0,0,5.8,13.8,172.8,24.7,0,0,412,0.8,0,0,0
2007,27.54703823,12.24416667,166.6,52.92173,4.81408,3.2,0,0,0,1234.6,34.4,0,0,6.9,32.8,2.1,0,20.1,2.1,160.5,1.1,0,0,777.8,0,210.2,4.2,310.1,52.9,0,0,0,321,11.6,0,0,0,9.5,1.1,9.5,49.4,0,0,202.8,0,0,0,0
2008,29.04916667,11.47083333,167.4,52.92173,4.81408,21.2,0,1.1,0,3358,112.7,0,469.1,48.7,48.7,135.8,0,25.4,4.2,382.7,0,0,0,393.7,0,219.8,3.2,14.8,56.6,0,0,0,160.5,166.9,0,0,0,2.1,13740.7,0,481.5,0,0,752.4,0,0,0,0
2009,29.17363163,11.50166667,168.1,52.92173,4.81408,9.5,2.1,0,0,1160.5,123.3,1.1,172.8,6.3,32.8,98.8,0,4.2,9.5,419.8,0,0,0,222.2,0,77.2,0,1.1,22.8,0,0,0,22.9,11.1,0,0,0,3.2,35197.5,4.2,0,0,679,530.9,2.1,12.3,0,0
2010,27.63682535,10.63166667,162.2,52.92173,4.81408,7.4,0,1.1,0,728.4,86.8,16.9,444.4,18,153.4,5.3,0,21.2,0,308.6,0,0,0,220.5,0,86.4,0,2.1,19,0,0,0,4.2,4.2,0,0,0,1.1,83580.2,61.7,0,0,1543.2,691.4,1.1,0,0,0
2012,26.61833333,11.17833333,173.7,52.92173,4.81408,1.1,0,0,0,24.7,68.8,10.6,382.7,9.5,6.3,86.4,0,43.9,0,246.9,0,0,0,170.7,0,67.4,6.3,1.1,20.6,1.1,0,0,37,4.2,0,0,0,0,456.8,1.1,24.7,0,1530.9,1000,2.1,0,12.3,1.1
2015,28.03454545,11.61166667,170.3,52.92173,4.81408,569.3,1.1,0,0,4851.9,57.7,0,135.8,11.6,20.1,148.1,0,10.6,1.1,246.9,0,0,0,651.1,0,160.5,5.3,66.7,169.3,0,0,1.1,328.4,3.7,0,0,0,16.9,1049.4,37,185.2,0,2481.5,553.8,5.3,24.7,0,0
2017,28.99666667,11.81166667,163.9,52.92173,4.81408,204.2,0,0,0,4271.6,52.9,1.1,222.2,7.4,126.5,25.4,0,6.3,0,104.1,0,0,0,245.1,0,370.4,6.3,16.9,122.8,0,0,0,5.3,50.8,0,0,0,4.2,308.6,81.5,24.7,1.1,358,259.3,4.6,0,0,0
2018,29.34166667,11.88,165.7,52.92173,4.81408,135.4,0,0,0,86.4,50.8,0,37,16.9,111.1,9.5,0,18,4.2,580.2,0,0,0,109,0,1259.3,2.1,0,120.1,0,0,0,1.1,325.9,0,0,0,0.1,64074.1,1.1,0,0,3432.1,135.8,9,0,0,0
2019,29.2075,12.00166667,167.7,52.92173,4.81408,23.3,0,0,0,308.6,55,0,74.1,5.3,66.7,284,0,7.4,5.3,234.6,0,0,14.5,335.1,0,1370.4,1.1,26.5,262.4,0,0,0,0,11.6,0,0,0,2.1,7654.3,111.1,24.7,0,1753.1,2370.4,5.3,0,0,0
