year,salinity,temperature,grain.size,lat,long,Alitta succinea,Arenicola marina,Bathyporeia,Bathyporeia pelagica,Bathyporeia pilosa,Bathyporeia sarsi,Bylgides,Bylgides sarsi,Capitella,Capitella capitata,Capitella minima,Carcinus maenas,Cerastoderma edule,Clitellio (Clitellio) arenarius,Corophium arenarium,Crangon crangon,Ensis,Ensis leei,Eteone longa,Eumida bahusiensis,Gammarus,Gammarus locusta,Glycera alba,Harmothoe glabra,Hediste,Hediste diversicolor,Heteromastus filiformis,Hydrobia acuta neglecta,Kurtiella bidentata,Lanice conchilega,Lepidonotus squamatus,Limecola balthica,Lineus ruber,Littorina littorea,Malacoceros,Malacoceros tetracerus,Malmgrenia lunulata,Malmgreniella,Marenzelleria viridis,Marenzelleria wireni,Mya arenaria,Mytilus edulis,Nemertea,Nephtys,Nephtys hombergii,Nephtys kersivalensis,Nereididae,Paranais litoralis,Peringia ulvae,Phyllodoce mucosa,Polydora,Polydora ciliata,Polydora cornuta,Polynoidae,Pygospio elegans,Retusa,Retusa obtusa,Retusa truncatula,Scolelepis (Scolelepis) squamata,Scoloplos armiger,Scrobicularia plana,Spio,Spio filicornis,Spio martinensis,Spiophanes bombyx,Streblospio benedicti,Tharyx killariensis,Tubificoides benedii,Tubificoides heterochaetus,Tubificoides pseudogaster,Urothoe poseidonis
2007,31.18,18.6,80,53.70191667,7.23657528,0,21.5,22,0,22,0,0,11,0,74.5,0,0,103,0,129.5,6,0,0,39,0,0,0,0,0,0,879,83,0,0,6,0,43,0,0,44.5,0,0,0,0,0,6,0,6,6,0,0,0,0,135,6,0,0,80,0,614.5,0,0,0,0,1042,19.5,0,0,6,0,0,446.5,352.5,0,14,454.5
2008,28.155,12.55,80,53.70191667,7.23657528,22,27,0,0,17,0,0,6,0,69,0,6,116,0,113,8.5,8.5,0,309,0,0,6,0,0,0,554,17,0,0,22,0,31.2,0,0,0,50,0,0,0,281,0,0,6,0,6,0,0,0,44.5,14,17,0,435,0,592.5,0,0,0,0,1366.5,14,0,0,6,0,0,688.5,278,0,6,534.5
2009,31.18,7,90,53.70191667,7.23657528,17,39.5,0,0,6,0,0,28,0,135,0,0,129.6666667,0,107.5,0,0,0,118.5,0,0,0,0,0,0,115.5,49.5,0,0,0,0,99.2,0,0,0,110,0,0,0,14,0,0,17,0,6,0,0,6,11071.5,77,0,0,0,0,829.5,0,0,0,0,705.5,19.5,0,0,0,0,0,586.5,501.5,0,28,300.5
2010,30.1,8.6,90,53.70191667,7.23657528,0,28,0,0,0,0,0,28,0,231.5,0,0,138,0,66.5,0,0,0,47,0,0,0,0,0,0,228.5,93.5,0,0,11,0,94.8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1366.5,39,0,0,0,0,672.5,0,0,0,0,1157,6,0,0,0,0,0,295,300.5,0,0,314
2011,27.55,14.05,80,53.70191667,7.23657528,0,47.66666667,0,0,28,0,0,6,0,162.5,0,11,121.2,0,146,0,0,0,33,0,0,0,0,0,0,132.5,143.5,0,0,0,0,74.5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,16946.5,22,0,0,0,0,551,0,0,0,0,468.5,6,0,0,0,0,0,63.5,854,0,19.5,198.5
2012,31.21,9.8,90,53.70191667,7.23657528,0,42.5,0,0,11,25,0,14,0,195.5,0,6,66.25,0,870.5,44,0,0,25,0,0,0,0,0,0,72,11,0,0,39,0,66.4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,8.5,482,66,0,0,0,0,151.5,0,0,0,0,824,0,0,0,0,0,0,0,1201,0,6,50
2013,29.4,10,85,53.70191667,7.23657528,0,39.75,0,0,14,11,0,0,0,270,0,6,153,0,2571,0,0,0,22.5,0,0,0,0,0,0,102,0,0,0,6,0,55.5,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,171,28,0,0,0,0,28,0,0,0,0,2179.5,0,0,0,0,0,0,0,1810,0,22,74.5
2014,29.65,15.45,80,53.70191667,7.23657528,6,67.5,0,0,17,6,0,0,0,118.5,0,6,169.5,0,295,36,0,0,47,0,0,0,0,0,0,325,11,0,0,0,0,67.16666667,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,36,14,0,0,6,0,58,0,0,0,0,1383,6,0,0,0,6,0,14,2728,0,17,217.5
2015,30.3,7.75,85,53.70191667,7.23657528,6,22,0,0,0,6,0,0,0,8.5,0,0,204.3333333,0,66.5,6,0,0,14,0,0,0,0,0,0,375,0,0,0,0,0,56.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13584.5,52.5,0,0,0,0,83,0,6,0,0,1143.5,11,0,0,0,0,0,6,543,0,0,140.5
2016,30.1,12.3,80,53.70191667,7.23657528,6,40,0,0,0,6,0,0,0,6,0,0,114.5,0,138,14,0,0,19.5,0,0,0,0,0,0,173.5,39,0,6,0,0,133.1666667,0,6,0,0,6,0,6,0,0,6,0,0,1,0,0,0,1239.5,22,0,0,0,0,85.5,0,6,0,0,1110.5,22,0,0,0,0,0,17,512.5,0,0,154.5
2017,28.15,12.85,80,53.70191667,7.23657528,6,42.5,0,0,0,0,0,0,0,168.5,138,0,256,0,310,6,0,0,93.5,0,0,0,0,0,0,165,12,0,0,6,0,71.33333333,0,0,0,0,0,0,6,0,0,0,6,0,6,0,0,0,428,0,0,0,0,0,628.5,0,6,6,0,1143.5,14.5,0,0,0,0,6,769,1129.5,0,18,208.5
2018,30.85,10.9,80,53.70191667,7.23657528,0,25,0,0,0,0,0,0,0,39,6,6,303.2,0,190,0,0,0,58,0,0,0,0,0,0,250.5,174,0,0,11,0,49.83333333,0,6,0,11,0,0,0,0,0,6,6,0,0,0,28,0,6244,22,0,0,0,0,270,0,11,0,0,711,6,0,0,0,0,0,259,1102,17,0,47
