year,salinity,temperature,grain.size,lat,long,Alitta succinea,Alitta virens,Ampharete acutifrons,Amphicteis gunneri,Arenicola marina,Bathyporeia,Bathyporeia pelagica,Bathyporeia pilosa,Bathyporeia sarsi,Bylgides sarsi,Capitella,Capitella capitata,Capitella giardi,Capitella minima,Carcinus maenas,Cerastoderma edule,Clitellio (Clitellio) arenarius,Corophium arenarium,Corophium volutator,Crangon crangon,Ensis leei,Eteone longa,Eulalia viridis,Eumida bahusiensis,Eurydice pulchra,Fabulina fabula,Gammarus,Gammarus duebeni,Gammarus locusta,Gammarus oceanicus,Gammarus salinus,Haustorius arenarius,Hediste diversicolor,Heteromastus filiformis,Hypereteone foliosa,Jaera (Jaera) albifrons,Kurtiella bidentata,Lanice conchilega,Lepidonotus squamatus,Limecola balthica,Littorina littorea,Loimia ramzega,Magelona mirabilis,Malmgrenia,Malmgrenia arenicolae,Malmgrenia castanea,Malmgrenia lunulata,Malmgreniella,Marenzelleria wireni,Mya arenaria,Mytilus edulis,Naididae,Nemertea,Nephtys,Nephtys cirrosa,Nephtys hombergii,Nereididae,Nereis,Nereis pelagica,Nototropis swammerdamei,Paranais litoralis,Peringia ulvae,Pholoe,Phyllodoce mucosa,Polydora,Polydora ciliata,Polydora cornuta,Polynoidae,Pygospio elegans,Retusa,Scolelepis (Scolelepis) foliosa,Scolelepis (Scolelepis) squamata,Scoloplos armiger,Scrobicularia plana,Spio,Spio filicornis,Spio martinensis,Streblospio benedicti,Tharyx killariensis,Tubificoides benedii,Tubificoides heterochaetus,Tubificoides pseudogaster,Urothoe poseidonis
2007,31.6,11.7,70,53.69960917,7.23652639,80,0,0,0,9.5,0,0,0,0,0,0,22.5,0,0,0,3055.5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,283.5,686,0,0,6,259,0,41,0,0,0,0,0,0,0,22,0,11,0,0,0,0,0,6,0,6,0,0,0,11,0,116,0,0,0,0,61,0,0,0,6,9.666666667,0,0,0,0,3417,614.5,0,471,55.5
2008,27.135,9.2,80,53.69960917,7.23652639,71.5,6,0,0,5,0,0,0,0,11,0,85.5,0,0,8.5,2179.5,0,55,0,11,0,0,0,0,0,0,6,0,11.5,0,0,0,303,110,0,0,11,672,0,64,0,0,0,0,0,0,0,0,0,0,0,1135,0,0,0,6,0,0,6,0,0,11,0,71.5,0,0,0,0,0,0,0,0,66,14,0,0,0,0,4676,562,0,391,0
2009,29.99,7.95,75,53.69960917,7.23652639,105,0,0,0,21.5,0,0,0,0,6,0,22,0,0,6,821,0,121.5,0,0,0,28,0,0,0,0,6,0,0,0,0,0,270,88.5,0,0,0,391,0,43.33333333,0,0,0,0,0,6,6,0,17,0,0,0,0,0,0,11,0,0,0,0,0,22.5,0,17,0,0,0,0,96.5,0,0,0,336,14,0,0,0,0,3293,430,0,446.5,110
2010,28.345,13.7,65,53.69960917,7.23652639,14,6,0,0,26,0,0,0,0,11,0,83,0,0,0,248,0,33,0,0,0,22,0,0,0,0,0,0,0,0,0,0,645,80,0,0,0,6,0,81.25,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,11,0,0,14,0,0,0,83,33.5,0,0,0,0,603.5,248,0,105,41.5
2011,28.15,12.4,65,53.69960917,7.23652639,30.5,0,0,0,32,0,0,0,6,11,0,72,0,0,6,149,0,6,0,6,0,17,0,0,0,0,0,0,0,0,0,0,301.3333333,118.5,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,11,0,0,30.5,0,0,0,19.5,36,0,0,0,0,294.5,570.5,0,60.5,0
2012,32.5,13.1,60,53.69960917,7.23652639,8.5,0,0,0,21.5,0,0,0,0,11,0,61,0,0,6,81,0,6,0,11,237,33,0,0,0,0,0,0,0,0,0,0,99.5,126.5,0,0,6,138,0,38.6,0,0,0,0,0,0,0,0,0,11,0,0,14,0,6,0,0,0,0,0,0,22,0,28,0,0,0,0,93.5,0,0,0,198.5,8.5,0,0,0,0,416,1912,0,47,0
2013,28.45,13.2,70,53.69960917,7.23652639,44,0,0,0,18.66666667,0,0,0,0,6,0,93.5,0,0,8.5,48,0,33,0,0,0,38.5,0,0,0,0,0,0,0,0,0,0,220.5,165.5,0,0,0,6,0,23.33333333,0,0,0,0,0,0,0,0,0,6,0,0,8.5,0,0,6,0,0,0,0,0,22,0,6,0,0,0,0,30.5,0,0,0,223.5,19.5,0,0,0,0,559.5,2560,0,55.5,6
2014,28.63333333,13.4,66.66666667,53.69960917,7.23652639,17,0,0,0,30.5,0,0,0,0,0,0,61.5,0,0,6,85.25,0,36.5,0,6,0,30.5,0,0,0,0,0,0,0,0,0,0,181,257,0,0,0,28,0,42.33333333,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,109.5,0,0,0,95.5,28,0,0,0,11,2411,8216,0,334.5,0
2015,29.47,12.55,70,53.69960917,7.23652639,19.5,0,0,0,18.5,0,0,0,0,6,0,17,0,0,11.5,1956.333333,0,17,0,6,0,11.5,0,0,0,0,0,0,0,0,0,0,314.5,231.5,0,0,0,14,0,68.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,28,0,0,0,0,22.5,0,0,0,83,88,0,0,0,0,724.5,2102.5,0,113,0
2016,29.3,11.2,65,53.69960917,7.23652639,38.5,6,0,0,22,0,0,0,0,0,0,6,0,0,6,2637,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,192.5,270,0,0,6,28,0,108.2,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,85.5,0,17,0,0,0,0,0,0,0,0,6,118.5,0,0,0,0,3860.5,4003.5,0,129.5,6
