year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus normanii,Actinocyclus octonarius,Actinoptychus senarius,Actinoptychus splendens,Akashiwo sanguinea,Amphora [1],Anabaena,Apedinella spinifera,Apicoporus,Archaeperidinium,Asterionella formosa,Asterionellopsis glacialis,Asteroplanus kariana,Aulacoseira ambigua,Bacillaria paxillifer,Biddulphia alternans,Biota,Campylosira cymbelliformis,Cerataulina pelagica,Ceratoneis gracilis,Chaetoceros,Chaetoceros costatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros densus,Chaetoceros subtilis,Chaetoceros tenuissimus,Chaetoceros teres,Chlorophyta,Chromista [1],Chroococcales,Cocconeis,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus perforatus var. pavillardii,Coscinodiscus radiatus,Crucigenia,Cryptomonadales,Cyanophyceae,Cyanophyta,Cymatosira belgica,Delphineis,Desmodesmus,Detonula pumila,Dictyocha,Dictyocha speculum,Dinophyceae,Diploneis,Ditylum brightwellii,Entomoneis,Eucampia zodiacus,Euglenophyceae,Eukaryota,Eunotogramma dubium,Eutreptiella,Fibrocapsa japonica,Fragilariaceae,Gonyaulax,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodiniales [1],Gyrodinium,Gyrodinium flagellare,Gyrodinium spirale,Gyrosigma,Gyrosigma fasciola,Helicotheca tamesis,Heterocapsa,Heterocapsa lanceolata,Heterocapsa triquetra,Katodinium glaucum,Khakista,Khakista [2],Kirchneriella,Kolkwitziellaceae,Lauderia annulata,Lennoxia faveolata,Leptocylindraceae,Leptocylindrus,Lithodesmium undulatum,Mediopyxis helysia,Melosira moniliformis,Melosira nummuloides,Merismopedia,Micromonas pusilla,Minutocellus scriptus,Monoraphidium,Nematopsides vigilans,Nephroselmis,Nitzschia reversa,Nitzschia sigma,Odontella,Odontella aurita,Odontella longicruris,Odontella mobiliensis,Odontella obtusa,Odontella regia,Odontella rhombus,Odontella sinensis,Oxytoxum,Oxytoxum mediterraneum,Paralia sulcata,Parlibellus delognei,Pediastrum,Peridiniales,Peridiniella danica,Phaeocystis,Plagiogrammopsis,Plagiolemma distortum,Plagiotropidaceae,Planktothrix agardhii,Pleurosigma,Pleurosigma angulatum,Pleurosigma simonsenii,Pleurosigmataceae,Podosira stelliger,Polykrikos,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Protoperidinium brevipes,Protoperidinium leonis,Protoperidinium subinerme,Prymnesiales,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,Pseudochattonella,Pseudopedinella,Pseudopodosira westii,Pterosperma,Pterosperma vanhoeffenii,Pyramimonas,Pyramimonas longicauda,Rhaphoneis amphiceros,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Scenedesmaceae [1],Skeletonema,Skeletonema potamos,Stephanodiscaceae,Surirella,Tetraedron [2],Thalassionema nitzschioides,Thalassiosira,Thalassiosira punctigera,Thalassiosira rotula,Torodinium robustum,Trachelomonas,Trachydiscus,Trachyneis aspera,Tryblionella,Tryblionella punctata,Ulnaria acus,Warnowiaceae
2007,16.09,8.103333333,20.30333333,NA,NA,53.33493,6.94394,769.23,0,688.9466667,0,0,0,0,0,0,0,0,0,1769.23,0,0,1666.66,4241962.609,0,0,769.23,550806.255,0,0,1538.46,4615.38,0,150962.4525,0,0,122721.2333,395378.246,0,0,959897.72,0,0,0,0,305387.138,0,354251,0,121475.5875,0,0,0,0,0,0,1463.67,0,555.55,0,1736402.625,46649.075,20223.84,1538.46,0,769.23,2820.51,0,1186.435,30936.96,277.77,0,0,0,2216.206,0,23493.3275,0,0,0,302126.3712,0,0,0,0,0,66140.845,5110.815,2509.775,0,0,25272.6175,0,240384.6,100553,769.23,0,0,0,0,0,24225.055,0,0,0,769.23,277.77,1538.46,0,0,1602.006667,0,0,15709.27,0,719922.8867,39443.05,770.22,0,445426.8675,0,0,0,944.39,0,0,0,0,5236.42,338.98,769.23,769.23,0,0,0,1075269,6025.636667,10121.45,0,0,0,0,0,39515.27,0,0,1635.273333,2272.073333,0,10527.98,22787.135,0,0,9999.99,0,0,98524.00833,0,0,0,0,0,277.77,0,0,0,0
2009,15.51428571,NA,20.92857143,NA,NA,53.33493,6.94394,0,666.66,1779.45,0,0,0,0,0,0,0,2000,6666.66,9999.99,0,0,0,5433504.569,0,0,0,0,0,0,2000,0,0,54458.81,0,0,1137986.318,811410.54,0,0,659031.64,0,0,0,0,1151938.843,0,0,68000,228595.5067,0,0,0,0,0,0,666.66,0,0,666.66,7637871.333,50262.192,5551.6675,7770,0,0,0,0,0,31431.972,0,0,286.9,0,4888.886667,0,2833.325,0,0,0,761051.2703,0,490196.1,0,0,122959.4,38850.03,0,0,123307.5883,0,26712.5075,0,2450980,565553.4333,0,0,0,0,0,0,15820.43,0,666.66,0,0,143.45,0,0,0,14000,6000,154761.75,15540.01,0,0,48563.92,2286.905,0,0,0,0,0,476.78,0,0,0,0,0,769.23,4000,0,0,0,434.78,136986.3,29921.71,2538.46,0,0,0,666.66,0,68493.15,0,0,0,24310.02,0,21264.04667,10000,0,0,405.055,0,2000,1849953.166,0,0,0,0,0,666.66,0,0,0,0
2010,10.85294118,NA,19.00588235,8.121425882,215.8823529,53.33493,6.94394,0,0,5531.36,0,0,0,0,0,0,0,0,60880.05286,92464.17,0,0,0,3835440.023,2499.99,0,0,102739.725,0,0,0,0,0,36746.57,0,0,306950.8,1046845.94,821917.8,0,728312.9875,0,0,0,0,728503.0813,2397260,1119553.998,4000,160303.7267,0,0,40844.11,0,0,769.23,1913.04,0,769.23,0,6210143.745,146659.647,9295.09,2000,0,0,3343.142,0,0,21279.49875,0,0,7521.735,0,1189.296,0,73272.4025,0,0,0,716820.5366,0,0,13614.7,0,68493.15,71055.98,0,0,20675.04545,0,32222.62083,0,0,184973.8,2884.61,0,0,0,602.005,0,11403.92,0,0,2000,2038.036667,0,262.595,2000,0,117856.7,3213.673333,5333.33,3273.503333,769.23,2084073.25,62620.40636,1390.45,0,2280342,0,769.23,0,769.23,1538.46,0,0,0,0,0,2034.186667,2000,0,0,1246.373333,95974.975,161384.825,1538.46,0,28074.11,1217.39,13614.7,68493.15,266567.18,2000,2384.615,5000,4598.182,0,197954.4867,700410.425,123456.8,0,666.66,0,9230.76,2050399.734,0,0,0,0,0,0,0,0,0,0
2011,14.96153846,NA,22.78461538,6.636959431,146.3736264,53.33493,6.94394,0,769.23,3884.614,0,0,0,0,0,0,1200,0,36690.47,8794.31,68119.89,4292.305,3076.92,0,0,0,0,327078.1025,0,0,2113.844,0,6857.14,229033.4025,0,0,263720.8,1169547.305,0,0,1586662.185,0,0,0,0,1545136.462,0,0,0,35211.26,0,0,0,0,0,0,0,15669.886,0,0,5452124.467,255545.2209,7811.985,0,0,0,4668.131429,0,0,59348.765,2000,0,711.11,0,1022.22,0,82160.77714,0,13623.97,0,988121.6639,0,0,0,0,40871.93,21850.57,0,1600,3117.946667,0,36544.42333,32000,18809439.73,226027.42,0,0,0,0,784.615,0,12731.654,0,800,0,948.1466667,277.77,0,0,0,56496.061,660.9666667,12800,19045.68,0,131578.93,48508.39417,4515.668333,0,337075.025,0,0,0,769.23,0,0,2000,0,0,0,2964.905,2000,0,0,4000,0,0,0,0,0,0,7220.21,0,128011.1717,0,4004.8575,16000,11665.01286,0,459492.1725,468871.296,0,0,769.23,0,20883.72571,1487073.023,0,0,0,4999.99,0,769.23,0,0,0,2000
2012,14.02285714,NA,23.94285714,5.753444714,146.8877551,53.33493,6.94394,0,769.23,961.5375,0,0,0,0,182481.75,0,769.23,0,0,8269.22625,0,0,0,364963.5,0,0,1153.845,95183.1775,0,0,0,0,0,53022.744,0,0,182481.8,5119047.571,0,0,488284.5967,0,0,0,12307.69,703148.7607,0,0,10769.23,20105.625,0,0,0,0,0,0,2307.69,769.23,0,0,7976190.5,13166.05091,2884.61,0,0,0,3076.92,0,0,219000.696,0,0,769.23,0,2615.382,0,9999.99,0,4999.99,0,164686.1439,0,0,0,769.23,35211.26,186712.515,1538.46,0,2499.9975,0,5480.76375,0,364963.5,0,3269.225,0,0,0,0,0,2032.964286,0,769.23,0,1153.845,0,0,769.23,0,3205.125,769.23,7307.686667,1346.1525,0,182481.8,10076.917,1153.845,0,0,0,0,769.23,1346.1525,0,0,0,0,0,0,769.23,0,0,0,0,364963.5,15448.71333,0,0,0,0,769.23,0,243565.4333,4999.99,3269.225,3846.15,10653.841,0,27124.8575,16538.45571,0,0,0,769.23,3076.92,442574.7579,0,769.23,0,0,0,2692.304,0,0,0,0
2013,NA,NA,21.95,6.370210585,157.6530612,53.33493,6.94394,2000,0,6637.53875,0,0,38322.4575,0,0,1538.46,0,2879.115,27939.555,102131.7738,0,0,3076.92,1120512.74,0,0,0,56980.05,0,0,13736.26,0,0,45151.6025,185185.2,8000,233201.048,1194953.186,3758648.55,0,1053927.564,0,0,344.82,0,1502653.269,0,0,0,196072.442,0,0,0,0,0,2134.578,526.31,3076.92,0,4000,5758119.747,74281.416,71511.992,0,0,0,5477.445,0,0,43248.46857,0,0,3076.92,0,1185.093333,1578.94,105682.5178,0,0,0,826894.9388,0,0,344.82,0,0,13736.26,0,1379.31,11404.25,0,42085.9375,0,1635530.943,256410.2,136303.66,344.82,256410.25,0,1052.63,0,18170.21455,0,0,0,1248.632,0,574.7066667,0,0,15669.342,0,0,8127.46,0,2854700.733,58843.30818,1854.2,0,90256.42,0,0,0,10455.63,0,0,0,0,0,435.565,1216.113333,0,0,3076.92,0,148148.1,0,0,0,0,7868.13,0,0,140903.538,0,0,0,8063.4275,0,320439.2225,192035.6211,0,0,933.1766667,0,12718.44875,1349410.292,0,0,0,0,0,0,0,0,0,0
2014,NA,NA,20.07142857,6.449295857,147.8061225,53.33493,6.94394,0,0,3602.30125,0,0,0,120808.08,0,0,0,0,0,105579.5625,0,0,0,2333333.35,37776.975,0,6153.84,121212.0867,0,0,0,0,0,127777.7857,0,0,253968.2286,1646464.6,0,0,1244337.713,0,3571.42,800,0,1465338.171,94276.09,0,0,471916.96,0,0,0,0,0,2111.05125,2810.61,0,0,0,6750582.692,69300.005,16117.21,2554.94,0,0,6153.84,0,13736.26,72995.52,0,0,986.62,0,3771.44,0,84126.54778,0,0,0,1198868.755,0,0,0,0,0,77014.65333,62087.905,0,434.78,0,26023.19667,0,7866666.7,355555.54,155016.28,0,148148.1,0,0,0,30776.975,7943.1225,0,0,1444.44,526.31,663.155,0,1538.46,72373.55833,0,0,1435.895,0,246913.5333,85116.12083,435.565,0,144871.8,0,1400,0,5888.68,526.31,0,0,737.37,0,3571.42,1538.46,13736.26,0,0,0,296296.3,17588.485,0,0,0,4000,4000,0,255930.5657,7142.85,434.78,607.98,25679.12714,0,231096.9333,469220.5,0,4615.38,4000,0,11295.61444,905488.8136,526.31,0,526.31,0,148148.1,0,0,0,0,0
2015,NA,NA,21.27142857,7.103672429,153.5,53.33493,6.94394,0,2000,4456.32,0,0,2000,0,0,0,0,0,0,0,0,0,8000,1333333,0,0,0,123456.7867,0,0,2000,0,0,85937.2975,0,0,415824.936,2333814.429,0,2000,522558.912,0,0,0,0,1336347.955,0,0,0,359217.1625,0,0,0,0,666.66,4000,0,0,0,0,11405243,130396.1014,7479.43,0,0,0,1624.995,0,0,80783.99,13468.01,0,444.44,0,2000,0,67927.465,0,0,0,2147917.387,0,0,34670.03,0,0,48056.87667,0,0,1923.6025,9999.99,29147.615,0,2393939.5,151851.844,0,0,0,1249.99,0,10000,3000,8830.276667,0,0,755.55,0,0,0,0,19046.61091,0,0,16835.01,0,67340.06,65600.37,2716.3425,0,0,694.44,0,0,0,0,0,0,0,2000,0,0,1249.99,1249.99,0,0,148148.1,10000,0,0,0,444.44,40404.035,0,143658.8067,0,0,2000,11109.42,0,185185.175,269360.3,673400.7,0,1361.11,0,8000,2755721.893,0,0,0,0,0,0,0,0,0,0
2016,NA,NA,19.40714286,6.001831314,155.6326531,53.33493,6.94394,0,0,2348.756667,0,1472.215,0,0,82781.45,0,0,0,54333.32667,0,0,0,0,0,420403.6,0,0,142400.825,0,0,0,0,0,165562.9125,0,0,383533.0738,1708416.45,0,0,228231.04,0,0,0,0,1504770.719,0,0,0,167109.3689,0,0,0,0,0,1069.4375,1037.033333,0,2499.99,0,11179070.02,159140.3483,2999.99,0,22447.995,0,10166.66,444.44,0,53509.33,0,0,2395.8275,0,4285.704286,444.44,80851.27625,16869.09,0,2499.99,1179053.967,0,0,0,0,0,289735.1,7499.99,0,666.66,0,96954.15,0,47334558.88,265179.3813,0,0,0,0,2499.99,0,7812.49,7799.994,0,0,3138.8825,444.44,1777.77,0,0,14022.71818,0,0,27521.27,0,95548.93867,65276.46714,1694.4375,0,0,2833.325,888.885,0,0,0,0,0,0,19369.09,0,0,2499.99,0,0,0,134680.1,148093.945,8749.99,0,0,0,0,0,144867.5438,0,2499.99,4166.656667,1874.99,0,267687.075,165562.9,0,0,0,0,0,1173871.396,0,0,0,0,0,0,0,0,0,0
2017,NA,NA,21.56428571,6.907820286,147.1428571,53.33493,6.94394,0,0,5904.16,0,0,800,0,0,0,1000,41238.185,8916.66,54390.725,0,0,8749.99,0,0,8434.54,0,115894.03,0,0,5331.75,0,0,150662.252,0,0,187365.1875,3402943.886,0,0,422468.468,800,0,733.275,0,1904002.915,0,0,101214.59,341473.5063,0,0,0,0,0,2349.993333,0,1000,0,0,32075791.92,308774.822,20892.912,0,1200,0,2416.663333,0,0,89998.29778,0,33112.58,0,0,18045.94429,111.81,112867.9263,0,0,18869.095,2261320.151,0,0,3499.995,0,0,62357.93833,9559.146667,2000,2892.257273,0,8999.995,0,26452206,283526.485,165562.9,0,0,0,2012.495,0,3879.996,6139.996,0,0,286.335,116.765,344.51,0,0,13059.08636,0,0,5727.39,0,0,78909.87778,2562.495,0,1391700,1978.568571,387.805,0,0,15874.99333,108.28,0,0,0,0,4373.815,4999.99,0,0,0,101407.275,9999.99,0,6747.63,0,0,0,0,206103.35,0,5727.39,1249.99,29866.39857,0,219242.3667,201434.8533,0,0,2899.995,0,24747.632,1143188.663,0,0,1000,0,0,0,4999.99,111.81,33738.19,0
