year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus,Actinocyclus normanii,Actinocyclus octonarius,Actinoptychus senarius,Actinoptychus splendens,Akashiwo sanguinea,Alexandrium,Alexandrium tamarense,Amphidinium sphenoides,Amphora [1],Apedinella spinifera,Archaeperidinium,Asterionella formosa,Asterionellopsis glacialis,Asteroplanus kariana,Attheya septentrionalis,Aulacodiscus argus,Aulacoseira,Azadinium,Bacillaria paxillifer,Bacteriastrum hyalinum,Bellerochea malleus,Biddulphia alternans,Biota,Brachiomonas,Campylosira cymbelliformis,Cerataulina pelagica,Ceratoneis gracilis,Chaetoceros,Chaetoceros affinis,Chaetoceros anastomosans,Chaetoceros borealis,Chaetoceros ceratosporus,Chaetoceros constrictus,Chaetoceros contortus,Chaetoceros convolutus,Chaetoceros costatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros lauderi,Chaetoceros lorenzianus,Chaetoceros pseudocurvisetus,Chaetoceros similis,Chaetoceros simplex,Chaetoceros subtilis,Chaetoceros tenuissimus,Chaetoceros teres,Chlorophyta,Chromista [1],Chroococcales,Cochlodinium,Coelastrum [1],Corethron hystrix,Corymbellus aureus,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus centralis,Coscinodiscus concinnus,Coscinodiscus granii,Coscinodiscus perforatus var. pavillardii,Coscinodiscus radiatus,Coscinodiscus wailesii,Crucigenia,Cryptomonadales,Cyanophyta,Cymatosira belgica,Cymbomonas tetramitiformis [2],Dactyliosolen fragilissimus,Dactyliosolen phuketensis,Delphineis,Detonula pumila,Diatoma tenuis,Dictyocha,Dictyocha speculum,Dinobryon,Dinobryon faculiferum,Dinophyceae,Dinophysis acuminata,Dinophysis norvegica,Dinophysis rotundata,Diploneis,Dissodinium pseudolunula,Ditylum brightwellii,Dolichomastix,Emiliania huxleyi,Entomoneis,Eucampia zodiacus,Euglenophyceae,Eukaryota,Eunotogramma dubium,Eutreptiella,Fibrocapsa japonica,Fragilaria oblonga,Fragilariaceae,Fragilidium subglobosum,Gonyaulax,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodiniales [1],Gymnodinium galeatum,Gymnodinium verruculosum,Gyrodinium,Gyrodinium britannicum,Gyrodinium flagellare,Gyrodinium spirale,Gyrosigma,Gyrosigma balticum,Gyrosigma fasciola,Haslea,Helicotheca tamesis,Heterocapsa,Heterocapsa lanceolata,Heterocapsa niei,Heterocapsa triquetra,Heterosigma akashiwo,Katodinium glaucum,Khakista,Khakista [2],Kirchneriella,Kolkwitziellaceae,Kryptoperidinium foliaceum,Lagerheimia,Lauderia annulata,Lennoxia faveolata,Leptocylindraceae,Leptocylindrus,Lithodesmium undulatum,Mallomonas,Mamiella gilva,Mantoniella squamata,Mediopyxis helysia,Melosira [1],Melosira moniliformis,Melosira nummuloides,Meringosphaera,Merismopedia,Mesoporos perforatus,Meuniera membranacea,Micromonas pusilla,Minutocellus polymorphus,Minutocellus scriptus,Monoraphidium,Navicula distans,Nematodinium armatum [1],Nematopsides vigilans,Neocalyptrella robusta,Nephroselmis,Nitzschia reversa,Nitzschia sigma,Odontella,Odontella aurita,Odontella granulata,Odontella longicruris,Odontella mobiliensis,Odontella regia,Odontella rhombus,Odontella sinensis,Odontella turgida,Oocystis,Oxytoxum,Oxytoxum mediterraneum,Paralia sulcata,Pediastrum,Peridiniales,Peridiniella danica,Peridinium quadridentatum,Phacus,Phaeocystis,Plagiogrammopsis,Plagiolemma distortum,Planctonema,Planktothrix agardhii,Pleurosigma,Pleurosigma angulatum,Pleurosigma normanii,Pleurosigma simonsenii,Pleurosigmataceae,Podosira stelliger,Polykrikos,Preperidinium meunieri,Proboscia alata,Proboscia indica,Prorocentrum,Prorocentrum compressum,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Protoperidinium brevipes,Protoperidinium cerasus,Protoperidinium claudicans,Protoperidinium conicoides,Protoperidinium conicum,Protoperidinium curtipes,Protoperidinium denticulatum,Protoperidinium depressum,Protoperidinium excentricum,Protoperidinium granii,Protoperidinium latidorsale [1],Protoperidinium leonis,Protoperidinium marielebouriae,Protoperidinium mite,Protoperidinium oblongum,Protoperidinium obtusum,Protoperidinium ovatum,Protoperidinium pallidum,Protoperidinium pellucidum,Protoperidinium pentagonum,Protoperidinium punctulatum,Protoperidinium pyriforme,Protoperidinium steinii,Protoperidinium subinerme,Protoperidinium thorianum,Protoperidinium thulesense,Prymnesiales,Pseudanabaena,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,Pseudo-nitzschia pseudodelicatissima,Pseudo-nitzschia subpacifica,Pseudochattonella,Pseudopedinella,Pseudopodosira westii,Pteromonas,Pterosperma,Pterosperma parallelum,Pterospermataceae,Pyramimonas,Pyramimonas longicauda,Rhaphoneis amphiceros,Rhizosolenia,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Roperia tesselata,Scenedesmaceae [1],Skeletonema,Snowella,Spatulodinium pseudonoctiluca,Stephanodiscaceae,Stephanopyxis turris,Tetrastrum,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira,Thalassiosira anguste-lineata,Thalassiosira eccentrica,Thalassiosira hendeyi,Thalassiosira levanderi,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Torodinium robustum,Trachydiscus,Trachyneis aspera,Tribophyceae,Triceratium favus,Tripos furca,Tripos fusus,Tripos horridus,Tripos lineatus,Tripos longipes,Tripos macroceros,Ulnaria acus,Ulotrichaceae,Warnowiaceae
2000,12.4015,8.207,30.1385,1.9822541,51.6984127,53.55986,6.662486,1000,0,500,1062.46,0,0,0,500,0,15197.56,0,1147.672,0,23076.48,27171.35,0,0,17647.05,0,0,3166.666667,0,8250,5644319.222,0,0,2916.666667,0,72536.23952,0,0,0,53191.4725,6500,3000,0,6000,0,5625,14098.7825,2812.5,3000,3125,500,0,0,0,0,121580.5,0,15178.75833,0,1000,1206138.8,290415.4986,700470.425,1500,0,0,0,664276.42,0,0,0,0,0,238.36,0,51364.79,690559.4862,8000,18750,0,1000,0,67020.34667,13500,2846.215,0,0,121580.5,0,625,0,0,539.7266667,0,500,1956.33,0,0,0,4949.4875,0,353535.35,41108.846,7708.333333,6250,45592.7,5000,0,59.59,35240.38462,4411.918,3000,98894.90864,0,0,3375,0,0,2310.421429,3125,0,0,1000,529.795,87470.7225,0,1000,1583.333333,0,5888.888889,112624.8016,0,33783.78,868.3866667,0,6250,5708.333333,0,44075,18875,5333.333333,0,0,0,0,0,0,0,0,0,3125,0,0,20283.052,64589.665,0,59.59,0,0,0,30395.13,3125,85.29,0,7146.68,0,0,0,848.8016667,0,1760.66125,0,12500,369.18,0,11486.75545,8392.078,2580.298,2462.622857,0,0,529866.8293,36701.57857,0,0,41250,0,543.715,1700,0,4500,637.125,0,500,0,0,1000,0,2059.59,2937.5,1706.393333,542.645,2375,1602.55,0,0,0,1000,59.59,0,0,0,0,0,0,589.385,529.795,0,0,0,0,0,0,500,0,0,0,529.795,0,0,169844.0625,0,6649.878824,2250,0,0,0,16239.23,0,0,7721.08,0,0,110651.8947,0,2250,4625,0,33162.78667,51469.61235,0,0,84557.538,205821.132,0,0,9312.5,0,7333.333333,0,22127.67273,87122.1975,0,0,0,55211.14,6250,1104.2825,7108.463333,945.81,0,500,0,0,0,1559.59,1000,0,0,0,500,0,545.35
2001,12.093,8.1235,29.251,2.173170526,66.34920635,53.55986,6.662486,0,0,0,5795.605625,0,0,0,0,0,0,66.03,2056.5925,4000,26224.17933,76083.16857,0,0,0,0,0,2322.585,0,1948.525,2862203.467,0,0,89325.632,6666.66,493297.1052,700.18,0,0,5452.986667,0,432.98,0,0,0,1519.813333,121000,0,350.09,0,536.135,5418.4225,12000,0,9500,0,87.52,8000,0,0,526053.5222,373653.965,10000,3000,0,0,180995.5,310563.4193,186.04,0,0,0,87.52,66.03,0,0,530764.0114,13000,0,0,273.23,0,43484.49333,0,0,0,0,203619.93,186.04,84.2,120.4966667,0,0,153.835,564.19,923.3433333,0,0,45248.86,1500,4999.99,714285.7429,23184.68083,6509.916429,9075.802,40450.445,0,0,85.22333333,23658.764,184.4966667,455.5066667,38751.09944,0,0,7000,0,0,9287.315,141.04,0,0,0,264.15,25889.04765,0,36.08,1633.617143,500,1605.848571,72820.99368,0,0,86.21,0,0,2371.906667,0,14522.54875,17262.515,746.2733333,0,0,0,0,0,0,3125,0,0,0,0,0,3583.3325,35346.28,0,0,0,0,0,0,0,0,0,12657.08762,0,0,225.365,291.4,500,1815.309,0,0,139.53,0,14308.89143,0,1402.5,545.19,0,0,980995.0997,7045.453636,66.03,803.14,30771.445,0,203.19,1658.365,0,781.0066667,1000,0,564.19,0,0,0,2000,1614.617143,506.0366667,3844.523333,626.31,649.7728571,1147.853636,0,141.04,84.2,0,209.095,0,2000,36.08,386.35,0,0,357.6775,544.0233333,84.2,0,0,0,0,36.08,0,0,0,198.11,137.44,0,279.06,136825.5911,68750,9973.064286,1000,0,0,0,0,87.52,0,3583.33,0,0,38285.69545,0,2611.627143,0,0,23416.44909,21628.69571,0,0,38135.13,273726.7188,0,0,0,0,13500,0,14908.83333,72559.105,0,0,0,29033.326,2000,950.5345455,3570.228889,681.9083333,0,4000,0,0,0,117.22,0,0,0,0,0,0,1000
2002,12.66,8.152,28.58,2.0290282,55.00357143,53.55986,6.662486,0,6438.846667,400.5833333,1185.05,0,0,0,0,80.29,19170.47333,0,1113.401,0,200374.077,74113.90333,0,0,0,95.14,0,4000,12500,7696.1275,3403734.542,0,0,13623.436,0,217266.5196,0,0,0,0,0,10000,0,2166.666667,0,5041.722727,16722.0125,1422.695,1290.543333,3209.11,24442.28333,2115.4975,0,0,79166.66667,0,0,17882.245,0,6000,390277.314,252430.3548,260000,261.19,12500,0,0,396083.4547,0,0,0,152.6466667,0,186.91,0,0,574201.51,93000.938,2378.73,0,1000,1050.834,49554.14,0,0,0,0,17141.89,583.72,548.64,79.59,88.56,0,2156.25,0,8174.394,0,0,0,9846.47,6250,232240.1778,85005.33583,15767.921,838.5571429,12500,0,0,72.84,46119.28625,479.61125,2029.593333,47827.33905,0,0,3583.333333,106.64,0,824.9091667,0,0,215.56,0,2000,41352.59565,0,52.23,673.6425,0,1798.171667,73714.50958,0,0,859.662,0,0,2082.917143,0,25211.14833,107863.3667,3304.116,0,0,0,0,5000,0,50761.42,0,0,537.555,0,0,7753.378,233799.1075,25337.835,0,0,0,107.644,0,500,0,0,11503.92357,0,0,5166.666667,1198.617,606.64,1176.866923,0,0,409.96,0,14523.615,47437.5,2345.400385,500,0,0,358820.4688,8999.326667,541.345,40000,242209.4025,0,0,0,426.56,1562.261333,146.5466667,0,628.6225,0,70.395,500,0,397.74,323.1216667,1635.312,1955.832,377.74,1706.463846,500,500,0,0,631.1166667,0,0,0,298.64,106.64,0,1000,454.474,500,95.14,0,0,0,0,1000,1000,0,500,195.8325,0,0,150424.3964,0,18444.62733,6023.731667,0,0,0,17141.89,0,0,750,0,0,71578.869,0,9905.891429,0,0,12895.16077,19554.93556,0,409.96,39951.25429,194603.1811,0,0,29687.5,0,259538.0667,0,20543.43125,368530.296,0,0,0,128655.4,0,2585.53625,684.445,139.63,0,244.8733333,0,0,293.13,122.324,0,0,0,0,0,0,158.535
2003,11.58714286,8.123333333,29.96380952,2.748074381,57.51428571,53.55986,6.662486,0,82.86,78.44,8154.077778,0,0,77.35,0,2000,33783.78,0,3500,0,15529.64,10333.33333,0,0,0,0,366.01,6250,3397.57,7666.666667,4221471.624,0,0,1602.3625,2000,526888.8661,0,0,0,0,0,7551.303333,0,10000,0,12553.614,14704.706,3001.556667,223.605,0,410.11,714.6333333,618.82,0,5213.576667,33783.78,0,4000,0,4750,152424.38,444418.8611,253630.735,168.22,0,46.3,0,333304.5106,0,0,0,0,0,0,0,0,733483.9324,250000,0,0,2000,0,21848.34667,0,0,0,0,0,0,154.7,48.83,0,68.35,0,168.22,2333.333333,0,0,0,2376.1675,0,526487.2164,30571.46769,8806.642222,438.3033333,18750,0,0,77.35,14746.65154,417.1333333,9101.546667,34783.38824,0,0,76.23,0,0,2720.9,0,0,0,0,106.015,70545.77278,0,1000,894.3375,3163.675,3750,78504.02232,0,0,558.6575,0,0,7000,0,158174.875,15650,1666.666667,0,0,0,0,0,0,500,1000,30500,0,0,0,0,168535,6250,0,0,0,0,0,0,0,0,83165.84278,0,0,1295.1325,990.38,0,1014.711667,0,0,0,0,31832.61636,0,7594.256364,0,0,0,290532.001,6166.666667,5000,0,0,0,0,0,0,1757.745714,1000,0,576.23,0,0,0,0,4125,0,2026.701667,965.19,1555.0175,6208.333333,0,668.22,84.11,0,278.004,0,0,1000,1000,0,0,307.6225,77.35,0,93.61666667,68.9,84.11,336.44,336.44,77.35,154.7,0,66.47,336.44,77.35,0,294355.3516,0,28659.364,430.2025,0,0,0,21891.89,0,0,0,0,0,128007.5869,0,622.365,0,0,7977.366667,16173.5625,0,0,39844.59333,51853.046,0,0,35833.776,168.22,0,10000,21489.16333,106959.134,0,0,0,12500,9185.215,1704.251667,3926.708,842.972,0,1068.9,0,0,0,177.5725,82.86,0,0,0,0,0,1221.696667
2004,11.45052632,8.032631579,30.06578947,3.576842941,65.85714286,53.55986,6.662486,0,3803.6025,50.55,4334.63125,0,0,0,0,0,0,0,309.41,0,186311.655,29329.1,0,0,18000,0,0,0,154.7,864.2257143,2117003.684,0,0,104.96,0,33749.8025,0,0,0,0,0,0,0,0,0,1516.145,734.77,0,254.265,0,0,446.9825,0,0,4444.775,0,0,853.855,0,0,252270.7873,440087.5688,0,0,0,0,0,295887.7,0,0,0,38.67,0,0,161.35,0,670874.2,74028.37,0,0,0,0,61188.42313,0,0,0,80.67,2717.39,0,0,0,0,51.66,0,0,2532.805,0,0,0,1312.2,0,610383.0625,39805.265,5788.51,434.78,0,0,0,363.4433333,14008.28182,4766.9,1202.73,67201.84643,0,0,654.14,0,0,424.112,0,70.58,0,0,70.58,62419.63667,0,0,434.78,0,926.982,51790.8665,0,0,215.46,0,0,763.14,0,36693.4025,1945074.463,717.39,0,0,0,0,0,0,0,0,0,0,0,0,0,20938.6,0,0,0,0,0,0,0,0,0,13432.81583,1538.46,0,2000,926.2575,1019.335,613.305,0,8000,1000,0,17692.02267,43000,2978.564444,0,0,1000,3871862.589,13338.06,717.39,0,1482.59,0,0,0,0,1490.071111,105.95,0,211.75,0,0,0,0,6165.22,693.5566667,4000,256.065,1235.706,8847.322,0,0,0,0,403.95,0,0,0,0,0,0,2000,70.58,77.35,0,0,0,0,0,38.67,0,0,1000,304.9525,0,0,281193.3611,0,205587.9409,1101.446667,0,0,0,9400.725,0,0,31652.645,0,0,152014.2836,0,0,0,0,10972.965,10307.06,0,0,67958.06167,84715.22,0,0,0,0,0,16000,35147.27385,274528.9295,0,0,0,24676.12,0,236.725,1365.0375,203.44,0,70.58,0,0,0,207.1266667,0,0,0,0,0,0,95.855
2005,11.955,8.0635,29.9925,1.981020706,48.21804511,53.55986,6.662486,0,1245.28,349.19,3103.925385,0,0,0,0,0,4807.69,869.56,2568.853333,0,58517.97833,31777.16,0,0,0,0,325.02,552.165,508.86,775.2775,2989905.981,85.82,0,4299.936,0,228219.2805,178.01,0,0,0,0,14690.42,0,42572.46,6153.84,4247.86875,88769.90571,0,385.67,0,8615.3675,2584.485,2784.483333,0,2673.91,0,0,32345.155,0,91.76,160807.503,575938.9309,649688.1,1000,0,0,0,280921.5618,0,0,51.42,271.56,0,0,304.59,227639.2,465794.5465,11949.39,0,0,0,0,104608.825,3681.49,0,0,198.59,0,7561.69,103.32,130.84,0,551.66,0,0,1624.36375,0,0,434.78,29404.232,729.015,601838.1636,13682.24833,5621.92375,5672,6153.84,4000,0,178.01,21736.63071,1076.288333,3080.014286,40016.19895,0,0,568.08,178.58,0,5462.063333,0,0,1000,0,345.95,22999.66,0,3478.26,0,434.78,1231.693333,55373.44905,0,0,624.0233333,0,0,11933.46444,0,312794.8533,36261.4925,402.9433333,0,0,0,0,0,0,0,769.23,0,0,0,0,0,13493.76,0,0,0,0,0,0,0,0,0,2554.331875,0,0,1546.725,322.4433333,341.77,1306.897273,0,0,769.23,0,17850.93091,46923.07,10974.91143,4782.6,0,0,3193468.527,6360.95125,0,0,305833.3333,0,0,0,0,2141.332222,1923.075,288.16,175.5975,0,0,0,0,1563.7425,126.7266667,487.7766667,1905.615,240.98,2935.562857,0,434.78,261.68,0,121.995,0,309.98,0,0,0,0,114.2766667,103.32,0,0,0,0,0,0,458.37,94.36,0,0,1662.273333,434.78,0,149658.1447,0,280825.968,4170.718,0,0,0,28165.12167,0,0,682.8333333,0,0,17674.73571,0,709.635,0,0,76987.78182,22379.53083,69.93,0,57549.226,121805.53,0,0,2262.34,0,0,8080.606,15328.97,231007.5526,154.27,0,343.28,0,38705.48,734.8275,2381.30125,83.71,0,306.395,0,0,0,283.735,103.32,0,0,102.8,0,0,89
2006,12.3055,8.074,30.0975,1.940573368,43.26785714,53.55986,6.662486,0,0,143.4285714,1795.352941,105,0,0,0,0,0,0,174.75,5717,53280.16667,2547.4,0,0,0,0,0,558,117,1839.4,1579706.538,0,0,23435.8,0,65057.3,61759,0,9231,0,0,40000,21853,0,12308,1033.5,67544.5,8379.5,251,0,175,0,1231,870,8570.333333,0,0,10728,0,0,264993.4167,642445.2308,0,0,0,0,984,130623.0667,0,0,0,105,0,0,0,0,1745585.55,71729.57143,0,0,0,123,35284.81818,369,0,0,5463,0,15584,0,421.5,0,92,0,0,430.8888889,0,0,0,3870.333333,1538.5,1138676.933,61701,5685.666667,7676.625,0,0,0,0,71546.16667,4547.875,2092,35639.42105,0,0,1232.333333,0,0,3007.307692,0,0,107,0,749.75,85240.16667,0,0,2406.8,1538,9113.333333,45451.75,0,0,55,0,0,4214,0,46896.14286,23030.77778,1417.571429,0,0,0,0,0,0,0,15584,19487.33333,0,0,8447513.333,0,31167.33333,0,0,0,0,105,0,0,0,0,5257.611111,0,0,286.5714286,484.6666667,115,425.6363636,0,6154,870,0,5644.357143,4186,1954.181818,0,0,0,1326618.2,4215.142857,823.5,29231,53558.66667,0,0,0,74.66666667,635.8,1538,382.5,0,0,0,0,0,0,143.5,2202.25,1281.846154,670.625,532.6666667,0,0,61,0,208,0,0,0,0,0,0,398.25,0,209,61,0,0,0,0,0,77.33333333,769,570,317.6666667,602.5,0,134023.75,0,78639.70588,10399.16667,0,0,0,16246.5,0,0,2123.666667,0,0,63427.33333,0,61,7720,38011.25,6426,6900.066667,1631,0,37257.5,278054.75,62937.5,0,0,698.5,0,2757.555556,12766.91667,78185.21053,0,0,423.6666667,0,0,205.5,2952.6,249.25,0,71.25,0,0,0,117,0,58,0,0,0,0,1351
2007,11.02,8.063888889,29.11611111,2.58064,61.09398496,53.55986,6.662486,0,0,199.43,812.1857143,0,249.6966667,0,0,0,0,0,884.615,0,0,5384.61,0,0,0,0,2676.2,4432.356667,1271.135,827.285,1614121.163,0,0,1589.743333,769.23,665653.97,17706.44,0,0,0,0,0,0,0,2307.69,2535.347143,9999.995,0,571.51,0,0,0,0,0,0,0,0,21329.8425,0,0,77582.89667,294540.241,395152.8,0,0,0,0,183780.2992,0,57.51,0,110.29,59.755,110.9366667,138.835,37342.65333,509523.7353,0,0,0,2269.23,1272.905,25467.20583,0,0,0,0,24619.73,26343.51,0,0,0,0,0,0,288.846,0,0,0,22514.31667,0,1800334.527,58209.75556,2351.9975,6745.244,0,0,0,0,29391.02833,1176.281111,2450.88,41633.63529,0,0,769.23,0,0,1747.64875,0,769.23,0,0,0,39894.16625,0,769.23,1538.46,0,1326.9225,66673.98557,0,0,528.755,0,0,1009.965,0,118628.4856,7197.75125,1435.955,53.1,0,0,0,0,15182.18,1538.46,0,2530.55,0,263.295,753625.6525,0,229860.1,0,0,0,0,85.725,0,0,0,0,1818.795,0,0,57.76,1055.173333,84.63,839.8588889,0,21853.14,1538.46,0,7047.451111,24615.38,11149.40625,769.23,0,0,2453208.094,11542.27,330.88,54632.86,39563.54,0,0,0,0,945.2,230.7466667,0,0,0,112.075,0,0,769.23,989.2525,32572.39,1193.6725,693.4,1663.37,0,0,0,0,413.64,0,0,57.51,0,0,0,56.97333333,103.465,0,0,0,0,0,115.02,47.62,53.42333333,0,0,108.41,53.67666667,0,136627.4871,0,17058.67941,11998.165,0,0,0,0,0,0,884.615,0,0,200023.4371,2307.69,0,0,0,22530.87091,30948.3025,47.62,413.495,31201.92,4358.97,0,0,6153.845,701.51,0,1692.52,10288.45625,65983.93778,0,0,0,0,0,769.23,966.3266667,531.2,0,244.075,0,0,0,202.16,0,0,0,0,0,0,5148.57
2008,11.56266667,NA,29.85214286,1.885300889,46.22932331,53.55986,6.662486,0,3015.13,620.4883333,1851.069091,0,0,0,0,0,434.78,0,1294.896667,0,16398.8725,10668.94,0,0,0,0,0,953.93,511.172,4377.64,2504492.792,0,1304.34,2411.426667,0,373494.3506,0,0,0,0,0,6267.73,0,0,1304.34,2080.398,44189.3125,715.56,215.5,0,3363.06,0,6030.27,0,0,0,0,0,0,0,118287.09,539627.1609,1993561.003,5060.72,0,602.005,1028.99,408590.4212,0,170.78,0,0,79.15,1239.344,0,0,829876.6889,22274.24,45546.55,0,10668.01,5552.458,79269.63167,3074.05,0,1892.18,0,87000.235,0,546.2633333,0,0,80.34,0,256.41,2116.10875,0,0,0,1476.2825,1942.345,1349287.162,39979.475,8587.472,2556.353333,0,0,0,127.57,36161.06077,446.908,339.54,91145.66,0,0,3908.2875,848.38,0,1951.233333,0,0,0,0,0,54381.42643,0,85.39,0,0,3610.756,138155.3557,0,0,652.544,55.87,0,524.225,26570.04,85289.29833,695287.5629,195.8575,0,0,0,0,0,0,0,0,0,0,264.895,2052732.92,0,360204.311,0,0,0,0,0,0,0,0,0,15742.18556,0,0,1538.46,208.365,0,507.6057143,0,0,434.78,0,19826.143,185365.295,8455.0075,0,0,0,2218349.919,5028.60625,448.2166667,0,1583.07,0,0,0,0,1775.426364,802.6733333,95.01,158.3,0,190.03,0,0,84.36,963.4516667,2523.776,968.032,996.51625,9612.22875,0,0,0,0,85.43,0,0,0,0,0,127.57,869.56,182.66,0,0,0,0,0,0,0,411.8933333,0,1547.14,79.15,434.78,0,137791.0423,0,333501.0048,18101.64375,0,4000,0,5060.72,0,0,9182.506667,0,0,125399.566,2576.02,0,51324.31,0,42758.04462,2884.488,884.615,579.15,103957.5657,60974.588,6261.18,434.78,14365.59667,209.25,0,4000,9839.119286,275210.9475,0,0,0,0,0,574.0925,4095.315,393.1675,0,200.2233333,0,2000,0,158.3,0,110.82,0,0,0,21739.13,427.31
2009,12.03809524,NA,30.2,1.757292952,44.42176871,53.55986,6.662486,0,0,769.23,4871.29,106.1,724.118,0,0,100.33,769.23,0,0,0,30946.0875,0,0,0,0,0,20068.795,2307.69,0,471.055,2512153.83,0,0,0,0,87630.288,0,0,0,0,0,9230.76,0,0,0,2394.646,38257.648,0,980.695,0,14574.895,873.02,18461.53,0,0,0,0,0,25138.26,207.28,130558.097,479606.5354,5408653.5,3747.356667,0,0,0,204142.4067,0,0,111.58,0,1538.46,841.6675,155.46,0,963852.2014,0,29087.41667,0,0,0,98514.872,40769.23,0,0,0,79030.555,0,70.98,162.99,0,105.955,68.79,0,261.615,0,0,0,3400.61,0,2850837.065,88771.18143,14740.45556,5744.155,0,0,0,407.3833333,29105.63,2886.743333,0,59802.9295,0,0,872.4083333,0,0,1283.234,0,0,0,0,434.78,48424.65267,0,118.16,8158.0825,0,2009.702857,221999.4202,0,0,810.09,0,0,1284.604286,77223.14,127316.1471,5829.955,4169.55,0,0,0,106972.2833,0,0,0,0,0,0,0,5319413.167,0,43504.10667,769.23,0,70.98,0,69.03,0,0,0,0,3072.650833,0,0,619.05,1134.784,247.656,621.0127273,0,0,769.23,0,4364.02375,227772.4967,13481.60765,0,769.23,0,775062.4852,10868.79,769.23,0,23076.92,0,0,0,0,966.3825,557.94,96.935,0,0,0,0,0,0,2461.536,5377.448571,385.7175,240.29,689.24625,0,769.23,0,0,561.855,0,0,0,0,0,0,416.955,59.08,0,118.16,0,0,0,1538.46,0,0,0,0,73.57,0,0,47906.57778,0,49846.40118,8461.533333,0,0,0,0,769.23,0,0,0,0,96909.441,12839.968,5060.72,0,70.98,21719.52933,3238.5675,63.765,0,59821.59,45877.23,0,0,0,1538.46,26343.51,9230.76,58679.66167,249512.6326,0,0,0,0,2307.69,869.56,1419.646667,679.67,0,0,0,0,0,62.8,0,574.0116667,0,0,0,0,624.9075
