year,temperature,pH,salinity,total.p,total.n,lat,long,Achnanthes brevipes,Achnanthes longipes,Achnanthes sp.,Actinocyclus octonarius,Actinocyclus sp.,Actinoptychus senarius,Actinoptychus splendens,Akashiwo sanguinea,Amphora sp.,Asterionellopsis glacialis,Asteroplanus karianus,Attheya septentrionalis,Aulacoseira granulata,Bacillaria paradoxa,Bacillaria paxillifera,Bacillariales,Bacillariophyta,Bacteriastrum hyalinum,Bellerochea malleus,Biddulphia alternans,Biddulphia sp.,Biddulphiales,Brockmanniella brockmannii,Calycomonas-Typ,Cerataulina pelagica,Ceratium furca,Ceratium fusus,Ceratium horridum,Ceratium lineatum,Ceratium longipes,Ceratium tripos,Chaetoceros affinis,Chaetoceros borealis,Chaetoceros ceratosporus,Chaetoceros compressus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens-Typ,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros protuberans,Chaetoceros socialis,Chaetoceros socialis / radians,Chaetoceros sp.,Chaetoceros spp.,Chaetoceros subtilis,Chaetoceros tortissimus,Chlorococcales,Chlorophyceae,Chroococcales,Coccolithophyceae,Corymbellus aureus,Coscinodiscophyceae,Coscinodiscus concinnus,Coscinodiscus granii,Coscinodiscus radiatus,Coscinodiscus sp.,Cryptophyceae,Cyanobacteria,Cyanophyceae,Cyclotella sp.,Cyclotella striata,Cylindrotheca closterium,Cymatosira belgica,Delphineis surirella,Detonula pumila,Dictyocha speculum,Dinophyceae,Dinophysis acuminata,Dinophysis sp.,Diploneis sp.,Ditylum brightwellii,Entomoneis sp.,Eucampia zodiacus,Euglena sp.,Euglenophyceae,Eunotogramma dubium,Eunotogramma sp.,Eutreptiella marina,Flagellates,Fragilaria sp.,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodinium sp.,Gyrodinium sp.,Gyrodinium sp. / Katodinium sp.,Gyrodinium spirale,Gyrosigma cf. fasciola,Gyrosigma fasciola,Gyrosigma sp.,Gyrosigma sp. / Pleurosigma sp.,Helicotheca tamesis,Hemiselmis,Heterocapsa rotundata,Heterocapsa triquetra,Hormogonales,Katodinium sp.,Kephyrion ovale+entzii (Pseudo-K.),Lauderia annulata,Lennoxia faveolata,Leptocylindrus danicus,Leptocylindrus minimus,Licmophora sp.,Lithodesmium undulatum,Lithodesmium variabile,Mediopyxis helysia,Melosira moniliformis,Melosira sp.,Merismopedia sp.,Merismopedia spp.,Mesoporos perforatus,Mesoporos perforatus-Typ,Meuniera membranacea,Monoraphidium contortum,Monoraphidium sp.,Navicula sp.,Neocalyptrella robusta,Nitzschia acicularis,Nitzschia cf. lorenziana var. incerta,Nitzschia longissima,Nitzschia lorenziana var. incerta,Nitzschia sp.,Odontella aurita,Odontella aurita var. minima,Odontella granulata,Odontella mobiliensis,Odontella mobiliensis + Odontella granulata,Odontella regia,Odontella rhombus,Odontella rhombus f. trigona,Odontella sinensis,Odontella sp.,Oocystis sp.,Oscillatoria sp.,Paralia sulcata,Pediastrum boryanum,Pediastrum sp.,Peridinium sp.,Phaeocystis globosa,Phaeocystis globosa + pouchetii,Phaeocystis sp.,Plagiogrammopsis vanheurckii,Plagiolemma distortum,Plagioselmis,Planctonema lauterbornii,Planktothrix agardhii,Pleurosigma sp.,Podosira stelligera,Porosira glacialis,Prasinophyceae,Preperidinium meunieri,Proboscia alata,Proboscia indica,Prorocentrum micans,Prorocentrum minimum,Prorocentrum sp.,Prorocentrum triestinum,Protoperidinium bipes,Protoperidinium curtipes,Protoperidinium pentagonum,Protoperidinium sp.,Prymnesiophyceae,Pseudo-nitzschia cf. pungens,Pseudo-nitzschia delicatissima,Pseudo-nitzschia delicatissima (group),Pseudo-nitzschia fraudulenta,Pseudo-nitzschia pungens,Pseudo-nitzschia pungens (group),Pseudo-nitzschia seriata,Pseudo-nitzschia seriata (group),Pseudo-nitzschia seriata + delicatissima,Pseudo-nitzschia sp.,Pseudopedinella sp.,Pterosperma sp.,Pyramidomonas sp.,Pyramimonadophyceae,Pyramimonas longicauda,Pyramimonas sp.,Pyrocystis noctiluca,Rhaphoneis amphiceros,Rhizosolenia hebetata,Rhizosolenia imbricata,Rhizosolenia pungens,Rhizosolenia setigera,Rhizosolenia setigera f. pungens,Rhizosolenia similoides,Rhizosolenia sp.,Rhizosolenia styliformis,Scenedesmus obliquus,Scenedesmus opoliensis,Scenedesmus quadricauda,Scenedesmus sp.,Scenedesmus sp. / Desmodesmus sp.,Scenedesmus spp.,Scrippsiella (group),Scrippsiella sp.,Skeletonema,Skeletonema costatum,Skeletonema costatum (group),Stephanodiscus sp.,Stephanopyxis turris,Subsilicea fragilarioides,Surirella sp.,Synedra sp.,Teleaulax,Telonema,Tetraselmis / Carteria group,Tetraselmis sp.,Thalassionema nitzschioides,Thalassiosira angulata,Thalassiosira cf. decipiens,Thalassiosira eccentrica,Thalassiosira hendeyi,Thalassiosira leptopus,Thalassiosira minima,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Thalassiosira sp.,Triceratium favus,Unidentified,Warnowia sp.
2007,NA,NA,NA,NA,NA,53.51284,8.14992,0,0,0,0,0,700.7692308,0,0,0,0,5454.5,0,0,673,0,1262.318182,0,0,0,1876.4,0,2900.875,293738.087,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,4800,0,0,0,0,0,0,340020,0,648.6666667,0,0,0,11072.66667,0,0,0,0,0,0,0,336,200,49899.0625,0,673,0,0,3578.2,841,1121.333333,0,0,0,0,0,504.5,268,0,18163,0,0,0,0,538.2,422045.5455,7175.666667,3796,452.25,0,673,0,0,536.5,0,0,673,0,654.75,0,0,0,0,0,0,673,0,0,29359.57143,0,2441.307692,0,0,0,4709,0,0,0,0,0,0,0,0,0,0,856.0909091,0,0,0,2122.111111,200,0,1461.461538,0,1625,509,752.6,1428.833333,0,0,0,3462,0,336,0,127390.3333,0,0,13779.57143,0,0,0,0,1311.25,336,0,52304,0,0,0,336,0,0,3812.333333,0,336,100,1009,13078,2888.5,4588,0,3027.5,0,0,0,0,0,0,0,0,0,0,0,1009,673,588.5,0,5927.125,268,522,0,0,0,0,0,0,1345,2018,0,0,0,0,0,2418,0,0,0,5045,0,0,0,0,0,0,1429.5,0,0,0,2522.5,0,13342.16667,0,1036.5,12400,4988.565217,336,0,0
2008,NA,NA,NA,NA,NA,53.51284,8.14992,2018,0,0,0,0,1448.923077,0,0,0,3139.333333,6781.2,0,0,0,0,304263.88,0,0,0,925,0,0,109432.4231,0,0,0,0,0,0,0,0,0,0,9615.333333,0,4036,700.6666667,0,0,1513.5,0,7534.5,0,0,60444,0,30864.5,0,0,0,1345,0,0,0,0,2422,0,0,1177,1345,50193.25,0,1345,0,0,7395.75,0,5297.5,0,673,673,0,0,673,672.6,0,0,0,0,27763.89474,0,964,295744.8846,6727.5,12391.6,2690.5,0,504.5,1009,0,673,0,0,0,0,2354.5,0,0,0,0,0,0,0,0,1210.6,4372.666667,0,6502.916667,0,0,0,2691,0,0,0,0,0,0,0,784.6666667,336,0,0,0,807,673,3064.666667,0,0,4259.125,0,0,673,673,470.8,0,0,0,2892.714286,0,336,0,0,0,16902100.2,26079.14286,0,0,0,0,1161.818182,336,0,0,0,0,0,336,0,0,2691,0,0,0,336,13078,0,0,123831.25,1345,0,19565.16667,0,0,0,0,0,0,0,0,0,0,673,930.6666667,6727,14992,0,1532.222222,1345,0,0,0,0,0,0,2556.25,0,0,0,0,0,11648.2,0,0,2018,2354.5,0,0,0,0,0,0,9370,0,0,0,0,0,57885.6875,0,0,1345,24400.5,0,0,0
2009,11.99130435,8.195652174,17.24571429,2.945727273,61.16883117,53.51284,8.14992,0,0,0,100,0,803.5384615,0,0,0,40859,1345,0,0,8335.2,0,1834.08,0,0,0,1545.666667,0,268,259407.6923,0,673,0,0,0,0,0,0,0,0,0,1600,0,1547.454545,9086.666667,0,0,1345,0,0,0,11231,0,2501.666667,0,0,0,13468,0,0,0,0,0,0,0,673,0,41757.81818,0,0,0,0,1047.545455,0,0,3124.2,0,0,0,0,150,2078.5,0,400,0,0,2965,0,408.3333333,322193.0385,0,2253.8,0,0,0,0,0,1109,0,0,1021.166667,0,0,0,0,0,0,0,0,408,26936,3700,19373.125,0,480,0,17254.36842,0,500,0,0,0,0,0,0,0,2596,0,0,0,0,655.6666667,0,1637.333333,0,0,960.2857143,0,0,166.6666667,0,166.6666667,0,2691,0,2475,0,0,0,0,0,219300.5,30689.16,0,0,0,0,449.7333333,0,0,0,0,0,0,0,0,0,336,0,0,0,336,22446.66667,0,2642,0,0,3960,0,0,0,0,0,0,0,0,0,0,673,0,0,9866.666667,794.8888889,0,1247.058824,0,0,0,336,0,0,0,2242.333333,0,0,0,200,0,10235.33333,0,0,0,0,0,0,0,0,0,0,3477.181818,1345,0,0,0,0,29752.69231,76946,648,20854,2325.384615,0,0,0
2010,9.65,8.045833333,16.82958333,2.946125,55.6547619,53.51284,8.14992,0,0,0,100,250,600.8181818,0,0,0,24313.125,5713,0,0,0,0,7760.666667,0,5718,0,3041,0,0,62568.40909,0,1029.2,0,0,0,840.5,0,0,0,0,0,0,0,869.875,53614.2,0,0,0,0,0,0,24891,0,2079.857143,0,0,0,0,0,0,0,0,2052.555556,0,0,1345.5,0,42374.95238,0,0,0,0,4926.117647,0,0,200,0,0,0,0,218,380.6666667,673,0,0,0,4083.1,0,1009,105222.2083,0,1218.166667,218,0,1221.8,960.5,0,0,0,200,0,0,0,0,40404,0,0,0,0,0,0,6412,13250.875,0,860,0,59174.21739,0,0,0,0,0,0,2018,0,0,0,0,0,0,0,0,336,3061,1626.230769,0,843.4444444,0,0,436.25,403,1479.5,0,0,0,2546.4,0,0,0,0,0,138045.75,14027.52381,0,0,0,0,1883,0,0,0,0,100,0,504.5,673,0,3220.5,0,0,0,673,0,0,11305.4,0,0,2895.888889,0,0,0,0,0,0,0,0,0,0,0,0,379.1428571,0,604.5,461.25,710.3333333,0,0,0,0,0,0,0,0,0,0,0,673,0,42468.36364,0,0,0,0,125,0,0,0,0,0,1838.2,0,0,0,0,0,61682.55556,0,0,2690.666667,1569.666667,0,0,0
2011,10.8,7.956,17.06333333,2.86188,50.65714286,53.51284,8.14992,0,0,0,0,100,718.2777778,0,100,0,195438.6667,10610.28571,0,0,0,0,1418.619048,0,0,0,673,0,0,64915.875,0,200,0,0,100,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,83609,0,16051,0,0,0,0,0,0,0,0,644.0833333,0,0,673,0,58994.96,0,0,0,0,7402.166667,0,450,0,100,0,0,0,0,534.6,100,0,0,0,2198,0,0,55572,0,1484.333333,386.5,0,0,261.8,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,1977,3606.833333,0,716.6666667,0,3577.578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590.5625,1031.692308,0,1271.818182,0,0,400,234,554.5,0,0,250,1993.75,0,0,0,0,0,0,7731.142857,0,0,0,0,230.3333333,100,0,0,0,0,0,150,0,0,150,0,0,0,100,0,0,100,0,0,400,0,0,0,0,0,0,1925,0,0,0,1925,0,142.8571429,0,1562.5,0,3218.181818,0,0,0,0,0,0,0,0,0,0,0,175,0,382003.7143,0,0,200,0,133.3333333,0,0,0,0,0,10668.76471,0,0,0,0,0,247419.6154,0,0,0,4622.357143,0,0,0
2012,11.55,7.954545455,17.65,3.101045455,42.72727273,53.51284,8.14992,0,0,0,0,0,1709.95,0,0,0,43218.3,4743.142857,0,0,500,0,785.4545455,0,0,0,200,0,0,55244.61905,0,233.3333333,0,100,200,100,0,0,0,0,0,0,0,228.5714286,0,0,0,0,0,0,0,6390.5,0,1534.833333,0,0,0,0,0,0,0,0,1932.952381,0,336,300,0,66897.95238,0,0,0,0,13955.1,0,0,3027,100,0,0,0,100,334.8333333,419.6,100,0,0,2993.583333,0,1180.75,78161.27273,0,9638.2,5549.5,0,515,484.5,0,0,0,133.3333333,100,0,0,0,0,0,0,0,0,0,0,8436.5,2133.6,0,683.3333333,0,7440.157895,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,4266.181818,13412.5,0,1660.8125,0,548.3333333,0,396.4,309,0,0,0,2251.692308,0,0,0,0,0,40403.5,5899.733333,0,0,0,0,234.125,100,0,8978.666667,0,0,0,200,0,0,768.25,0,0,0,302.25,6254.5,0,2169,0,0,412,0,0,0,0,200,0,1925,0,0,0,8659,673,760.125,0,1237.833333,0,2526.642857,100,0,0,0,0,0,0,0,0,0,0,360.5555556,0,48142.11111,0,0,0,0,133.3333333,0,0,0,0,0,7841.4,0,0,0,0,0,220178.875,0,0,0,11575.15385,0,0,0
2013,11.07272727,7.986363636,16.73495455,2.7549,50.64935065,53.51284,8.14992,0,0,0,0,0,2880.545455,0,0,0,29126,8504.4,33670,0,0,0,1688.684211,0,0,0,1177,0,0,64120.54545,0,400,0,0,0,0,0,0,0,0,0,0,0,100,1372.666667,0,0,0,0,0,0,1459,0,1510.25,0,0,0,0,0,0,0,0,1976.684211,0,0,0,0,40407.22727,0,0,0,0,8095.125,0,1400,0,0,0,0,0,0,100,400,100,0,0,1423.571429,0,100,331236.1364,0,48466.25,0,0,638.4285714,1607,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,2791,9620.2,0,3971.166667,0,19464.57143,200,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,21992.71429,5900.157895,0,2282.3125,0,0,0,587.8333333,100,0,0,0,2095.833333,0,0,0,0,0,4026895.333,11735.11765,0,0,0,0,606.8181818,0,0,0,0,0,0,0,0,0,988.5,673,0,0,673,15008,0,13796,0,0,466.6666667,0,0,0,0,400,0,0,0,0,0,0,0,1444.25,0,9249,0,18437.44444,0,0,0,0,0,0,0,0,0,0,0,293.25,0,184813.3333,0,0,650,0,100,0,0,0,0,0,16253.46154,0,0,0,0,0,76398.5625,0,0,0,7688.647059,0,0,0
2014,12.51666667,7.954166667,17.26854167,3.7815,66.49350649,53.51284,8.14992,0,0,0,0,0,3141.708333,0,0,0,10063.45455,9552.25,0,0,0,1525,40801.86364,0,0,0,0,0,0,110554.0417,0,743.25,0,0,0,0,0,0,0,0,0,8000,8100,0,8691,0,536.5,0,20854,0,0,6390.833333,0,2638.5,0,700,0,0,0,0,0,0,1687.590909,100,0,150,0,75459.47826,0,0,0,0,7844.333333,0,2018,350,0,0,100,0,100,985.5,593.6666667,833.3333333,0,0,3407.5,0,250,805851.125,0,2467.571429,100,200,150,673,0,200,0,627.25,200,0,3700,0,0,0,0,0,0,0,1925,5824.166667,13005.4,0,1656.555556,0,688.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4314.285714,2054.9,0,852.8,0,3530.166667,0,465.875,706,0,0,900,2775.538462,0,0,0,0,0,64455.5,17898.06667,0,0,0,0,1196.166667,0,0,13468,0,0,0,0,0,0,3043.25,673,0,0,0,3850,0,2018.5,0,0,4585.714286,0,0,0,0,1400,0,3850,0,0,0,0,0,1135.222222,0,5345.5,0,1528.615385,100,0,0,0,0,0,0,7700,0,0,0,728,0,28237.875,0,0,0,0,400,0,0,0,0,0,6981.833333,0,0,0,0,0,75344.29412,0,0,1336.25,6810.529412,0,0,0
2015,11.7375,7.941666667,17.32779167,3.427333333,67.64880952,53.51284,8.14992,0,0,0,0,245.3333333,2739.086957,386.5,0,0,4563.5,2487.2,0,0,0,350,5387.666667,0,0,0,300,0,0,38034.7619,0,100,0,100,0,0,0,100,0,0,0,0,0,271.4285714,0,0,1850,0,0,0,0,2096.4,0,1621.333333,0,0,0,0,0,0,0,0,696.6315789,0,0,100,150,38395.40909,0,0,0,0,2636.882353,0,1700,933.3333333,0,0,0,0,0,334.7272727,178.6666667,0,0,0,5082.933333,0,100,75044.125,0,11801.6,1141,200,735.125,482,0,0,0,224.8181818,0,0,436.5,0,0,100,0,0,0,0,0,3853,3287.888889,0,1375.4,0,517.3,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2296.764706,1902.25,0,454.6,0,200,0,349.4285714,1653,0,0,0,2314.533333,0,0,0,0,0,0,8123.722222,0,0,0,100,239,150,0,1925,0,0,0,175,150,0,300,673,0,0,262.1666667,0,0,0,0,0,1725.545455,0,0,0,0,300,0,1925,0,0,0,100,0,597,0,25258.75,0,694.1428571,400,0,0,0,0,0,0,400,0,0,0,377.25,0,10508.27273,0,0,200,0,100,0,0,0,0,0,1166.3,0,0,0,0,0,92194.94118,0,428.5714286,600,2210,0,0,0
2016,11.90434783,7.92173913,17.09563636,3.213130435,65.68181818,53.51284,8.14992,0,0,0,0,0,1589.73913,0,0,0,14063.5,5452.833333,0,0,3177.25,0,24529.57895,0,4036.5,0,1681.5,0,0,153047.4783,0,560.6666667,0,0,0,0,0,0,0,0,0,0,2466.666667,1695.888889,2691,0,1009,0,2691,100,0,39219.8,0,3272,0,486.5,0,0,0,0,3850,0,2247.25,0,0,0,336,42834.13043,0,0,0,0,4652.090909,0,0,0,0,0,0,0,0,3551.692308,0,2325.4,0,0,1366.384615,0,336,139583.6087,0,3616.875,2018,981.8,818,508.8571429,0,673,0,303.4444444,100,0,896.6666667,0,13468,0,0,0,0,1133.333333,13468,3007,34972.44444,0,3551,0,457.6666667,0,0,0,0,100,0,0,0,0,0,100,100,0,0,0,0,3557.3,2340.214286,0,576.5,0,0,0,285.25,481.8333333,0,0,0,1715.727273,0,0,0,0,0,6734,20649.30435,0,0,0,2500,523.7692308,0,0,0,0,0,0,941,100,0,865.75,336,0,0,300,0,0,5690.75,0,0,3895.133333,0,0,0,0,0,0,0,0,7055,0,336,0,414.4,0,13203.6,0,481.8,100,0,0,0,0,0,0,0,13468,0,0,732.6,2145.5,17689.8,0,0,0,0,218,0,0,0,0,0,1587.2,0,0,0,0,0,41778.52632,0,595.5,1781.857143,1761.736842,0,0,0
