year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus normanii,Actinocyclus octonarius,Actinoptychus senarius,Actinoptychus splendens,Akashiwo sanguinea,Alexandrium,Alexandrium tamarense,Amphidinium [1],Amphidinium sphenoides,Amphora [1],Apedinella spinifera,Archaeperidinium,Asterionellopsis glacialis,Asteroplanus kariana,Attheya septentrionalis,Aulacoseira,Azadinium,Bacillaria paxillifer,Bacteriastrum hyalinum,Bellerochea horologicalis,Bellerochea malleus,Biddulphia alternans,Biota,Campylosira cymbelliformis,Cerataulina pelagica,Ceratoneis gracilis,Chaetoceros,Chaetoceros affinis,Chaetoceros ceratosporus,Chaetoceros contortus,Chaetoceros costatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros lauderi,Chaetoceros lorenzianus,Chaetoceros pseudocurvisetus,Chaetoceros radicans,Chaetoceros seiracanthus,Chaetoceros similis,Chaetoceros subtilis,Chaetoceros tenuissimus,Chaetoceros teres,Chaetoceros tortissimus,Chlorophyta,Chromista [1],Chroococcales,Cochlodinium,Corethron hystrix,Corymbellus aureus,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus concinnus,Coscinodiscus granii,Coscinodiscus perforatus var. pavillardii,Coscinodiscus radiatus,Coscinodiscus wailesii,Cryptomonadales,Cyanophyta,Cymatosira belgica,Dactyliosolen fragilissimus,Dactyliosolen phuketensis,Delphineis,Desmodesmus,Detonula pumila,Dictyocha,Dictyocha fibula,Dictyocha speculum,Dinobryon,Dinobryon faculiferum,Dinophyceae,Dinophysis acuminata,Dinophysis rotundata,Diploneis,Diplopelta asymmetrica,Dissodinium pseudolunula,Ditylum brightwellii,Emiliania huxleyi,Entomoneis,Eucampia zodiacus,Euglenophyceae,Eukaryota,Eunotogramma dubium,Eutreptiella,Fibrocapsa japonica,Fragilidium subglobosum,Gonyaulax,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodiniales [1],Gymnodinium galeatum,Gymnodinium heterostriatum,Gymnodinium verruculosum,Gyrodinium,Gyrodinium spirale,Gyrosigma,Gyrosigma fasciola,Helicotheca tamesis,Heterocapsa,Heterocapsa lanceolata,Heterocapsa niei,Heterocapsa triquetra,Katodinium glaucum,Khakista,Khakista [2],Kolkwitziellaceae,Lauderia annulata,Lennoxia faveolata,Leptocylindraceae,Leptocylindrus,Licmophora,Lithodesmium undulatum,Mediopyxis helysia,Melosira nummuloides,Meringosphaera,Merismopedia,Mesoporos perforatus,Meuniera membranacea,Micromonas pusilla,Minutocellus polymorphus,Minutocellus scriptus,Monoraphidium,Navicula distans,Nematodinium armatum [1],Nematopsides vigilans,Neocalyptrella robusta,Nephroselmis,Nitzschia sigma,Odontella,Odontella aurita,Odontella longicruris,Odontella mobiliensis,Odontella regia,Odontella rhombus,Odontella sinensis,Oocystis,Oxytoxum,Paralia sulcata,Pediastrum,Peridiniales,Peridiniella danica,Peridinium quadridentatum,Phaeocystis,Plagiogrammopsis,Plagiolemma distortum,Planctonema,Planktothrix agardhii,Pleurosigma,Pleurosigma angulatum,Pleurosigma normanii,Pleurosigma simonsenii,Pleurosigmataceae,Podosira stelliger,Polykrikos,Preperidinium meunieri,Proboscia alata,Proboscia indica,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Protoperidinium brevipes,Protoperidinium cerasus,Protoperidinium claudicans,Protoperidinium conicoides,Protoperidinium conicum,Protoperidinium depressum,Protoperidinium diabolus,Protoperidinium excentricum,Protoperidinium latidorsale [1],Protoperidinium leonis,Protoperidinium marielebouriae,Protoperidinium oblongum,Protoperidinium obtusum,Protoperidinium ovatum,Protoperidinium pallidum,Protoperidinium parthenopes,Protoperidinium pellucidum,Protoperidinium pentagonum,Protoperidinium punctulatum,Protoperidinium steinii,Protoperidinium subinerme,Protoperidinium thorianum,Prymnesiales,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,Pseudo-nitzschia granii,Pseudo-nitzschia pseudodelicatissima,Pseudopedinella,Pseudopodosira westii,Pterosperma,Pterosperma parallelum,Pyramimonas,Pyramimonas longicauda,Pyrocystis hamulus,Rhaphoneis amphiceros,Rhizosolenia,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Roperia tesselata,Scenedesmaceae [1],Skeletonema,Snowella,Stephanodiscaceae,Stephanopyxis turris,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira,Thalassiosira anguste-lineata,Thalassiosira hendeyi,Thalassiosira levanderi,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Thecadinium yashimaense,Torodinium robustum,Trachyneis aspera,Tripos furca,Tripos fusus,Tripos horridus,Tripos lineatus,Tripos longipes,Warnowiaceae
2000,14.6315,8.052833333,30.88833333,2.430102667,43.72619048,53.5661111,6.5641667,0,0,1269.85,0,0,833.33,0,0,0,2000,0,527.775,74416.665,156249.99,0,0,0,4166.66,583.33,0,0,20000,3076258.13,52505.05,6250,0,134643.7286,0,164567.3667,0,0,5833.33,3222.22,81749.995,13333.33,0,4999.99,461.53,0,0,0,0,218750,0,0,0,0,0,0,470334.3833,649684.3629,0,750,0,0,758724.875,182.555,115.38,0,0,0,230.76,730351.0667,0,0,1333.485,0,165044.445,0,2000,0,0,0,0,619.13,4348.29,0,182.555,0,0,0,3333.33,0,1000,6908.74,0,1136363.65,19499.9975,4800,0,0,83.33,8458.3325,12706.37667,1062.38,36154.855,0,833.33,0,0,885.2366667,0,0,0,85006.2975,0,0,1000,1654.78,266369.8155,0,726.23,21666.66,0,8750,10333.33333,0,2000,0,1055.555,0,0,0,0,0,0,0,0,0,833.33,0,500,0,0,0,14562.4975,0,0,619.13,0,1781.4925,0,0,4465.275,0,2040.825714,1288.156667,0,965542.1514,3499.995,0,8000,82000,0,115.38,2500,0,196.41,0,0,27.77,0,0,1500,1500,3279.78,1952.465,724.5233333,785.7225,0,0,0,309.56,115.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.11,0,210353.5333,9333.33,2000,0,0,6250,0,4500,0,168604.08,0,0,654.78,4000,0,33432.61333,49577.3875,0,0,309.56,128659.665,0,101351.4,0,0,4722.22,274359.05,0,0,503800.7,44999.99,1333.33,4999.99,0,0,0,1000,799.1,83.33,0,0,0
2001,16.765,8.0325,29.58,2.0887055,41.80357143,53.5661111,6.5641667,500,0,30997.07,0,0,0,103.05,0,0,0,0,618.32,20593.75,91.76,0,0,0,0,19000,0,0,824.42,3285836.926,0,60750,0,1281911.723,0,0,0,0,0,0,16250,0,0,0,5000,618.32,0,0,0,18750,0,0,70000,0,0,0,167619.5433,124063.936,0,0,0,0,202702.7,0,0,927.48,206.1,183.52,0,1332670.865,0,0,8500,0,5166.666667,0,0,0,0,0,0,0,91.76,84.9,0,0,103.05,0,206.1,0,0,8000,0,1186868.55,14695.945,4750,3000,0,103.05,95307.7,824.42,1500,158367.96,0,0,0,0,750,0,0,0,109765.73,0,0,15384.61,1500,93489.172,0,500,37000,0,66038.46667,4250,0,1898.85,0,0,0,0,0,0,0,0,16891.89,0,0,0,0,0,0,0,0,1750,0,500,353.05,0,103.05,0,103.05,2000,0,5898.988,0,0,119350.742,0,0,0,0,0,0,3000,0,516.8533333,0,1000,0,0,0,1250,1000,2500,500,456.105,2708.333333,0,0,0,0,0,91.76,0,0,0,0,0,0,0,0,0,103.05,0,206.1,0,0,0,103.05,226324.8475,40619.69333,0,0,0,0,0,16891.89,0,421102.9,0,0,0,0,0,6333.333333,1500,0,0,12500,179180.34,0,21875,0,0,18244.69333,185362.615,0,0,0,0,295.88,60000,0,1000,0,0,0,0,0,0,0
2002,15.87085714,8.038428571,29.52857143,2.811054286,45.8877551,53.5661111,6.5641667,0,97.74,378.7325,0,0,0,0,0,0,0,0,1220.465,43083.33333,21875,0,0,0,4000,0,0,3812.03,17875,3105808.085,0,12820.945,0,650171.752,0,0,0,10000,0,8328.204,6266.355,1766.35,981.1866667,584.11,2105.46,300.4,268.9,0,55500,0,0,0,45786.5525,0,500,0,187134.995,401258.7371,0,0,0,0,332336.2943,0,0,223.06,0,252.33,0,421048.7271,0,0,0,0,38780.975,0,0,0,0,0,0,872.21,279.595,0,0,0,0,0,7699.353333,0,33783.78,23625,0,339262.1667,31623.3225,6625.64,750.382,0,0,42137.88143,366.135,4666.666667,47808.86222,0,0,0,111.53,1325,500,0,757,31532.396,0,0,147.515,2320.306667,90262.72833,0,355.8175,772.854,0,25666.66667,3095124.575,0,3126.1625,0,167.44,1000,0,0,0,0,0,116779.2867,0,0,0,0,0,0,0,0,4979.166667,0,2000,448.002,500,2800.748333,0,1000,57425.675,588.78,1793.9075,323.51,0,388048.1589,8847.31,334.59,0,0,0,0,0,1569.97,4750,94.785,0,89.63,0,0,0,0,127.33,1527.8825,121.2066667,2695.74,0,0,316.38,0,223.6466667,0,105.46,87.22,0,750,87.22,0,105.46,0,0,0,0,0,0,0,293.61,105.46,417690.516,23719.3325,7587.22,0,0,6250,0,0,0,58040.352,0,0,27673.9,0,0,7198.923333,23920.55333,0,87.22,0,441439.175,0,0,0,0,13843.75,126665.4171,0,0,96959.45,0,877.965,719.59,0,87.22,0,0,89.63,0,0,0,105.46
2003,15.4174,7.9578,30.974,2.834095714,41.60204082,53.5661111,6.5641667,0,99.8,1066.533333,0,0,0,0,0,1000,0,0,3625,234179.8975,1.00E+05,0,0,0,0,0,0,0,2000,5108479.429,0,788.2775,0,1058998.308,0,0,0,8000,0,15250,8000,6000,0,0,0,12000,0,6000,306250,0,6000,0,1500,0,0,0,370597.8667,395025.9971,0,99.8,153.11,0,809729.2286,0,0,0,0,0,0,908397.6714,0,0,0,0,6615.31,0,0,0,0,0,0,1000,0,0,0,0,0,0,2500,0,0,18000,0,558968.052,53104.725,3625,2000,0,0,57142.85714,153.11,1000,38089.94375,0,0,0,6000,2500,0,0,0,37373.3,0,0,1000,1000,64466.84458,0,0,0,0,67729.725,112500,0,1233.2,0,0,0,0,99.8,0,0,0,366341.22,0,0,0,0,0,0,0,0,3336.12375,0,153.11,1127.59,0,2600,0,0,6000,0,866.6,0,0,57135.13375,0,0,0,0,0,76.55,0,0,2000,0,0,0,0,0,1000,6000,1000,2442.183333,1076.555,382.77,0,0,99.8,0,299.41,1000,0,1000,0,1000,0,0,0,0,76.55,0,0,0,0,0,99.8,0,351292.9171,19057.28333,2500,6250,0,101351.4,0,0,0,51047.304,0,0,99.8,0,0,27100.7775,45270.83333,0,1000,9625,45221.275,0,51675.7,3000,0,54458.33333,168849.8771,0,0,0,0,1612.4,2460.923333,0,199.6,0,0,0,99.8,99.8,0,750
2004,14.30485714,7.966142857,30.54571429,3.018427143,53.76530612,53.5661111,6.5641667,109.33,1000,2987.2625,0,0,0,0,0,0,0,0,0,815212.336,16243.0475,0,0,0,19745.28,0,0,0,1000,4448472.163,0,0,0,97616.42333,0,0,0,0,0,0,27983.76,0,1151.255,0,0,0,0,0,0,0,0,0,0,0,0,0,266595.06,1877354.62,0,0,0,0,373513.2767,0,0,0,0,0,0,465208.0571,0,0,0,0,1151397.228,0,0,0,0,0,0,0,6250,0,0,0,0,0,27983.76,0,1000,1000,0,1098485.05,34025.176,6250,0,0,0,18413.805,0,8000,13790.562,0,0,0,2000,0,1000,0,0,55570.7875,0,0,1000,546.65,94982.37,0,1000,0,0,2000,0,0,0,0,0,0,0,0,0,0,67567.56,171002.2333,0,0,0,0,0,0,0,0,10385.3775,0,0,0,0,4000,0,0,9878.65,9000,4084.515,0,0,2489423.483,2474.525,0,0,0,0,0,0,0,1072.886667,0,0,0,0,0,0,0,0,0,0,2623.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307848.15,1531777.75,0,0,0,4125,0,6250,0,100282.72,0,0,32477.48667,0,0,37609.33,282799.0986,0,0,9898.11,1040461.784,0,0,0,0,6624.213333,361089.7683,0,0,1242236,0,1974.52,0,0,109.33,1000,0,0,0,0,0,0
2005,15.401,7.951666667,30.29166667,2.059135667,42.67857143,53.5661111,6.5641667,0,68.95,836.97,0,0,0,0,0,0,0,0,251.865,11692.305,88420.21667,0,0,0,0,1000,0,0,3478.26,1761680.509,5434.78,0,0,119959.4622,0,0,5000,0,0,5177.26,23498.32667,0,1048.453333,0,0,341.88,0,0,8000,0,0,0,0,0,2307.69,0,94189.98667,610962.258,0,0,0,0,342823.98,0,0,0,0,0,85.47,489872.9383,0,0,0,0,57344.3,0,0,0,0,1000,0,0,170.94,0,0,0,0,0,1196.58,0,76.13,138587,0,1003040.3,0,9802.05,224.195,0,0,15640.65,76.13,0,33440.11,0,0,0,434.78,5913.046667,0,0,0,25128.28333,0,85.47,0,1418.616667,146916.5,0,68.95,5031.766667,0,72405.79667,11010.865,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,972.8925,0,869.56,304.53,0,1078.7875,0,434.78,3617.623333,0,3144.9975,0,0,1956889.613,2871.24,0,0,0,0,0,0,0,2239.13,170.94,0,0,0,0,85.47,434.78,434.78,85.47,0,733.8766667,0,0,0,0,0,0,0,1000,0,0,0,0,0,95.99,0,0,0,0,0,0,172.12,0,126476.916,1082343.934,5434.78,0,0,6250,0,6250,0,4742.48,0,0,2717.39,0,0,53035.325,16026.922,0,85.47,0,74792.45,0,2717.39,0,16304.34,29993.355,249813.9267,0,0,0,61652.28,864.52,5884.615,76.13,1000,85.47,0,0,0,0,0,0
2006,12.69,7.98125,30.49,4.011722182,45.43506493,53.5661111,6.5641667,769,0,2092.2,0,0,0,0,0,0,0,0,727,19743.66667,0,0,8000,0,0,0,0,4478,4790.5,1944758.045,0,2307.5,0,40359.14286,0,0,0,32503,0,769,37565.66667,6154,2308,0,10834,0,0,0,0,0,0,2308,2308,0,756,0,46819.66667,2576618.538,0,0,0,0,196409,0,0,0,0,0,0,1027510.545,110000,0,0,0,23075.71429,0,0,0,0,0,0,0,0,283,0,0,0,0,1153.5,0,27571,0,1923,1410716.167,19171.8,5609.25,4871.666667,0,0,67398,40323.5,238,33444.44444,0,0,0,769,13262.66667,0,0,769,37290,0,0,1538,7733.4,46510.48276,0,769,1779,0,24756.33333,3846,119,963.3333333,0,0,0,1906,0,0,0,0,27571,0,0,0,0,0,0,0,0,12196,0,948.3333333,1154.5,769,652,6154,0,6923.6,2963,2467.8,0,0,21435.5,42224.66667,0,0,38462,0,0,0,0,769,1538,1538,0,0,0,0,0,769,1538,8157.666667,2051.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,0,0,0,283,0,769,0,771988,527748.4,0,0,0,18893.33333,0,5463,0,32082.66667,0,0,370,769,29239.5,5404.25,7496,769,0,0,499446.8,0,1923,0,9173,3461.75,90278.90909,0,1076,0,0,0,3076.75,0,623,769,0,98,0,0,0,91
2007,14.51442857,7.980666667,29.88,2.3290276,65.31428571,53.5661111,6.5641667,67.21,258.14,612.176,0,134.42,0,0,0,0,769.23,0,418.22,12000,2000,0,0,0,0,1452.82,0,30000,21000,2019255.828,559.44,2084.11,0,1254046.859,0,0,0,0,0,15465.87,25384.615,0,2581.41,0,0,0,0,0,0,0,0,2307.69,35211.265,0,0,0,19175.82,888610.55,2739726,0,119.735,0,475559.7733,0,0,0,0,148.645,110.7,354463.7467,0,0,4000,14118.11,146330.0833,0,0,0,0,0,0,0,168.22,0,0,0,0,0,468.725,0,0,4498.216667,0,1887019.283,18311.54429,6807.35,884.615,0,769.23,39044.44167,8228.302,0,109647.6686,0,0,0,1000,1123.65,0,0,0,56347.412,0,769.23,10834.23,3208.555,117951.1647,0,2000,3629.57,0,127663.0467,66484.57,0,0,0,0,0,0,0,1075.42,0,0,0,1000,0,0,0,250.35,0,0,0,5737.195714,0,1068.77,781.3175,400.98,1287.915,0,0,10826.005,17000,2284.546,0,0,1610054.854,8807.35,0,0,0,0,68.57,0,201.64,1372.988333,0,0,0,0,336.07,769.23,174.91,43336.94,168.22,4137.44,4818.095,134.42,0,60.53,0,98.14,0,0,0,0,60.53,769.23,0,0,168.22,0,0,1000,0,0,0,179.988,203.185,326672.852,23110.65,26556.355,0,0,0,129.07,6807.35,0,93091.934,7495.923333,0,0,0,0,26998.62333,12337.94714,67.21,201.64,58919.545,0,285714.3,0,403.28,2285.28,2147.12,334466.8729,0,0,0,0,1660.19,4841.118,0,423.44,0,0,447.275,0,0,0,769.23
2008,12.6336,NA,30.704,2.4919305,50.87142858,53.5661111,6.5641667,0,62.01,384.61,0,0,0,0,0,3015.13,2000,0,652.745,13326.14,0,0,0,0,0,6923.07,0,10769.225,4102.576667,3185100.11,0,465.785,0,131250.5543,2608.69,0,0,16571.9,0,602.005,62372.47,0,452.06,6030.27,2608.69,0,13913.04,0,0,0,0,0,0,0,0,0,145891.2525,1331407.279,583081.558,5417.11,0,30151.35,1152647.622,0,0,561.79,89.37,62.01,0,1195354.911,0,0,0,6806.015,186369.944,0,3913.04,0,0,769.23,0,0,0,0,83.84,0,0,62.01,3251.576667,0,0,36181.63,0,855332.44,128040.612,10085.192,683.175,0,0,258266.626,290.438,590.05,92101.225,0,0,0,0,11140.81,0,0,0,54585.01125,0,89.37,0,6675.75,523531.2203,0,0,0,0,126838.3767,18309.4,0,869.56,0,0,0,0,0,0,2645707.633,0,821655.02,0,0,0,0,0,0,0,0,10465.19857,0,0,2384.615,705.12,1240.756,0,0,10612.65,24000,3030.596667,0,0,2339025.958,36670.985,0,0,0,0,0,0,0,1598.961667,276.15,429.3,0,0,446.88,0,628.138,6247.66,434.78,0,15812.03,0,0,0,0,89.37,124.02,0,0,0,90.385,89.37,0,0,0,0,0,0,0,0,89.37,434.78,268.13,190568.0733,668661.1225,17333.67333,0,0,45248.86,0,1858.97,0,106778.0129,3399.75,0,0,32206.11,0,11583.332,2224.0775,62.01,869.56,105147.57,101697.9833,0,0,357.5,248.04,10962.864,320123.3113,0,0,0,0,62.01,18090.81,0,62.01,0,0,50.8,0,0,0,0
2009,10.79,NA,30.74,2.2064472,48.28571429,53.5661111,6.5641667,0,769.23,5582.29,0,1273.695,0,0,0,0,0,0,1538.46,16153.84,221.63,0,0,0,3425.34,1917.62,0,0,572.295,1649696.73,0,769.23,0,178664.7375,0,0,0,0,6153.84,2258.293333,0,0,3076.92,0,0,0,7770,0,0,0,0,0,0,0,15384.61,0,200496.7388,415491.0957,3161222,0,0,0,507877.6888,0,0,0,0,402.125,0,418772.615,0,0,0,0,35317.68,0,0,0,0,0,184404.6,0,717.06,1176.64,0,0,0,243.44,239.7,0,0,1601.84,0,2053393.389,35264.97286,5900.23,5542.226667,0,0,45140.562,305.37,0,51570.723,0,0,0,0,1481.58,0,0,0,13151.135,0,0,6978.48,1282.05,283065.6374,0,660.0325,3833.105,186041.2767,78122.725,32307.69,0,1438.22,4756.0075,0,0,30769.23,0,0,280710.6,0,37707.39,0,0,0,0,0,0,0,0,8873.253333,0,70.73,322.9525,123.85,627.0142857,0,0,4691.56,8205.123333,9626.897778,0,0,883564.6243,12010.802,0,0,3435.27,0,0,0,0,1426.976667,0,114.64,0,0,0,121.72,1153.845,13934.38,0,549.7566667,769.23,0,121.72,0,0,0,0,0,0,0,0,0,82.065,0,0,221.63,0,415.575,0,0,0,403.9866667,119.85,98375.79,122605.0122,2658.86,0,3076.92,3093.17,0,25138.26,0,76687.91667,3002.825,0,0,0,0,9500.98,2604.046,0,0,27497.36,55304.75,0,5236.42,0,0,93098.106,316084.2722,0,0,0,0,0,4615.38,0,769.23,0,0,123.85,0,1538.46,0,5060.72
