year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus normanii,Actinocyclus octonarius,Actinoptychus senarius,Akashiwo sanguinea,Alexandrium minutum,Alexandrium ostenfeldii,Alexandrium pseudogonyaulax,Alexandrium tamarense,Amphidinium sphenoides,Amphidoma acuminata [3],Amphora [1],Amylax triacantha,Apedinella spinifera,Archaeperidinium,Asterionellopsis glacialis,Azadinium,Bacillaria paxillifer,Bacteriastrum hyalinum,Bacterosira bathyomphala,Biddulphia alternans,Biota,Cerataulina pelagica,Ceratoneis gracilis,Chaetoceros,Chaetoceros affinis,Chaetoceros anastomosans,Chaetoceros borealis,Chaetoceros concavicornis,Chaetoceros contortus,Chaetoceros coronatus,Chaetoceros costatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros lauderi,Chaetoceros lorenzianus,Chaetoceros peruvianus,Chaetoceros pseudocurvisetus,Chaetoceros seiracanthus,Chaetoceros similis,Chaetoceros subtilis,Chaetoceros teres,Chattonella antiqua,Chlorophyta,Chromista [1],Chroococcales,Cochlodinium,Corethron hystrix,Corymbellus aureus,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus concinnus,Coscinodiscus radiatus,Coscinodiscus wailesii,Cryptomonadales,Cymbomonas tetramitiformis [2],Dactyliosolen fragilissimus,Dactyliosolen phuketensis,Delphineis,Detonula pumila,Dicroerisma psilonereiella,Dictyocha,Dictyocha fibula,Dictyocha speculum,Dinobryon,Dinobryon faculiferum,Dinophyceae,Dinophysis,Dinophysis acuminata,Dinophysis acuta,Dinophysis norvegica,Dinophysis rotundata,Diploneis,Diplopelta asymmetrica,Dissodinium pseudolunula,Ditylum brightwellii,Dolichomastix,Emiliania huxleyi,Ensiculifera,Entomoneis,Eucampia zodiacus,Euglenophyceae,Eukaryota,Eunotogramma dubium,Eutreptiella,Fibrocapsa japonica,Fragilidium subglobosum,Gonyaulax,Gonyaulax digitale,Gonyaulax rugosum,Gonyaulax verior,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodiniales [1],Gymnodinium galeatum,Gymnodinium verruculosum,Gyrodinium,Gyrodinium britannicum,Gyrodinium flagellare,Gyrodinium spirale,Halosphaera,Haslea,Helicotheca tamesis,Heterocapsa,Heterocapsa niei,Heterocapsa triquetra,Heterosigma akashiwo,Karenia mikimotoi,Katodinium glaucum,Khakista,Khakista [2],Kolkwitziellaceae,Lauderia annulata,Lennoxia faveolata,Lepidodinium chlorophorum,Leptocylindraceae,Leptocylindrus,Lessardia elongata,Licmophora,Lithodesmium undulatum,Mamiella gilva,Mantoniella squamata,Mediopyxis helysia,Melosira moniliformis,Melosira nummuloides,Meringosphaera,Mesoporos perforatus,Meuniera membranacea,Micracanthodinium,Micromonas pusilla,Minutocellus polymorphus,Minutocellus scriptus,Navicula distans,Nematodinium armatum [1],Nematopsides vigilans,Neocalyptrella robusta,Nitzschia sigma,Odontella aurita,Odontella mobiliensis,Odontella regia,Odontella rhombus,Odontella sinensis,Oxytoxum,Oxytoxum adriaticum,Oxytoxum mediterraneum,Paralia sulcata,Peridiniales,Peridiniella danica,Phaeocystis,Plagiogrammopsis,Plagiolemma distortum,Pleurosigma,Pleurosigma angulatum,Pleurosigma formosum,Pleurosigma normanii,Pleurosigmataceae,Podosira stelliger,Polykrikos,Porosira glacialis,Preperidinium meunieri,Preperidinium pseudooblea,Proboscia alata,Proboscia indica,Prorocentrum,Prorocentrum balticum,Prorocentrum compressum,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoceratium reticulatum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Protoperidinium brevipes,Protoperidinium cerasus,Protoperidinium claudicans,Protoperidinium conicum,Protoperidinium curtipes,Protoperidinium curvipes,Protoperidinium depressum,Protoperidinium excentricum,Protoperidinium granii,Protoperidinium latidorsale [1],Protoperidinium leonis,Protoperidinium marielebouriae,Protoperidinium mite,Protoperidinium oblongum,Protoperidinium obtusum,Protoperidinium ovatum,Protoperidinium pallidum,Protoperidinium pellucidum,Protoperidinium pentagonum,Protoperidinium punctulatum,Protoperidinium pyriforme,Protoperidinium steinii,Protoperidinium subinerme,Protoperidinium thorianum,Protoperidinium thulesense,Prymnesiales,Prymnesium,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,Pseudo-nitzschia pseudodelicatissima,Pseudo-nitzschia seriata f. seriata,Pseudo-nitzschia subpacifica,Pseudochattonella,Pseudopedinella,Pseudoscourfieldia marina,Pterosperma,Pterosperma parallelum,Pterospermataceae,Pyramimonas,Pyramimonas longicauda,Pyrophacus horologium,Rhaphoneis amphiceros,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Roperia tesselata,Skeletonema,Spatulodinium pseudonoctiluca,Stephanodiscaceae,Stephanopyxis turris,Tetraselmis,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira,Thalassiosira anguste-lineata,Thalassiosira levanderi,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Torodinium robustum,Trachyneis aspera,Tripos,Tripos furca,Tripos fusus,Tripos horridus,Tripos lineatus,Tripos longipes,Tripos macroceros,Tripos muelleri,Tryblionella,Warnowiaceae
2000,14.117,8.063333333,34.00166667,0.612902,12.97619048,54.1180556,6.2141667,0,0,55.15,0,0,30.41,0,0,0,0,0,0,80.3,120.26,0,0,0,0,0,53.26,599785.6362,144.3533333,0,21846.038,0,516.43,455.06,0,0,0,0,0,16642.2,560.195,182.5,252.87,0,0,0,0,0,0,0,0,7396.53,924.56,30.41,0,153107.9808,100577.2336,0,128.575,233.98,304.18,24662.68667,0,26.63,0,91.25,140565.2475,0,0,0,17893.63,0,0,0,0,327.5233333,0,0,159.79,0,51.64,0,145.174,47.33666667,0,53.26,0,118.49,0,0,123.22,0,334.6,0,437540.855,0,4329.005,0,87.385,0,0,0,123.22,2213.04375,3507.2825,129.7475,23220.32143,0,0,1111.8275,0,0,996.9975,0,0,0,10213.32727,63.74,0,0,0,5246.8925,2314.111176,0,26.63,9235.115,0,0,645.53,1202.12,0,0,0,0,0,0,0,0,0,655.675,79.89,0,0,0,0,0,86.655,0,52.45,0,63.74,0,0,0,51.64,566.135,0,0,2783.825,200.3225,172.2085714,51383.68143,0,0,0,123.22,0,38.33333333,116.6,26.63,246.44,0,0,0,30.41,0,0,0,0,672.165,147.3975,3550.46,0,92.50333333,30.41,101.1275,0,0,0,0,0,0,0,166.45,0,0,41.835,26.63,0,0,0,0,0,0,0,0,369.66,184.5275,115.145,26.63,0,203032.476,0,521.2666667,425.85,0,0,0,0,0,0,299.01,0,0,7798.353333,0,0,332.91,0,0,6853.312222,1300.5225,106.53,321.6733333,13710.245,0,0,182.5,0,0,809.51,2289.096,0,0,6317.63,273.76,610.785,765.8490909,127.49,53.53,2701.9325,5138.72125,640.47875,0,352.478,267.68,1124.485,0,0
2001,14.974,8.1524,33.322,0.5354828,14.14285714,54.1180556,6.2141667,0,0,32.71,0,0,0,0,0,0,0,0,0,720.93,116.49,0,0,0,526.7625,0,0,2718238.563,27313.84333,0,13272.382,0,0,0,0,0,0,0,0,0,0,0,228.97,0,0,174.73,0,0,0,0,0,0,0,0,0,64194.15,140408.6318,54003.81,338.505,0,1076.48,48896.045,0,24.03,0,48.06,430061.1438,0,1147.92,48.06,5202.535,0,0,0,0,88.28,0,3496.48,390.24,0,168.73,0,0,0,0,0,0,0,0,0,0,0,484.835,0,136693.935,8118.58,686.36,633.36,0,32.71,0,0,0,3960.215714,230.3925,1513.536667,125820.1992,0,0,0,0,0,117.94,0,0,0,23466.89167,0,0,758.245,120.15,5059.956667,3791.582857,0,125.0475,426.81,0,0,316.96,8834.596667,0,0,0,0,0,0,0,0,0,80.055,240.31,0,0,0,0,0,0,0,0,0,0,48.06,0,0,144.18,1650.41,0,0,2646.838333,954.9008333,0,101198.8633,0,0,0,49.25,0,0,311.0366667,90.045,0,0,205.825,0,0,0,0,0,0,276.3514286,1201.18,112.9,0,86.44666667,0,423.785,24.03,24.03,0,0,0,0,107.64,0,0,0,0,24.03,0,0,0,0,0,0,0,0,0,24.03,237.4333333,0,0,860661.5222,0,1338.623,39.96,39.96,0,0,0,1827.69,0,432.94,0,0,89510.11125,0,0,0,0,0,28923.57,105.65,0,48.06,6269.44,0,0,0,0,0,376.435,5262.4875,0,0,0,24.03,0,2021.45,32.71,0,213.97,496.61125,157.94,48.06,0,0,130.84,0,222.5975
2002,15.14242857,8.060714286,33.27071429,0.571427429,14.71428572,54.1180556,6.2141667,0,594.95,0,0,0,0,0,0,148.69,118.19,0,0,0,482.805,123.8,0,424.91,924.93,0,2411.46,1172431.213,18186.88778,0,153116.0947,0,0,709.19,0,3569.74,0,3569.74,2379.83,616.8475,19131.41333,0,6028.14,8924.36,5608.356667,1447.1125,1784.87,0,0,5949.57,0,0,0,0,0,177104.6273,228353.1929,0,508.49,0,138287.4,44488.713,0,0,0,0,202155.8469,0,0,194.79,18539.185,1281.95,0,2196.005,0,123.8,0,0,1972.18,0,4762.496,192.91,0,131.795,95.19,0,0,514.21,0,0,0,0,50874.624,0,105594.4191,0,2690.26,302.52,0,125.905,0,0,0,45574.413,208.55,6721.825,76382.195,0,0,1012.38,190.38,0,1495.501538,0,0,0,39514.16,127.34,0,6431.97,0,4357.603077,8461.870455,0,500.58,8797.043333,0,0,20012.05667,456556.3425,0,0,123.8,0,0,0,0,0,4324.82,980.9625,0,594.95,0,0,60336.51667,0,347.4,0,128.01,0,0,1704.16,0,0,118.19,945.505,0,0,280.295,1243.196667,477.98,156727.4947,0,0,0,118.19,0,0,347.92625,259.225,0,0,285.57,134.07,0,334.435,0,849.16,0,1495.5775,374.1633333,1401.145,0,204.47,236.39,393.445,401.91,592.778,0,0,0,0,0,0,369.4,0,0,204.685,289.1925,101.12,0,123.8,0,0,0,0,0,0,117.69,0,0,1134725.385,0,4833.532,3719.77,0,247.61,0,0,6578.5925,0,1835,0,0,12326.866,0,0,0,0,371.42,6539.135,2612.765,0,123.13,70631.12,148.26,0,0,0,0,20047.635,41125.834,6474.715,0,0,2411.46,325.33,1094.7375,114.865,0,95.83333333,473.9077778,223.0433333,285.57,0,0,0,0,238.815
2003,15.4074,8.0496,33.522,0.705067714,13.93877551,54.1180556,6.2141667,321.31,57.15,0,0,0,0,0,0,59.09,0,0,0,0,2357.625,642.63,0,137.99,0,0,114.3,759501.4181,1872.8025,0,241680.284,4138.12,0,0,0,0,0,4150.94,0,3501,2037.217143,562.6633333,384.25,0,266.375,265.3833333,336.44,650.845,0,0,5104.86,0,5197.5,0,0,47298.97636,301396.6458,0,74.25,0,0,43308.14,0,0,0,0,72355.93846,0,0,714.43,1428.86,0,0,0,928.15,857.16,3343.67,0,0,43.76,223.6916667,0,0,84.104,0,0,0,28.57,0,0,0,0,3393.54,0,433614.8825,0,1162.54,4509.855,0,0,0,0,0,4668.706667,269.15625,306.3433333,41599.5345,0,0,2125.096667,0,0,3053.5875,98.97,0,0,29323.98375,0,0,2813.1125,0,11662.81091,9585.016818,0,633.75,94.33,0,0,5353.86,2963.212,0,74.25,0,0,0,0,0,0,6374.29,1703.013333,0,0,0,0,3187.14,0,0,0,51.28,0,0,178.6,0,0,125.925,5800.814,0,0,1843.3325,1659.36625,0,466482.8255,0,0,0,77.49333333,0,0,67.9,0,51.28,0,0,0,74.25,314.34,0,0,1395.51,515.7328571,283.01,487.8633333,0,1667.0975,84.29,2869.55,0,178.6,0,74.42,0,0,114.3,0,0,0,94.33,0,0,0,0,159.39,0,0,57.15,0,94.33,102.764,0,0,0,498226.2038,0,24355.978,5830.2575,0,0,0,0,1992.4,0,1002.57,0,0,31744.998,0,0,0,0,74.25,1993.238,381.87,28.57,28.57,5318.74,342.92,0,0,0,6608.49,743,2704.03625,0,3465,0,43.76,0,832.3308333,31.53,0,288.575,878.1845455,415.5322222,74.335,0,59.005,64.065,0,74.25
2004,13.31842857,8.009285714,34.18714286,0.649768286,14.59183673,54.1180556,6.2141667,0,265.57,151.1966667,0,0,0,0,36.74,214.824,0,0,65.93,0,64.65,13089.4,0,180.12,0,0,1004.835,2010838.208,5140.497143,0,314992.2767,0,0,0,0,0,0,0,0,918.55,1690.14,0,411.5575,5629.06,0,51.77,0,0,0,0,0,0,0,0,0,41474.71273,223006.9169,0,412.08,0,0,75421.97667,0,0,0,0,228087.6082,0,0,146.96,13311.96667,0,0,0,0,0,8220.185,0,61.57,0,147.39,0,0,108.87,65.98,0,0,36.74,0,0,0,0,288.2,0,598926.5157,66.03,388.2433333,0,0,0,0,0,0,17925.902,2057.426,9378.964,29846.0425,0,0,395.015,0,0,6839.997143,0,0,83.04,6961.577778,0,0,0,0,4145.474615,9058.351481,0,81.52,602.49,0,0,0,31242.73,0,0,0,0,0,0,0,0,0,412.08,0,0,0,28993.54,0,0,0,0,103.32,0,454.93,171.64,0,0,286.06,412.08,0,0,1974.177778,441.7491667,36.74,1084863.602,429.1,57.21,0,0,0,0,178.4657143,79.21333333,169.705,0,77.7725,0,0,0,0,69.705,0,220.45,425.565,2681.9,0,0,490.105,257.7,65.93,0,0,0,0,0,0,0,0,0,44.2,0,0,51.77,0,0,0,131.86,0,0,478.17,345.672,36.74,0,0,405411.3991,0,39538.0275,219.045,0,0,0,0,32022.54,0,65.93,0,0,19257.08,0,0,57.21,0,0,32548.461,243.51,0,73.825,86980.63,0,0,0,0,309.98,836.39,7206.65375,0,0,7578.07,105.075,11252.29,681.3916667,46.37,0,2035.722,2848.05,161.645,0,0,0,0,0,57.25
2005,13.40883333,8.0775,33.52666667,0.586020333,14.63095238,54.1180556,6.2141667,0,0,71.26,0,0,0,0,0,84.9,0,0,0,0,69.6575,0,135.49,0,1237.47,0,0,388181.535,165.405,0,26281.15867,0,0,0,0,1510.7025,0,894.99,428.965,87287.83,8792.83,0,62.42,0,2363.19,0,0,4245.28,0,0,0,0,0,9021.22,0,41254.90636,62173.75118,154373.9,190.915,0,9030.52,22951.27,71.26,0,0,144.6266667,113015.1192,0,0,74.58,7835.733333,65.93,0,6116.0325,0,24350.9775,0,60.82,446,0,97.68333333,0,0,120.81,0,0,160.5,84.9,0,0,0,0,2547.16,0,175578.862,0,84.9,0,0,0,49.2,0,0,11278.76556,6489.023333,0,50892.61947,0,0,363.7933333,65.93,0,1463.3525,0,0,0,4159.206,202.25,0,0,0,5843.81,6572.273571,0,491.5425,2643.455,0,0,1169.825,8694.845,0,0,0,0,0,0,0,0,84.9,428.3466667,0,0,0,0,0,0,223,0,0,0,142.53,0,71.26,60.82,0,466.14,0,0,1664.095,1011.385455,191.76,209545.3529,1155.36,0,0,0,0,0,153.02,119.62,722.36,425.87,160.705,121.64,0,0,149.16,135.49,0,3586.46875,303.33625,0,76.37,503.0116667,0,655.5188889,0,412.08,0,49.2,62.42,113.81,45.16,0,0,98.41,0,0,0,0,0,0,0,0,0,49.2,187.28,1018.328,45.16,0,90.32,77520.22778,0,112387.2986,4177.964,0,0,0,0,2711.29,0,0,0,0,2544.275,0,0,142.53,0,172.4,935.6711111,682.5383333,0,0,509.43,0,0,339.62,0,0,619.0433333,7496.46,0,0,0,0,2079.765,538.46,203.4033333,0,289.552,2418.034167,188.27,279.315,0,0,0,0,118.34
2006,16.07625,8.080625,33.5125,0.8451596,16.97142857,54.1180556,6.2141667,0,0,0,0,0,0,0,88,553,0,0,0,0,123.5,0,0,11538,3030,0,0,1267494.826,12082.75,0,27972.5,0,0,0,0,6845,0,6582,0,0,26712.66667,0,413,0,435.5,242.6666667,4615,8397.5,0,0,0,0,0,19657.75,0,590253.7,377518.8462,83744,1538,0,0,80546,0,0,0,0,801730.2222,0,0,0,0,87432.33333,0,10834,0,40231,533,0,0,112,548.3333333,0,0,360.6666667,0,0,0,89,0,0,0,0,30621.33333,0,960139.1667,0,0,5763.5,0,0,577,0,0,326529.1429,2549.285714,0,140628.0833,0,0,50660,0,0,7638.888889,0,0,0,39777.55556,77,444,0,0,16977.2,13913.52941,0,535.6,10405.8,0,0,22945.66667,1081385.7,0,0,0,0,0,0,0,0,0,426.5,0,0,0,0,0,0,89,0,0,0,0,0,0,0,77,527.8,0,0,266,5005.111111,85,12784.4,1316,0,0,0,0,0,4960.5,131,0,0,769,0,8692,0,2762,0,0,2409,1575.75,5461,0,388.6666667,0,392.5,1506.5,3018,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,89,0,533,0,0,1070487.75,0,144419.9167,1304.666667,0,0,0,0,0,0,5491,0,0,196275,0,0,0,89,2757.666667,6767.545455,2232.25,317,0,0,0,0,0,0,0,799,4134.333333,0,0,0,769,3457.666667,2667.5,79,0,1696.857143,3316.333333,500,2757.5,0,294.25,0,0,3084.5
2007,17.10333333,8.013666667,34.00857143,0.525344571,10.08163265,54.1180556,6.2141667,0,0,0,0,0,0,0,71.89,158.24,0,0,0,5096.775,191.4525,0,0,0,159.35,0,0,466718.8938,1128.73,0,307322.436,0,0,0,0,0,0,0,287.56,0,0,0,508.85,0,580.205,0,0,0,0,0,0,0,0,0,0,161445.2886,128879.6458,132791.3767,1012.54,0,532.54,9958.383333,0,0,0,59.17,185305.6715,0,797.112,174.21,0,0,0,7752.98,0,0,0,7734.603333,0,0,412.61,0,0,62.66,0,59.17,70.59,0,0,0,0,0,1047.542,0,185594.5185,0,416.7,0,0,0,0,0,0,1114.546667,1307.039,32080.66,40498.72214,0,0,0,506.27,0,1485.21,0,497.27,0,15088.38,95.475,2531.36,0,0,2464.990833,1760.939091,0,63.7525,0,0,0,4050.18,67655.4,70.59,0,0,0,0,0,0,0,10106.64667,1407.355,1234.993333,0,0,0,0,250.75,0,0,100.51,0,339.23,0,0,0,0,74.55,0,0,645.2933333,3290.253636,64.97,7752.98,70.59,0,0,64.33,0,0,69.19,0,0,0,0,0,1366.981111,315.7,0,0,0,108.54,902.8775,4941.865,0,272.815,0,198.755,134.6466667,93.83666667,71.89,108.54,0,0,0,0,0,0,0,82.41,0,0,0,0,0,164.83,0,0,0,96.855,0,0,0,227666.1691,0,13585.95357,183.0733333,0,0,0,0,3674.015,0,632.4266667,0,0,23748.918,71.89,0,0,0,70.61,53681.87538,1090.2725,210.7611111,131.48,0,0,0,231.64,0,0,0,48087.69,0,0,0,0,0,1230.007692,59.74,0,1894.96,4848.418,71.25333333,129.7028571,0,0,0,0,71.25
2008,NA,NA,34.11857143,0.465436857,8.193877551,54.1180556,6.2141667,0,0,0,0,0,0,0,0,0,0,0,0,2110.37,83.1,65904.455,0,284.9,0,0,1580.58,2285245.443,158.15,0,69160.68,0,0,0,0,0,0,0,0,4216.07,0,1728.85,252.465,0,711.71,0,0,0,0,1080.3,0,0,0,0,0,11795.22714,256167.5275,275290.1,83.1,0,0,94163.31,0,0,0,0,214073.3914,0,0,327.675,239396.605,249.3,0,0,0,0,35836.62,3241.13,0,0,0,0,0,68.51333333,83.1,113.96,79.07,3457.71,0,0,0,4220.74,3576.04,0,281827.7733,0,0,56.98,0,0,0,3272.88,0,2674.783333,349.105,1376.96,76619.88083,0,0,395.14,0,0,1685.081429,0,576.28,56.98,22690.0075,0,0,0,0,2441.024,14604.64,0,181.74,395.39,26959.02,0,4216.07,234354.11,0,0,0,0,0,0,0,0,0,0,56.98,0,0,0,21544.56,576.28,0,0,0,345.12,2110.37,56.98,0,0,166.2,404.3975,0,0,4795.54,1780.235455,1364.44,150541.29,0,0,0,0,0,0,960.4025,0,0,0,0,0,0,0,0,0,0,0,440.41,0,0,2167.35,395.14,725.2566667,244.09,604.6233333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.53,323.0133333,0,0,0,151915.4571,0,8788.615556,0,0,0,634.255,0,3782.44,0,0,0,0,39888.86,1152.57,0,0,0,57.97,79708.34,570.404,56.98,269.06,4220.74,0,6155.58,415.5,0,0,1312.376667,24447.3625,0,0,0,56.98,1163.4,1023.982857,56.98,0,0,454.355,113.96,2335.415,0,0,0,0,0
2009,NA,NA,34.08571429,0.465436857,10.51020408,54.1180556,6.2141667,0,118.31,0,94.65,98.92,0,0,0,0,0,0,0,639.97,94.65,0,2209.103333,1687.01,5546.89,0,0,299484.6312,2334.71,2982.13,75901.27625,891.46,0,158.66,396.65,3628.7,3281.95,0,2268.462857,706.2533333,6057.226667,1929.06,594.3,0,2554.783333,0,609.36,1800.98,0,0,0,0,0,0,1345.8,16600.23,108625.2513,385492.4267,804.5975,0,12013.2,3172.236667,0,0,82.135,159.4533333,69732.91077,0,134.915,0,31518.17,0,0,573.7425,0,7160.366667,7285.645,5089.87,80.805,0,994.0488889,0,0,117.345,0,0,84.8225,148.51,0,0,0,0,3830.661429,1381.29,152250.462,0,1381.29,686.9,268.82,99.59,0,0,0,940.135,217.365,297.15,85233.16682,0,0,208.78,0,0,636.6381818,0,0,0,4956.535,0,0,0,0,9887.36,6459.884783,0,82.02,177.545,49458.02143,0,58705.036,10835.59727,0,0,0,0,0,0,0,0,1735.093333,515.356,0,0,0,0,0,95.2575,338.8466667,0,279.02,152.805,0,0,0,0,0,898.4233333,0,0,1439.708,977.0514286,825.055,73768.40524,0,686.9,0,0,0,0,674.5633333,0,471.2133333,0,0,0,544.78,0,0,42547.17,0,9490.73,286.07875,0,150.12,0,0,1989.051429,329.6166667,794.57375,0,552.12,0,161.03,294.755,0,0,94.65,0,91.40333333,0,220.295,0,0,272.62,891.2333333,0,0,80.51,72.595,0,0,0,69046.28,31999.655,36760.09944,230406.045,87.74,1675.12,0,9105.155,3801.178333,0,1196.1525,0,0,14899.324,449.6066667,90.87,0,0,140.17,123814.322,311.2555556,198.1,64.68,0,0,0,0,0,0,0,9746.347143,0,0,0,562.33,0,612.0466667,822.8533333,0,181.75,660.23,69.59,948.3330769,0,0,171.105,0,98.92
