year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus octonarius,Actinoptychus senarius,Alexandrium,Alexandrium leei,Alexandrium minutum,Alexandrium ostenfeldii,Alexandrium tamarense,Amphidinium sphenoides,Amphidoma acuminata [3],Amphora [1],Amylax triacantha,Apedinella spinifera,Archaeperidinium,Asterionellopsis glacialis,Attheya,Attheya septentrionalis,Azadinium,Azadinium caudatum,Bacillaria paxillifer,Bacteriastrum hyalinum,Biddulphia alternans,Biota,Brachiomonas,Cerataulina pelagica,Chaetoceros,Chaetoceros affinis,Chaetoceros anastomosans,Chaetoceros borealis,Chaetoceros concavicornis,Chaetoceros contortus,Chaetoceros convolutus,Chaetoceros coronatus,Chaetoceros costatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros dichaeta,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros lorenzianus,Chaetoceros pseudocurvisetus,Chaetoceros similis,Chaetoceros subtilis,Chaetoceros teres,Chaetoceros tortissimus,Chattonella antiqua,Chlorophyta,Chromista [1],Chroococcales,Cochlodinium,Corethron hystrix,Corymbellus aureus,Coscinodiscophyceae,Coscinodiscus concinnus,Coscinodiscus granii,Coscinodiscus perforatus var. pavillardii,Coscinodiscus radiatus,Coscinodiscus wailesii,Cryptomonadales,Cyanophyta,Cymatosira belgica,Cymbomonas tetramitiformis [2],Dactyliosolen fragilissimus,Dactyliosolen phuketensis,Delphineis,Detonula pumila,Dicroerisma psilonereiella,Dictyocha,Dictyocha fibula,Dictyocha speculum,Dinobryon,Dinobryon faculiferum,Dinophyceae,Dinophysis,Dinophysis acuminata,Dinophysis acuta,Dinophysis norvegica,Dinophysis ovum,Dinophysis rotundata,Diploneis,Diplopelta asymmetrica,Dissodinium pseudolunula,Ditylum brightwellii,Dolichomastix,Ensiculifera,Entomoneis,Eucampia zodiacus,Euglenophyceae,Eukaryota,Eunotogramma dubium,Eutreptiella,Fibrocapsa japonica,Fragilidium subglobosum,Gonyaulax,Gonyaulax digitale,Gonyaulax rugosum,Gonyaulax verior,Gotoius abei,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodiniales [1],Gymnodinium galeatum,Gymnodinium verruculosum,Gyrodinium,Gyrodinium britannicum,Gyrodinium flagellare,Gyrodinium spirale,Gyrosigma,Halosphaera,Haslea,Helicotheca tamesis,Heterocapsa,Heterocapsa niei,Heterocapsa triquetra,Heterosigma akashiwo,Karenia mikimotoi,Katodinium glaucum,Khakista,Khakista [2],Kofoidinium lebouriae,Kolkwitziellaceae,Lauderia annulata,Lennoxia faveolata,Leptocylindraceae,Leptocylindrus,Leptocylindrus mediterraneus,Lessardia elongata,Licmophora,Mamiella gilva,Mantoniella squamata,Melosira nummuloides,Meringosphaera,Mesoporos perforatus,Meuniera membranacea,Micracanthodinium,Micromonas pusilla,Minutocellus scriptus,Monoraphidium,Navicula distans,Nematodinium armatum [1],Nematopsides vigilans,Neocalyptrella robusta,Nephroselmis,Nitzschia sigma,Odontella aurita,Odontella mobiliensis,Odontella regia,Odontella sinensis,Oxytoxum,Oxytoxum adriaticum,Oxytoxum gracile,Oxytoxum mediterraneum,Paralia sulcata,Peridiniales,Peridiniella danica,Phaeocystis,Plagiogrammopsis,Plagiolemma distortum,Pleurosigma,Pleurosigma angulatum,Pleurosigma simonsenii,Pleurosigmataceae,Podosira stelliger,Polykrikos,Preperidinium meunieri,Preperidinium pseudooblea,Proboscia alata,Proboscia indica,Prorocentrum,Prorocentrum balticum,Prorocentrum compressum,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoceratium reticulatum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Protoperidinium brevipes,Protoperidinium cerasus,Protoperidinium claudicans,Protoperidinium conicoides,Protoperidinium conicum,Protoperidinium curtipes,Protoperidinium curvipes,Protoperidinium depressum,Protoperidinium diabolus,Protoperidinium divergens,Protoperidinium excentricum,Protoperidinium leonis,Protoperidinium marielebouriae,Protoperidinium mite,Protoperidinium oblongum,Protoperidinium ovatum,Protoperidinium pallidum,Protoperidinium pellucidum,Protoperidinium pentagonum,Protoperidinium pyriforme,Protoperidinium steinii,Protoperidinium subinerme,Protoperidinium thorianum,Prymnesiales,Prymnesium,Pseudo-nitzschia,Pseudo-nitzschia australis,Pseudo-nitzschia fraudulenta,Pseudo-nitzschia granii,Pseudo-nitzschia pseudodelicatissima,Pseudo-nitzschia seriata f. seriata,Pseudo-nitzschia subpacifica,Pseudochattonella,Pseudopedinella,Pseudoscourfieldia marina,Pterosperma,Pterosperma michaelsarsii,Pterosperma moebii [1],Pterosperma parallelum,Pterosperma undulatum,Pterosperma vanhoeffenii,Pterospermataceae,Pyramimonas,Pyramimonas longicauda,Pyrophacus horologium,Rhaphoneis amphiceros,Rhizosolenia,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Roperia tesselata,Scrippsiella,Scrippsiella trochoidea,Skeletonema,Spatulodinium pseudonoctiluca,Stephanopyxis turris,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira,Thalassiosira anguste-lineata,Thalassiosira eccentrica,Thalassiosira hendeyi,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Thalassiosira subtilis,Thecadinium,Torodinium robustum,Trachyneis aspera,Tripos,Tripos furca,Tripos fusus,Tripos horridus,Tripos lineatus,Tripos longipes,Tripos macroceros,Tripos muelleri,Tryblionella,Warnowiaceae
2000,11.21738462,8.005076923,34.48923077,0.601381286,10.48469388,54.1494444,4.3419444,86.22,65.236,0,0,0,82.42,90.815,284.174,0,0,0,1420.33,59.86,582.67,0,0,0,0,73.51,0,98.17,468290.4865,0,168.0742857,58804.14077,0,0,0,0,0,573.13,0,0,0,177.885,392.84,573.13,267.395,0,0,398,0,0,0,0,0,0,434.965,0,58509.56333,217033.2733,0,281.9966667,412.73,2842.14,10991.09077,0,0,0,0,0,57906.34692,0,0,0,0,0,5134.247143,0,33.01,0,0,122.876,0,186.91,200.2125,0,185.1166667,135.2433333,106.1771429,0,152.6333333,0,102.07,0,0,0,22.02,330.24,575.0833333,0,17467.0075,0,861.34,0,258.195,315.28,52.53,0,24.265,0,1222.86,20009.65625,689.855,62970.57723,0,0,1550.411765,0,0,799.8647619,0,0,100.23,80.185,78414.16286,0,0,0,37.57666667,26462.92409,4004.255854,0,26.51,137.494,655.58,0,500.6466667,496.5275,967.8,6510.526667,0,0,0,0,0,228.6291667,413.93,0,0,0,0,37.73,147.82,0,0,0,376.19,55.13,0,0,114.715,94.32333333,0,0,0,1230.284286,278.7283871,1114.8775,76824.44741,711.18,0,0,106.3233333,42.82333333,104.55,95.921,46.94,75.47,0,601.9686667,0,0,140.18,33.33,4770.448333,163.69,0,0,105.1875,0,423.16,175.2014286,0,0,0,0,108.14,0,213.9066667,0,51.64,66.98,0,0,0,0,0,0,0,0,76.49,173.6307143,0,0,345503.2189,0,570.7253333,0,0,0,0,231.13,0,0,2906.378333,0,5653.745714,0,0,0,0,0,0,18540.65923,0,0,239.7066667,0,0,47.27,171.0741667,32.095,160.85,55.77666667,0,0,22616.82,44.04,141.7075,0,1529.542,1215.759091,113.2,390.12,0,0,124.75,102.275,187.12,0,3610.405,58.22,0,867.61,1972.902,270.5455556,47.47666667,166.4216667,147.5416667,385.87625,0,173.1675
2001,13.25936364,8.086818182,34.39727273,0.454544545,8.61038961,54.1494444,4.3419444,28.8,32.055,56.9,0,73.03,73.03,0,345.528,0,0,0,0,101.1133333,0,0,467.28,0,0,948.38,0,189.67,557556.181,0,393.8457143,244897.544,292.13,0,0,334.345,0,358.5775,0,0,1051.79,2917.385,1356.954,1705.246667,1048.02,169.6,0,4256.946667,593.69,0,0,0,0,0,0,0,89193.83091,109659.3272,0,161.2975,84.11,38039.82667,19012.88,96.04,0,0,94.83,32.13,93076.264,0,0,0,1677.37,42.65,2792.476667,0,62.185,0,0,993.9566667,0,39218.23,398.092,0,131.3211111,125.2,409.1955556,0,61.29666667,33.89,62.14,0,94.83,0,0,2500.015,655.8433333,0,47025.81556,947.2,175.23,215.31,0,48.02,46.705,204.15,0,0,1651.438947,440.8958333,620.06875,52743.80167,0,0,3500.23,292.68,0,995.8115,0,64.27,443.86,0,31785.68,1233.67,248.565,0,116.98,7474.71,4317.35878,0,51.03,119.31,2421.675,0,176518.4269,9103.754706,2882.02,95.72,0,0,0,0,3448.62,294.2730769,259.0033333,0,0,0,0,99.265,96.04,0,34.45,0,88.205,0,0,0,59.81,258.97,0,0,0,1081.862,1065.85875,1519.304444,38453.5456,0,0,0,0,56.0125,217.33875,93.055,0,0,0,3654.865556,0,55.99,742.765,0,5650.45,70.86666667,0,51.03,264.798,0,1111.464286,101.97,28.03,0,0,163.435,23.465,0,166.624,0,0,0,0,118.19,0,0,94.83,33.89,0,0,128.265,179.8207692,1063.78,0,452440.5407,0,4442.5156,0,437.32,0,0,174.565,0,0,10411.628,0,475.515,0,0,0,0,0,0,9764.430667,0,32.935,0,0,0,318.1733333,3217.971875,459.27,32.13,249.18,0,0,2161.14,85.17,302.8066667,0,2262.93,2434.718,94.83,0,0,0,64.55,0,0,0,1056.733636,51.425,0,112.45625,1153.68375,0,71.86333333,51.03,100.942,382.9855556,0,111.848
2002,12.47825,7.9741875,34.410625,0.5403215,8.607142857,54.1494444,4.3419444,0,108.5733333,0,212.47,0,93.21666667,86.005,169.775,147.8,0,0,1572.053333,57.43,0,0,3862.81,715.3166667,116.54,0,0,125.35,620853.4295,4087.26,327.7742857,30286.52348,0,0,411.21,0,0,0,0,0,0,1073.844,34837.122,794.77,1334.66,0,0,3207.935,401.51,0,0,0,535.01,0,0,0,60053.23963,177828.0475,208414.75,301.029,124.29,18614.18667,14091.99214,0,0,0,0,0,49448.10563,0,0,0,632.02,1264.04,4537.79,0,378.07,9137.143333,118.76,95.11,0,8001.42,1180.99,0,334.4525,0,112.116,0,101.3214286,85.9475,0,0,85.03,0,0,451.885,322.94,0,118622.95,0,443.1525,0,99.81333333,960.0433333,442.65,0,0,0,4495.286154,113.2,435.4328571,87107.62322,0,0,798.651875,0,0,3153.675789,0,0,121.1566667,125.35,11791.8064,201.3,0,0,0,2762.812069,4525.539574,0,0,218.42,3442.04,0,3328.5725,38792.49462,0,1941.935,101.6666667,0,0,0,23204.04,501.5809091,405.765,120.98,0,0,0,62.14,136.67,0,70.82,0,124.29,0,0,0,103.91,442.9528571,0,0,0,825,587.2319355,608.3016667,61396.06969,1051.4,0,0,0,230.08,151.0733333,85.6,0,86.005,107.64,2381.097778,107.64,124.29,0,113.22,103.91,1527.882857,0,141.3466667,73.87,0,330.7183333,119.5871429,131.142,0,0,0,120.98,0,76.48,0,0,0,0,120.98,120.98,0,0,120.98,241.96,0,0,134.2633333,0,827.89,286446.0774,0,3606.42,0,27457.3625,0,921.11,329.508,0,0,6240.375,0,844.5033333,0,0,0,0,0,0,6601.752941,0,56.585,534.7633333,0,0,336.455,639.07,0,267.2055556,89.1225,0,100.65,5867.404,0,910.12,0,1233.145,7600.795882,1655.78,0,0,827.89,125.35,13246.26,0,0,1022.453548,118.2733333,0,438.363125,278.7127273,423.3783333,116.54,0,141.9533333,163.968,0,216.0966667
2003,13.85444444,8.074,34.35,0.622118571,10.40659341,54.1494444,4.3419444,63.09,0,109.8,0,0,197.805,35.41,666.246,0,0,86.98833333,0,63.775,126.19,0,0,21256.75333,0,0,0,0,389975.7498,0,316.375,10613.48588,0,0,299.06,0,0,283.93,0,0,0,625.91,9653.093333,3498.345,147.14,0,0,0,2286.7,0,0,0,0,0,0,0,75435.23563,91719.16531,844593.175,214.898,33.265,0,12549.10071,0,0,0,0,0,65249.64762,0,394.35,0,193.66,137.325,1042.703333,400.58,0,3518.085,574.94,585.968,3271.42,4652.605,67.85,196.33,1226.0125,0,35.41,0,59.77666667,73.17,35.41,0,172.1,0,87.41,846.25,0,0,79535.66615,0,0,73.17,38.42,66.685,70.83,0,0,0,1816.826667,190.863,573.3933333,41610.34514,0,0,736.9333333,221.36,0,1253.785789,0,364.285,640.3933333,63.09,16503.025,0,36.955,0,967.435,15821.38222,3414.027647,0,0,149.9525,317.035,0,2694.175,10774.45692,0,1050.856667,0,0,0,0,0,3070.808182,0,0,0,0,8176.56,34.99,113.06,0,0,0,129.835,0,123.24,94.64,115.915,1298.278333,0,0,0,833.3742857,1216.3216,1118.95,42286.68722,0,0,0,0,365.85,453.8975,157.74,163.32,96.83,87.41,425.3783333,115.77,0,33409.36,117.605,40182.70125,2371.25,87.41,52.665,128.2933333,904.16,829.07,114.698,70.4425,0,0,0,0,38.42,56.16,38.42,0,0,0,35.41,0,93.11,273.975,467.28,192.12,0,38.42,232.5111111,87.41,80.67,307322.14,0,97698.20696,0,54397.935,0,0,754.5633333,0,0,18833.35333,0,2647.052857,0,0,0,0,0,0,16601.171,0,0,175.6133333,0,0,677.756,1781.680833,945.77,230.205,196.81,0,0,1686.3225,50.07,3665.41,0,1193.466,2986.817857,1313.015,0,0,0,260.59,464.485,0,76.03,986.8638095,80.29,0,274.31,246.9818182,120.632,69.15,0,64.04,31.25,0,260.8733333
2004,12.157125,7.9574375,34.675,0.618950375,9.5625,54.1494444,4.3419444,0,188.15,126.76,0,0,107.4414286,56.855,441.2525,0,1684.6,0,1158.706667,58.34,2166.911667,0,0,459.5022222,0,317.08,0,0,258533.0941,243.98,370.31,11643.99233,0,0,149.005,0,1841.21,1526.516,0,0,4822.242,934.6711111,2222.016667,0,122.8066667,5343.22,0,49.86,0,0,0,0,2678.1,0,0,0,43193.64,69736.84163,0,266.79,210.875,2142.59,9147.025,0,44.02,0,0,0,37961.125,0,0,0,224.2825,431.934,5349.937143,0,0,1160.675,44.03,197.8371429,1016.775,7242.56,113.61,0,57.25,0,0,0,91.61,131.765,0,0,206.04,0,0,472.0175,582.615,38.05,58313.97714,1934.18,825.74,0,0,62.24,94.32,0,0,0,401.0858333,152.1566667,793.83,30308.88111,0,0,1383.830833,0,0,485.12,79.27,63.38,50.575,37.74,8822.847931,0,235.2525,0,0,2242.325714,3923.177069,0,0,106.765,2967.72,0,3913.521818,4203.5525,0,0,0,0,0,0,7330.536667,97.33571429,0,0,0,0,0,24.93,223.5633333,0,0,0,190.82,1456.97,59.82833333,68.1175,149.73,313.7533333,0,0,0,2103.62125,680.3309756,1599.048571,138478.3375,0,0,0,0,0,405.9454545,84.258,43.96,53.7,54.66,531.0557143,0,0,437.06,0,5084.574,47.014,0,72.37666667,83.13,0,185.48,132.2571429,171.55,0,0,34.1,0,0,63.38,0,0,0,77.51,40.28,0,40.65,0,36.12,42.15,0,0,54.9,61.87333333,89.3975,160752.315,0,2881.098846,0,500.6028571,0,220.53,0,0,0,3502.56,0,434.8757143,0,0,0,0,0,0,19909.55211,0,49.91,70.125,0,0,0,7686.025385,519.5277778,34.1,64.7,204.65,0,23973.22,0,135.8566667,204.67,2402.570769,16842.90783,301.225,0,0,0,158.15,2727.026667,0,0,457.5152,41.5,0,0,112.7544444,0,24.93,0,0,85.27666667,0,111.87
2005,11.8900625,7.9521875,34.779375,0.673116933,8.174107143,54.1494444,4.3419444,57.25,182.7766667,0,0,0,170.9966667,0,104.255,0,0,0,1167.06,0,1101.954,0,0,2695.938,0,0,0,0,288318.3807,0,0,11498.25143,128.08,0,196.6,0,0,0,0,0,16115.72,176.84,31528.38,211.79,192.12,0,0,0,0,0,0,0,1004.165,0,0,0,42680.96,151826.6703,0,193.306,84.365,54815.48667,11879.62714,58.99333333,0,0,0,0,75724.03444,0,0,0,0,92.16,3208.665,0,280.67,1691.15,125.13,407.74,1788.29,1876.84,129.1433333,57.65,153.0433333,64.04,0,0,57.25,185.3975,48.2,0,134.605,0,0,227.15,0,0,121444.4957,0,468.815,0,44.9,64.04,164.7433333,0,0,0,167.86625,167.8977778,870.0633333,36706.92667,0,0,502.4707692,0,0,356.10875,130.6,0,67.345,125.13,10984.57762,0,0,0,127.57,2484.126957,2789.722586,0,0,135.9333333,930.8333333,0,83611.46167,2715.046667,0,165.18,194.99,0,0,0,1700.11,468.3026316,438.4,288.01,0,3251.09,0,414.99,63.04666667,0,50.32,0,78.52333333,125.13,0,375.41,44.9,902.675,0,0,0,2027.863333,548.2178947,356.36,39829.87143,0,90.4,0,0,0,357.3227273,188.446,112.78,118.78,59.39,252.285,0,0,64.04,63.78,1530.83,70.765,0,68.81,272.14,0,290.4914286,187.7585714,44.9,0,0,0,0,156.64,63.1125,0,0,0,0,0,0,0,72.48,0,57.25,0,0,100.238,64.04,0,269650.19,0,20315.6756,0,180.0466667,0,3268.44,0,0,0,2494.252,0,527.1588889,0,0,0,0,0,0,11803.0175,0,0,1518.366667,1200.79,0,1425.351,387.5225,81.055,44.9,54.8975,0,64.04,9220.3225,0,300.92,260.47,1118.511667,13179.67636,1577.95,0,0,1035.53,67.27,5147.1,0,0,878.4644,0,0,201.29,639.1742857,136.8733333,91.57,0,165.69,99.04714286,0,0
2006,11.88446667,7.994071429,34.738,0.647176125,8.044642857,54.1494444,4.3419444,104.3333333,0,0,0,81,150.3333333,130,169.6666667,106,0,130,105,0,49557,0,0,99,0,179,0,0,460228.1887,0,339.4,43225.64706,0,0,0,0,0,0,741,0,715,355.8571429,2493,399,1088.75,0,0,0,283,0,0,0,0,4074,0,0,53027.45833,146709.6,230366,210,63,0,13016.66667,0,0,0,0,0,89606.71429,2256,0,0,79,198,368,0,0,0,93,264.75,0,2765.5,0,0,219.5,0,0,0,105,77,0,0,1697,0,0,223.5,0,0,232795.4074,0,343.5,155.25,321,57,0,0,0,0,614.4,9661,307,61299.02703,0,0,1598,118,0,1215,0,0,75,0,7969.5,0,0,0,52,3607.904762,5453.894737,0,0,218.5,1727.25,0,421,1279.583333,0,1448.8,74.5,0,0,71,2677,116.5,0,0,0,0,0,0,0,0,0,0,238.3333333,370,0,0,0,532.75,0,0,0,950.5,1066.444444,310,242944.0769,0,0,0,0,79,269.6923077,108,0,102.3333333,0,1112.75,0,0,78,0,2305,805.5,73,130,105,0,182,108.75,279.1666667,0,106,747,0,0,0,0,0,0,0,0,80,73,0,109,106,0,0,0,0,0,324547.25,0,3101.333333,0,3008.25,0,0,0,0,0,2647,0,3229.166667,0,0,0,0,0,0,21022,0,0,0,0,1353,1030.5,2532.25,372,71,0,0,0,195007.9231,140.5,0,0,240.3333333,14108.28571,0,0,0,0,0,13201.5,0,0,515.3333333,117,0,220,98.75,91,0,0,139.1428571,148.6666667,0,274.8571429
2007,12.36514286,8.053230769,34.615,0.6709664,11.46190476,54.1494444,4.3419444,0,0,0,0,0,84.8,64.59,131.8675,337.365,0,80.58,4252.026,70.81666667,0,0,0,0,61.89,502.66,0,0,279266.0083,0,883.9854545,13045.00737,0,0,0,0,0,0,0,2500.2,399.4,1017.31,0,0,282.33,0,0,32748.29,187.9,0,0,0,2822.807143,0,0,0,49722.52857,139365.3863,249140.2,514.0133333,59.39,48130.40333,6811.4725,0,0,0,0,0,102224.7981,0,0,0,94.33,0,1505.61,0,72.56,29248.31,0,69.62,10144.04,14188.67,78.7,0,2915.933333,0,78.975,0,94.904,0,78.7,0,71.58,0,0,1041.1375,421.99,0,205138.0467,0,2820.97,66.66333333,0,241.015,1601.726667,0,0,0,136.0875,59.3,7046.116667,73800.55214,0,0,52809.705,72.56,0,1075.445217,0,0,158.47,0,10367.6805,1689.275,0,0,122.28,2347.769,1327.072,0,0,199.4366667,70.61,0,14845.92,12927.54786,0,391.555,0,0,0,0,3248.165,910.2,712.65,0,0,0,0,0,0,0,187.9,0,459.94,0,0,0,0,585.7433333,0,0,0,479.3633333,6892.781667,9776.9925,76166.215,919.88,123.78,0,79.55333333,0,97.84833333,65.31,314.82,78.7,0,480.584375,58.84,0,1189.055,0,2325.7175,580.332,71.26,393.52,1644.655,0,4946.7125,551.4822222,140.8277778,0,0,236.11,0,0,0,0,0,0,0,0,0,0,0,0,157.41,0,68.8625,68.57,0,105.28,262727.7875,0,2049.181724,137167,10275.075,0,359.625,5865.31,0,0,25388.73,0,986.0366667,0,0,0,0,0,0,14555.32429,0,0,65.31,0,70.61,638.2566667,7566.746364,1182.55875,0,68.55,79.64,0,650.64,0,0,0,464.34,4650.297778,0,0,70.58,0,0,0,0,0,408.2308333,68.33,0,117.6233333,61.89,0,1464.036,0,0,0,0,482.74875
2008,12.82946667,NA,34.33366667,0.423655067,7.547619047,54.1494444,4.3419444,94.46,0,70.6,0,0,209.835,0,887.97,94.46,0,0,2530.67,197.795,0,0,0,3267.085263,0,0,0,0,664241.1354,0,2369.64,47703.9437,0,0,150.405,0,2585.04,0,0,0,0,18759.85889,0,366.3,4538.468,0,0,3308.61,0,0,0,0,11168.68,0,0,0,38984.861,177526.8997,401801.0469,425.0766667,77.98,2566.72,8706.438667,0,0,0,666.66,70.58,85211.45759,0,0,0,11305.63286,604.3788889,26695.31,0,94.46,3497.57,317.436,517.5466667,6975.09,22263.672,501.5833333,0,1229.812222,0,0,70.58,0,216.325,0,0,205.39,0,0,0,1671.074,0,236696.1529,0,529.9466667,9784.73,0,113.41,149.51,818.22,0,0,3674.903333,393.2633333,568.8133333,64396.8875,0,0,1592.357857,0,0,1394.119412,0,95.23,306.7585714,77.98,13942.99667,0,1124.5025,0,282.0525,4877.661538,4140.280238,0,0,254.92,850.2,0,11211.02556,98657.61882,0,2181.38125,632.04,0,0,0,2308.706667,178.048,1505.44,0,155656.04,0,0,0,223.772,0,95.23,0,105.93,93.45,0,0,127.485,881.1516667,0,0,0,1464.72,1705.013947,987.6491667,123031.6914,1352.4,130.01,0,0,0,230.0484615,540.82,81.53,0,0,330.6344444,93.45,0,0,0,2787.966,252.77375,0,259.49,294.6325,0,286.054,362.8209091,183.795,0,0,88.48333333,0,0,0,0,0,0,0,55.05,0,0,0,0,64.59,0,146.5875,231.71,72.62,0,211315.0563,0,5007.862143,0,12375.59625,2220.56,1352.92,0,3340.748571,0,7961.251111,0,857.9625,0,0,0,0,0,0,16602.88938,0,0,0,13516.19,0,173.3476923,688.748,144.198,130.20375,81.695,0,0,12421.85875,73.26,73.26,0,155.97,2966.031176,0,0,0,0,140.33,1472.256,0,0,1433.986538,276.23,0,141.16,369.7775,58.6,1116.815556,0,0,112.32,0,102.56
2009,12.09444444,NA,34.74444444,0.698923333,11.07142857,54.1494444,4.3419444,81.29333333,313.305,0,0,0,114.89,0,288.6985714,966.24,0,83.9,638.46,118.795,0,613.35,0,954.08,0,2762.046667,0,0,174160.3289,0,199.11,188657.5019,1036.67,0,764.01,0,11241.18,1132.24,0,0,2402.371111,2009.447692,1095.6,1068.678333,941.39,0,0,416.425,573.17,1243.455,0,0,638.46,340.9,0,170.64,15360.98524,79459.57111,397059.3,144.0757143,84.99,2872.49,23048.01111,94.865,0,0,0,155.38,31012.02393,0,0,0,955.5733333,282.51,1664.4025,574.49,104.96,1863.87125,178.485,317.01,7421.01,3595.64,223.525,0,1589.173,90.66,0,0,99.56,78.1,0,0,99.88,0,90.66,68.6,772.68,0,106839.0596,0,798.3028571,457.4933333,446.6325,305.11,140.694,0,0,0,413.3791667,393.5841667,493.098,35669.95365,0,0,671.8190909,0,0,606.8189474,0,201.0833333,142.2533333,0,5191.769474,0,511.89,0,0,1534.261053,2436.696296,0,0,121.4877778,602.325,3703.007273,4184.87875,3272.352353,0,267.11,377.26,0,0,0,2117.5375,434.84375,1082.34,0,0,0,0,87.375,258.928,0,97.075,0,52.655,0,270.58,0,559.96,160.5642857,0,0,0,1971.110769,659.0272973,541.6,60287.17781,0,2216.34,0,37.42,0,129.204,134.0371429,91.43666667,54.73,0,2316.402222,0,0,1167.98,0,675.04,153.6283333,0,96.078,107.7275,0,249.055,133.4785714,246.2742857,0,83.9,87.045,0,0,144.54,0,0,105.83,0,104.96,0,0,69.79,0,362.04,0,159.405,266.4471429,0,87.045,54198.21727,32590.265,7909.317209,248358.6,54379.27933,0,1279.866,826.2866667,469.145,0,2732.395556,0,1039.228,0,0,3232.82,0,78.1,0,10005.175,90.19,114.89,0,0,0,87.765,503.66,1748.413571,95.07,99.94,0,0,2702.9675,0,0,0,0,1126.936842,353.7,0,0,0,392.6916667,324.8557143,0,0,570.2132143,346.315,0,165.5971429,553.7755,205.08,296.268,0,87.825,121.385,0,110.11
