year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus normanii,Actinocyclus octonarius,Actinoptychus senarius,Akashiwo sanguinea,Alexandrium,Alexandrium tamarense,Amphidinium [1],Amphidinium sphenoides,Amphidoma acuminata [3],Amphora [1],Apedinella spinifera,Archaeperidinium,Asterionella formosa,Asterionellopsis glacialis,Asteroplanus kariana,Attheya,Aulacoseira,Azadinium,Bacillaria paxillifer,Bacteriastrum hyalinum,Bellerochea malleus,Biddulphia alternans,Biota,Brachiomonas,Campylosira cymbelliformis,Cerataulina pelagica,Cerataulus radiatus,Chaetoceros,Chaetoceros affinis,Chaetoceros anastomosans,Chaetoceros borealis,Chaetoceros ceratosporus,Chaetoceros concavicornis,Chaetoceros contortus,Chaetoceros costatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros lauderi,Chaetoceros lorenzianus,Chaetoceros pseudocrinitus,Chaetoceros pseudocurvisetus,Chaetoceros similis,Chaetoceros subtilis,Chaetoceros tenuissimus,Chaetoceros teres,Chlorophyta,Chromista [1],Chroococcales,Cochlodinium,Coelastrum [1],Corethron hystrix,Corymbellus aureus,Coscinodiscophyceae,Coscinodiscus centralis,Coscinodiscus concinnus,Coscinodiscus granii,Coscinodiscus perforatus var. pavillardii,Coscinodiscus radiatus,Coscinodiscus wailesii,Crucigenia,Cryptomonadales,Cyanophyta,Cymatosira belgica,Cymbomonas tetramitiformis [2],Dactyliosolen fragilissimus,Dactyliosolen phuketensis,Delphineis,Desmodesmus,Detonula pumila,Diatoma tenuis,Dictyocha,Dictyocha fibula,Dictyocha speculum,Dinobryon,Dinobryon faculiferum,Dinophyceae,Dinophysis,Dinophysis acuminata,Dinophysis acuta,Dinophysis rotundata,Diploneis,Diplopelta asymmetrica,Dissodinium pseudolunula,Ditylum brightwellii,Dolichomastix,Emiliania huxleyi,Entomoneis,Eucampia zodiacus,Euglenophyceae,Eukaryota,Eunotogramma dubium,Eutreptiella,Fibrocapsa japonica,Fragilaria oblonga,Fragilariaceae,Fragilidium subglobosum,Gonyaulax,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodiniales [1],Gymnodinium galeatum,Gymnodinium verruculosum,Gyrodinium,Gyrodinium britannicum,Gyrodinium flagellare,Gyrodinium spirale,Gyrosigma,Gyrosigma tenuissimum,Halosphaera,Haslea,Helicotheca tamesis,Heterocapsa,Heterocapsa lanceolata,Heterocapsa niei,Heterocapsa triquetra,Heterosigma akashiwo,Karenia mikimotoi,Katodinium glaucum,Khakista,Khakista [2],Kolkwitziellaceae,Lauderia annulata,Lennoxia faveolata,Leptocylindraceae,Leptocylindrus,Lessardia elongata,Licmophora,Lithodesmium undulatum,Mallomonas,Mamiella gilva,Mantoniella squamata,Mediopyxis helysia,Melosira [1],Melosira nummuloides,Meringosphaera,Merismopedia,Mesoporos perforatus,Meuniera membranacea,Micracanthodinium,Micractinium [1],Micromonas pusilla,Minutocellus scriptus,Monoraphidium,Navicula distans,Nematodinium armatum [1],Neocalyptrella robusta,Nitzschia reversa,Nitzschia sigma,Odontella,Odontella aurita,Odontella longicruris,Odontella mobiliensis,Odontella regia,Odontella rhombus,Odontella sinensis,Odontella subaequa,Odontella turgida,Oocystis,Oxytoxum,Oxytoxum adriaticum,Oxytoxum mediterraneum,Paralia sulcata,Pediastrum,Peridiniales,Peridiniella danica,Phaeocystis,Plagiogrammopsis,Plagiolemma distortum,Plagiotropidaceae,Planctonema,Planktothrix agardhii,Pleurosigma,Pleurosigma angulatum,Pleurosigma normanii,Pleurosigma simonsenii,Pleurosigmataceae,Podosira stelliger,Polykrikos,Preperidinium meunieri,Preperidinium pseudooblea,Proboscia alata,Proboscia indica,Prorocentrum,Prorocentrum balticum,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoceratium reticulatum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Protoperidinium brevipes,Protoperidinium cerasus,Protoperidinium claudicans,Protoperidinium conicoides,Protoperidinium conicum,Protoperidinium curvipes,Protoperidinium denticulatum,Protoperidinium depressum,Protoperidinium divergens,Protoperidinium excentricum,Protoperidinium latidorsale [1],Protoperidinium leonis,Protoperidinium marielebouriae,Protoperidinium mite,Protoperidinium oblongum,Protoperidinium obtusum,Protoperidinium ovatum,Protoperidinium pallidum,Protoperidinium parthenopes,Protoperidinium pellucidum,Protoperidinium pentagonum,Protoperidinium punctulatum,Protoperidinium pyriforme,Protoperidinium steinii,Protoperidinium subinerme,Protoperidinium thorianum,Protoperidinium thulesense,Prymnesiales,Pseudanabaena,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,Pseudo-nitzschia subpacifica,Pseudochattonella,Pseudopedinella,Pseudopodosira westii,Pterosperma,Pterosperma parallelum,Pterospermataceae,Pyramimonas,Pyramimonas longicauda,Pyrocystis hamulus,Pyrophacus horologium,Rhaphoneis amphiceros,Rhizosolenia,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Roperia tesselata,Sabulodinium undulatum,Scenedesmaceae [1],Skeletonema,Snowella,Spatulodinium pseudonoctiluca,Stephanodiscaceae,Stephanopyxis turris,Surirella,Tetraselmis,Tetrastrum,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira,Thalassiosira anguste-lineata,Thalassiosira levanderi,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Torodinium robustum,Trachelomonas,Trachyneis aspera,Tripos,Tripos furca,Tripos fusus,Tripos horridus,Tripos lineatus,Tripos longipes,Tripos macroceros,Tripos muelleri,Tryblionella,Ulnaria acus,Ulnaria ulna,Warnowiaceae
2000,12.83341667,8.111083333,32.27333333,0.873654167,25.20833333,53.4611111,5.1008333,0,0,326.7125,0,38.81,38.81,0,0,0,39900.63333,282.44,408.7266667,0,3348.6,2691.42,0,4000,0,83.09,7000,0,166.19,1164473.474,0,254.44,116.45,0,143319.2686,0,0,2590.793333,50505.05,0,0,2290.2,0,116.8466667,42608.9125,127.22,603.4166667,0,0,0,0,0,0,0,0,0,0,318.05,668434.32,59901.962,0,91.16,1526.66,190.83,5531.37,91456.51333,0,0,0,0,38.81,93.53,0,256045.6367,5687.2,2765.68,0,177850.1667,0,19368.27,0,1833.333333,0,0,0,58.53,0,62.5,1029.53,0,0,0,38.81,0,125,232.9,441.77,0,0,0,1370.5475,0,0,1000,875,0,0,272.72,0,54.56,86365.506,3240.52875,1629.554,42606.74071,0,0,2437.71,0,0,3265.522,127.22,0,0,226.41,190.83,12413.28444,0,163.68,0,0,0,2251.162222,14633.18949,0,328.0266667,2223.61,0,368290.23,0,0,0,0,0,0,0,0,0,0,0,0,250.63,2198.11,0,0,0,0,1382.84,0,55.81,500,0,129.505,0,341.04,0,0,72.5,0,52.575,0,0,0,343.25,0,0,7485.903333,379.14,564.4225,375.924,118177.7247,3157.713333,0,0,0,3816.65,0,0,764.15,0,0,59.115,500,83.015,0,0,0,0,0,1052.5725,3337.364,1833.333333,0,265.9,110.205,699.4028571,0,0,96.59,0,163.68,0,500,38.81,0,169.81,0,0,0,0,0,0,0,0,562.5,0,0,0,5000,226.41,0,0,163.68,46059.844,0,3981.847273,2000,0,0,0,0,1000,0,0,43045.85714,0,0,0,381.7466667,0,0,4078.821429,11912.583,0,102.2533333,0,7624.488,21931.55,0,0,0,38.81,0,0,16594.13,0,10637.595,26135.10889,0,39851.52,127.22,146.5333333,1527.746667,529.403,0,0,0,0,291.94,224.37,0,0,0,0,0,190.83,0,75.21333333
2001,13.8,8.194272727,32.23181818,0.826977818,22.55844156,53.4611111,5.1008333,0,0,852.32,0,0,102.07,0,0,0,0,3125,729.5566667,3333.33,23891.96333,0,3125,0,0,1663.53,8244.0475,0,0,2473970.539,0,0,113300.985,0,181054.668,0,0,0,0,0,10087.3,19892.855,0,0,22399.51667,483.22,870.835,349.25,1500,2761.94,0,4000,0,7500,0,0,0,0,372958.48,170212.6418,42867.34,0,4277.67,0,0,69899.09222,0,0,0,0,0,78.94,0,350977.58,3947.36,0,0,955.556,9375,26290.14833,0,0,552.63,0,0,0,67567.56,0,750,0,1729.296667,0,0,0,0,371.465,7548.31,0,0,0,1109.15,0,505050.5333,1938.24,3398.8075,551.61,7144.55,0,0,1130.97,22766.99667,1743.386667,8292.0075,164974.8482,0,0,1812.5,0,0,2057.142,0,0,0,1000,78.94,7004.507778,0,1000,1494.65,0,0,6853.29,21583.90355,0,213.9075,1212.4425,0,38281.25,408696.065,0,78.94,0,0,0,0,0,356.47,0,16891.89,0,0,435.01,3000,0,0,0,3572.27,0,215.5733333,0,0,526.31,0,361.9066667,0,0,157.89,0,579.2133333,157.89,0,0,0,0,0,16027.658,7368.42,2432.955333,1523.806667,971796.7204,0,0,0,0,0,0,0,0,0,420.6385714,500,345.235,252.3575,0,0,0,0,0,2739.28,1371.494,23437.5,0,178.8875,0,1241.34,0,0,0,0,95.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.48,0,0,0,0,353,95.23,0,277450.7745,0,9410.762,2750,0,0,16891.89,0,6706.32,0,0,18863.43167,0,1000,0,338.12,0,0,26158.025,1886.361667,0,59.41,0,27683.67,43114.042,0,0,0,0,0,0,357227.9,0,9003.7975,63095.24333,0,21433.67,0,1357.128,50011.9,1235.3475,0,91.27,0,0,2256.616667,0,0,0,0,0,0,0,0,344.335
2002,12.9099375,8.053125,31.838125,0.816530625,27.92857143,53.4611111,5.1008333,0,0,308.1,0,0,0,0,279.68,0,6250,0,391.9033333,0,0,0,0,0,0,0,3500,0,8000,2543970.628,0,0,26136.90375,0,302359.0531,0,0,0,0,0,0,13125,0,88.76,3312.5,1000,4500,927.75,1500,2155.425,0,0,0,15000,0,50675.67,0,0,320482.5307,304164.8878,0,0,0,177.48,0,151254.6611,0,0,0,0,0,0,0,452321.805,15000,0,0,88.74,1040.79,9672.296667,0,0,0,3156.365,0,0,30025.335,9245.185,110.48,0,537.4725,0,224.1466667,0,167.3633333,110.48,1500,0,0,0,27996.262,0,409825.8838,13255.63,1462.546,640.6825,0,0,0,117.6133333,8936.835,4433.11,1718.1675,99471.8495,0,0,1666.666667,110.48,0,1685.565556,0,0,0,95.23,0,31782.19412,0,1812.5,0,500,0,4581.45,29952.47,0,205.72,696.7125,0,5650,110838.8,0,0,798.86,0,0,0,0,0,0,0,0,398.42,0,0,0,0,680282.492,33783.78,0,209.47,231.93,0,0,0,96.485,0,0,218.33,0,386.3725,0,0,308.85,3083.333333,0,0,6130.608182,0,1997.3725,0,748085.5435,124.825,0,0,592.03,0,0,99.475,0,0,441.0888889,500,118.73,1265.416667,0,0,177.48,500,0,8333.333333,648.22875,7669.98,0,307.06,0,961.388,0,0,91.30666667,0,610.41,0,0,0,0,274.54,0,80.36,938.84,88.76,0,0,500,0,0,110.48,0,0,0,0,126.52,251.2866667,0,246467.4159,0,8093.196154,2962.57,0,0,10874.526,0,359.07,0,0,38623.04111,0,0,0,225.095,0,0,65696.29818,1581.546,0,180.725,0,9824.08,43040.53,0,0,0,0,0,0,3789.37,0,26289.468,56433.79167,847.905,21875,0,488.322,5173.95,674.02625,0,244.8966667,0,0,328.8877778,88.76,0,0,0,0,0,0,0,243.4075
2003,13.059,8.0674,32.695,0.912440571,23.01530612,53.4611111,5.1008333,0,0,500,77.57,96.83,93.09,0,394.485,0,0,0,1270.103333,0,0,2000,0,0,0,504.07,6500,0,73.025,3618402.383,0,0,7174.754286,0,781739.1564,0,0,0,0,0,4375.23,12889.73,0,2500,8208.333333,48020.10333,1500,0,0,2139.81,0,0,0,0,0,12500,0,0,271044.4975,548839.086,0,500,0,297.35,0,88995.53727,0,0,142.715,500,0,0,0,367567.0457,0,0,0,548.415,1395.393333,18234.056,0,0,0,0,0,0,0,0,348.28,0,729.18,0,135.86,0,0,0,224.8,0,0,0,4103.436667,0,878787.89,1000,43789.2475,299.14,0,0,0,77.57,25001.812,14095.6525,27776.8525,108109.642,0,0,0,72.95,0,6476.655,0,40.81,0,548.415,0,12410.4725,0,0,500,3125,0,2776.052222,56089.60605,0,567.0766667,1205.728333,0,191432.1183,29571.42857,0,0,1000,0,0,0,0,96.83,0,1000,0,1062.236,577.1166667,0,0,0,33783.78,0,0,0,155.89,1000,212.0233333,0,285.7366667,0,1103.436667,275.33,0,845.0975,0,93.09,0,2000,0,0,8484.209,0,1526.322,0,1585871.926,1500,0,0,0,0,0,161.6866667,0,189.8725,1273.481111,119.4025,0,1000,0,0,232.73,0,12500,923.415,177.93,19416.66667,0,235.71,259.3166667,1883.29625,0,1000,0,0,0,0,284.12,0,0,0,0,500,77.57,0,98.28,0,276.645,0,0,0,77.57,744.72,96.66,3409.0175,298.415,155.15,0,697106.1893,0,46480.97941,3625,0,0,50675.67,284.055,6250,0,0,48985.35333,0,0,93.235,500,0,0,49899.26,4193.181818,0,0,0,158277,7963.963333,0,0,1000,0,0,0,0,0,655.1666667,25434.00636,0,0,0,500,546.545,964.15,0,253.1825,0,232.73,902.3966667,307.528,102.015,0,298.415,0,0,0,91.77,500
2004,13.02264286,8.048142857,33.23857143,0.714284286,20.30102041,53.4611111,5.1008333,0,126.275,470.6866667,0,0,0,0,92.62,0,0,0,732.6566667,0,29500,19000,0,0,0,231.35,9710.705,0,0,2458367.477,0,0,233.65,0,40201.93714,0,33908.75,0,0,0,0,0,0,0,7148.49,0,674.2275,0,11500,210.7,0,0,0,0,0,2209.453333,0,0,122417.6385,569000.1172,0,500,0,0,0,63627.852,0,0,0,0,0,0,0,454881.63,122096.1,0,0,555.76,421.41,6560.525714,0,1500,0,1000,0,0,31055.9,3125,67.3,0,1000,0,0,0,0,0,4326.196667,0,0,0,24660.91,1997.02,849512.4962,424.8866667,222.23,1000,0,0,0,0,3847.665,4294.934,315.065,53329.58294,0,0,1627.695,159.725,0,2453.22,0,0,0,250.9433333,231.35,10728.81538,0,0,107.14,2529,0,9265.525833,10616.06025,0,302.675,1316.92,0,10220.865,102074.8575,0,0,0,0,0,0,0,0,1278.84,0,0,1000,0,0,0,0,64026.2475,0,0,0,463.13,0,0,0,1610.963333,0,138.185,67.3,115.67,118.56,0,0,0,12330.45,0,0,4289.714,5928.41,708.9491667,0,1301485.646,0,67.3,0,0,0,0,0,0,65.93,831.297,159.3566667,0,48.3,0,0,0,0,0,2555.651667,294.346,3194.552,0,4087.655,0,1006.61125,0,0,0,0,59.28,0,0,0,0,126.76,0,63.38,0,0,105.35,0,0,0,0,0,0,0,0,92.62,316.91,126.76,0,422079.5871,0,57279.08417,658.46,0,0,658.46,0,1407.438,0,0,42925.02429,0,0,0,56.59,0,0,82738.22333,1663.663,185.25,156.005,0,8231.5325,17450.225,0,0,0,0,0,0,0,1204.16,43146.9125,22062.19364,0,0,6947.895,238.0233333,731.105,1139.703077,0,73.53,0,0,2750.13375,0,67.3,0,92.62,0,0,0,0,0
2005,12.5265,8.08725,32.884375,1.110596857,23.94761905,53.4611111,5.1008333,1152.17,116.22,358.45,0,0,74.68,0,0,0,0,0,385.37,0,4615.38,376.76,0,0,6250,0,2056.855,0,2000,2445026.105,0,0,1051.4,0,341032.3518,150.48,0,0,0,0,2173.91,0,14000,2718.15,3248.285,0,714.6775,0,4000,0,488.63,0,0,0,0,1171.603333,0,1316.72,145651.8764,748726.8778,912162.2,0,0,2881.356667,0,10197.77833,0,769.23,0,0,0,602.005,238891.5,292711.8087,0,0,0,1000,434.78,88097.09,0,0,0,0,0,545.31,0,29377.2,0,0,434.504,0,110.1675,0,0,0,306.04,0,0,1000,4000,0,875954.5182,0,676.47,2500,0,0,0,37.34,7560.53125,6749.615714,229.9733333,81898.59625,0,0,2917.662,0,0,6786.28125,0,0,0,258.205,869.56,87642.98857,0,448.09,0,0,0,8737.62,43352.83875,0,144.55,12729.84833,0,17833.33333,25867.645,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,71609.36667,23889.15,0,0,0,0,0,0,164.43,0,92.215,164.43,0,778.5533333,0,0,0,650.33,0,0,8373.200833,0,1600.087,0,5305356.169,2762.745,130.11,0,0,0,0,0,0,81.63,729.769,236.9866667,434.78,0,74.68,0,0,0,0,1637.4425,3160.29,19546.07,77.13,101.215,117.64,1010.65875,0,0,0,0,102.8,37.34,0,0,181.25,0,0,0,0,0,0,0,0,0,0,537.62,0,90.62,0,0,769.23,0,0,736515.5785,0,43463.14824,524711.04,0,0,6250,0,0,0,0,27983.90429,0,0,0,934.78,4000,0,4875.87,2588.371818,0,1000,0,56909.79,11897.35333,0,0,0,514.01,0,0,0,4000,6325.8275,30707.253,0,0,0,205.6,0,1241.570769,0,650.33,0,0,655.1716667,90.62,0,0,0,0,0,0,0,267.1575
2006,12.1866875,8.044466667,32.760625,0.910392444,21.76190476,53.4611111,5.1008333,96,0,224,0,40,0,0,0,40,0,0,457.6666667,0,42055.33333,21702.5,0,0,40,1378,806.6666667,964,0,2221687.639,5463,0,2300.333333,0,232683.75,0,0,0,0,0,1538,3077,0,0,9892.2,10310.75,4733.5,0,2133,314,0,2308,0,855,1415.666667,8229.5,0,6088,113190.9091,488609.2857,1378550,588.5,0,148.5,1243,151078.875,0,0,0,49,769,419,0,580347.0588,2429.5,0,0,9108,142,5041.166667,0,0,0,0,0,101.2,0,44685,0,837,107,80,92.2,432.5,0,0,270.5,0,0,0,8846,6154,932345.8125,5705.333333,4500.5,80,0,0,0,89.33333333,41115.18182,9255.4,1194.5,112630.7222,0,0,6694.714286,119.3333333,0,2262.333333,0,0,0,346,0,43716.16667,0,40,703.3333333,0,0,11081.66667,24589.07317,0,80,1441.75,0,33741.66667,14900.6,96,321,0,0,0,0,0,0,0,101093.6667,2821.5,0,264,8937,3077,0,82713,0,71,0,191,0,0,0,191,0,0,0,0,623.5,0,0,769,597.3333333,0,0,4547.166667,909,12738.33333,318,306698.3333,5682,0,0,0,0,0,0,0,273.5,208.125,143.4,0,0,0,0,214,0,477,195,1538.5,4654,0,809.375,108.6666667,2083.666667,0,0,71,0,71,0,0,0,0,0,0,0,52,424.5,75.5,0,0,0,0,354.3333333,0,0,1538,769,75.5,426.6666667,0,543192.6429,0,32410.82353,4834.6,0,0,8590,69,1693.875,0,0,68432.9,0,0,0,143,0,6577.75,54252.36364,3212.75,115.1666667,159,0,6535.666667,32393.85714,4793.666667,0,0,161,0,0,11364,1802.125,17038.875,71548.30769,0,0,4738.666667,522.5,769,485.3571429,0,383.3333333,0,40,430.125,170.25,0,0,83.5,71,0,0,0,196
2007,12.94971429,8.151461538,32.45785714,0.928569571,28.48469388,53.4611111,5.1008333,0,296.5966667,2000,0,0,236.11,0,130.62,0,0,0,769.23,0,1251.12,0,0,0,16003.41,1381.423333,751.74,0,0,1090044.017,0,0,24424.132,0,97478.31733,0,0,0,0,55.65,0,0,0,166.97,7692.3,4286.42,0,0,1296.16,0,0,769.23,0,0,0,0,0,2307.69,60687.5425,481389.5835,0,62.64,0,577.605,29243.045,95107.50875,0,0,0,0,0,131.69,0,279951.7307,667.9,0,0,1538.46,2473.666,9491.3725,0,6153.84,0,770.595,0,0,79030.55,5417.11,63.24,0,270.995,0,59.84,77.21,0,0,55.55,0,0,5334.47,280684.022,0,1045637.927,437.555,3807.586667,3076.92,0,0,0,62.64,27452.6925,4865.234,16898.102,57569.48615,0,0,1493.814,100.64,0,1606.347143,0,0,0,262.375,0,16650.79286,0,0,1153.845,0,62.64,6049.291818,25136.37071,0,107.105,1151.653333,0,186890.59,260778.915,0,0,0,0,0,0,0,0,0,27570.99,0,7505.273333,510.8516667,0,1053741,899364.5933,220568,0,63.24,440.27,65.31,0,0,0,72.56,0,0,0,0,111.1,0,0,0,0,0,0,4591.49625,0,5524.621,0,1999649.049,3869.016667,0,0,0,0,0,769.23,0,126.48,453.45375,99.565,55.65,177.16,0,0,50.32,0,0,5282.31,510.1028571,13131.09333,0,140.795,306.6366667,1166.3075,0,65.31,0,0,0,0,0,322.2033333,0,0,0,1538.46,0,63.24,78.7,0,140.665,0,0,412.0275,0,55.65,0,63.24,195.93,769.23,0,432599.6889,870.82,42157.29611,12848.31429,0,0,1415.33,0,534.7666667,0,0,76475.84286,1153.845,0,0,56.28,0,0,53987.09333,1580.46875,54,150.52,0,917.83,5558.936667,0,0,5417.11,65.31,0,0,32982.89,10472.84,23654.25,19137.86125,0,0,166.97,0,0,1635.883333,66.56,62.94,0,65.31,226.292,126.48,151.645,0,54,0,0,0,0,253.235
2008,13.90664286,NA,32.955,0.5677408,19.09523809,53.4611111,5.1008333,434.78,769.23,245.3266667,0,0,0,0,769.23,0,0,0,318.4466667,0,8530.27,0,0,0,0,0,6153.84,0,0,3098649.636,0,0,12169.195,10121.45,233105.5347,0,0,174.16,0,0,0,0,0,0,10943.25333,0,256.41,0,12363.60333,0,0,0,0,0,0,2150.19,0,0,62665.29,550833.4665,60302.71,470.495,0,0,464.44,91192.83455,87.32,0,0,0,74.2,296.4,0,528979.894,0,0,0,9024.29,2734.262,36250.635,0,0,0,0,0,0,333333.3,26343.51,0,0,0,0,441.43,0,0,0,633.1057143,0,0,0,15418.11857,0,2631014.208,0,3772.055,20945.69,0,0,0,101.34,29040.749,15361.18333,2605.133333,77084.9825,0,0,1888.3875,427.35,0,2582.068889,0,0,0,434.78,0,39463.29889,0,0,0,0,0,2743.144167,53858.40464,0,1323.3475,3164,73910.325,50618.76667,2384085.841,0,0,0,0,0,0,0,0,0,0,0,0,912.685,0,0,3748173.114,333690.9375,0,0,0,0,0,58.05,0,0,0,0,0,0,769.23,0,0,0,1102.563333,0,0,7055.258333,0,5494.363333,0,1749747.619,805.2,0,0,0,0,0,74.2,0,0,485.12875,113.63,811.965,246.415,0,0,0,0,0,0,470.69,20051.185,0,517.91,201.29,1210.211429,769.23,427.555,0,0,0,0,0,0,0,0,0,0,148.4,0,0,0,0,0,0,201.29,85.47,100.64,0,389.2566667,150.735,434.78,0,779462.693,0,195419.1231,60768.47667,10136.74333,0,44862.03,0,2747.75,0,0,115472.8823,769.23,0,0,0,769.23,0,20796.70875,1076.336667,0,116.11,0,0,16283.93,0,0,16103.05,0,0,1538.46,0,0,6428.0575,24044.051,0,0,0,116.11,5384.61,679.7391667,0,0,0,85.88,556.0777778,0,658.3633333,0,0,0,0,0,0,58.05
2009,12.45,NA,33.33888889,0.732973444,20.63492063,53.4611111,5.1008333,0,139.48,769.23,903.57,0,59.945,0,0,0,0,16826.79,1484.79,0,3913.04,0,0,0,0,0,7257.6325,0,869.56,2309480.252,0,0,3508.54,0,157150.9525,0,0,0,0,0,0,0,0,3890.906,14782.6,0,3531.126667,0,25131.90667,0,0,0,0,0,9130.43,0,0,0,209241.4325,547601.6884,3293356,1217.945,0,1624.855,319.19,55277.77,0,0,0,1431.12,224.8883333,90.608,0,371386.7917,0,0,0,0,242.24,116029.5667,0,0,0,3076.92,0,876.35,124147.726,52687.03,0,0,415.07,0,238.755,0,0,238.7933333,2233.036667,0,0,0,20035.928,0,2298370.176,0,3501.36,0,3478.26,0,0,0,56600.97833,2414.927143,8689.45,110885.7021,0,0,1230.702,121.12,0,1167.798,0,0,0,1538.46,0,25858.20231,0,0,0,0,0,4924.048824,43719.17515,0,777.4042857,2117.49,95576.8575,25621.42667,16422.42,0,0,0,0,0,0,297.628,0,0,0,0,10546.94,2655.38,769.23,0,3125410.033,83205.9175,0,0,299.14,94.79,0,0,0,341.88,0,593.87,0,0,481.4033333,0,0,0,3413.46,0,0,17615.25667,1282.05,6705.075,0,940074.3183,85.47,9372.065,0,0,0,0,207.5,0,53.19,312.63625,0,1535.8,0,0,0,0,769.23,0,51185.39,496.76,2995.9475,0,769.23,769.23,2025.13,1153.845,1794.87,0,0,334.12,0,0,0,0,0,53.135,769.23,136.03,0,51.88,0,0,0,0,114.87,0,749.565,0,269.165,440.45375,0,340.07,86995.69692,0,412933.9408,177421.9675,0,388.33,434.78,420.32,411.555,0,0,45828.40444,3107.285,0,53.19,0,0,0,15646.7825,7558.754286,95.4,0,0,2599.243333,1119751.63,0,0,0,0,0,0,0,0,4565.21,180547.9946,0,0,26956.52,0,1638.795,915.94,0,111.37,0,388.54,1229.9675,616.14,820.902,0,0,0,0,0,0,1515.3775
