year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus,Actinocyclus normanii,Actinocyclus octonarius,Actinoptychus senarius,Akashiwo sanguinea,Alexandrium,Alexandrium leei,Alexandrium margalefii,Alexandrium minutum,Alexandrium ostenfeldii,Alexandrium pseudogonyaulax,Alexandrium tamarense,Amphidinium [1],Amphidinium sphenoides,Amphidoma acuminata [3],Amylax triacantha,Apedinella spinifera,Aphanizomenon,Archaeperidinium,Asterionellopsis glacialis,Attheya septentrionalis,Attheya septentrionalis [1],Azadinium,Azadinium caudatum,Bacillaria paxillifer,Bacteriastrum hyalinum,Biddulphia alternans,Biota,Braarudosphaera bigelowii,Brachiomonas,Campylosira cymbelliformis,Cerataulina pelagica,Ceratoneis gracilis,Chaetoceros,Chaetoceros affinis,Chaetoceros atlanticus,Chaetoceros borealis,Chaetoceros ceratosporus,Chaetoceros compressus,Chaetoceros concavicornis,Chaetoceros contortus,Chaetoceros convolutus,Chaetoceros costatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros dichaeta,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros lauderi,Chaetoceros lorenzianus,Chaetoceros pseudobrevis,Chaetoceros seiracanthus,Chaetoceros subtilis,Chaetoceros teres,Chaetoceros tortissimus,Chattonella antiqua,Chlorophyta,Chromista [1],Chroococcales,Cochlodinium,Corethron hystrix,Corymbellus aureus,Coscinodiscophyceae,Coscinodiscus centralis,Coscinodiscus concinnus,Coscinodiscus granii,Coscinodiscus radiatus,Coscinodiscus wailesii,Cryptomonadales,Cyanophyceae,Cymbomonas tetramitiformis [2],Dactyliosolen blavyanus,Dactyliosolen fragilissimus,Dactyliosolen phuketensis,Delphineis,Detonula pumila,Dicroerisma psilonereiella,Dictyocha,Dictyocha fibula,Dictyocha speculum,Dinobryon,Dinobryon faculiferum,Dinophyceae,Dinophysis,Dinophysis acuminata,Dinophysis acuta,Dinophysis norvegica,Dinophysis rotundata,Diploneis,Diplopelta asymmetrica,Dissodinium pseudolunula,Ditylum brightwellii,Dolichomastix,Entomoneis,Eucampia zodiacus,Euglenophyceae,Eukaryota,Eutreptiella,Fibrocapsa japonica,Fragilariaceae,Fragilariopsis,Fragilidium subglobosum,Gonyaulax,Gonyaulax digitale,Gonyaulax rugosum,Gonyaulax verior,Gotoius abei,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodiniales [1],Gymnodinium galeatum,Gymnodinium verruculosum,Gyrodinium,Gyrodinium britannicum,Gyrodinium flagellare,Gyrodinium spirale,Gyrosigma,Gyrosigma fasciola,Gyrosigma tenuissimum,Halosphaera,Haslea,Helicotheca tamesis,Heterocapsa,Heterocapsa niei,Heterocapsa triquetra,Heterosigma akashiwo,Karenia mikimotoi,Karlodinium,Katodinium glaucum,Khakista,Khakista [2],Kofoidinium lebouriae,Kolkwitziellaceae,Lauderia annulata,Lennoxia faveolata,Leptocylindraceae,Leptocylindrus,Leptocylindrus mediterraneus,Lessardia elongata,Licmophora,Mamiella gilva,Mantoniella squamata,Meringosphaera,Mesoporos perforatus,Meuniera membranacea,Micracanthodinium,Micromonas pusilla,Minutocellus scriptus,Navicula distans,Nematodinium armatum [1],Nematopsides vigilans,Neocalyptrella robusta,Nephroselmis,Nitzschia bilobata,Nitzschia reversa,Nitzschia sigma,Odontella aurita,Odontella mobiliensis,Odontella regia,Odontella sinensis,Ollicola vangoorii,Oxytoxum,Oxytoxum adriaticum,Oxytoxum gracile,Oxytoxum mediterraneum,Paralia sulcata,Peridiniales,Peridiniella danica,Phaeocystis,Plagiogrammopsis,Plagiolemma distortum,Pleurosigma,Pleurosigma angulatum,Pleurosigma formosum,Pleurosigma normanii,Pleurosigma simonsenii,Pleurosigmataceae,Podosira stelliger,Polykrikos,Porosira glacialis,Prasinocladus marinus,Preperidinium meunieri,Preperidinium pseudooblea,Proboscia alata,Proboscia indica,Prorocentrum,Prorocentrum balticum,Prorocentrum compressum,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoceratium reticulatum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Protoperidinium brevipes,Protoperidinium cerasus,Protoperidinium claudicans,Protoperidinium conicoides,Protoperidinium conicum,Protoperidinium curtipes,Protoperidinium denticulatum,Protoperidinium depressum,Protoperidinium diabolus,Protoperidinium divergens,Protoperidinium excentricum,Protoperidinium granii,Protoperidinium latidorsale [1],Protoperidinium leonis,Protoperidinium marielebouriae,Protoperidinium mite,Protoperidinium oblongum,Protoperidinium ovatum,Protoperidinium pallidum,Protoperidinium pellucidum,Protoperidinium pentagonum,Protoperidinium punctulatum,Protoperidinium pyriforme,Protoperidinium steinii,Protoperidinium subinerme,Protoperidinium thorianum,Prymnesiales,Prymnesium,Pseudo-nitzschia,Pseudo-nitzschia australis,Pseudo-nitzschia fraudulenta,Pseudo-nitzschia granii,Pseudo-nitzschia pseudodelicatissima,Pseudo-nitzschia seriata f. seriata,Pseudo-nitzschia subpacifica,Pseudochattonella,Pseudopedinella,Pseudoscourfieldia marina,Pteromonas,Pterosperma,Pterosperma marginatum,Pterosperma michaelsarsii,Pterosperma parallelum,Pterosperma undulatum,Pterosperma vanhoeffenii,Pterospermataceae,Pyramimonas,Pyrophacus horologium,Rhaphoneis amphiceros,Rhizosolenia,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Roperia tesselata,Scrippsiella,Scrippsiella trochoidea,Skeletonema,Spatulodinium pseudonoctiluca,Stephanopyxis turris,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira,Thalassiosira anguste-lineata,Thalassiosira eccentrica,Thalassiosira levanderi,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Torodinium robustum,Trachyneis aspera,Tripos,Tripos furca,Tripos fusus,Tripos horridus,Tripos lineatus,Tripos longipes,Tripos macroceros,Tripos muelleri,Warnowia polyphemus,Warnowiaceae
2000,11.92090909,8.001,34.56090909,0.551074167,8.285714286,54.4155556,4.0411111,0,0,122.388,170.6166667,0,92.00666667,0,0,25.25,117.53,0,57.43428571,0,356.028,57.14,56.6,753.765,285.71,38.58,0,0,0,0,0,0,0,0,495159.1223,0,0,0,153.30625,0,55848.44789,0,0,0,0,0,0,0,192.9,0,0,304.1925,0,0,78.35,0,0,0,0,0,0,0,0,0,0,0,0,64865.50174,150389.8532,0,216.3111111,0,539.21,26169.80308,0,0,0,0,0,38033.9572,0,0,0,0,0,2170.268571,363.12,241.13,0,94.19,225.165,1758.24,808.9525,1248.795455,0,36.31,379.09,112.7655556,127.67,36.31,89.18,0,0,0,279.1533333,892.73,0,84136.77222,0,0,2264.15,0,188.305,55.02333333,93.39416667,0,77.93666667,0,627.13875,695.4622222,217.87,51399.095,0,0,1975.65,0,0,1766.136818,53.2,0,0,0,66.01666667,286.31,10695.46038,89.18,0,0,140.4916667,0,6760.346087,6508.68907,0,39.17,0,0,0,2364.886667,5624.01,249.7,717.8066667,0,0,0,2504.46,112.562,0,0,0,0,120.975,192.4,0,0,0,439.56,0,237.1833333,0,0,0,206.54,0,443.4388889,0,0,0,550.1757143,863.6185,852.6572222,26186.85606,0,0,0,61.11,0,42.75,163.12,337.222,108.995,0,0,0,42.75,0,3694.492353,0,407.09,212.9766667,187.28,231.960625,95.20833333,0,0,65.77,0,238.10375,179.0636364,80.10666667,0,0,0,150.8911111,78.35,82.856,0,0,0,0,0,39.17,39.17,0,43.13,0,0,0,0,0,57.14,176.01625,46.1,0,226659.5185,0,821.8795238,0,1135.57,0,0,474.5,0,0,2356.873333,0,0,719.22,0,0,0,0,0,0,14747.19923,36.82,301.88,0,0,63.538,171.0842857,0,208.9028571,0,0,0,0,0,81.68666667,0,813.71625,1330.277,0,0,0,0,0,0,585.3269231,116.11,0,326.836,3405.09,710.914,51.75,123.79375,115.6227273,233.653,0,223.81
2001,13.01227273,8.104909091,34.52454545,0.343107818,7.785714286,54.4155556,4.0411111,0,0,41,44.52,0,79.335,107.14,0,0,0,0,81.87,54.66,947.1416667,0,26.02,3619.69,0,65.72,2809.25,0,0,0,0,0,0,927.31,604236.4572,132.43,0,0,444.1844444,0,350368.9564,0,0,228.98,2220.53,0,0,197.18,0,0,1282.45,15635.285,239.49,940.48,1061.32,0,0,0,164.31,0,0,0,0,0,0,0,0,61718.80455,126455.7331,60893.91,368.0723529,0,383152.23,18948.80667,32.86,0,0,0,0,41755.85087,0,0,0,1654.19,0,1979.24,0,292.29,0,0,460.3133333,0,24249,503.10375,28.67,154.5454545,0,334.3864706,59.132,410.79,40.22,0,84.065,0,1036.39,1027.221429,0,119071.0971,0,0,0,0,66.19,60.29333333,189.33,707.54,102.07,0,42421.16308,850.5336364,279.0675,49660.11292,0,0,1314.75,144.415,0,2117.710909,0,0,0,0,454.42,0,6506.129,585.315,127.49,0,358.025,0,3861.305833,6684.380227,0,81.87,57.045,0,0,3801.95,4586.09625,2261.375,302.054,0,0,0,2584.166667,197.2542857,32.86,69.54,0,0,90.68625,235.5,0,0,0,0,0,133.2333333,69.54,0,0,168.55,0,81.55,0,0,0,921.3314286,1393.625313,3261.331429,39268.40238,6294.01,0,0,0,0,0,48.44,210.645,54.4575,339.62,0,20522.85,0,0,921.6605556,0,41,528.01,24.48,963.2855556,98.59,0,127.2266667,171.56,38.945,237.445,87.74166667,188.862,0,0,0,85.88,0,143.1085714,0,0,0,0,0,0,0,142.2833333,0,43.345,102.07,0,0,0,89.965,263.1225,280.56,0,465596.3723,0,2306.981667,0,162.075,1643.19,0,408.31,0,0,19597.66286,0,41,586.3323077,0,0,0,0,0,0,7194.955,0,139.09,0,0,529.99375,271.02625,69.54,230.04,70.57,0,0,1537.74,0,345.434,0,949.54,3900.2775,0,0,0,0,32.86,65.72,1007.495652,163.4666667,0,84.16666667,1210.654375,47.95666667,141.415,0,121.1566667,229.8491667,0,148.5033333
2002,12.29425,7.9323125,34.524375,0.49596675,6.946428572,54.4155556,4.0411111,110.89,0,53.14,221.39,0,0,0,0,0,0,0,137.115,0,211.45,247.505,0,1850.1425,0,104.96,718.915,0,0,1844.308,0,896.48,0,0,427408.1874,0,0,0,369.0188889,0,120151.429,0,142.705,0,0,0,0,0,336.18,0,1789.463333,450.1633333,5517.795,0,514.2666667,0,0,0,0,0,0,0,0,3546.18,0,3149.01,0,54118.80815,132894.8071,31109.89,135.0177778,127.57,2431.4,24326.45867,0,71.96,0,0,126.53,38673.48667,0,0,0,0,292.5675,4032.915,0,0,1956.4,89.835,189.7333333,2411.46,6221.875,1022.74,0,84.11,155.15,231.8525,104.1616667,313.0833333,140.945,0,487.085,0,956.544,1442.653333,0,35405.63579,280.29,0,0,1837.42,122.3033333,104.96,74.205,0,0,0,2373.620714,151.0775,644.4766667,64966.96698,0,0,658.12,0,0,827.4505556,0,0,0,116.9725,101.4442857,118.88,6187.1135,52.06,0,0,326.13,0,2477.244828,3498.311923,0,0,176.93,3429.71,0,4752.6325,11637.4725,0,399.83,905.11,0,0,3746.57,551.721,202.77,856.96,0,0,104.38,96.464,0,0,0,0,0,91.46666667,0,0,0,82.905,0,413.34875,0,0,0,1208.73,445.3477419,458.67625,54729.84861,0,0,0,0,0,0,252.0975,753.6783333,107.805,0,448.24,0,0,0,2129.882083,0,264.92,345.5566667,61.06,293.416,110.89,0,128.61,159.98875,0,173.252,259.8511111,0,0,0,0,131.965,0,78.68333333,0,0,419.86,0,0,0,82.21,0,104.96,0,0,0,0,0,126.4675,120.81875,57.355,0,228326.0055,0,3001.49381,0,1186.26,0,902.53,942.5925,0,0,9911.477778,0,0,415.8857143,0,0,0,0,0,0,5962.29,63.26,128.3825,0,0,2652.09,604.3507692,0,467.885,125.7,0,217.87,2141.395,0,501.2775,0,1596.576667,5145.235,0,0,0,0,159.42,224.12,852.5575,237.1933333,0,462.329,727.7116667,1038.437778,53.14,0,110.52,122.0114286,0,122.706
2003,13.0671,8.04505,34.399,0.608293714,9.668367347,54.4155556,4.0411111,0,92.19,79.43,290.355,0,104.33,0,0,0,141.5,0,0,0,244.642,0,126.375,0,0,41.17,11439.41,0,0,12302.93143,0,12708.15,0,131.72,459234.6527,0,4033.88,0,349.37,0,15938.58957,15572.95,0,252.39,0,0,160.91,0,0,0,1032.71,291.5666667,420.82,296.885,381.9225,317.75,0,1104.5825,79.43,0,1356.29,0,2982.325,0,0,0,0,55255.42563,162837.5256,168802.65,274.0088889,123.77,0,27041.31429,0,0,184.38,40.22,0,108852.4077,0,0,0,950.77,90.04,2379.365,0,0,7558.12,218.58875,183.825,9300.03,12013.98,40.63,0,408.648,0,287.8985714,82.4925,0,41.17,0,69.14,0,293.42,481.1266667,1586.09,103936.6359,1445.11,0,158.13,0,0,82.35,108.7633333,0,0,0,2190.093,509.695,479.9666667,89345.35417,0,0,568.985,60.43,0,3652.512,0,0,0,43.63,163.465,46.94,14928.28333,116.52,0,0,475.1966667,0,10176.61714,2589.057917,0,0,81.81,92.19,0,15823.19429,2561.921538,0,4570.402,0,0,0,0,1309.084286,0,0,0,1586.09,79.45333333,110.025,0,0,0,0,140.84,62.575,0,1732.93,741.27,143.87,0,174.3057143,0,0,0,3513.417143,6579.961379,357.8,76131.16467,0,0,0,39.53,0,0,0,267.7633333,88.38,0,0,0,0,0,3195.59,362.6,0,130.54,82.35,5464.636667,3345.64,257.35,38.37333333,105.795,209.81,984.66875,169.355,262.32,86.53,0,41.17,0,0,0,35.37,0,0,0,0,60.43,0,39.1,41.17,39.1,0,35.37,0,0,106.13,94.03,35.37,0,371037.9242,0,19938.7337,0,56554.185,0,0,2725.485,0,0,4783.765,0,0,1075.128889,0,0,0,0,0,0,38565.35083,41.17,194.412,0,0,526.005,1205.952632,1637.93625,136.525,0,0,0,6059.6775,70.75,1591.835,119.4,5538.69,6720.344118,6229.18,0,18687.54,0,1195.08,2888.21,872.2415,113.15,0,354.3875,148.62375,159.9275,78.82,0,120.83,72.91333333,0,447.1966667
2004,12.130625,7.9451875,34.79625,0.59274075,8.580357143,54.4155556,4.0411111,40.17,0,76.665,78.122,0,45.21,0,0,0,131.3775,0,202.5566667,0,769.2207692,96.42,175.64,1496.964286,0,0,11687.472,0,0,3527.225,71.25,201.36,0,280.5566667,403792.1185,4867.15,0,0,373.6871429,0,35453.80606,0,0,282.6275,0,0,0,3043.528333,1429.95,0,2777.023333,722.882,334.505,0,334.83,0,1130.35,726.265,96.42,0,0,0,0,0,0,0,0,34237.3676,77588.76761,349255.3,178.0147059,0,2252.59,12707.25273,0,0,43.95,0,0,46640.34926,0,0,0,1945.107143,684.3175,4052.316667,0,40.28,1539.781111,195.89,358.4166667,5528.654615,5949.4775,622.5633333,0,38.2,65.4,0,31,427.75,0,0,100.668,0,1259.531667,4368.9,407.945,42151.14188,0,0,0,0,0,138.2966667,344.7276923,0,40.17,0,1919.027143,341.36,1276.6525,39056.2131,0,0,2002.351,0,0,478.4465217,0,0,0,251.07,106.6457143,89.0325,5864.181154,0,168.805,0,44.025,0,1663.7075,7789.569265,0,0,51.865,263.73,0,4042.520667,2152.0125,1586.42,1041.6475,0,0,0,1026.57,424.826,400.21,0,0,0,43.435,90.35125,0,0,0,0,0,245.1771429,0,136.71,95.99,468.24,0,335.4633333,0,0,0,1406.9375,1586.308511,114.0842857,35539.93865,0,0,0,0,0,0,0,399.3,129.0633333,68.2,0,0,60.33666667,37.995,585.32375,0,275.67,0,31,169.345,83.985,0,65.31333333,253.7925,0,346.7642857,276.0778571,100.515,0,0,48.49,37.475,0,53.19,0,0,51.125,0,0,0,70.9,48.49,0,0,62.89333333,326.95,0,0,0,173.096,46.7,0,177285.0589,0,2892.324667,0,0,0,115.465,0,0,0,9268.240769,0,0,347.7176471,0,0,0,0,0,0,10653.76714,0,121.714,0,0,67.39,4687.855833,337.32,149,31,310.4769231,48.49,15301.59,0,227.405,442.4075,2258.075385,6468.953913,0,0,0,0,40.27,693.79,416.2878571,93.28333333,0,43.95,163.1433333,75.975,31,0,0,106.4357143,0,276.398
2005,11.539,7.9559375,34.89875,0.701073867,7.540178571,54.4155556,4.0411111,0,0,0,212.672,0,0,0,0,48.97,0,0,49.565,0,555.7166667,0,0,0,0,39.6,310.34,0,0,4638.615,0,0,0,294.25,355030.6757,0,0,0,179.8233333,0,63610.41667,0,0,823.9375,0,0,0,0,0,0,3877.67,592.6085714,1457.705,376.095,240.6133333,0,0,0,203.5,0,0,0,0,392.46,0,0,0,29749.30818,144824.6364,49934.81,218.025,83.86,9487.126667,13404.905,0,0,0,0,0,61405.04036,0,0,0,155.815,266.855,2691.451667,0,0,1472.395,250.58,137.61,1651.045,1893.13,2033.567,0,59.31,0,0,0,359.1366667,0,0,72.625,0,426.5325,225.89,0,99257.29133,391.725,0,0,0,187.93,898,139.2975,0,0,0,192.644,262.22625,639.5616667,46437.21451,0,0,1125.362353,0,0,266.0147059,83,0,0,0,313.52,133.375,6056.341923,800.53,0,0,196.2433333,0,5039.6815,5660.978246,0,0,373.18,1763.72,0,27460.34778,1991.328571,0,979.44,426.62,0,0,0,513.2613333,642.53,46.94,0,2699.485,48.98,335.0166667,0,0,0,0,0,293.85,0,125.29,205.89,0,0,260.632,0,0,0,1077.552727,1231.868636,503.23,79868.84844,1286.81,0,0,0,0,0,68.63,629.291875,71.436,0,0,0,76.62,0,450.975,0,0,512.035,97.935,333.9666667,69.285,0,410.57,1281.741667,0,554.615,250.58,169.32,0,0,0,70.58,0,141.09125,0,0,0,0,0,0,0,0,0,0,57.325,66.94666667,0,0,293.51,83.025,35.45,0,367636.98,0,2537.019167,0,0,0,145.485,1579.34,0,0,2201.074,0,0,354.8714286,0,0,0,0,0,0,35914.12591,62.64,159.9533333,533.2633333,0,6763.3975,326.915,0,130.56,62.79,55.2,0,11300.41333,58.88,932.8533333,675.4333333,1133.256,10010.85333,0,0,0,4743.425,30.23,4009.525,517.2472727,104.765,35.45,0,547.73,82.84,0,0,531.0466667,106.2225,0,1613.055
2006,11.87716667,8.005714286,34.71566667,0.69757925,7.107142857,54.4155556,4.0411111,0,0,0,0,0,0,0,79,0,105,0,67,0,1404,118.5,0,251.5,0,0,74,0,0,668.8181818,0,431,0,0,524711.0545,0,0,0,603.1428571,0,76790.69231,0,0,0,0,0,0,516,279,0,1187.5,82.5,501.5,968,7017.666667,0,0,968,737.3333333,371,0,0,0,1884,2905,0,0,37395,185476.9429,0,78.5,0,666,59153.125,0,0,0,0,0,90688.55556,0,0,0,0,507.5,352,0,135.1666667,474,85,340.4,0,2738.666667,105,0,351,0,0,0,194,0,132,317.5,0,218.5,306.6666667,0,308297.4815,11145.75,797.5,0,0,92,124,481,0,0,0,3905.2,93.5,479.5,76293.625,0,0,1988.5,97,0,1622,0,0,0,0,120.5,0,6304.842105,0,0,0,91,0,4046,5856,0,0,162,37506,0,0,13382.47059,0,2159.083333,67,0,0,0,123,0,350,540040,0,274,110,0,0,0,0,0,169.3333333,0,0,0,0,0,2562.5625,0,0,0,365.4,835.85,328.375,852886.2,0,0,0,0,0,0,9872,755.1333333,112,0,0,0,86,0,117.8,0,0,435.6666667,0,442.1666667,91,0,86,96.5,0,460,109,145,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,105,0,0,354048,0,14486.125,0,596.5,0,6819,0,0,0,0,0,0,348.8,0,0,0,0,0,0,36338.26667,113,182,0,0,2421,315.375,80,91,132,0,159,48652,0,0,0,541.5,6621.272727,0,0,0,0,0,5767,538,0,0,0,107,148,0,0,333,80,0,147
2007,12.05092857,8.044642857,34.77571429,0.655912667,12.55714286,54.4155556,4.0411111,0,0,0,89.58,89.58,59.71,0,0,0,0,0,79.82,0,404.797,1570.755,0,1466.236667,0,71.95,2126.34,0,0,0,61.3,2195.133333,0,0,550711.9866,0,0,0,147.1725,0,38336.17905,268.76,0,0,0,0,0,0,0,5985.2,791.0775,348.306,366.17,0,1367.98,0,0,11582.61,0,0,1216.33,0,0,2492.835,0,0,0,40034.81118,153365.9481,0,555.68,0,3846.15,27159.78857,0,0,0,0,0,99359.475,0,0,0,0,219.75,0,558.78,101.2666667,2626.03,0,350.222,0,26454.90571,679.61,0,5077.365,137.09,87,69.11,1341.796,0,79.82,89.58,0,4646.4375,219.78,0,321922.433,3826.59,417.425,0,0,0,110.8366667,1466.71,0,0,0,486.405,0,0,124337.9839,0,0,21875.02333,84.98,0,2022.932105,0,0,0,0,0,0,15076.66947,1059.825,97.05,0,992.3636364,0,11849.12158,4553.918974,0,0,213.825,68.54,0,7523.74,68824.76563,0,1242.015,482.062,0,0,2197.3,401.4966667,0,1684.34,28896.03,0,61.39,319.8366667,0,92.13,0,0,0,4398.448,0,0,0,806.3,0,619.4827273,0,0,0,1510.625,3588.225862,1503.785,225484.43,0,179.17,0,214.0066667,0,0,485.44,841.9577778,78.425,29.85,0,0,70.59,100.64,1404.1925,62.79,432.96,0,0,1099.686667,182.5233333,97.02,139.575,6655.06,0,464.455,228.3585714,135.2457143,97.02,0,89.57,0,0,0,0,0,0,0,0,0,94.33,0,0,89.57,119.465,207.06,97.02,0,219.1357143,0,0,0,364947.7537,0,14969.29387,319.3,47627.235,0,279.96,348.472,0,0,12655.97,0,0,3966.936667,0,0,0,0,0,0,20663.29714,630.9,0,543.76,0,279.482,9167.556875,2165.27875,237.2933333,74.30333333,0,0,27595.87429,79.82,0,0,0,10863.7625,0,0,0,0,89.58,10834.23,722.751,247.8633333,0,694.04,316.669,0,1287.815385,0,523.2516667,377.965,0,427.198
2008,12.6901875,NA,34.481875,0.4112895,7.723214286,54.4155556,4.0411111,0,0,81.9,81.9,0,0,0,0,0,73.285,0,111.27,172.6,226.0275,0,83.19,34.59,0,113.12,1341.85,0,0,5759.732632,0,1310.36,0,127.02,599549.4441,0,0,0,1026.584444,543.32,55330.04667,0,0,498.9266667,0,3080.24,0,0,0,0,0,13465.706,166.39,0,363.96,0,0,2001.08,166.39,0,0,0,0,0,0,0,0,56079.47909,256921.5692,370365.5533,324.3763636,180.695,20168.71333,10961.66364,0,131.06,0,0,0,82940.36267,0,0,1375.01,5414.675,85.105,48356.37,247.655,197.505,4260.315556,134.845,511.862,1319.64,9175.72125,1101.12,0,356.9388889,0,0,63.38,134.975,0,0,0,0,86.6,2510.665,1855.74,215792.8971,0,15357.865,0,0,88.75,79.1325,219.606,400.21,0,0,3610.823077,152.188,0,64965.88593,0,0,1355.2425,0,0,692.4531818,0,0,0,0,444.2025,0,13596.13833,0,244.17,0,313.554,0,1970.692917,2793.3004,0,0,176.5871429,63.51,6633.6525,9765.323,381586.9692,0,809.639,644.04,0,0,1677.11,308.8833333,2262.44,587.5,168247.962,2276.5,64.51,284.3483333,0,45.83,0,0,178.82,177.9266667,0,0,69.72,694.02,0,449.075,0,0,0,1067.08,1765.437442,2913.798333,80896.79718,2266.98,0,0,0,0,0,0,343.23,108.9225,34.59,0,0,83.075,0,183.591,0,0,63.38,0,2323.4475,380.29,0,325.2766667,94.095,0,616.8371429,310.953,226.627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.41,0,0,0,0,172.48,318.015,163.81,0,213158.0806,0,5323.637105,1007.53,6047.3825,81.055,2487.174,0,3011.73,0,3174.654286,0,0,1413.3575,0,0,0,0,0,5860.4,20416.37529,0,155.32,1247.31,0,130.4,222.9613333,2620.465,322.506,0,0,87.08,4752.855556,0,0,1697.72,59.6,6287.931,0,0,0,0,0,0,697.0423077,65.22,0,66.01,213.638125,34.32,145.2616667,0,89.88,129.9442857,0,83.19
2009,11.64117647,NA,34.60588235,0.561668706,9.87394958,54.4155556,4.0411111,0,0,168.85,89.17,0,0,0,91.8,183.6,294.2266667,0,62.99,0,281.25,983.1975,81.885,89421.64,0,0,147.635,0,0,2977.375833,0,0,0,0,212124.3016,0,0,0,110.952,0,422071.86,2067.73,0,1623.1,0,0,0,0,7308.126667,0,588.6945455,424.002,5973.463333,0,1157.1425,0,0,363.665,326.815,0,0,0,0,152.09,0,0,486.475,21312.88391,96438.648,289386.3986,111.8857143,76.04,0,5715.76,0,162.025,0,71.185,71.3,34052.24192,0,0,0,2332.5825,2000.513333,1910.523333,6840.765,163.6266667,1956.487857,120.4766667,362.6154545,2862.27,3120.635,695.255,0,248.572,91.8,0,108.965,116.3875,0,0,448.06,0,287.04,367.21,0,184048.9006,0,122.445,0,0,578.3122222,78.66,82.805,0,0,0,343.36,932.297,382.18,40119.78321,0,0,165.595,168.85,0,964.1740909,0,0,169.53,237.8125,106.3166667,0,4200.02381,0,0,0,216.056,0,4570.089643,3306.223878,0,0,300.13,321.498,2787.47,374.67,7660.385714,0,1003.734545,106.89,0,0,4711.148,596.5914286,0,183.6,0,0,109.4666667,132.54,0,0,0,0,0,75.10666667,0,0,81.52,329.9766667,0,661.5736364,0,0,0,1104.202222,756.0240625,658.63125,20070.29069,0,0,0,74.97666667,0,0,112.01,219.4114286,448.06,0,0,0,0,0,454.9558824,0,0,1257.18,0,927.33,146.79,67.56,649.752,287.04,0,141.2575,168.145,109.5608333,0,92.59,167.71,0,103.87,267.8375,0,76.04,0,0,0,0,0,0,0,131.0566667,40.76,145.8428571,0,0,218.1475,199.074,0,92.59,157081.7976,31993.56,2732.919444,101.61,913.3833333,0,370.71,166.94,0,0,3720.398,0,0,909.48,0,0,0,89.74,106.89,2627.855,25755.8225,0,0,1093.1,0,625.085,722.736,286.1566667,264.72,122.08625,0,87.34,1028.50125,172.0975,0,0,582.87,1660.820714,135.12,1107.096667,0,0,0,360.6057143,744.0659091,203.22,0,179.14,1692.978333,139.0757143,425.227,0,196.4875,252.3,0,92.98666667
