year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus octonarius,Actinoptychus senarius,Actinoptychus splendens,Akashiwo sanguinea,Alexandrium,Alexandrium leei,Alexandrium margalefii,Alexandrium minutum,Alexandrium ostenfeldii,Alexandrium tamarense,Amphidinium [1],Amphidinium sphenoides,Amphidoma acuminata [3],Amphora [1],Amylax triacantha,Apedinella spinifera,Archaeperidinium,Asterionellopsis glacialis,Asteroplanus kariana,Attheya,Attheya septentrionalis,Azadinium,Azadinium caudatum,Bacillaria paxillifer,Bacteriastrum hyalinum,Bacterosira bathyomphala,Biddulphia alternans,Biota,Braarudosphaera bigelowii,Brachiomonas,Campylosira cymbelliformis,Cerataulina pelagica,Ceratoneis gracilis,Chaetoceros,Chaetoceros affinis,Chaetoceros atlanticus,Chaetoceros borealis,Chaetoceros brevis,Chaetoceros bulbosus,Chaetoceros ceratosporus,Chaetoceros concavicornis,Chaetoceros contortus,Chaetoceros convolutus,Chaetoceros coronatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros dichaeta,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros peruvianus,Chaetoceros similis,Chaetoceros subtilis,Chaetoceros tenuissimus,Chaetoceros teres,Chaetoceros tortissimus,Chattonella antiqua,Chlorophyta,Chromista [1],Chroococcales,Cochlodinium,Corethron hystrix,Corymbellus aureus,Coscinodiscophyceae,Coscinodiscus concinnus,Coscinodiscus radiatus,Cryptomonadales,Cyanophyta,Cymbomonas tetramitiformis [2],Dactyliosolen blavyanus,Dactyliosolen fragilissimus,Dactyliosolen phuketensis,Delphineis,Detonula pumila,Dicroerisma psilonereiella,Dictyocha,Dictyocha fibula,Dictyocha speculum,Dinobryon,Dinobryon faculiferum,Dinophyceae,Dinophysis,Dinophysis acuminata,Dinophysis acuta,Dinophysis norvegica,Dinophysis rotundata,Diploneis,Diplopelta asymmetrica,Dissodinium pseudolunula,Ditylum brightwellii,Emiliania huxleyi,Entomoneis,Eucampia groenlandica,Eucampia zodiacus,Euglenophyceae,Eukaryota,Eunotogramma dubium,Eutreptiella,Fibrocapsa japonica,Fragilaria oblonga,Fragilariaceae,Fragilariopsis,Fragilidium subglobosum,Gonyaulax,Gonyaulax digitale,Gonyaulax rugosum,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodiniales [1],Gymnodinium galeatum,Gymnodinium verruculosum,Gyrodinium,Gyrodinium britannicum,Gyrodinium flagellare,Gyrodinium spirale,Gyrosigma,Gyrosigma fasciola,Gyrosigma tenuissimum,Halosphaera,Haslea,Helicotheca tamesis,Heterocapsa,Heterocapsa niei,Heterocapsa triquetra,Karenia mikimotoi,Karlodinium,Katodinium glaucum,Khakista,Khakista [2],Kofoidinium lebouriae,Kolkwitziellaceae,Lauderia annulata,Lebouraia minuta,Lennoxia faveolata,Leptocylindraceae,Leptocylindrus,Leptocylindrus mediterraneus,Lessardia elongata,Licmophora,Mamiella gilva,Mantoniella squamata,Meringosphaera,Merismopedia,Mesoporos perforatus,Meuniera membranacea,Micracanthodinium,Micromonas pusilla,Minutocellus scriptus,Navicula distans,Nematodinium armatum [1],Nematopsides vigilans,Neocalyptrella robusta,Nephroselmis,Nitzschia bilobata,Nitzschia longissima,Nitzschia reversa,Nitzschia sigma,Oblea acanthocysta,Odontella aurita,Odontella mobiliensis,Odontella regia,Odontella sinensis,Oxytoxum,Oxytoxum gracile,Paralia sulcata,Parlibellus delognei,Peridiniales,Peridiniella danica,Phaeocystis,Plagiogrammopsis,Pleurosigma,Pleurosigma angulatum,Pleurosigma normanii,Pleurosigma simonsenii,Pleurosigmataceae,Podosira stelliger,Polykrikos,Porosira glacialis,Preperidinium meunieri,Proboscia alata,Proboscia indica,Prorocentrum,Prorocentrum balticum,Prorocentrum compressum,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoceratium reticulatum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Protoperidinium brevipes,Protoperidinium cerasus,Protoperidinium claudicans,Protoperidinium conicum,Protoperidinium curtipes,Protoperidinium curvipes,Protoperidinium denticulatum,Protoperidinium depressum,Protoperidinium divergens,Protoperidinium excentricum,Protoperidinium granii,Protoperidinium marielebouriae,Protoperidinium mite,Protoperidinium oblongum,Protoperidinium ovatum,Protoperidinium pallidum,Protoperidinium pellucidum,Protoperidinium pyriforme,Protoperidinium steinii,Protoperidinium thorianum,Prymnesiales,Prymnesium,Pseudo-nitzschia,Pseudo-nitzschia australis,Pseudo-nitzschia fraudulenta,Pseudo-nitzschia granii,Pseudo-nitzschia heimii,Pseudo-nitzschia pseudodelicatissima,Pseudo-nitzschia seriata f. obtusa,Pseudo-nitzschia seriata f. seriata,Pseudo-nitzschia subpacifica,Pseudochattonella,Pseudopedinella,Pseudoscourfieldia marina,Pterosperma,Pterosperma michaelsarsii,Pterosperma moebii [1],Pterosperma parallelum,Pterosperma undulatum,Pterosperma vanhoeffenii,Pterospermataceae,Pyramimonas,Pyrophacus horologium,Rhaphoneis amphiceros,Rhizosolenia,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Roperia tesselata,Scrippsiella,Scrippsiella trochoidea,Sinophysis stenosoma,Skeletonema,Spatulodinium pseudonoctiluca,Stephanopyxis turris,Tetraselmis,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira,Thalassiosira anguste-lineata,Thalassiosira eccentrica,Thalassiosira levanderi,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Thalassiothrix longissima,Thecadinium,Torodinium robustum,Trachyneis aspera,Tripos,Tripos furca,Tripos fusus,Tripos horridus,Tripos inflatus,Tripos lineatus,Tripos longipes,Tripos macroceros,Tripos muelleri,Warnowiaceae
2000,11.10957143,7.987785714,34.95071429,0.785712714,8.479591837,55.1722222,3.1575,110.6225,109.13,0,0,87.74333333,97.08,0,81.06666667,43.35,247.19,0,582.4925,35.74,0,0,565.756,96.83,1827.841429,0,1324.03,10157.5925,0,0,152.64,0,0,0,759038.5464,0,0,0,176.731,0,52738.42259,0,140.44,0,0,0,3051.02,632.26,0,0,0,2247.986667,280.5366667,809.7,1960.01,1051.112857,0,0,0,0,0,19660.8,0,0,1660.37,0,74218.03148,128582.9431,1335580.776,255.62,1312.24,2954.52,23261.01722,0,63.22,60081.25,0,0,0,0,0,4347.38875,0,140.7566667,0,0,199.4342857,4600.18,1641.928889,2083.641111,0,0,113.112,75.45857143,69.34,0,66.66,0,656.12,0,403.87,0,0,0,38122.02,0,487.16,0,2568.6,1083.812,0,104.102,95.831,133.6266667,0,88.77333333,1863.289286,345.2857143,51568.6756,0,0,1879.954286,0,0,674.1169565,0,0,0,106.4833333,97.0325,0,15435.09667,0,0,80.30222222,0,2582.697083,6345.772308,0,49.59,71.83,0,0,0,4919.311111,4468.868182,462.4625,776.2755556,84.535,0,0,4715.12,0,231.482,0,59.65,0,0,43.56,113.2471429,0,0,0,42.25,0,0,597.9444444,0,333.345,0,35.91,0,1026.889167,0,3103.839091,0,1144.951905,1085.5,121078.8335,2614.62,0,68.692,42.25,76.98428571,284.7172727,21.66,0,0,134.236,3583.983158,0,560.14,413.57,155.07,1824.792727,0,0,100.2933333,108.9766667,0,273.5066667,165.57,0,0,0,66.66,0,0,146.3133333,0,57.83,0,86.71,0,0,149.1725,0,83.515,0,111.71,0,272615.953,0,12154.4904,0,0,1577.1,0,275.29,0,0,0,0,5241.778,0,1664.999524,0,0,0,0,0,0,19089.41842,61.99,35.91,0,0,407.00375,1381.667857,936.33,115.8671429,53.82666667,0,0,0,37160.21273,0,129.77,0,0,1009.163333,127293.1108,3989.105,0,5022.92,3936.72,0,12742.02,0,0,544.08,89.63,0,98.11666667,303.8290909,192.285,0,780.1255556,118.728,22.02,211.2838095,197.6742857
2001,11.89745455,8.059454545,34.75909091,0.445746909,8.207792208,55.1722222,3.1575,0,0,0,0,63.78,141.71,87.52,124.77,0,59.3825,0,345.03,212.26,0,0,2138.44,0,525.13,0,0,3570.4625,0,0,0,0,0,66.85,623600.6184,0,0,0,381.23875,0,23124.17346,636.19,0,169.81,0,0,0,764.15,3683.93,238.4675,0,462.1333333,2400.14,3951.69,2113.936667,0,0,1395.99,0,0,0,0,0,0,0,0,52182.31227,95998.66192,266775.66,157.6008333,0,5644.565,12109.444,0,0,67171.76957,0,0,0,0,669.5933333,1153.513333,0,211.975,0,0,258.5283333,10781.352,5796.2575,95.99,0,75.94428571,123.401,133.67,84.9,0,60.49,57.43,171.42,0,649.3533333,0,3253.9,0,82689.98333,0,0,0,0,0,0,37.73,161.9614286,51.29833333,0,17970.53143,1357.366364,497.4025,65061.61511,0,0,310.68,0,0,1713.626471,0,0,0,91.48,180.09,0,6094.15125,0,0,159.555,0,1932.054762,4102.582195,0,0,132.87,598.38,0,0,8689.26875,83854.225,398.68,851.6377778,0,0,0,1410.36,0,195.514,0,184.23,0,0,122.26,341.6414286,0,0,0,0,0,0,57.83,0,0,0,0,0,78.95,0,407.51,0,759.7654545,121.27375,230077.564,0,0,0,0,53.135,238.445,0,191.765,0,87.52,674.4831579,0,198.372,253.1725,180.975,2691.58,0,0,94.92333333,230.93,0,196.4725,155.3833333,150.892,0,0,117.3075,0,0,186.91,0,0,0,0,0,42.91,202.24,0,0,20.56,100.2985714,93.45,298841.4637,0,3006.485,0,0,0,0,0,6028.3,2084.23,0,0,10802.83,0,334.9128571,0,0,0,0,0,0,17883.1545,56.27,98.67,0,0,757.414,1451.047647,0,127.35,657.81,0,0,0,0,93.45,0,0,0,4356.933333,7346.305,0,0,0,3428.57,0,0,42.45,0,620.8861111,0,0,3370.156,241.6318182,237.775,0,163.404,82.24,124.2609091,184.4517647,69.665
2002,11.9551875,7.9598125,34.72125,0.5935472,7.333333333,55.1722222,3.1575,0,65.835,0,0,0,53.32,118.75,0,0,147.37,236.39,70.015,100.37,0,0,4199.11,0,606.74,0,0,4420.3,654.4657143,0,1541.206667,0,0,694.44,558652.1735,0,0,0,467.355,0,99573.36722,4819.59,205.605,355.0066667,0,707.54,0,555.75,25744.08,2213.17,0,0,1042.815,1617.62,1009.0875,0,0,0,248.58,0,10249.01,3416.33,0,0,0,0,86638.28857,165563.1607,978143.173,172.01375,123.46,9725.2025,51912.724,0,0,39233.6364,0,0,0,0,4945.761818,4811.38,0,0,4591.22,111.11,184.1428571,19161.518,11072.10455,270.7366667,0,0,0,0,142.10875,0,0,0,627.36,0,2304.601667,0,0,4420.3,69861.577,0,0,0,0,0,0,131.82,152.46,0,0,470.6616667,110.34,562.535,52576.56533,0,0,1049.975714,0,0,1126.443571,409.93,0,0,302.65,291.32,0,2382.24125,0,0,253.31625,0,742.661,22086.86883,0,0,118.45,0,0,0,6106.020769,313370.41,3135.256667,340.9716667,75.79333333,0,0,2446.45,0,87.04333333,0,518.688,0,0,0,105.14,0,0,0,0,0,91.865,374.505,0,0,0,171.06,185.2,1667.623333,0,2251.673333,0,443.8775676,484.4428571,132463.7559,193.405,0,0,0,308.41,562.4273333,96.285,0,3764.2,0,1102.262143,0,124.29,262.91,196.622,896.582,0,138.25,531.71,107.3216667,0,763.6757143,302.8625,276.4725,0,0,69.94,0,0,110.04,99.05,0,118.19,70.09,0,0,246.4766667,85.23,211.478,142.89,320.756,0,344264.8191,0,32210.76375,0,0,4420.3,0,30709.29,0,453.19,0,0,10140.62125,0,1469.890588,0,0,0,0,0,0,7439.332857,0,0,479.6233333,0,534.64,1201.13,0,240.71,144.2466667,0,117.7,0,174233.2,0,0,0,0,1285.775,42090.758,0,0,0,0,0,130.84,217.7042857,0,1065.166087,347.22,0,203.22,125.6914286,93.5225,101.12,0,0,97.97333333,110.785,58.27
2003,12.55390909,8.003363636,34.72545455,0.649768286,7.408163265,55.1722222,3.1575,0,0,0,0,22.44,0,0,0,0,64.54,245.55,222.14,0,77.71,0,0,0,4814.236667,0,0,0,570.215,179.12,0,157.15,0,257.388,397974.2038,0,0,0,864.192,0,64564.42933,0,0,293.205,0,0,0,214.94,0,0,0,0,2469.36,2328.045,4911.13,0,0,1314.015,0,0,0,160.91,0,193.17,0,0,27908.16333,106696.6647,397234.4,93.788,471.18,0,67622.53,0,0,84440.0636,0,0,0,0,78.57,2843.69,0,0,870.325,99.8,331.7171429,19081.7625,5742.76,358.0766667,22.44,976.6,0,402.6,88.19,1312.75,100.65,0,78.57,0,1881.4575,0,1021.51,0,83768.18053,0,9795.83,50.18,0,0,3012.36,0,584.79,22.44,148.49,482.37,693.33,235.73,45439.3541,0,0,834.0585714,0,0,807.7822222,89.16,0,0,259.38,106.06,1362.263333,5541.951111,0,0,89.16,0,3143.727727,3520.716957,0,0,61.5525,62.66,0,0,2838.886667,5132.98,0,739.166,223.9,0,0,326.81,0,1307.1525,0,93.56,0,1473.44,44.58,122.28,0,0,0,0,0,0,434.42,0,22.44,2455.56,261.1633333,0,259.1725,0,469.6642857,0,496.1873333,320.9433333,269628.7929,5860.04,0,0,0,0,284.7285714,44.58,78.57,0,0,3807.48,0,0,841.14,0,1933.35625,4911.13,6384.47,61.3,309.4542857,860.7566667,244.404,129.6433333,86.1,0,0,78.57,22.44,0,35.82,0,0,0,0,0,0,0,80.14666667,89.51333333,100.65,110.0016667,0,393191.848,0,181016.94,0,569.8,220.13,223.9,0,0,46.75,0,0,14143.384,0,2067.881,0,0,0,0,0,0,21031.68,64.54,115.8,0,0,314.77,261.1241667,27.59,156.295,44.58,0,0,0,17545.97,0,0,0,0,1567.69,6328.047692,0,0,0,0,157.15,3788.585,0,187.02,749.0734783,84.65,0,297.465,232.134,393.732,0,0,0,337.4566667,173.4611111,79.85333333
2004,11.4106,7.930666667,34.97466667,1.126879467,8.695238095,55.1722222,3.1575,434.78,54.35,0,0,0,205.065,0,55.125,0,103.5233333,0,222.4333333,131.86,0,30.33,0,0,7373.585,0,0,0,1297.622,72.16,0,0,0,675.08,628273.9576,1372.76,2917.886667,0,835.29,0,12810.7108,121.9,0,1796.3625,0,0,0,0,12533.595,646.18,0,2210.615,665.705,1029.6875,156.69,914.155,0,864.1,101.4433333,0,0,1850.116,0,0,0,0,78107.69571,211264.3683,0,125.7383333,228.56,0,2882.316,89.18,0,88550.71107,0,0,1396.025,200.285,403.9936364,2161.864,4769.61,0,2148.412632,0,264.7866667,30984.056,5680.55,120.126,42.49,0,0,0,30.33,213.65,0,0,70.58,0,1006.35,0,313.39,0,123766.2824,0,50.75,0,0,0,0,0,63.325,211.8566667,0,315.415,979.34,122.9433333,38758.70654,0,0,1006.695333,0,0,1275.999565,228.56,0,0,54.74,179.55,145.85,8490.2975,0,42.49,130.6166667,0,3779.728571,2321.583036,0,0,0,603.95,0,0,7225.67625,6379.687143,2938.03,3124.82875,157.7,0,0,1885.1125,0,376.2535714,1469.01,117.99,0,0,68.73333333,76.4875,0,0,0,0,0,73.96,78.79333333,0,0,0,129.8,122.1,558.9525,0,414.1228571,0,701.2125532,532.0657143,140736.325,205.94,0,0,0,0,413.1776471,47.21333333,0,0,67.40666667,1397.054375,0,0,227.08,124.4171429,364.9133333,0,0,277.63375,88.296,0,404.63875,161.7445455,204.6644444,51.02,0,0,128.19,0,57.805,0,0,109.71,0,118.425,0,92.4825,53.06,703.34,58.945,283.6925,111.7633333,524149.776,0,346991.6813,0,1958.68,0,0,0,0,487.575,0,0,7473.368,0,1039.185882,0,0,0,0,0,0,14430.09235,35.48,30.52,216.02,0,122.038,637.037619,770.585,81.25833333,0,206.02,67.06333333,0,107716.3345,68.63,0,0,548.43,1478.88,2318.368824,0,0,0,0,0,194.2166667,0,0,544.2885714,54,0,0,0,0,0,0,0,0,173.4411111,116.97
2005,10.992625,7.9551875,34.936875,1.131180533,8.147321429,55.1722222,3.1575,0,123.53,0,61.61,0,0,0,126.8957143,64.04,418.5085714,0,340.16,193.6,0,0,2331.22,245.5075,3873.5925,0,0,0,439.9792308,0,0,0,0,712.68,483774.1877,0,0,0,142.3833333,0,31035.65867,14621.845,0,140.51,0,0,0,0,2420.07,163.28,0,716.6422222,78.39,24565.82167,4033.45,276.8533333,0,0,186.6383333,0,0,346,0,0,0,0,76771.01667,182076.1748,221142.8917,233.0633333,163.28,2489.176667,2167.387143,0,0,37030.77087,0,0,0,503.23,727.9972727,10117.554,0,216.085,15334.774,0,1309.056667,1972.004,7665.543333,196.7057143,67.04,0,0,0,75.7875,85.08,0,57.125,0,0,472.18,0,0,0,65665.99421,0,426.91,0,0,0,0,0,89.21285714,240.84,0,105.1666667,55.55,66.51,24827.14596,0,0,1030.651875,0,0,506.6223529,206.515,0,0,164.985,202.345,0,3865.41,0,54.58,96.21,0,2470.778421,10489.27855,0,0,420.26,193.6,0,0,26269.31875,574.4058333,1418.01,3460.307143,209.02,0,0,0,0,138.71125,0,63.45,0,0,0,89.16,0,0,0,0,0,121.64,206.015,0,33.25,0,108.85,70.25,396.4475,0,1517.3275,0,921.955,493.6408333,214175.6044,1805.82,0,0,0,0,460.1813333,64.7,127.09,0,96.70666667,441.825,0,345.04,173.135,60.25666667,306.5866667,0,47.85,506.4455556,412.195,0,73.642,179.38875,148.17,0,0,61.61,68.21,0,67.31333333,0,0,0,0,0,33.25,62.575,213.935,67.435,140.51,380.61,64.92,313984.7875,0,4873.777619,0,176.8233333,47.85,0,680.33,0,0,0,0,16776.15,0,1428.104615,0,0,0,0,0,0,9780.352778,156.855,70.25,1192.316,108.85,131.18875,368.9619048,59.64666667,54.42,142.45,0,0,0,119223.9217,0,157.22,0,0,1459.2575,8416.88,0,0,0,0,0,47.85,0,0,413.6593333,78.61,0,0,61.04666667,70.25,0,59.62,0,194.1,125.47875,354.7
2006,11.85869231,8.005,34.92076923,0.682380769,7.593406593,55.1722222,3.1575,162,0,0,0,61,0,81,0,78,75.8,0,425,0,0,0,0,0,17039.6,7311,0,0,1079.666667,0,5483,0,0,160,353642.6735,0,0,0,1536.8,0,29021.625,270,0,0,0,0,0,0,0,108,0,639,5483,720.6666667,1352,0,0,0,335.5,0,0,0,0,4721,0,0,465034.25,148347.9667,634115.75,85.25,265,18276,26182,0,0,117740.9565,0,0,0,9403,2172.6,65573,0,132,563.6666667,273.5,188.2,1619,3436.375,1480.5,80,78,0,0,54,0,0,0,54,0,851.3333333,0,0,0,231733.28,0,4314,84.5,0,0,0,0,114.6666667,77,0,258,108,3300,72761.25806,0,0,4088.666667,0,0,1827.823529,0,0,0,54,91,0,1936.769231,0,0,59,0,4161,9501.638298,0,0,120.75,10133.75,0,0,459.5,80888.66667,0,7320,365,0,0,2861,0,1905.5,0,0,0,0,95,333,0,0,0,0,0,156,54,0,61,0,108,0,372,0,21932,0,885.1923077,5233.8,2238565.571,122,0,67,0,64,533.5,0,0,0,0,890.6875,0,3480,0,0,6211.545455,54,0,202,245.6666667,0,389.6666667,165.6666667,107.6666667,0,0,0,0,158,0,0,0,0,0,0,0,0,54,1352,0,149.8,0,686403.0385,0,5279.28,0,0,0,0,830,0,1014,0,0,540,0,3046.9375,0,0,0,0,0,0,11398.35,81,0,676,160,304,465.7272727,54,54,66,0,0,0,15093,0,0,0,0,4127,40796.6,1691,0,0,8610.5,54,1512.666667,0,0,668,0,0,0,161,108,0,0,0,256.4,105.8461538,232.5
2007,11.51185714,7.994714286,35.00785714,0.602976462,8.693877551,55.1722222,3.1575,0,0,63.38,0,73.96,84.98,0,121.45,0,83.17,0,253.04,0,0,0,0,78.16333333,5279.755,0,0,0,0,0,1105.224,0,0,0,354522.5175,0,0,1833.505,59.05,0,21601.76333,0,0,0,0,0,0,0,3639.29,0,0,7586.853333,48.53,688.7433333,0,344.52,0,0,0,0,0,0,0,0,0,0,39066.4575,115194.0042,98502.44833,65.975,151.975,1722.6,23830.335,0,0,81605.68619,146381.1,0,0,534647.6675,1592.226667,338.5966667,446.03,333.545,517.56,72.515,131.69,406.8,7707.541429,0,0,0,0,0,0,0,76.02,0,1423.463333,0,1296.538333,0,0,0,159429.37,0,0,59.39,0,0,0,0,62.05,0,0,393.6533333,61.36,5889.54,57115.33111,0,0,0,0,0,1505.057143,0,0,0,0,161.4671429,0,10267.38467,6070.7,0,502.462,0,3932.481818,1751.225238,0,0,189.542,5117.663333,0,0,16970.05429,13960.466,0,569.96125,239.5925,0,0,463.72,0,123.6225,0,0,0,0,0,0,0,0,0,0,0,60.72,286.2242857,0,197.54,0,0,0,5964.306,0,821.1328571,0,916.9721053,1603.175,380352.2613,163.3,0,87.665,0,112.048,769.5918182,0,0,0,0,1016.145,107.715,0,56.71,0,749.97125,196.465,0,164.5666667,265.24,606.54,78.88,90.38333333,96.97,0,606.54,0,0,0,46.7,0,0,0,0,0,0,0,606.54,0,0,81.36,0,192771.5564,0,205152.301,0,1055.425,0,0,0,0,0,0,0,3915.955,0,491.1875,0,0,0,0,0,0,7525.933,172.26,0,42615.2,0,0,3579.373077,72.435,1070.82,630.81,0,425.1,0,109012.9909,0,0,0,0,669.045,24334.118,527.5633333,0,0,0,0,0,0,0,766.0846154,56.71,0,0,532.2,0,0,0,0,121.7933333,183.048,588.434
2008,11.977875,NA,34.820625,0.451612,8.080357143,55.1722222,3.1575,0,0,0,0,0,74.44,0,74.44,0,0,0,445.3325,0,60.33,0,0,107.33,747.978,0,0,2983.66,7007.891111,68.63,4482.605,0,0,1217.535,564920.1456,0,0,1937.33,3267.363333,0,28095.628,2976.515,519.75,89.86,213.75,0,6955.31,0,0,382.7633333,11550.01,11288.205,0,45181.57333,731.9866667,280.6966667,1860.46,645.09,0,559.365,0,0,0,0,0,0,21270.75364,179066.5445,1489905.82,88.47,179.72,27043.2475,10503.795,0,0,39623.45385,0,0,6486.855,96210.44,3514.441429,5827.548,12794.645,0,2004.786,93.02,869.17,4013.405,16229.06714,198.8283333,0,81.145,0,0,0,99.37,103.95,0,276.57,0,2252.263333,0,2197.97,0,185152.3988,4991.29,3613.61,0,0,0,0,0,0,133.685,186.65,1011.53125,211.15,0,43101.06375,0,0,622.4511111,0,0,568.6658333,0,0,0,0,590.49,0,4385.093636,0,0,356.1971429,0,1370.802,5917.851304,0,0,184.38,0,0,9552.76,6766.153333,10090.31417,0,724.60625,850.195,0,0,2983.66,2981.22,2494.65,0,0,87241.9325,0,0,140.3766667,0,0,0,0,0,69.27,152.5275,0,0,0,0,0,722.3683333,0,978.74,0,572.2475,797.344,173724.5827,645.09,0,69.27,0,69.27,637.7484615,68.95,0,0,79.23,2486.825,0,92.19,0,0,10339.43333,0,0,2734.313333,0,0,351.202,113.32,175.0633333,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0025,0,99.37,282.735,0,225855.9893,0,19616.32056,720.87,596.05,0,0,0,0,0,6955.31,0,9600.001429,0,588.1084615,0,0,0,0,0,3096.3825,6130.593571,42.94,0,6428.33,0,287.675,1911.367857,0,163.22375,0,0,0,0,38127.958,139.0233333,0,0,0,0,14179.14429,973.935,0,0,0,0,0,0,0,1136.880385,0,0,0,0,97.5,0,92.06666667,0,133.51,81.9,79.23
2009,11.44444444,NA,35.10555556,1.363796556,8.80952381,55.1722222,3.1575,96.61,68.45333333,0,0,0,0,0,189.04,62.99,153.54,0,146.05,62.99,0,0,2459.065,0,106338.431,0,0,5752.055,1845.751667,0,1384.51,0,358.19,53.78,285184.3043,188.44,0,0,2865.515,0,31259.48524,233.865,0,392.37,0,0,0,0,0,0,0,219.08,0,498.95,0,0,0,0,519.405,36.51,0,0,0,890.48,0,353.94,37922.00043,147864.4814,78735.9125,76.92,1555.715,14793.07333,83945.70429,155.84,0,34130.13478,1433.94,0,2134.815,252389.6338,262.39,7044.410909,0,73.02,13911.508,0,636.0475,3003.91,5090.948571,461.145,0,174.1,0,0,73.42333333,144.49,0,0,276.86,31406.74,6241.008571,335.7333333,0,0,148718.8029,131.66,0,0,0,0,0,76.92,98.8,462.95,0,1907.737143,1071.575,0,29081.39537,0,0,3797.46,268.64,0,959.406087,52.86,0,0,182.57,36.51,0,4070.219167,0,0,0,0,1952.400667,24320.26055,0,0,169.158,1245.89,529.865,1584.2,43574.8525,16600.27083,0,406.24,0,0,0,920.7455556,0,63.01,0,460.45,39372.055,3855.37,0,166.16,0,0,0,0,0,0,249.2055556,0,1250.095,0,484.51,0,703.3533333,0,1067.795,0,909.9142857,1267.306154,130067.5031,487.44,0,64.24,0,87.47,633.815625,73.02,130.265,0,0,856.1688889,0,0,376.0566667,0,764.9683333,0,0,94.22,230.32,0,69.21,76.19,150.1875,0,0,0,0,0,77.92,0,0,0,0,0,0,0,0,0,83.51333333,0,0,140676.6521,24326.016,3160.367917,0,782.93,0,0,4808.935,0,0,0,0,3520.01,0,605.3071429,0,0,0,0,94.22,2403.522,18115.10353,0,73.065,269874.28,0,0,954.7563636,89.54,250.84,156.685,0,0,62.99,2346.205714,89.54,0,0,0,4076.845,13774.14778,138.43,0,0,0,0,0,0,0,854.8128571,0,0,36.51,232.78,69.95,0,86.295,0,87.818,217.4238462,77.92
