year,temperature,pH,salinity,total.p,total.n,lat,long,Achnanthes brevipes,Actinocyclus,Actinocyclus octonarius,Actinoptychus senarius,Akashiwo sanguinea,Alexandrium,Alexandrium minutum,Alexandrium ostenfeldii,Alexandrium tamarense,Amphidinium [1],Amphidinium sphenoides,Amphidoma acuminata [3],Amphora [1],Apedinella spinifera,Archaeperidinium,Asterionellopsis glacialis,Attheya septentrionalis,Azadinium,Bacillaria paxillifer,Bacteriastrum hyalinum,Biddulphia alternans,Biota,Brachiomonas,Campylosira cymbelliformis,Cerataulina pelagica,Chaetoceros,Chaetoceros affinis,Chaetoceros borealis,Chaetoceros convolutus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros lorenzianus,Chaetoceros pseudocurvisetus,Chaetoceros tenuissimus,Chaetoceros teres,Chlorophyta,Chromista [1],Chroococcales,Coccolithus pelagicus,Cochlodinium,Corethron hystrix,Corymbellus aureus,Coscinodiscophyceae,Coscinodiscus concinnus,Coscinodiscus granii,Coscinodiscus perforatus var. pavillardii,Coscinodiscus radiatus,Cryptomonadales,Cymbomonas tetramitiformis [2],Dactyliosolen fragilissimus,Dactyliosolen phuketensis,Delphineis,Detonula pumila,Dictyocha,Dictyocha speculum,Dinobryon,Dinobryon faculiferum,Dinophyceae,Dinophysis,Dinophysis acuminata,Dinophysis acuta,Dinophysis rotundata,Diploneis,Diplopelta asymmetrica,Dissodinium pseudolunula,Ditylum brightwellii,Dolichomastix,Emiliania huxleyi,Entomoneis,Eucampia zodiacus,Eukaryota,Eunotogramma dubium,Eutreptiella,Fibrocapsa japonica,Fragilariaceae,Fragilidium subglobosum,Gonyaulax,Gonyaulax digitale,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodiniales [1],Gymnodinium galeatum,Gymnodinium verruculosum,Gyrodinium,Gyrodinium britannicum,Gyrodinium flagellare,Gyrodinium spirale,Haslea,Helicotheca tamesis,Heterocapsa,Heterocapsa lanceolata,Heterocapsa niei,Heterocapsa triquetra,Heterosigma akashiwo,Karenia mikimotoi,Karlodinium,Katodinium glaucum,Khakista,Khakista [2],Kolkwitziellaceae,Lauderia annulata,Lennoxia faveolata,Leptocylindraceae,Leptocylindrus,Lessardia elongata,Licmophora,Lithodesmium undulatum,Mamiella gilva,Mantoniella squamata,Mediopyxis helysia,Merismopedia,Mesoporos perforatus,Meuniera membranacea,Micromonas pusilla,Minutocellus scriptus,Navicula distans,Nematodinium armatum [1],Nematopsides vigilans,Neocalyptrella robusta,Nephroselmis,Nitzschia longissima,Nitzschia sigma,Odontella,Odontella aurita,Odontella longicruris,Odontella mobiliensis,Odontella regia,Odontella sinensis,Oocystis,Oxytoxum,Oxytoxum adriaticum,Oxytoxum mediterraneum,Paralia sulcata,Pediastrum,Peridiniales,Peridiniella danica,Phaeocystis,Plagiogrammopsis,Plagiolemma distortum,Pleurosigma,Pleurosigma angulatum,Pleurosigma formosum,Pleurosigma simonsenii,Pleurosigmataceae,Podosira stelliger,Polykrikos,Preperidinium meunieri,Proboscia alata,Proboscia indica,Prorocentrum,Prorocentrum balticum,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoceratium reticulatum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Protoperidinium brevipes,Protoperidinium cerasus,Protoperidinium conicum,Protoperidinium curvipes,Protoperidinium denticulatum,Protoperidinium depressum,Protoperidinium excentricum,Protoperidinium latidorsale [1],Protoperidinium leonis,Protoperidinium marielebouriae,Protoperidinium obtusum,Protoperidinium ovatum,Protoperidinium pallidum,Protoperidinium pellucidum,Protoperidinium pentagonum,Protoperidinium punctulatum,Protoperidinium pyriforme,Protoperidinium steinii,Protoperidinium subinerme,Protoperidinium thorianum,Prymnesiales,Prymnesium,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,Pseudo-nitzschia pseudodelicatissima,Pseudo-nitzschia seriata f. seriata,Pseudo-nitzschia subpacifica,Pseudochattonella,Pseudopedinella,Pseudoscourfieldia marina,Pterosperma,Pterosperma parallelum,Pterospermataceae,Pyramimonas,Pyramimonas longicauda,Pyrophacus horologium,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Roperia tesselata,Scenedesmaceae [1],Skeletonema,Skeletonema potamos,Spatulodinium pseudonoctiluca,Spirulina,Stephanopyxis turris,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Torodinium robustum,Trachyneis aspera,Tribophyceae,Tripos,Tripos furca,Tripos fusus,Tripos horridus,Tripos lineatus,Tripos longipes,Tripos macroceros,Tripos muelleri,Tryblionella,Warnowiaceae
2008,13.54466667,NA,34.335,0.536655818,10.44047619,53.7675,4.7669444,0,74.78,83.06,166.12,0,0,0,0,0,0,0,0,166.12,424.61,241.41,2404.26,0,3575.28,913.745,0,0,902923.3178,0,0,1638.985,37537.91556,0,0,0,0,2296.68,0,0,443.64,1202.13,0,565.43,571.405,0,0,11160.40667,139769.8694,1693055.05,0,424.61,85.94,1538.31,23512.28222,0,0,0,68.595,127217.0917,0,16801.25,309.7966667,7513.195,0,2780.6,0,0,7360.025,0,0,109.862,0,183.68,0,0,0,202.09,0,0,50.52,11412.225,435391.3344,0,6929.2675,253.09,0,0,0,0,6895.396667,247.32,471.515,62716.80333,0,0,544.6114286,0,0,990.5814286,61.22,0,9580.35125,0,110.91,61.22,0,272.05,0,10318.20111,10552.40714,0,160.62,397.484,0,3386.3675,446580.05,601.06,0,0,0,0,0,0,518.62,747.86,107605.145,0,154.345,1592.66,0,74.78,0,0,85.94,0,0,0,0,0,0,0,1732.775,0,0,3395.501429,0,916.8953333,1538.31,75107.46636,0,2844.6,0,0,0,0,146.21,0,0,0,0,251.695,0,0,16048.23333,332.0728571,166.12,0,0,0,863.6,1167.095,1425.905,318.53,0,0,0,74.78,0,147.715,258.8,0,405.2,0,0,0,0,86.26,2365.646667,61.22,0,107496.884,0,7326.134545,10592.425,0,0,554666.57,0,3388.485,0,0,0,0,27423.36143,316.72,0,86.67,86.67,1419.014,594.75,106.8333333,134.27,0,50279.64,0,0,0,0,0,2568.81,7981.548889,0,183.68,2247.93,1608.457,0,0,0,338.35,394.7028571,245.3466667,918.516,340.06,0,77.775,0,237.565
2010,9.757142857,NA,33.96428571,1.630269692,18.97959184,53.7675,4.7669444,0,0,0,193.38,0,0,0,0,0,0,0,0,0,0,0,264.63,0,0,2892.39,0,0,186131.9857,0,0,251.91,5093.837143,0,0,0,0,165.17,1962.186667,193.38,0,0,0,0,6400,0,0,13278.207,70562.25882,617344.19,0,206.45,347.85,5525.345,27636.435,89.24,0,0,0,87826.98714,0,0,0,12989.70333,3406.45,1890.105,280.83,26285.83333,19010.95,0,0,0,0,89.855,0,0,0,309.67,0,0,0,3406.45,120690.5009,0,4997.305,0,0,309.67,0,0,3534.856,121.1933333,0,28937.11095,0,0,5085.53,0,0,2105.569,67.48,0,8408.947,0,0,0,2465.58,0,0,2473.289091,3976.489259,0,167.3433333,1210.43,12670.81333,0,117975.1475,0,0,0,0,0,352.84,2782.8,1649.5925,0,1169892,0,78.36,88.21,0,0,0,0,93.805,0,217.88,0,0,0,181.84,0,103.22,0,82.085,2721.95,463.8,256.0411111,485.66,86255.704,527.375,290.07,0,96.69,0,96.69,176.2,0,0,0,0,0,0,1634.375,8164.236667,179.705,1643.72,0,0,0,272.295,122.14,679.085,0,0,176.42,0,0,0,0,0,88.21,0,126.645,0,0,0,376.02,107.425,0,0,110946.3464,15706.764,2141,1654.595,0,0,0,0,1940.7,0,611.72,0,3267.07,13568.23111,0,0,0,0,27026.466,78.36,88.21,97.07,5562.445,14780.278,0,90.92,0,9862.33,0,883.845,356923.9413,0,172.2933333,13682.58,1140.53,96.69,0,0,309.67,10134.02167,6574.89,460.962,202.46,330.53,0,0,229.04
2011,12.60615385,NA,34.25384615,0.569974046,14.25824176,53.7675,4.7669444,0,0,0,0,0,0,0,0,0,0,77.82,0,0,0,0,23433.6675,0,1466.27,941.91,0,0,44173.47063,0,0,452.27,43464.36625,0,0,0,0,0,11737.19,0,145.62,0,0,0,0,0,448.155,4483.5325,84492.45,0,0,0,0,0,25156.024,0,0,0,0,74753.03769,0,0,5173.15,3378.7925,0,2461.896667,0,6902.99,0,0,0,189.13,0,0,0,0,0,1426.91,0,0,352.1,0,101618.7226,0,946.9233333,0,0,58.34,0,0,2361.784286,532.79,0,36970.45,0,0,1315.853333,0,0,2131.737143,407.21,0,55359.05727,0,0,0,0,0,0,6346.413077,13351.4605,0,0,352.785,5645.186667,5881.45,6995.735,1641.97,0,305.46,0,0,3244.286667,0,203.6,0,14546.13,0,0,308.342,0,0,0,1740.07,0,0,0,0,0,101.8,259.405,0,0,0,0,3154.7775,0,273.7208333,0,447147.1259,2762.21,152.7,0,0,0,0,175.4033333,0,0,50.9,91.16,0,0,0,4350.583333,1270.9075,0,0,0,0,1048.9875,43.63,0,0,0,0,91.16,59.44,0,0,0,0,0,0,0,0,63.04,0,63.04,66.83,43.63,45969.3025,0,5316.131429,0,286.59,0,0,0,4900.186,0,0,0,0,3032.0175,2594.18,0,0,138.11,1839.57,0,0,221.63,0,13688.74667,0,0,0,0,0,3238.296667,26373.33143,392.74,171.25,5841.88,1484.556364,168.745,0,55.84,0,1123.015,874.75,54.245,2106.56,1677.48,113.014,0,370.4633333
2012,13.54636364,NA,34.55,0.865687418,16.29025974,53.7675,4.7669444,0,0,0,0,0,0,0,71.27,70.57,0,0,0,0,0,35.28,3547.33,0,0,0,0,0,0,0,803.08,5263.775,9876.108571,0,0,0,0,601.71,2311.04,1417.39,758.05,0,0,0,0,0,0,17731.75111,211546.8925,0,0,0,236.68,0,5625.89,0,0,0,122.57,143789.3431,0,0,978.61,0,0,0,577.76,0,0,48.58,80.3,63.49666667,0,111.734,0,0,137.995,169.06,0,0,0,266.37,623750.2856,0,721.415,0,84.53,110.695,0,150.17,9547.176,262.57625,2810.166667,80899.321,0,0,1926.8325,98.43,0,1921.32,294.11,0,17445.1425,0,0,0,0,164.695,0,1523.523,17357.15048,0,97.78666667,450.51,5038.03,0,342675.552,0,0,0,0,0,0,0,2175.405714,0,498710.736,0,0,0,915.82,48.58,0,0,0,0,0,0,88.79,0,0,0,0,0,0,1243.06,0,5061.340909,0,86395.36444,0,0,0,0,0,0,351.2328571,272.05,0,175.1633333,0,272.05,437.18,0,3589.585,1256.805455,0,0,65.255,98.43,3027.72,174.2575,214.6333333,53.63,0,0,102.845,192.435,0,492.18,0,0,0,0,53.63,0,43.2,52.125,225.8842857,92.8,0,205038.1229,0,40565.80818,1020.346667,0,0,0,714.57,2974.4,0,0,2974.4,9119.4825,6863.054286,0,98.43,0,0,19224.02,42.26,183.855,0,2554.16,9786.11,0,0,0,0,0,4260.35,5908.581667,0,974.255,223.2433333,857.6277778,0,0,53.63,120.035,2396.07375,11506.6,211.8157143,114.06,36,127.35,0,0
2013,NA,NA,33.76923077,0.7354824,17.85714286,53.7675,4.7669444,0,0,0,0,0,0,0,0,0,0,0,0,0,3256.943333,135.81,619.69,0,2209.665,0,0,0,0,653.09,0,654.125,47593.00545,4955.72,0,0,0,0,2776.47,0,1583.33,0,0,0,0,0,612.55,25553.77545,202808.6575,8637740,0,0,0,0,10267.865,0,0,0,107.2,210842.5792,1172.49,37912.58,397.86,6520.336667,0,1306.18,264.56,3362.22,0,0,0,136.995,0,101.7275,0,407.15,86.1,0,31019.38,0,0,0,626257.63,0,0,0,0,1017.89,0,0,3642.82,759.76,0,52539.14538,0,0,3616.4675,0,0,692.8833333,0,305.36,40843.07727,0,0,0,0,0,0,1834.955,47277.076,0,312.2975,0,12518.8675,0,47789.53,0,0,0,21744.338,201547.2,107.2,0,0,0,928207.865,0,1640.66,0,1814.973333,0,0,0,0,0,442.63,0,0,0,0,0,713.955,0,0,6622.496667,0,2838.394,0,112094.1453,0,0,0,0,0,0,90.875,0,0,0,52.37,0,0,0,1103.4525,455.5525,0,114.77,111.95,0,886.96,0,287.605,90.78,0,0,0,0,86.1,0,0,0,0,0,0,0,0,101.78,45.27,258.31,69.85,397282.4673,0,2563.388333,0,0,0,0,0,7505.08,0,3280.69,3362.22,4835.81,7370.62,0,0,0,0,18852.31,0,521.41,0,0,0,0,91.22,0,0,0,1712.18,8333.79,1377.69,43.75,0,1251.551667,0,0,0,305.36,866.4557143,114.68,176.8516667,0,51.69,204.87,0,744.04
2014,NA,NA,34.23076923,0.62516004,11.88681319,53.7675,4.7669444,0,0,0,79.35,0,0,298.49,42.64,54.27,0,0,77.57,0,9338.52,49.0125,0,0,0,0,0,0,0,0,504.28,468.345,39142.175,46581.81,0,0,1656.59,5836.293333,0,1571.15,669.99,0,209.77,0,0,0,0,16769.08,174399.4647,1041526,0,0,72.79,2169.2,7698.77,0,92.58,0,77.57,140480.2583,4955.33,47173.06333,1475.698333,12467.5175,0,0,0,15057.56,0,0,0,488.4157143,61.74,58.25333333,0,0,0,7079.29,14760.175,0,0,291.18,557929.25,0,1523.505,0,0,59.93,373.15,0,4947.018889,349.4771429,1364.22,92558.66643,0,0,1627.174,145.59,0,448.1475,84.04,552.19,24302.28333,0,0,0,570.87,77.57,0,1615.251111,8903.452381,0,71.598,672.03,2696.18,6463.205,117880.75,32309.24667,0,0,12944.08667,4535.91,0,0,1974.153333,2956.943333,663628.5682,0,77.57,155.15,116.51,59.93,3074.48,0,0,0,0,0,0,84.04,434.1233333,22742.42,0,0,4564.943333,2147.223333,0,3208.16,877.69,527597.878,0,0,0,0,0,0,117.18,108.445,84.04,268.52,116.122,143.67,0,0,3157.14,814.1672727,4955.33,166.02,78.48333333,0,150.3433333,89.51,127.7733333,0,0,0,61.725,0,0,0,0,0,30.01,122.46,95.05,0,0,0,0,0,318.82,454067.815,0,15431.875,2563.03,0,0,0,1395.24,3074.48,4518.51,2408.98,14365.88,5192.3475,16956.696,0,0,0,0,10197.959,567.308,1621.283333,76.75,0,5685.635,0,0,0,0,5433.33,193.93,36716.91857,0,252.14,0,1626.357143,85.09,0,0,80.805,600.816,367.275,490.1854545,0,102.13,258.4766667,0,0
2015,NA,NA,34.35454545,0.618339777,14.55102041,53.7675,4.7669444,2047.64,0,0,0,0,0,0,0,0,0,0,0,1627.1,3460.233333,183.54,0,27692.3,654.14,0,734.61,0,0,0,0,8933.025,50131.85182,0,0,0,2807.925,602.94,141064.8,0,2876.335,0,0,0,5944.42,0,0,39419.49889,290809.9355,155202.8,0,0,0,0,699638.82,155.485,0,0,167.61,200000.255,0,44307.69,0,7235.35,0,0,0,0,0,172.15,0,176.09,0,0,0,0,0,432.21,0,0,0,8286.3975,633797.7793,0,2720.78,0,28691.98,415.38,6900.765,0,9888.75,10239.54182,334.27,43207.50857,3112.896667,6960.89,731.91,0,35237.504,778.23,0,0,24324.43286,0,0,0,0,0,0,3578.88,59384.34588,0,131.98,421.695,42642.78,16090.015,40472.83,0,682.54,0,28691.98,0,0,0,1573.73,0,962568.2,0,0,0,14345.99,172.15,0,0,216.1,0,0,0,146.92,0,432.21,0,0,0,602.94,3204.125,0,10063.51714,0,459815.3289,0,0,226.8833333,0,83.8,0,165.945,0,394.65,0,2588.783333,0,0,0,4146.06,5327.122,829.21,0,626.55,285.65,602.94,0,0,94.3,0,0,195.88,0,0,172.15,85.97,0,94.3,0,0,73.46,0,146.48,1288.216667,109,142.39,106099.9022,0,20416.865,3270.74,0,39764.7175,0,24487.05,0,0,1958.8,0,3104.05,7139.81,0,0,0,0,25053.55727,878.3233333,2310.494,306.145,0,18427.165,0,0,4067.75,178.11,0,0,49813.414,0,83.8,343.9,993.0823077,80.47,2720.78,316.065,2796.892,1486.734444,946.7257143,789.87,0,1009.786667,781.845,0,120.81
2016,NA,NA,NA,0.525733716,14.21,53.7675,4.7669444,0,0,0,0,0,0,0,0,0,1675.27,0,0,0,0,0,3533.74,0,0,0,0,0,0,0,0,165.51,1675.27,0,0,588.95,0,0,0,0,0,0,0,0,0,0,0,10346.34667,271938.015,0,0,0,0,83617.35,0,0,0,0,0,43653.84,8221.05,0,0,28247.34,0,0,0,0,0,0,0,0,0,82.75,0,0,0,2061.34,0,0,706.18,0,456086.65,0,0,0,0,0,0,0,248.27,222.29,0,39031.79,0,3635.53,1338.485,0,25558.345,338.73,0,0,8641.245,0,0,0,0,0,0,993.1,5156.1125,0,98.15,0,7271.07,0,632860,0,0,0,0,0,0,0,98.15,588.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662.06,0,5782.316667,0,92264.032,0,0,0,0,0,0,0,0,0,0,165.51,0,0,0,558.42,165.51,0,0,0,0,82.75,0,0,0,0,0,0,0,0,0,0,0,196.31,0,0,0,0,0,0,0,196.31,125339.385,0,13333.1,0,0,0,0,0,706.18,0,0,0,0,6823.48,0,0,0,0,1207.695,0,0,0,0,19773.13,0,0,0,0,0,0,8805.335,0,0,4220.85,1224.79,0,0,0,0,0,0,588.95,0,0,0,0,0
2017,NA,NA,NA,NA,NA,53.7675,4.7669444,0,0,81.79,119.845,125.635,0,0,0,0,0,0,0,0,2043.025,106.95,0,0,0,0,0,0,3470.28,0,0,1032.925,4679.17,0,0,0,0,831.0033333,0,0,1241.585,0,0,0,5261.31,0,0,61647.67273,392917.9394,0,0,0,0,1169.59,7497.4,0,0,0,297.57,250217.43,0,0,0,125866.5,0,3557.913333,0,0,7366.14,0,0,307.1475,0,141.1966667,0,0,0,0,0,0,0,682.26,1785735.938,9853.33,1015.3775,677.52,0,97.46,242.41,0,2282.11,793.2825,1364.52,32029.81923,5253.72,11321.26333,978.5266667,0,55113.43167,357.5966667,0,66.12,27197.17222,663.8,0,657.66,0,97.46,0,3941.166364,13956.44286,0,457.4866667,638.425,12489.3575,4065.13,4478.846667,0,0,0,0,0,1422.31,0,4397.494,97.46,4698069.5,0,0,0,0,0,0,0,0,0,474.1,297.57,0,0,103.35,0,0,0,697.38,1862.85,0,947.0225,0,316110.3838,2007.9,297.57,149.14,66.12,0,0,0,0,136.58,0,0,200.815,0,0,2143.443333,5986.926667,15342.39,0,196.75,0,226.2175,0,0,576.61,98.37,0,0,98.37,0,196.75,0,0,0,94.85,103.35,103.35,100.86,0,1397.713333,0,0,96296.67818,0,16575.594,0,0,0,0,0,0,0,0,0,0,16259.40167,657.66,0,0,0,6000.553333,253.015,0,97.46,0,0,0,103.35,0,0,0,10254.895,83512.21667,0,0,0,1367.805385,0,0,0,9024.152,342.6157143,271.1033333,142.5,0,196.07,0,0,534.615
2018,NA,NA,NA,NA,NA,53.7675,4.7669444,0,0,97.4,0,0,106.23,0,0,0,90.75,0,0,0,8568.66,482.3266667,28372.8,0,0,1840.62,453.78,164.14,0,0,0,711.6975,10537.10889,0,876.64,0,0,0,0,0,1971.76,0,3299.16,0,0,3196.62,0,32644.26286,566886.9912,0,168.66,0,367.92,0,48057.79833,90.75,0,130.77,0,97545.36385,0,0,1311.23,9379.993333,386.15,0,0,3171.34,23433.27,0,0,87.54,86.48,96.43666667,106.23,0,534.545,185.5933333,0,47472.04,0,0,3873381.162,0,1824.57,2943.74,0,0,92.33,143.57,11249.36444,321.925,202.51,43420.87538,9514.03,18607.23636,1041.68,0,106212.601,2792.606923,0,82.07,10049.1375,0,4124.475,673.97,0,0,651.4,10858.86818,0,15353.28609,611.1233333,3811.76,81944.47,6156.6,3240.425,0,0,0,29062.85333,0,0,0,2360.562857,167.45,6093137.56,6045.1,106.23,0,0,0,0,0,0,91.98,0,0,0,91.98,1781.78,0,0,406.85,0,1159.606667,0,4780.777273,646.25,788826.9913,10009.88,0,0,0,0,0,171.87,196.985,298.4525,0,8409.01,492.43,0,0,7364.9875,1007.428182,106.23,0,973.875,0,982.938,278.6166667,148.8633333,0,0,0,0,0,0,0,0,0,91.98,167.45,107.608,97.4,0,1769.29,0,167.45,0,427350.4825,0,16406.92769,8946.7075,0,0,0,0,0,0,3610.06,3071.473333,4088.1,19605.67143,246.21,0,0,0,32876.5175,0,209.8,275.94,0,0,24138.73,194.81,0,0,0,1472.885,26581.92375,0,0,363.02,785.8153846,0,0,0,1186.588333,548.62,1762.66,1264.57,0,0,0,957.27,1555.92
