year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus sp.,Actinoptychus senarius,Akashiwo sanguinea,Amphidinium crassum,Asterionellopsis glacialis,Asteroplanus karianus,Attheya septentrionalis,Bacillaria paradoxa,Bacillariales,Bacteriastrum hyalinum,Bellerochea malleus,Biddulphia alternans,Biddulphiales,Brockmanniella brockmannii,Cerataulina pelagica,Ceratium furca,Ceratium fusus,Ceratium lineatum,Chaetoceros ceratosporus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros sp.,Chaetoceros subtilis,Chlorococcales,Chrysochromulina sp.,Chrysophyceae,Coscinodiscophyceae,Coscinodiscus concinnus,Coscinodiscus radiatus,Coscinodiscus wailesii,Cryptophyceae,Cyanophyceae,Cylindrotheca closterium,Cymatosira belgica,Dactyliosolen fragilissimus,Delphineis surirella,Detonula pumila,Diatoma elongata,Dinophyceae,Diploneis sp.,Ditylum brightwellii,Entomoneis sp.,Eucampia cornuta,Eucampia zodiacus,Euglenophyceae,Eunotogramma dubium,Eutreptiella marina,Flagellates,Fragilaria sp.,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodinium sp.,Gyrodinium sp.,Gyrodinium spirale,Gyrosigma fasciola,Helicotheca tamesis,Hemiselmis,Heterocapsa rotundata,Heterocapsa triquetra,indet.,indet. (cylinder),indet. (ellipsoid),indet. (elliptic cylinder),indet. (rhombic prism),indet. (sphere mit langer Geissel),indet. (sphere),Katodinium glaucum,Lauderia annulata,Lennoxia faveolata,Leptocylindrus danicus,Leptocylindrus minimus,Licmophora sp.,Limnothrix,Lithodesmium undulatum,Lithodesmium variabile,Mediopyxis helysia,Melosira moniliformis,Melosira nummuloides,Merismopedia sp.,Meuniera membranacea,Navicula sp.,Neocalyptrella robusta,Odontella aurita,Odontella aurita var. minima,Odontella granulata,Odontella mobiliensis,Odontella regia,Odontella rhombus,Odontella rhombus f. trigona,Odontella sinensis,Oscillatoria sp.,Paralia sulcata,Peridiniella danica,Phaeocystis globosa,Phaeocystis sp.,Plagiogrammopsis vanheurckii,Plagiolemma distortum,Plagioselmis,Planctonema lauterbornii,Planktothrix agardhii,Planktothrix sp.,Pleurosigma sp.,Prasinophyceae,Proboscia indica,Prorocentrum micans,Prorocentrum minimum,Prorocentrum triestinum,Protoperidinium bipes,Protoperidinium curtipes,Protoperidinium sp.,Prymnesiophyceae,Pseudo-nitzschia cf. pungens,Pseudo-nitzschia delicatissima,Pseudo-nitzschia delicatissima (group),Pseudo-nitzschia delicatissima (Komplex),Pseudo-nitzschia pungens,Pseudo-nitzschia pungens (group),Pseudo-nitzschia seriata (group),Pseudo-nitzschia seriata (Komplex),Pseudo-nitzschia sp.,Pyramimonadophyceae,Pyramimonas longicauda,Pyramimonas sp.,Rhaphoneis amphiceros,Rhizosolenia hebetata,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia similoides,Rhizosolenia styliformis,Scenedesmus / Desmodesmus sp.,Scenedesmus quadricauda,Scenedesmus sp.,Scrippsiella (group),Scrippsiella sp.,Skeletonema costatum,Skeletonema costatum (group),Stephanopyxis turris,Teleaulax,Telonema,Thalassionema nitzschioides,Thalassiosira angulata,Thalassiosira eccentrica,Thalassiosira hendeyi,Thalassiosira leptopus,Thalassiosira minima,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Thalassiosira sp.
2008,NA,NA,NA,3.871,78.57142857,53.66597,8.38156,0,3363.5,0,0,9418,0,0,0,301123.5714,0,673,1345,0,139976.5,0,0,0,0,9418,0,2341,50454,0,0,4260.333333,0,69648.83333,2438.5,0,0,0,91544,3364,0,0,0,220685.25,0,10233.75,0,0,2466.666667,0,0,18163,0,1569.333333,0,2018,5382,0,2421.833333,2219.833333,1757213.375,0,49972,448.3333333,673,0,673,336,0,0,0,0,0,0,0,0,0,0,0,0,0,5550,0,10578.5,27998.6,0,0,1345,0,0,0,0,0,0,2455.5,336,3784,0,0,5180.2,0,0,0,1345.5,0,2018,0,0,7491595.2,9810.333333,0,0,0,0,0,3282.8,0,0,336,0,0,1211,0,924.75,87185,0,0,28388.66667,0,0,63179.66667,0,0,2691,0,0,2186.25,941.8,0,124655,4574.6,0,673,0,0,7938,0,0,2354.333333,0,0,0,0,21634.6,0,0,0,0,20977.66667,0,6223,13656.5,9687
2009,15,8,13.54142857,3.70975,90.17857143,53.66597,8.38156,0,2018,0,0,273843.1429,7508,0,17575,25786.42857,1248,0,0,0,1358608.375,0,0,0,0,0,0,2999.6,9920,0,0,1009,0,0,2564.75,0,0,13468,0,0,336,0,0,67591.875,40363,10065.625,0,0,0,840.5,2355,1248,0,6054,0,0,1850,0,7929,1533.2,569017.75,4992,5987.8,0,0,0,0,673,0,0,0,0,0,0,0,0,0,0,0,0,0,1248,0,3860.333333,46520.2,0,0,1345,0,65240,0,0,0,0,1074.333333,0,1009,0,0,3940.285714,673,336,0,560.6666667,0,1345,0,0,653192,41215.375,0,0,0,0,0,1009,0,0,0,0,1920.5,0,0,673,20202,0,3989.333333,0,0,13160.85714,0,0,0,0,0,0,6727,1529.833333,4036,2354.666667,8043,0,0,0,0,1345,0,0,0,0,0,0,0,1126.8,673,0,0,0,761839.4286,24218,0,4372.5,5649.714286
2010,14.07142857,8.042857143,14.46625,2.83875,70.89285713,53.66597,8.38156,722.5,586.5,0,0,105087.1667,7290.5,0,7400,6080.166667,2162.5,0,0,0,265309,0,0,2018,0,0,0,4907.25,5960,0,0,0,0,4036,8131.8,0,0,0,0,3909.5,0,0,336,64695.375,200,8813.25,0,0,0,2000,0,0,0,2176,0,0,0,0,19078.33333,2162.5,372293.375,0,9338.333333,0,0,4992,673,0,0,0,0,6734,0,0,0,0,0,0,0,0,0,0,0,18073,7749,0,0,4036,0,101527.625,0,0,0,0,0,0,3495.5,5798.666667,0,2340,0,2980,0,1682,0,4191,0,0,1169461,29610.5,0,0,0,0,0,2980,0,0,1081.5,0,10431,0,0,3772,13468,0,6877,0,0,4481.25,0,0,0,0,0,0,5049,2598.5,0,7913.333333,3685.6,0,0,0,0,0,0,0,31247,0,0,0,0,2018,0,0,0,0,111870.5714,0,0,6969.5,2344.333333
2011,15.05714286,8.085714286,14.48185714,2.548571429,59.28571428,53.66597,8.38156,0,300,0,0,61383.25,9384.5,0,0,1922.2,0,0,0,0,198628.2857,536.5,0,100,0,0,0,1450,0,0,0,0,0,0,7258.4,0,0,0,0,3467.2,0,1877,0,100865.8333,0,10230,0,0,34319.5,0,0,0,0,1877,8022.333333,0,0,0,7025.333333,450,94008.28571,0,3005.5,2775,0,100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,16436.33333,0,0,1400,0,14454.85714,0,0,0,0,0,100,2633.666667,400,0,1531.2,0,0,200,400,100,1400,0,0,20000,26595.6,0,0,0,0,0,250,0,0,150,0,1800,0,0,0,0,0,0,0,0,3450,0,0,0,0,0,0,2887.5,1571.2,0,3152.666667,5967.6,0,0,0,0,0,0,500,125412.4,0,200,0,0,17917.25,0,0,0,0,299881.1667,0,0,0,10611.4
2012,14.9,8.133333333,15.64666667,1.989166667,38.80952381,53.66597,8.38156,0,1138.2,0,0,315506,1345,0,0,765.4,0,0,673,0,33138,100,0,336,0,0,0,594,0,1009,0,0,0,8870.25,3792.6,0,0,0,0,2060,0,0,0,95562.16667,0,4785.4,0,0,0,9418,0,0,0,673,0,0,0,0,673,1682,166590.3333,0,55403,37840.5,0,2691,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1925,2420.5,9813.5,0,0,1359,0,1149,0,0,0,500,0,0,930,2690.666667,0,894,0,0,100,436.3333333,0,2018,0,0,356899,0,0,0,0,0,0,290.6666667,0,0,1042.333333,0,15018,0,673,673,0,0,673,0,0,1006.75,0,0,0,900,0,0,100,3077.25,673,2533.333333,7716,0,0,0,0,0,0,2838,30720.66667,0,0,0,0,3563.5,0,0,0,0,100614.3333,0,0,2691,4236.5
2013,15.63333333,8.133333333,13.28166667,2.758,82.14285715,53.66597,8.38156,0,2926.4,0,0,35402.33333,25563.66667,13468,0,807.4,0,0,0,0,108980.8333,0,0,673,0,0,0,0,16166.5,0,0,0,0,27021,4708.75,0,0,0,0,4372.8,0,0,0,121211,0,14161,0,0,0,0,0,336,0,2439,0,0,0,0,5213.5,4877,300782.5,0,23881.66667,673,0,0,504.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,15584.33333,0,0,1681.5,0,62100.75,0,0,0,0,0,0,67776.5,9712.5,0,9048,0,0,0,336,0,4036,0,0,240172.6667,7315.75,0,0,0,0,0,1345.5,0,0,673,0,0,0,0,0,26936,0,29600,0,0,49781.5,0,0,0,0,0,0,673,7890.333333,0,28254,32290.66667,0,0,0,0,0,0,3924.333333,845106,0,0,0,0,9859.75,0,0,0,0,155665.1667,12109,0,0,9216.2
2014,15.61428571,8.028571429,13.95242857,2.843285714,73.46938775,53.66597,8.38156,0,2487.857143,0,0,115698,12742,0,0,74017.85714,0,0,0,0,376431.2857,3754,0,0,0,0,15015,0,28153,2355,0,0,0,14900,1928.25,7548,0,0,0,5346.285714,0,200,0,121633.1429,0,10237.28571,0,0,5093.25,0,0,0,100,1338.5,0,0,1877,0,5339.333333,3320,621326.7143,0,10578.5,0,1877,712.5,403,0,0,0,0,13468,0,0,0,0,0,0,0,0,200,4709,0,13138,104006,0,0,2596.666667,0,400,0,0,0,0,0,0,786.5,3825,0,4716.8,2520.666667,0,100,1682,0,5382,0,0,0,14504.71429,0,0,0,0,0,1036,7938,0,0,336,1877,0,0,200,0,0,872.5,0,0,131382,0,0,0,0,0,0,673,15694.57143,0,1877,12423,0,0,0,0,15400,0,3694.166667,48967.57143,0,0,0,0,16071.75,0,0,0,0,111635.2857,0,200,0,11265.71429
2015,17.075,8.025,16.1075,2.1935,50.89285714,53.66597,8.38156,200,1284,0,0,4906,1850,0,0,3314.75,0,0,0,0,28459,604.5,0,0,268,0,0,1322.5,1682,0,0,0,0,1609,1772.666667,0,0,0,0,1766.666667,0,0,0,59655.5,0,4172.75,0,0,0,818,0,0,0,1009,0,0,2582,0,772.5,545.3333333,173185.75,0,1500,900,0,1209.25,218,100,100,0,0,0,336,0,0,0,0,0,0,0,0,0,1925,7064,16906,336,0,1200,0,336,0,0,0,0,0,0,1345,673,0,791,400,0,100,318,0,2691,0,0,0,10764,0,0,0,1900,0,350,6734,0,500,0,1345,336,0,100,0,0,0,0,0,2551.333333,0,0,0,0,0,0,100,836.5,0,109203.5,8994,0,0,0,0,0,0,636.5,4925,0,0,0,0,3700,0,0,0,0,41709,0,1203,4709,1636.333333
2016,11.06666667,7.95,14.608,3.5744,87.57142857,53.66597,8.38156,0,1218.25,0,0,19621,10764,0,0,79330.4,0,0,0,0,250597.8,1009,0,0,0,0,2859.5,336,1850,0,0,0,0,15304,2354.5,0,0,0,0,1432.8,0,0,0,27899,0,9730.8,0,0,0,0,0,0,0,327,673,0,20181.5,0,3364,1513.5,116500,0,2943,0,1009,386.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5045,0,2845.333333,16818,0,4300,2242,0,0,336,0,5382,0,1009,0,673,806,336,5911.25,673,0,0,1177.5,0,3763.5,0,0,0,28972.5,0,0,1600,0,49963,1681.666667,0,336,336,0,0,0,0,560.6666667,0,0,700,0,0,11087.66667,0,0,0,0,6734,0,0,10081.66667,0,8240.5,1345.5,0,0,0,0,0,0,0,22536,0,0,0,0,1682,0,0,0,0,21068.25,0,0,1569.666667,593.6666667
2017,15.16,7.9625,13.43444444,2.8064,72.14285715,53.66597,8.38156,673,4818.4,1345,0,40461.33333,4397.5,0,0,0,1345,0,4036,0,0,3644,0,0,0,0,0,2340.5,7904.333333,673,0,1345,2018.5,13006,1987.636364,7400,0,0,0,0,0,0,0,0,0,16318.9,1155946.7,0,3559.666667,15493.5,0,0,0,0,0,0,2242.333333,0,4663.5,1850,0,0,43026.16667,1177,0,2130.333333,3027.5,673,0,673,0,45765.33333,0,172149.375,5865.352941,45436.30435,7964.884615,673,57662,364234.0938,0,0,22424,19223,43342.42857,0,0,1009,15893,579.75,0,1345,0,0,925,0,1870.428571,0,0,7243.571429,1324.25,336,0,799,0,3091,0,0,42712.33333,50610.2,5410,0,0,222671,0,735.5,0,0,0,2466.666667,9081.5,1345.5,0,100,0,0,0,0,1345,8649.142857,0,0,4695,0,0,1345,0,17141.375,0,12008,12205.625,0,0,51261,0,0,0,1121.333333,54953.25,0,0,0,0,61281.625,0,0,0,0,56263.77778,0,5525.714286,1828.75,3968.833333
