year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus,Actinocyclus normanii,Actinocyclus octonarius,Actinoptychus senarius,Actinoptychus splendens,Akashiwo sanguinea,Amphora [1],Aphanizomenon,Archaeperidinium,Asterionella formosa,Asterionellopsis glacialis,Asteroplanus kariana,Aulacodiscus argus,Aulacoseira,Aulacoseira ambigua,Azadinium,Bacillaria paxillifer,Bacteriastrum hyalinum,Bellerochea malleus,Biddulphia alternans,Biota,Campylosira cymbelliformis,Cerataulina pelagica,Ceratoneis gracilis,Chaetoceros,Chaetoceros affinis,Chaetoceros borealis,Chaetoceros ceratosporus,Chaetoceros contortus,Chaetoceros costatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros lauderi,Chaetoceros lorenzianus,Chaetoceros pseudocurvisetus,Chaetoceros similis,Chaetoceros subtilis,Chaetoceros tenuissimus,Chaetoceros teres,Chlorophyta,Chromista [1],Chroococcales,Cochlodinium,Coelastrum [1],Corethron hystrix,Coscinodiscophyceae,Coscinodiscus,Coscinodiscus centralis,Coscinodiscus granii,Coscinodiscus perforatus var. pavillardii,Coscinodiscus radiatus,Cosmarium,Crucigenia,Cryptomonadales,Cyanophyta,Cymatosira belgica,Dactyliosolen fragilissimus,Dactyliosolen phuketensis,Delphineis,Detonula pumila,Diatoma tenuis,Dictyocha,Dictyocha speculum,Dinobryon,Dinobryon faculiferum,Dinophyceae,Dinophysis acuminata,Dinophysis rotundata,Diploneis,Ditylum brightwellii,Entomoneis,Eucampia zodiacus,Euglenophyceae,Eukaryota,Eunotogramma dubium,Eutreptiella,Fibrocapsa japonica,Fragilaria oblonga,Fragilariaceae,Gonyaulax,Grammatophora marina,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodiniales [1],Gyrodinium,Gyrodinium britannicum,Gyrodinium spirale,Gyrosigma,Gyrosigma balticum,Gyrosigma fasciola,Helicotheca tamesis,Heterocapsa,Heterocapsa niei,Heterocapsa triquetra,Heterosigma akashiwo,Katodinium glaucum,Khakista,Koliella,Kolkwitziellaceae,Kryptoperidinium foliaceum,Lagerheimia,Lauderia annulata,Lennoxia faveolata,Leptocylindraceae,Leptocylindrus,Licmophora,Lithodesmium undulatum,Mediopyxis helysia,Melosira moniliformis,Melosira nummuloides,Meringosphaera,Merismopedia,Meuniera membranacea,Micractinium [1],Micromonas pusilla,Minutocellus polymorphus,Minutocellus scriptus,Monoraphidium,Navicula distans,Nephroselmis,Nitzschia bilobata,Nitzschia reversa,Nitzschia sigma,Odontella aurita,Odontella granulata,Odontella mobiliensis,Odontella regia,Odontella rhombus,Odontella sinensis,Odontella turgida,Oocystis,Oxytoxum,Paralia sulcata,Parlibellus delognei,Pediastrum,Peridiniales,Peridiniella danica,Phaeocystis,Plagiogrammopsis,Plagiolemma distortum,Planctonema,Planktothrix agardhii,Pleurosigma angulatum,Pleurosigma normanii,Pleurosigma simonsenii,Pleurosigmataceae,Podosira stelliger,Polykrikos,Prasinocladus marinus,Preperidinium meunieri,Proboscia indica,Prorocentrum,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoceratium reticulatum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Protoperidinium brevipes,Protoperidinium conicum,Protoperidinium denticulatum,Protoperidinium excentricum,Protoperidinium leonis,Protoperidinium marielebouriae,Protoperidinium oblongum,Protoperidinium pellucidum,Protoperidinium pentagonum,Protoperidinium punctulatum,Protoperidinium steinii,Protoperidinium subinerme,Protoperidinium thorianum,Prymnesiales,Pseudanabaena,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,Pseudopedinella,Pseudopodosira westii,Pterosperma,Pyramimonas,Pyramimonas longicauda,Rhaphoneis amphiceros,Rhizosolenia,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Roperia tesselata,Scenedesmaceae [1],Skeletonema,Skeletonema potamos,Snowella,Stephanodiscaceae,Stephanopyxis turris,Striatella unipunctata,Subsilicea fragilarioides,Surirella,Tetrastrum,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira levanderi,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Torodinium robustum,Trachydiscus,Trachyneis aspera,Tripos fusus,Tripos horridus,Tripos lineatus,Ulotrichaceae,Warnowiaceae
2000,11.26631579,8.144736842,28.75052632,4.809837579,92.07983193,53.44915,6.51349,0,833.33,0,3844.281818,0,0,7499.995,0,2499.99,2000,95274.998,24622.50333,1000,17599.994,24999.99,0,3052.646667,6499.995,3513.51,10885.504,5563505.537,0,18750,0,172305.222,0,1000,52245.62,4166.66,44423.07,9999.99,5899.998,24833.33,6666.66,6000,0,0,0,0,0,0,34027.77333,3222.216667,0,0,2761387.277,660901.7636,2955705.71,0,15846.15,0,3379525.263,270.27,0,0,0,0,0,160000,939087.1629,300403.0733,0,15884.5075,0,157651.1636,13106.88,1388.883333,0,4999.99,303951.4,0,2333.333333,0,1000,0,1043.943333,4666.666667,3067.21,0,505050.5,108192.762,7363.383846,0,70790.245,17499.995,0,0,88879.10818,10000,4812.493333,32029.98667,1166.666667,0,4693.9075,0,0,661.455,0,60553.354,833.33,4333.333333,0,1500,329681.6794,4999.99,1166.665,0,125000,9391.306667,0,59749.99667,27345.426,0,4624.9975,0,0,0,0,49500,8000,0,0,173562.9529,303951.35,31249.99,597.01,0,0,833.33,833.33,28560.1464,1000,0,3327.684615,1122.714,993.7557143,0,4999.99,0,15568.54917,0,25583.32875,8680.553333,0,1329065.65,18515.42,0,11666.66,267444.4417,0,2981.9,0,3249.9975,0,0,0,0,0,312.49,3001.1975,1744.7875,1260.866667,0,2944.443333,2166.663333,1785.214,0,1499.995,0,0,0,0,0,0,0,0,0,500,0,848914.6333,0,14649.20917,4944.443333,0,0,0,192972.61,0,2403.718333,59374.995,0,10423.60889,83955.18769,0,0,365707.3845,427786.6133,25152.31,0,63777.4025,0,0,0,1000,34923.07333,0,24895.8275,714285.0348,0,0,562517.1393,0,770.83,24183.33,1190.215,0,0,1000,0,0,0,2000
2001,12.18952381,8.066666667,28.13809524,5.506901429,102.3979592,53.44915,6.51349,0,0,833.33,5323.14,0,0,12222.21667,119999.995,11052.23333,9999.99,471104.9729,65743.58571,0,27499.99,0,0,0,558.13,0,9595.114444,6073539.276,0,82499.995,0,487170.6522,0,0,15384.61,0,31250,0,3333.33,103899.998,0,0,0,1116.27,4338.3775,99999.99,1666.66,6316.245,0,0,0,0,842598.2825,396294.7624,918918.8533,1857.005,0,0,1181839.181,0,0,0,0,2916.66,0,0,576359.8838,231902.3483,0,833.33,0,277058.7267,16000,3333.33,0,0,19999.99,0,861.315,79.92,0,2000,2325.072222,4999.99,558.13,0,753667.6167,53862.70632,6091.662,4166.664,118666.65,0,380.68,0,45470.49231,833.33,1561.503333,12287.32529,0,0,3770.2975,2000,0,560.8071429,3722.216667,92675.455,380.68,2284.12,0,9999.99,283030.5928,3333.33,2845.1675,0,0,22499.99,0,10416.665,39999.99,2000,10748.7525,0,833.33,0,0,51555.55333,0,0,0,26794.86333,168918.9,15384.61,4000,0,0,2000,0,35343.79464,0,21534.88,19853.852,2514.345,2371.8275,0,0,0,54193.93643,0,38291.66,3807.49,334.925,4532884.274,26610.52154,0,0,107116.276,710.56,4648.12,0,1281.5925,0,0,0,380.68,0,0,0,195.5,1313.185,0,2133.33,7277.773333,6934.185,0,0,0,0,0,0,0,0,0,0,0,0,0,496487.74,40000,33476.18429,3188.19,0,0,4999.99,180058.31,0,2052.48,0,0,100170.6725,34363.23667,0,0,69737.99417,561082.0114,0,3.00E+05,2749.995,0,0,1529.06,500,133333.3,0,20217.86417,106381.096,0,0,45937.4925,8000,2238.1975,3124.7,4999.99,168918.9,418.6,0,0,0,0,1000
2002,12.333,8.094,27.092,5.1386994,87.46785714,53.44915,6.51349,4999.99,7136.8575,0,1409.169167,0,0,38925.35286,0,378.76,5416.66,2206362.013,6272.096667,0,14000,0,0,2499.99,1120.89,0,5641.5525,9364301.647,0,12301.78,450.28,794922.898,0,0,0,0,67000,0,1063.2175,389240.495,0,0,4999.99,8000,425.77,0,0,16999.99667,0,5555.55,0,0,981797.7264,530017.1429,125000,0,225641,0,1817091.7,0,0,466.595,0,0,0,0,723161.5538,47916.66,0,2000,212.88,291701.6013,0,0,0,0,0,0,16041.66,0,0,916.665,22245.87333,3541.665,35212.17667,833.33,336984.7,172696.3628,6606.639091,1391.915,0,0,0,33783.78,26477.27,0,6555.553333,25714.58333,1500,70.96,1416.665,0,0,5083.32875,5348.733333,28019.22462,0,0,0,833.33,277983.4454,833.33,959.0966667,0,0,2088.143333,0,37333.33,1607709.59,0,13796.29222,0,0,4833.326667,3193.27,41666.66,0,0,0,67561.93667,178571.4114,18124.99,0,31249.99,0,2609.25,0,38893.04474,0,9502.562,20095.23357,1733.33,2317.242,70.96,0,0,32622.48615,0,32640.80667,4241.662,0,387573.68,23931.3575,2126.4375,14106.44,88920.94333,0,0,0,1916.6625,0,0,0,0,0,0,141.92,78.59,868.81,0,1265.924,2124.995,3780.204,86.22,1000,0,0,373.92,0,70.96,0,86.22,0,0,0,0,535497.6756,0,16407.40222,3333.33,2916.66,0,0,112286.1771,0,54179.366,0,0,5680.5525,18966.48231,0,86.22,216673.08,165787.4453,0,41666.66,3444.44,0,0,0,1000,466216.3667,0,19695.15333,616829.6981,0,0,0,0,8142.95,1333.33,0,0,1888.886667,0,0,0,0,3182.995
2003,11.85714286,8.131904762,29.60571429,5.239620857,80.0170068,53.44915,6.51349,0,0,0,4863.631818,0,0,1000,0,5166.66,0,489983.1013,43416.66,0,0,0,0,5000,18750,0,24333.33,7206424.574,0,607660.598,4999.99,1460837.702,8000,0,0,4999.99,270270.3,0,62499.99,41666.665,26022.51667,2272,0,0,4000,7000,0,125000,0,29087.8475,0,0,221261.3391,1163747.627,26666.66,0,0,0,1683684.266,0,0,0,0,0,0,0,935361.8129,42059.52,337837.8,0,0,97634.82,0,0,0,0,337837.8,0,2916.66,0,0,4999.99,17361.10333,2999.995,11333.33333,0,1333333.4,86593.6825,30393.18143,0,0,4999.99,0,0,56569.44111,12500,2125,139004.7933,19999.99,0,4066.662,0,0,1166.663333,0,46730.21143,0,67567.56,1000,59222.96333,288852.824,0,0,0,0,0,0,62684.1225,56207.202,0,34440.47286,0,1666.66,0,0,0,0,0,0,833.33,686260.4111,0,7499.99,0,0,0,0,40477.88852,2000,1333.33,14486.1075,1000,3199.996,0,0,0,11749.99333,0,99999.99,2583.328889,0,451527.9453,8055.547778,0,0,542708.3333,0,0,0,1182.208,0,0,0,0,0,0,2000,0,1000,0,0,28893.682,666.665,0,0,0,1000,0,0,0,0,0,0,0,0,0,568757.695,0,42897.00727,0,2972.22,0,16614.5775,401993.6838,0,168918.9,0,0,21347.21667,106781.2467,0,0,60399.994,160564.1863,0,0,34375,0,0,0,0,0,0,24333.32667,561683.3852,0,0,437297.295,43333.33,4999.99,3851.847778,0,0,20624.99,833.33,833.33,77.71,0,1666.66
2004,10.74222222,7.941111111,29.16666667,4.123930632,75.09774436,53.44915,6.51349,1666.66,0,0,9613.86,0,0,2000,0,717.945,0,415605.8456,11465.63286,0,23669.025,0,0,0,0,0,5224.356667,3845521.485,0,2000,0,80689.77909,0,0,0,0,0,0,0,0,0,8000,0,0,7000,0,0,0,0,4999.99,0,0,296470.482,546220.4814,337837.8,0,0,0,1217221.859,0,0,0,0,0,4999.99,0,534067.4558,94458.34,0,0,0,210189.878,0,0,4999.99,0,0,0,2833.325,0,0,1000,35826.14,4999.99,0,6000,1423571.125,42503.93167,5780.978333,1000,0,0,0,0,7714.282857,8000,2499.99,26308.0025,4999.99,0,666.66,666.66,0,4416.665,0,65039.15111,0,4999.99,0,666.66,112765.0939,4999.99,0,0,0,3000,0,44416.6625,448527.7767,0,4619.045714,0,2611.11,0,0,4999.99,0,0,0,67567.56,85574.318,2999.995,0,0,0,749.995,0,29153.70353,0,2500,8699.997,2737.175,2555.553333,0,0,0,14356.5275,0,67344.36667,14978.22667,0,14609655.5,4107.692,0,16666.66,0,1666.66,0,833.33,2999.995,0,0,28618.755,0,0,0,16413.07,0,3333.325,0,0,4999.99,18780.92333,0,833.33,0,0,0,0,0,0,0,0,0,0,0,284564.56,0,13669.81556,0,18629.805,769.23,0,178261.1313,0,51975.05,9999.99,0,35041.665,12490.83929,0,0,172729.07,203347.4327,0,0,0,0,0,0,0,0,98704.525,27394.405,830252.2037,0,0,124610.6,0,61652.28,0,0,0,0,2000,0,0,0,0
2005,11.97333333,8.040952381,29.66857143,5.949808889,72.75714286,53.44915,6.51349,0,434.78,0,3187.952727,85.79,0,13493.76,0,3538.46,0,34774.518,23278.38429,0,31249.99,0,4807.69,0,0,0,6234.481667,5711086.32,47927.15,1153.845,25146.86,77541.77846,16304.34,0,0,0,0,0,6153.84,72054.465,3304.345,14999.99,0,3038.46,4902.33,0,0,0,0,36329.975,0,2499.99,176152.69,600130.375,20822.99667,0,39999.99,0,612826.5683,0,0,0,85.79,0,0,0,737284.6952,142564.0967,0,0,0,195576.6043,5384.61,0,0,0,0,0,769.23,0,666.66,4999.99,4615.38,1555.553333,11000,0,1173368.23,26777.326,7535.479167,2788.46,0,0,0,0,11656.312,35326.08,4538.46,23216.48769,3717.945,0,4834.93,0,0,884.615,4481.0725,30099.61833,1583.325,0,0,666.66,235365.8122,0,0,666.66,0,5076.916667,0,70742.5925,2000,0,9569.591429,0,19999.99,0,0,25384.61,0,0,0,0,0,9615.38,0,0,4745.4,0,0,16112.14133,0,2025.64,16855.55667,1589.49875,2848.256667,0,769.23,1249.99,22767.09,0,87307.695,4614.824,0,5781021.756,19405.68,0,0,1539423.092,0,0,0,2081.19,0,0,0,0,0,0,0,0,0,0,1009.61,3050.72,5282.046667,0,0,0,0,0,0,0,85.79,0,0,0,85.79,0,277476.1838,13333.33,156070.665,1333.33,6250,0,4999.99,435940.4225,0,0,0,0,21774.52308,13793.78667,0,0,155546.0667,53852.85125,0,0,14688.6,0,0,0,85.79,181912.7,0,24877.9075,916383.1376,0,0,0,4999.99,666.66,1989.294,0,0,695.2633333,0,0,0,40000,0
2006,12.44388889,8.011111111,29.265,5.1532155,71.91071429,53.44915,6.51349,0,769,371,5453.052632,0,0,10816,0,769,4583.333333,157223,4262.666667,0,13846,0,0,8654,769,10705.2,12148.69231,3247873.5,0,8180.4,1538,397198.3077,9102.5,0,0,0,0,0,128,49591.5,2193.5,989,0,8462,951,83333,0,16923,0,26667,0,0,139234,936303.5,140275.6667,0,0,0,835120.55,0,0,0,421,58,0,0,1622986.095,559095.6667,0,1250,582,101846.0909,0,0,0,132,27571,27571,0,0,0,0,1771.6,59,546,11311,692338.4167,88159.86667,15581.875,654,0,0,0,0,111645.0909,23505,6538.5,16902.85714,697,0,3400.2,0,625,778.8,13302.25,28248.875,0,625,0,1998,260524.2133,0,0,0,0,5240.5,0,13711.6,10513,0,7545.181818,0,0,0,0,30154,0,0,4765187.125,0,73522.5,15934.5,0,0,0,957.3333333,0,17533,667,27317.2,41311.93333,970.9230769,1487.875,0,9410,0,16643.61538,0,2114,7818.2,0,1573121.769,7381,1250,21282,2621668.143,128,0,0,619.8571429,0,77,0,0,0,0,0,0,4423,0,3725.625,2187.5,1538.5,0,0,0,0,0,0,0,0,0,0,0,3044,59,418160,0,473153.4667,22372.66667,17789,0,1769,77882.4,0,1250,0,17774.6,13844.25,17241.11111,450.6666667,59,73831.22222,779223.6,118371,91528.75,0,58,0,0,769,0,3378,11309.6,2068840.556,77,12243.6,0,0,1538,3068.75,0,0,349.5,0,0,0,0,0
2007,11.70166667,8.053333333,28.45777778,4.661281,89.72222222,53.44915,6.51349,0,985.31,0,1586.353333,0,0,1716.075,0,3076.92,0,11153.84,16353.27,0,0,0,0,3696.215,0,30125.2,5957.755,3656854.221,0,3769.23,0,1018980.212,0,0,0,0,0,14276.96,3377.815,63346.13333,0,0,0,8592.346667,0,0,0,0,0,5236.42,0,0,83474.03909,814282.2693,0,0,0,154.42,1489909.259,0,769.23,1538.46,0,0,0,0,499450.9417,129117.4167,0,1923.075,10506.07,71241.11727,0,0,0,0,4000,0,128.08,0,0,0,667.2433333,0,2633.9475,0,2905530.32,60824.62385,18609.93556,5060.72,0,0,0,0,17898.765,5770.92,718.52,22970.06545,0,0,631.288,0,0,0,97.95,23705.95875,0,0,0,0,224372.4362,0,0,0,0,11538.46,0,34247.34444,6923.07,0,27948.69889,0,0,0,0,31812.25,2000,0,0,0,59897.765,27570.99,0,0,0,0,0,13094.30647,0,5689.796,15423.22583,3103.216667,2624.78375,0,0,769.23,6769.2275,0,12307.69,7122.45,0,3215311.545,5077.795,769.23,0,91949.15,0,0,0,1114.802,0,0,0,0,0,0,0,5621.035,5445.34,0,636.555,1440.416,1512.82,0,0,0,0,769.23,0,0,0,0,128.08,1000,186.7566667,256.17,1573452.81,0,137354.588,9495.894286,0,0,13614.7,58675.38111,0,154.42,0,0,13672.51143,23476.975,0,0,55101.425,12821.468,0,17857.14,35211.26,0,14615.38,0,0,0,1355.93,3324.6375,715395.9967,0,0,0,0,0,13230.82,0,0,1538.46,338.98,0,0,0,154.42
2008,11.35133333,NA,28.632,4.777979059,76.2605042,53.44915,6.51349,0,0,666.66,1987.15,0,0,0,0,0,0,37247.43167,83217.75,0,0,0,0,0,0,3970.2325,4998.628571,5773738.272,0,2692.303333,0,338584.2427,0,0,0,0,0,0,2951.54,367465.66,0,0,0,15769.22333,0,3076.92,0,0,0,0,0,0,344216.6678,910916.2754,296296.3,0,184928.3,0,3994171.178,0,0,56.71,160.9,0,0,0,776848.1244,0,26343.51,9999.99,4452.983333,495353.5127,0,0,0,0,0,0,13464.905,0,0,0,1576.61875,3015.13,118939.2533,13157.89,4091399.75,180191.94,8660.078333,3698.7125,0,55478.5,0,0,150606.154,1916.665,2307.69,30586.16417,2951.54,0,3365.4925,769.23,0,1333.33,0,66554.42,0,0,0,5417.11,1285432.913,3333.33,1538.46,0,3333.33,3076.92,0,26996.61,318605.0233,0,6011.39875,0,0,0,0,60000,0,0,588235.3,0,599430.8786,10760.08,0,0,0,4999.99,0,46509.95938,999.995,2378.2,3199.660833,1785.712,895.19875,0,0,0,21134.81889,0,57416.6625,4799.591429,0,2793888.289,16327.72143,4999.99,0,0,4999.99,0,0,4471.472857,0,0,0,0,80.45,0,0,357.14,2185.8925,0,1871.79,3690.82,7637.795,0,0,160.9,0,612.01,0,0,0,0,0,0,0,0,93039.20667,0,629168.4627,11742.12125,26957.25,0,10472.84,83951.76143,3269.225,0,9999.99,0,16296.21857,2461.395,0,0,73474.11333,128170.575,0,0,17351.705,1538.46,0,1153.84,56.71,916164.5,0,17178.94,1038308.649,0,0,0,0,0,10081.378,0,0,769.23,0,0,0,173333.3,666.66
2009,11.97619048,NA,29.56190476,6.010740667,84.89795919,53.44915,6.51349,0,0,0,4144.458889,0,1256.915,21496.145,0,0,0,9402.223333,5333.325,0,0,3333.33,0,1304.34,0,0,3205.0375,5126119.605,0,0,884.055,271330.362,0,0,0,0,0,0,1555.553333,400829.8767,0,1388.88,0,15999.995,0,24000,0,0,0,0,76923.07,4800,512787.2633,1984166.541,14666.66,0,0,666.66,2266059.81,0,0,0,0,0,0,0,981574.9111,0,0,0,0,114237.1975,0,0,0,0,0,0,0,0,0,666.66,717.945,0,602.005,0,5393411.371,90392.38417,13954.339,3935.92,0,3885,0,0,385337.2375,3076.92,0,22280.73667,5841.9025,0,1251.0025,0,0,661.67,0,49872.88286,0,4087.713333,0,0,1755282.896,0,4102.39,0,0,7362.18,183006.5,137555.9767,17789.47,769.23,2944.2,245511.6357,0,0,0,95217.115,0,3076.92,8760348.75,0,0,5417.11,0,0,0,2000,0,19697.64,0,8902.48,3962.44,1346.022308,1106.894,0,0,0,120881.0557,4000,156332.5033,9245.321111,0,660730.3445,51741.251,4000,0,0,1153.845,0,0,1384.615,493.91,0,0,0,0,0,0,3000,4800,128.45,666.66,3269.225,0,0,385.37,0,0,0,256.91,0,0,0,434.78,0,0,0,224400.885,0,92584.52357,13083.37333,88739.32,0,666.66,111464.168,10526.31,0,0,0,23990.755,4691.805,0,0,118185.7917,163614.6925,0,0,7359.015,0,0,0,434.78,0,0,18942.3,4599736.033,0,0,0,9333.33,434.78,1333.33,0,0,1773.63,0,0,0,0,3000.565
